UCL_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL201001,6234,15112,2515,1524,2163,1477,1230,1532,410,32202,14125,40349,8235,2094,4908,3379,4736,3774,1357,82961,30441,46470,64076,4259,9277,5941,16436,13387,2751,193044,13188,7888,44553,1221,2552,1697,3835,7141,1216,83298,2282,1803,4905,520,739,548,1155,1878,205,14040,3599,31180,2059,6859,1437,1072,1278,1376,417,49278,3446,17574,1082,2178,1005,622,892,807,245,27840,54149,57412,9732,7824,25088,16166,11667,8585,3137,193766,11467,28839,3591,14238,7025,3290,3775,3517,1118,76853,5349,16781,4770,2780,3113,3152,1913,2467,480,40799,4324,899,13274,2581,1612,1844,4349,3536,421,32834,53,65,144,53,49,76,136,198,19,803,2728,3458,2314,1353,1334,800,1917,1280,604,15775,2468,1976,4525,1203,1110,1172,2590,2392,4661,22092,153857,269817,165785,48672,61416,41236,55906,51860,17031,865580,5313,15136,3391,3350,5122,2208,329,1170,490,36516,3393,12191,1361,2063,4058,1468,483,1248,499,26761,3454,9331,2128,1518,2892,1265,875,1604,365,23422,1784,6478,1986,701,1746,1135,114,385,152,14484,1035,1662,1291,704,1177,591,159,603,99,7332
UCL203001,65,190,47,41,27,20,10,29,7,434,146,401,130,21,83,42,52,51,8,934,521,449,1606,112,129,129,384,333,45,3706,303,77,1344,43,37,48,118,194,32,2184,123,72,157,13,29,29,54,68,13,558,77,813,62,207,43,26,17,30,11,1279,142,665,28,86,41,18,24,17,11,1041,737,717,173,148,330,249,141,135,24,2647,139,435,61,466,109,66,69,91,11,1448,69,242,84,55,60,64,35,54,8,667,98,12,328,63,40,46,69,102,9,760,0,0,3,0,0,0,0,11,0,16,51,53,52,35,25,17,41,23,17,309,49,33,106,33,17,25,60,62,65,447,2511,4160,4183,1331,953,776,1074,1206,247,16441,51,151,48,34,67,23,3,9,4,394,28,65,18,21,43,14,9,17,0,209,34,46,34,21,32,17,22,37,0,243,19,48,34,9,14,13,0,10,0,150,27,34,38,24,32,37,5,30,5,229
UCL203002,46,155,36,24,25,13,17,18,3,331,112,290,105,19,45,29,24,40,10,672,439,464,1696,98,129,126,417,391,50,3814,340,78,1207,53,51,56,160,222,25,2187,118,76,152,26,23,26,62,103,6,588,79,840,46,208,34,28,25,35,12,1301,99,588,41,103,29,19,35,30,7,950,595,570,123,132,304,197,124,122,18,2182,134,364,54,465,77,51,48,86,26,1296,47,129,57,42,23,38,22,47,6,412,93,13,320,72,27,41,72,106,11,750,4,0,5,3,3,0,0,8,0,25,37,42,45,34,16,13,36,24,14,258,37,30,91,25,10,23,64,69,84,438,2164,3644,3969,1300,795,664,1103,1296,259,15197,44,117,60,28,55,13,4,18,0,341,13,45,8,8,41,11,0,14,0,138,29,59,27,24,33,11,28,55,0,273,18,39,40,12,22,13,0,3,0,144,34,44,39,23,43,28,4,35,0,253
UCL203003,149,392,107,59,59,51,25,63,12,925,247,628,205,49,86,73,106,92,28,1512,905,1341,2802,244,259,244,837,719,88,7445,581,311,2654,132,128,97,278,542,70,4785,128,102,273,21,46,39,69,99,21,799,176,1399,129,379,70,42,54,71,17,2344,167,1020,61,156,35,26,50,37,8,1559,1403,1304,340,301,619,439,349,249,55,5058,284,718,148,802,186,115,139,186,38,2625,136,416,142,112,66,103,79,99,17,1170,164,26,590,101,53,76,138,198,19,1367,0,5,6,4,4,3,5,3,0,27,70,90,98,74,35,22,72,57,19,547,79,59,218,52,31,46,82,140,159,874,4481,7830,7789,2485,1692,1374,2277,2559,551,31040,100,340,140,108,149,82,21,42,9,996,43,117,33,64,75,25,12,28,4,392,71,181,55,50,72,48,40,81,16,616,53,190,115,60,81,60,12,40,6,616,41,71,39,36,59,28,15,43,3,328
UCL211001,23,31,10,3,6,0,0,10,4,86,28,60,28,3,17,7,10,13,3,181,225,162,871,49,64,56,212,173,36,1840,86,23,463,19,9,12,46,74,8,748,29,31,61,6,15,9,25,29,6,221,34,167,8,77,9,4,14,15,3,330,35,153,12,26,8,4,14,14,0,268,264,213,47,61,99,68,104,54,6,924,52,74,38,180,14,17,18,28,6,433,7,40,14,9,15,10,13,15,0,128,24,12,113,17,14,18,59,41,0,296,0,0,0,0,0,0,0,6,0,15,16,16,19,13,13,6,18,17,3,114,21,6,40,7,0,11,39,37,30,192,845,981,1734,477,272,234,580,524,105,5757,13,40,14,11,12,9,5,3,0,102,8,10,4,7,8,11,0,0,0,48,12,14,15,8,11,16,11,18,0,100,7,14,11,7,14,11,0,0,5,60,8,20,8,5,17,5,5,12,0,77
UCL211002,32,72,33,18,23,12,30,8,9,243,103,319,108,46,72,42,122,48,15,855,234,337,1277,88,157,80,543,351,60,3134,96,20,772,21,29,14,157,162,21,1295,23,10,69,9,6,3,52,39,5,217,22,162,27,91,23,9,35,27,4,395,21,144,23,37,11,3,27,12,0,277,284,248,116,159,288,154,372,115,38,1775,55,110,56,297,78,45,142,74,14,876,21,46,35,17,34,15,28,35,3,247,55,8,196,46,44,34,235,75,7,695,0,0,5,0,0,0,3,7,0,17,18,19,37,21,17,6,79,28,12,234,22,16,108,29,25,12,120,77,79,482,989,1517,2855,872,817,440,1943,1062,257,10757,21,60,31,41,39,27,3,12,5,247,25,102,17,52,50,19,6,15,7,306,17,53,25,17,49,17,26,39,3,248,10,9,14,4,16,5,4,4,0,69,3,9,17,10,17,9,3,3,0,74
UCL212001,9,35,5,6,5,5,3,0,0,74,20,75,26,12,13,13,16,6,6,180,146,99,505,36,38,37,146,91,6,1107,48,14,420,9,11,4,44,59,12,622,23,9,35,3,6,3,10,20,0,117,14,46,6,20,7,9,0,6,5,112,22,102,4,10,5,3,6,0,3,158,128,108,41,31,86,39,62,22,4,517,37,44,12,87,25,10,16,12,3,253,13,25,18,10,6,6,10,5,0,100,13,5,49,14,12,3,15,12,0,118,0,0,0,0,0,0,0,0,0,5,10,8,20,6,5,4,15,16,0,77,15,7,31,7,11,5,16,14,23,136,491,565,1185,251,229,136,357,286,64,3567,9,27,16,13,18,13,0,4,0,98,8,22,3,9,14,5,0,4,0,62,13,16,11,3,11,0,8,0,6,69,8,12,16,7,6,3,3,0,0,52,4,9,18,4,8,3,3,4,0,50
UCL212002,8,7,5,0,0,0,0,5,0,25,7,11,11,0,5,4,0,6,0,44,94,60,276,13,14,26,69,69,4,629,60,5,146,5,0,6,14,27,3,265,35,9,33,8,5,4,23,20,0,132,6,58,4,20,0,0,0,0,0,95,19,66,3,12,6,3,0,0,0,112,76,62,18,9,19,24,8,13,3,225,11,17,4,48,8,3,5,16,0,110,3,4,9,3,5,9,0,0,0,35,17,0,75,9,0,7,15,16,0,143,0,0,0,0,0,0,0,0,0,6,0,9,6,4,0,0,6,4,0,31,14,5,14,0,0,3,17,14,15,78,349,320,602,137,56,91,155,188,27,1929,5,21,4,3,0,0,0,0,0,41,0,0,0,0,4,0,0,0,0,8,3,5,0,0,0,0,0,5,0,23,0,6,6,0,0,0,0,6,0,15,3,6,3,5,5,10,0,0,0,33
UCL212003,27,45,12,0,4,0,5,9,0,116,18,29,25,10,7,9,4,13,0,120,128,102,536,23,36,41,128,125,20,1126,87,23,284,14,14,8,25,46,5,503,90,48,51,5,12,6,31,54,5,305,27,191,8,67,11,3,8,3,0,322,30,165,11,14,14,6,5,15,0,257,203,163,35,43,66,82,44,58,12,708,31,110,22,167,18,13,18,26,6,423,8,30,16,19,10,8,8,6,0,102,40,6,115,17,4,23,29,38,0,282,6,0,0,0,0,0,0,3,0,13,14,9,7,10,0,4,10,24,0,88,24,12,39,10,8,11,25,41,46,213,736,928,1148,402,196,223,355,465,106,4563,17,39,5,5,3,4,0,8,0,87,7,3,0,3,4,0,0,6,0,26,12,8,8,5,11,8,3,12,0,61,5,12,0,0,4,0,0,5,0,30,13,21,10,7,10,8,0,12,0,91
UCL212004,21,60,9,10,3,7,0,5,0,122,21,66,13,4,7,4,0,0,0,121,121,138,311,28,23,21,36,47,10,744,136,43,398,20,15,4,14,33,8,673,46,23,56,6,9,8,10,17,5,173,34,191,18,46,4,4,5,5,0,302,48,179,8,19,10,9,0,5,3,284,235,190,24,29,69,46,17,20,10,642,55,119,12,83,29,15,3,16,9,346,12,70,18,8,6,14,3,13,0,140,26,5,61,7,5,12,10,13,0,132,0,0,0,0,0,0,0,0,0,0,15,10,10,15,5,3,5,5,0,69,19,8,27,13,3,9,6,10,13,110,791,1111,970,292,194,154,116,189,58,3865,23,53,21,12,13,4,0,5,0,130,5,10,0,0,0,0,0,0,0,20,0,14,3,5,6,4,0,3,0,44,11,27,8,3,13,8,0,0,0,70,8,23,13,13,8,8,0,3,0,79
