UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
UCL201001,13,28,166,1926,9215,6886,13843,9662,2425,2440,2874,3894,1286,294,842,55788,744,911,1113,1155,4873,1588,935,538,123,115,96,92,32,16,282,12616,28,87,271,913,1885,1890,5597,2758,677,708,639,605,346,126,174,16709,25,126,485,2160,4248,4135,7778,2956,741,851,762,897,370,159,250,25945,58,315,1611,2838,7645,8736,18549,10565,2286,2548,3045,3470,1291,245,845,64043,0,4,13,99,1153,1691,2006,1828,441,477,612,532,182,50,153,9241,5,6,57,314,1534,1640,4674,3307,1109,940,1007,1176,395,87,420,16690,3200,11885,29513,19714,17036,11269,25700,14833,2507,2695,2584,2740,1127,496,3459,148758,58,164,569,1409,1643,2366,4453,3439,783,952,976,1146,675,302,436,19367,5,16,141,9530,25676,15753,13950,10174,2392,2328,2224,2734,1346,323,3060,89668,3140,10985,21214,29946,36774,41866,55155,34811,10515,9961,10503,12082,4301,1195,6352,288806,13365,66230,124814,112812,177979,181385,384419,259409,65396,69540,75557,86110,31474,9311,35121,1692930
UCL203001,0,0,0,13,42,62,123,171,43,30,37,68,14,0,11,622,8,0,0,4,15,7,3,6,0,0,0,0,0,0,0,55,0,4,0,11,13,4,19,5,3,3,5,8,0,0,3,72,0,0,6,15,22,35,82,29,3,7,7,12,13,8,8,255,0,0,3,3,11,20,64,70,14,21,15,8,4,0,0,236,0,0,0,0,0,10,12,13,0,10,3,0,3,0,0,54,0,0,0,3,4,19,42,29,22,8,4,7,3,0,0,151,100,367,716,411,271,162,291,214,20,36,42,33,26,9,102,2793,4,6,10,38,29,32,82,54,0,0,6,3,4,0,9,291,0,0,0,14,19,9,24,44,7,11,13,6,7,0,9,158,37,102,121,138,131,93,363,187,70,45,58,41,26,13,32,1462,244,1098,1157,987,915,814,2511,1824,442,430,545,616,278,57,342,12258
UCL203002,0,0,3,12,49,54,118,148,40,44,56,64,16,5,13,634,0,7,3,0,8,3,0,0,0,0,0,0,0,0,3,30,0,0,0,6,4,6,7,10,0,0,4,0,0,0,0,47,0,0,0,17,16,36,78,49,0,9,15,5,14,0,8,246,0,0,3,11,13,23,65,60,9,20,15,26,8,5,0,258,0,0,0,0,4,0,11,21,3,3,3,12,3,0,0,62,0,0,0,0,5,6,251,212,71,57,81,37,8,3,5,742,69,262,523,309,190,123,228,89,30,13,20,16,13,4,71,1948,0,0,11,23,15,18,49,26,3,4,6,5,3,0,4,167,0,0,0,9,6,18,21,40,12,13,6,3,0,4,3,131,37,63,77,89,68,65,553,312,105,107,125,86,25,10,42,1757,171,593,853,718,636,607,2380,1715,510,473,567,462,191,52,265,10203
UCL203003,0,5,3,31,185,159,302,254,70,72,136,177,26,5,32,1455,29,32,52,26,92,45,7,13,3,0,0,9,0,0,9,313,0,0,5,27,31,21,79,23,0,5,7,5,10,0,3,231,0,4,22,55,80,83,185,85,17,22,15,29,13,5,8,628,0,5,12,13,42,29,140,217,27,59,61,84,52,6,12,759,0,0,0,0,3,4,14,23,11,6,7,6,0,0,0,79,0,0,3,11,19,34,233,172,49,40,54,42,15,4,15,683,180,731,1679,840,595,325,916,486,80,69,66,83,32,7,190,6289,3,3,21,38,43,70,141,97,20,24,7,27,15,9,10,538,0,0,0,37,92,48,80,75,20,39,34,29,24,3,20,506,128,431,679,533,387,530,1104,785,195,199,216,222,77,24,158,5689,635,2919,4195,2503,2461,2328,6130,5366,1317,1441,1607,2064,780,160,872,34788
UCL211001,0,0,0,7,34,21,49,90,23,4,12,12,8,8,7,274,7,3,3,0,6,4,0,0,0,0,0,0,0,0,0,30,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,18,0,0,0,4,3,3,49,10,0,0,11,0,0,0,0,82,0,0,5,0,0,0,21,17,7,0,0,0,0,8,0,57,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,16,0,0,0,0,0,10,8,11,3,0,8,0,0,0,3,44,38,106,246,112,98,42,96,47,7,6,11,4,12,5,30,864,0,0,3,9,8,3,14,20,3,0,3,4,0,0,0,71,0,0,0,3,0,0,7,6,0,33,54,64,3,0,4,187,27,82,106,71,48,38,156,137,54,53,119,88,23,4,23,1030,126,428,549,332,362,253,767,633,161,183,265,235,75,39,107,4510
UCL211002,0,0,3,27,146,153,616,554,152,97,78,91,35,16,16,1982,4,0,0,12,61,18,10,3,0,0,0,0,0,0,10,113,0,0,0,9,13,9,34,21,9,0,3,0,0,0,4,99,0,3,4,0,12,26,77,25,0,5,0,0,0,0,0,146,0,3,5,3,22,52,194,147,24,26,13,15,9,0,4,513,0,0,0,0,5,10,4,7,11,0,0,4,0,0,5,37,0,0,0,3,14,8,84,57,16,9,16,25,0,0,3,245,28,213,614,314,228,70,156,77,14,10,4,8,0,0,45,1783,0,0,4,9,7,17,35,21,11,8,12,0,7,0,3,136,0,0,0,29,84,82,157,127,12,16,13,17,0,0,21,568,32,220,418,449,524,670,2113,1193,229,243,218,202,63,33,159,6776,142,714,1484,1204,1557,1893,7616,5146,1152,996,912,1027,310,145,508,24788
UCL212001,0,0,0,0,19,10,27,34,6,3,5,0,0,0,0,105,0,0,4,0,13,0,11,4,0,0,0,0,0,0,0,29,0,0,0,3,0,3,11,6,0,0,0,0,0,0,0,26,0,4,0,0,14,8,32,14,0,0,0,0,0,0,0,72,0,0,4,6,6,0,6,24,3,4,7,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,5,5,0,0,0,0,0,0,19,22,92,269,145,96,34,139,49,5,5,3,0,0,0,22,891,0,0,0,3,4,7,14,11,5,3,5,0,0,0,0,65,0,0,0,8,10,3,15,3,0,5,0,4,0,0,0,44,11,50,86,72,62,45,91,82,24,11,6,3,10,3,3,564,64,254,472,337,325,226,732,505,115,90,100,113,43,16,69,3465
UCL212002,0,0,0,0,7,10,17,34,8,10,8,17,4,0,5,128,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,26,0,0,0,0,0,0,17,17,4,3,7,14,3,0,0,66,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,58,103,37,25,17,17,10,0,0,3,0,0,0,18,303,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,5,0,5,7,0,0,0,0,0,0,3,25,10,11,18,7,4,8,14,17,0,0,5,10,0,0,5,120,40,108,148,84,84,81,182,174,42,46,59,83,28,4,41,1195
UCL212003,0,0,0,0,27,19,38,71,26,23,16,40,26,3,10,301,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,13,0,0,0,4,3,5,24,13,6,8,0,11,4,0,0,88,0,0,3,0,0,3,11,23,4,3,4,6,0,0,0,68,0,0,0,0,0,0,13,26,11,12,13,26,10,0,3,105,0,0,0,0,7,8,25,38,9,9,7,19,3,0,4,129,30,72,158,83,41,28,65,36,10,11,5,3,3,0,33,573,0,0,0,6,10,0,13,11,0,0,0,6,0,0,0,39,0,0,0,5,36,43,66,47,10,17,37,9,16,6,29,319,15,39,66,99,105,162,162,99,29,14,63,110,23,15,34,1041,105,345,438,295,338,433,911,921,348,381,467,556,200,38,250,6020
UCL212004,0,0,0,0,11,0,0,7,0,0,0,0,0,0,0,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,6,0,0,0,0,0,0,0,0,0,8,15,0,0,3,8,10,13,20,12,0,0,5,0,0,0,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,18,32,113,263,142,98,73,162,83,22,13,12,18,6,8,70,1118,0,0,3,13,12,7,25,10,0,6,0,0,0,3,6,89,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,4,31,48,29,30,23,44,47,4,4,0,0,0,0,6,278,74,288,402,297,234,198,389,223,57,28,32,35,20,13,130,2416
