UCL_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
UCL201001,0,4,30,204,282,1020,2706,2026,761,7038,10,58,352,1941,727,1132,936,465,247,5859,5,211,871,2956,833,466,269,123,50,5793,25,169,2105,5489,226,144,63,16,0,8237,11,107,168,603,386,491,1425,1287,676,5155,442,3272,4906,15344,5955,4707,2608,979,330,38549,4,49,129,1544,1389,2037,2328,1113,389,8990,195,1600,1305,6721,850,434,288,59,16,11477,5,19,54,290,378,206,84,12,7,1049,119,1274,2814,14577,5712,4764,2931,773,220,33188,3,28,76,1505,880,1300,1843,881,790,7300,7,177,424,952,745,599,259,76,28,3261,17,144,333,1639,1134,1789,1864,1477,713,9104,84,889,1328,3306,1387,1050,789,232,66,9139,83,619,1152,4366,2818,1842,1398,680,269,13231,98,1158,2535,12987,4911,4202,3084,1439,588,31001,34,157,309,3425,649,459,413,45,10,5514,73,614,1284,6553,1749,764,295,76,19,11427,26,164,222,2060,2290,1961,1213,600,156,8686,297,1140,1259,4136,1264,962,720,251,49,10066
UCL203001,0,0,0,0,0,10,13,9,6,30,0,0,0,11,0,4,3,0,0,13,0,0,0,8,3,0,0,0,0,9,0,0,34,64,0,0,0,0,0,103,0,0,6,11,8,14,99,91,32,257,3,26,32,152,78,89,71,25,13,477,0,0,0,0,0,4,0,0,0,4,0,0,12,48,8,0,0,0,0,71,0,0,0,8,12,0,0,0,0,28,0,18,30,186,56,50,31,10,0,387,0,0,0,12,0,6,3,5,5,37,0,0,0,4,0,0,3,4,0,14,0,3,8,20,19,33,50,53,13,194,0,0,5,8,15,3,5,0,0,43,3,9,11,43,16,21,12,8,0,121,0,7,10,65,17,8,0,3,0,101,0,0,0,27,5,0,0,0,0,37,0,8,5,56,21,13,0,0,0,108,0,0,0,5,4,0,0,0,0,6,0,12,22,45,21,24,17,5,0,144
UCL203002,0,0,0,0,0,0,10,7,0,10,0,0,0,13,3,3,0,3,0,17,0,9,28,225,67,40,26,11,3,400,0,0,7,48,0,0,0,0,0,58,0,0,0,3,0,4,34,32,14,92,3,17,28,102,61,83,44,25,4,359,0,0,0,0,0,0,0,0,0,4,0,3,3,35,5,0,0,0,0,51,0,0,3,8,14,8,0,0,0,34,4,14,31,194,73,50,29,8,0,401,0,0,0,3,4,0,4,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,26,37,32,9,130,0,0,4,9,7,0,4,0,0,22,0,11,20,42,20,14,3,11,0,122,0,12,13,55,18,10,9,3,8,122,0,0,0,29,0,0,0,0,0,33,3,97,151,124,12,12,0,0,0,400,0,0,0,3,0,0,0,0,0,6,0,8,13,31,15,6,3,5,0,97
UCL203003,0,0,0,6,0,10,25,9,4,57,0,0,8,25,9,7,3,0,0,54,0,11,36,135,55,29,20,3,0,285,0,0,23,129,0,0,0,0,0,158,0,8,5,17,13,33,169,130,75,449,10,46,78,346,173,146,87,35,13,942,0,0,0,35,39,66,100,60,29,333,8,36,59,113,9,3,3,3,0,241,0,0,0,12,24,7,0,0,0,45,4,37,70,442,152,126,91,21,4,943,0,0,0,36,22,25,48,31,38,201,0,0,0,7,0,0,0,0,0,12,0,12,4,65,47,95,110,108,34,476,0,13,18,41,19,18,19,3,0,134,5,18,44,107,56,42,33,20,9,333,4,18,47,189,36,19,26,8,0,338,0,0,4,46,0,3,0,0,0,52,0,87,112,153,60,28,5,0,0,446,0,0,0,14,17,11,14,14,0,65,9,21,36,136,30,24,30,7,0,293
UCL211001,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,8,0,0,0,4,3,0,0,0,0,4,0,4,20,29,0,0,0,0,0,54,0,0,0,5,0,3,18,24,3,54,4,14,14,42,39,38,25,11,4,190,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,8,0,0,0,4,5,0,0,0,0,10,0,12,12,75,25,24,19,4,0,177,0,0,0,0,5,4,4,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,14,17,0,58,0,0,0,0,3,0,0,0,0,4,0,0,7,16,7,11,0,0,0,39,0,3,0,16,7,0,0,0,0,32,0,0,0,6,0,0,0,0,0,7,0,5,0,11,12,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3,6,16,3,4,5,0,0,30
UCL211002,0,3,9,31,27,55,146,59,11,341,0,6,7,31,7,9,5,0,0,63,5,7,42,169,22,12,8,4,0,269,0,3,5,47,0,0,0,0,0,65,0,0,0,6,8,9,32,12,4,63,31,229,189,388,131,94,51,10,4,1125,0,0,5,23,24,23,25,4,0,114,13,53,36,225,14,13,12,0,0,359,0,0,0,4,0,5,0,0,0,7,4,69,154,530,196,124,71,10,8,1162,0,0,0,15,3,15,20,7,5,61,0,43,62,107,65,28,21,10,0,333,0,0,4,19,11,38,46,24,11,154,0,7,7,17,9,8,3,0,0,58,0,5,7,34,8,13,0,0,6,73,5,16,23,129,38,9,23,3,5,242,3,0,0,16,5,4,4,0,0,29,0,17,37,83,27,7,0,0,0,171,0,0,7,20,18,8,6,7,0,56,0,15,12,31,7,3,4,0,0,71
UCL212001,0,0,4,6,3,8,15,9,7,45,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,8,17,10,6,48,3,8,6,48,31,21,12,5,0,136,0,0,0,5,0,0,0,0,0,3,0,6,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,6,3,29,18,12,3,4,0,79,0,0,0,3,6,4,3,0,0,18,0,3,0,8,0,3,0,0,0,12,0,0,4,9,4,16,21,15,5,75,0,4,0,0,4,0,0,0,0,10,0,0,6,8,3,0,6,0,0,39,0,3,0,15,5,4,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,0,5,0,0,43
UCL212002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,17,0,0,0,4,0,0,4,6,6,17,0,0,0,19,12,16,10,3,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,8,0,13,10,36,15,10,5,0,0,87,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,0,0,0,0,16,0,3,0,21,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,10
UCL212003,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,12,0,0,3,27,0,0,0,0,0,34,0,0,0,0,0,4,7,7,4,25,4,18,18,56,37,25,15,10,0,175,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,19,0,0,0,0,5,0,0,0,0,4,6,7,10,89,28,23,17,0,0,179,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,10,0,0,0,17,0,0,3,4,5,7,6,8,3,31,0,0,0,3,0,0,0,0,0,6,0,0,13,18,10,0,3,3,0,46,4,3,0,14,12,3,0,0,0,34,0,0,7,67,0,0,0,0,0,75,0,5,4,44,13,11,0,0,0,78,0,0,4,18,32,33,17,9,0,116,0,0,0,10,3,0,3,0,0,24
UCL212004,0,0,0,0,0,5,9,5,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,18,10,9,57,0,0,0,34,16,8,23,9,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,4,0,0,13,0,3,0,0,5,7,0,0,0,19,0,0,0,5,6,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,3,0,10,9,15,10,13,3,55,3,0,0,0,0,0,0,0,0,3,0,0,0,13,9,7,0,0,0,40,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,7,20,12,6,8,0,0,56
