UCL_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
UCL201001,31,1167,1480,4627,2361,1658,780,274,77,12454,34,271,276,3553,998,795,698,460,197,7286,8,175,308,2834,1361,3991,7392,7025,4210,27295,59,285,389,915,435,203,153,40,6,2483,47,338,742,3481,1070,424,173,83,12,6375,56,191,349,2592,1893,1918,1420,663,133,9216,125,1304,3382,11612,3381,2935,2652,999,190,26574,0,11,23,191,296,1013,2528,1890,536,6486,0,61,352,1959,690,1052,866,415,141,5532,17,197,967,3049,928,441,237,92,44,5967,25,147,2820,6471,400,115,63,15,4,10056,16,110,172,639,467,553,1457,1204,521,5136,433,3546,4992,15321,6167,4643,2395,958,216,38672,8,60,135,1450,1294,1820,2427,1089,281,8561,232,1732,2369,9847,1447,608,292,81,9,16608,5,24,57,221,309,144,50,15,5,823,133,1267,2725,10187,3904,2556,1438,333,64,22606,5,36,59,1056,638,1033,1521,628,334,5316,11,175,341,987,666,630,270,62,5,3145,12,169,320,1773,1375,1838,1792,1265,375,8926
UCL203001,0,7,0,13,8,3,0,0,0,28,0,3,9,20,16,6,13,10,12,86,0,0,0,12,3,11,32,21,14,94,0,0,0,10,5,6,0,0,0,26,0,0,0,18,3,3,0,0,0,27,0,0,0,8,0,3,0,0,0,10,0,10,19,33,13,15,14,3,3,109,0,0,0,0,0,4,16,7,0,27,0,0,0,12,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,30,77,0,0,0,0,0,112,0,0,0,7,3,15,65,81,26,194,3,21,35,121,86,83,52,27,3,437,0,0,0,3,3,3,0,0,0,13,6,13,10,74,5,4,0,0,0,111,0,0,0,7,5,0,0,0,0,13,4,32,38,122,28,6,5,0,0,236,0,0,0,3,5,6,5,0,0,25,0,0,0,0,0,0,0,0,0,7,0,9,6,19,15,27,47,26,7,156
UCL203002,0,0,0,5,0,0,3,0,0,11,0,0,4,17,7,11,14,5,0,62,0,0,0,0,4,13,21,15,6,64,0,3,6,4,0,0,0,0,0,12,0,8,3,16,0,0,0,0,0,26,0,0,0,5,0,0,3,0,0,10,0,6,17,63,21,9,19,0,0,134,0,0,0,0,0,0,12,3,0,23,0,0,3,10,0,0,0,0,0,15,0,5,31,187,69,38,19,15,0,369,0,0,3,53,7,0,0,0,0,69,0,0,0,3,4,8,44,36,5,105,6,27,32,91,81,61,37,15,3,350,0,0,0,0,0,0,0,0,0,3,0,5,7,44,9,0,0,0,0,72,0,0,3,3,9,0,0,0,0,19,0,25,36,119,29,10,7,0,0,230,0,0,0,0,3,6,5,3,0,15,0,0,0,3,0,0,0,0,0,4,0,0,4,11,8,25,33,17,9,118
UCL203003,0,20,25,40,23,15,3,0,0,129,0,13,15,98,35,30,22,15,10,245,0,0,10,49,20,79,164,153,102,581,0,0,6,15,9,4,0,0,0,33,0,9,11,46,10,0,0,0,0,73,4,0,5,16,0,8,9,3,0,42,0,21,41,115,30,22,24,9,3,264,0,0,0,0,3,7,29,19,3,71,0,4,20,22,9,4,0,0,0,58,0,0,36,134,39,26,17,10,0,262,0,3,20,142,5,0,0,0,0,171,0,5,4,11,9,27,144,120,48,381,9,48,87,316,177,145,93,36,9,904,0,0,0,25,32,67,97,47,20,291,8,56,91,308,29,4,4,0,0,497,0,7,0,4,14,9,0,0,0,29,5,28,73,258,86,31,18,5,0,511,0,0,0,19,13,18,36,10,11,109,0,0,0,6,6,0,0,0,0,13,0,5,15,57,54,94,109,63,26,427
UCL211001,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,3,0,0,0,13,0,0,0,0,0,0,13,10,3,26,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,14,0,7,0,0,3,5,0,0,0,11,0,0,3,10,0,0,0,4,0,22,0,0,0,0,0,0,3,0,0,8,0,0,0,9,0,0,0,0,0,6,0,0,0,6,0,0,4,0,0,11,0,14,16,22,0,0,0,0,0,58,0,0,0,0,9,0,27,25,3,63,0,9,14,42,42,27,28,11,3,176,0,0,0,0,0,0,5,0,0,5,0,4,0,6,0,0,0,0,0,10,0,0,0,8,10,0,0,0,0,15,6,14,14,47,21,0,0,0,0,99,0,0,0,0,0,0,3,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,20,10,13,3,67
UCL211002,0,10,17,43,14,6,6,0,0,93,0,0,0,13,9,10,11,13,0,52,0,0,0,14,16,41,50,30,4,157,0,0,5,7,0,0,0,0,0,7,0,0,5,13,10,3,3,0,0,34,0,0,3,21,15,11,6,5,0,60,0,38,10,49,11,13,10,0,0,140,0,6,16,29,29,59,139,83,13,363,0,3,0,39,4,4,4,0,0,64,3,14,44,177,50,18,3,0,0,309,0,4,18,54,0,0,0,0,0,78,0,0,0,3,4,4,24,22,3,66,25,208,190,352,134,107,42,4,0,1066,0,0,0,35,20,16,32,3,0,113,6,54,24,234,39,15,8,0,0,384,0,0,0,0,4,0,0,0,0,6,3,69,138,330,169,70,27,7,0,819,0,0,0,13,8,8,14,0,4,49,0,34,37,110,69,47,21,4,0,335,0,0,0,19,9,48,34,21,10,138
UCL212001,0,0,0,4,0,0,0,0,0,4,0,0,0,11,3,9,8,0,0,21,0,0,0,4,4,14,12,9,3,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,0,0,3,9,3,5,19,7,3,47,0,0,0,0,4,0,0,0,0,7,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,3,3,4,6,24,6,3,47,0,12,9,60,35,22,18,9,0,167,0,0,0,3,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,14,7,0,3,0,0,31,0,0,3,0,5,0,0,4,0,11,0,0,0,4,0,3,0,0,0,10,0,0,6,12,11,15,21,12,7,73
UCL212002,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,14,0,0,0,4,0,3,4,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,4,0,0,5,5,0,10,0,0,6,23,8,7,6,6,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,6,20,5,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,0,26
UCL212003,0,0,0,8,9,4,0,0,0,30,0,0,0,5,0,5,3,0,3,18,0,0,0,15,0,13,43,41,41,154,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,16,71,335,72,20,3,0,0,525,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,12,0,0,4,7,0,0,0,0,0,12,0,0,3,24,5,0,0,0,0,32,0,0,0,3,0,6,5,3,0,24,0,14,17,40,26,23,14,9,6,140,0,0,0,0,0,0,0,0,0,5,0,8,8,10,0,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,9,17,76,13,0,0,0,0,117,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,5,5,0,0,16,0,0,0,9,8,11,11,14,0,46
UCL212004,0,0,0,0,0,0,0,0,0,4,0,0,0,5,7,3,4,4,0,33,0,0,0,10,4,5,10,8,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,3,4,0,0,17,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,20,8,3,51,0,0,4,35,21,16,9,3,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,14,15,12,5,57
