UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL221031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,77,178,4,0,7,3,0,4,0,0,0,0,0,0,3,0,3,4,7,7,116,85,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,37,54,13,24,35,0,3,3,150,146,296
UCL221032,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,87,61,150,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,98,69,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,22,33,8,18,28,0,0,0,125,113,238
UCL221033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,52,129,0,4,6,0,0,0,0,0,0,0,0,0,3,0,3,6,13,17,92,69,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,16,5,14,24,0,4,4,105,96,197
UCL221034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,104,268,12,3,17,16,0,16,0,0,0,0,0,4,0,0,0,0,0,0,192,116,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,55,85,28,38,68,0,0,0,253,207,465
UCL221035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,58,139,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,10,15,24,103,77,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,12,23,32,5,0,4,127,106,229
UCL221036,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,132,91,222,0,4,11,9,0,9,0,0,0,0,0,0,0,0,0,6,4,14,148,109,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,72,14,35,54,0,0,3,204,179,384
UCL221037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,73,182,0,7,3,0,0,0,0,0,0,4,4,8,3,0,6,14,22,34,133,109,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,20,28,7,22,23,3,0,3,155,143,300
UCL221038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,95,272,10,4,19,7,0,7,0,0,0,0,0,0,3,0,3,8,3,10,196,104,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,21,45,71,16,39,55,0,3,6,243,190,430
UCL221039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,127,283,5,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,139,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,25,8,20,25,4,0,0,181,172,358
UCL221040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,105,209,11,8,23,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,120,124,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22,9,15,27,0,0,3,138,145,291
UCL221041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,90,230,3,7,12,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,150,98,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,32,11,29,41,0,0,0,175,148,323
UCL221042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,72,169,17,9,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,122,81,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,6,11,17,7,19,25,0,3,3,144,115,255
UCL221043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,57,144,4,5,6,0,0,0,0,0,0,0,0,0,0,0,3,7,10,12,90,73,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,10,26,14,23,38,0,0,3,124,108,231
UCL221044,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,104,99,208,6,8,7,6,0,6,0,0,0,8,8,15,3,4,13,15,24,37,150,144,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,42,70,23,27,54,0,7,7,202,217,424
UCL221045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,90,208,0,7,11,0,0,0,0,0,0,4,0,4,0,0,3,8,0,10,124,103,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,53,94,15,25,38,0,0,0,190,175,367
UCL221046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,229,554,13,7,25,3,0,3,0,0,0,0,0,0,0,0,4,3,3,3,344,241,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,81,25,72,97,6,8,11,402,373,780
