UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL221060,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,18,25,41,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,27,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,47,25,20,47,0,0,0,0,0,0,0,0,0,0,0,0,12,17,34,6,17,23,0,0,0,78,84,161
UCL221061,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,82,73,155,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,7,8,13,99,85,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,37,58,24,18,47,0,0,0,148,135,287
UCL221062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,87,185,16,11,25,0,0,3,0,0,0,0,0,0,0,0,0,4,17,21,123,113,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,27,15,23,37,0,0,0,146,152,301
UCL221063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,60,144,5,9,11,0,0,0,0,0,0,0,0,0,0,0,0,4,17,17,96,81,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,15,21,0,0,0,109,98,209
UCL221064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,108,238,7,3,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,111,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,19,29,49,19,32,46,0,0,0,194,175,372
UCL221065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,33,98,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,69,34,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,41,83,10,12,16,0,0,0,115,91,206
UCL221066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,81,219,4,7,17,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,152,98,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,42,13,12,24,0,0,0,181,136,320
UCL221067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,82,195,8,4,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10,13,125,97,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,6,9,22,4,0,3,144,116,255
UCL221068,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,66,63,128,6,0,5,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,80,67,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,21,28,10,23,37,4,8,9,109,117,220
UCL221069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,87,239,9,12,15,6,0,5,0,0,0,0,0,3,0,0,0,4,6,12,176,102,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,56,90,28,42,71,4,0,0,246,204,447
UCL221070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,98,238,15,4,22,6,0,6,0,0,0,3,0,3,0,0,5,14,10,31,178,123,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,26,39,16,32,41,5,3,4,212,180,389
UCL221071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,98,236,10,10,15,5,0,5,0,0,0,0,0,0,0,0,0,14,9,27,161,125,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,23,16,25,43,0,0,4,192,171,354
UCL221072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,75,166,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,79,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,8,21,26,0,0,0,113,110,224
UCL221073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,76,184,5,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,85,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,29,14,32,44,4,0,4,150,132,277
UCL221074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,63,133,3,3,12,4,0,3,0,0,0,0,0,0,3,0,3,8,6,18,86,78,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,70,129,17,26,42,0,0,0,164,176,337
UCL221075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,174,0,5,8,7,0,7,0,0,0,0,6,0,0,0,0,3,3,8,96,97,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,86,16,33,50,4,4,8,162,176,341
UCL221076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,73,157,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,97,76,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,47,96,21,24,44,0,0,0,165,152,317
UCL221077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,77,144,6,4,10,0,0,0,0,0,0,0,0,3,3,3,5,5,4,14,86,94,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,30,12,14,29,3,4,4,112,135,246
UCL221078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,89,206,3,3,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,120,98,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,37,18,17,32,0,0,0,151,144,293
UCL221079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,58,117,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17,80,70,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22,5,15,24,3,0,4,101,99,198
UCL221080,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,91,45,138,3,3,7,3,0,3,0,0,0,0,0,0,0,0,3,3,3,4,103,55,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,44,14,30,43,0,0,0,142,114,253
UCL221081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,46,122,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,14,21,37,93,73,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,8,9,16,0,0,0,114,91,199
UCL221082,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,163,131,294,10,10,24,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,181,148,322,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,13,0,0,0,0,0,0,0,0,0,0,0,0,39,66,106,25,35,56,0,3,3,247,259,510
UCL221083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,138,260,8,5,15,0,0,0,0,0,0,0,0,0,0,0,0,27,13,37,164,155,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,56,100,28,35,64,0,0,0,236,253,482
UCL221084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,128,282,6,0,11,4,0,4,0,0,0,0,0,0,0,0,0,0,4,8,171,138,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,18,31,17,33,53,0,3,0,205,197,399
UCL222001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,47,107,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,52,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,20,7,8,16,0,0,0,81,71,153
UCL222002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,34,94,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,40,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,67,19,24,43,0,0,3,116,99,218
UCL222003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,51,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,52,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,14,9,16,19,0,0,0,87,73,163
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,0,0,0,11,6,19
UCL222005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,69,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,32,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,4,13,17,0,0,0,59,51,103
UCL222006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,55,121,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,77,59,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,7,11,19,0,0,0,88,85,173
UCL222007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,27,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,17,3,3,8,0,0,0,46,42,93
UCL222008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,35,94,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,41,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,29,53,4,19,25,0,0,0,96,91,186
UCL222009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,34,86,4,6,6,0,0,0,0,0,0,6,0,3,0,0,0,9,3,8,62,39,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,6,13,23,0,0,0,76,65,147
UCL222010,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,75,48,121,4,3,3,4,0,4,0,0,0,0,0,0,4,0,4,0,5,5,80,58,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,23,31,8,15,28,0,0,0,100,97,192
UCL222011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,55,128,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,77,71,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,27,10,12,26,0,0,4,102,98,200
UCL222012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,53,121,5,4,11,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,79,57,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,23,11,15,24,0,0,0,91,91,190
UCL222013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,61,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,33,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,8,9,18,0,0,0,55,45,102
UCL222014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,62,154,4,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,100,64,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,22,12,16,22,0,0,0,118,98,211
UCL222015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,61,140,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,72,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,14,9,11,20,0,0,0,100,89,189
UCL222016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,38,80,5,4,6,4,0,4,0,0,0,0,0,0,0,0,0,5,6,7,56,40,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,4,0,0,0,63,53,111
UCL222017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,37,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,24,26,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,0,0,0,0,0,0,30,27,59
UCL222018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,14,31,29,25,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,10,17,7,4,17,0,0,0,43,43,91
UCL222019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,51,116,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,78,56,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,30,11,13,29,0,0,0,105,83,193
UCL222020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,74,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,36,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,4,3,11,0,0,0,59,51,112
UCL222021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,34,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,32,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,24,8,17,20,0,0,0,74,66,138
UCL222022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,31,69,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,42,37,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,9,7,16,0,0,0,55,49,108
UCL222023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,70,152,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,69,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,33,11,15,30,0,0,0,122,112,231
UCL222024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,4,20,54,60,110,69,66,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,18,30,20,17,30,0,0,0,104,95,202
UCL222025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,51,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,3,4,37,27,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,13,3,6,6,0,0,0,44,47,85
UCL222026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,61,117,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,66,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,25,8,17,20,0,0,0,82,92,170
UCL222027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,45,105,9,3,13,0,0,5,0,0,0,0,0,0,0,0,0,0,3,7,65,59,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24,6,9,7,0,0,0,84,78,164
UCL222028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,116,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,52,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,12,6,6,14,3,4,6,78,71,149
UCL222029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,53,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,8,35,26,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,9,0,0,0,39,31,73
UCL222030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,46,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,21,6,10,16,0,0,0,36,49,91
