UCL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL201001,1790936,1861199,3652138,52088,53673,105759,6724,7123,13849,242773,248406,491172,4332,4632,8960,1777,1886,3661,1739,1854,3595,1215,1261,2481,669,744,1415,962,1025,1981,8,3,10,260204,266927,527132,18325,19549,37880,4585,3759,8343,335204,343911,679110,102972,99099,202071,2229112,2304205,4533320
UCL203001,38907,42656,81558,1463,1569,3033,110,126,241,6012,6528,12540,122,116,235,49,45,97,35,60,97,28,34,60,25,18,45,11,18,28,0,0,0,6391,6941,13332,196,223,424,156,123,278,8212,8856,17068,2739,2804,5542,49851,54314,104167
UCL203002,38413,41523,79939,1310,1446,2750,161,177,346,4676,5318,9996,67,79,147,49,56,102,34,44,75,22,29,55,26,27,46,17,18,29,0,0,0,5055,5756,10807,138,173,307,105,103,206,6607,7466,14074,2627,2829,5455,47647,51822,99466
UCL203003,67894,72360,140253,2471,2541,5011,228,279,504,10094,11048,21140,159,185,346,69,71,144,62,47,112,85,96,186,35,39,71,28,33,59,0,0,0,10768,11796,22565,387,452,838,247,197,441,13868,14993,28863,4405,4500,8903,86166,91850,178014
UCL211001,14411,15348,29752,547,584,1133,475,473,949,1316,1396,2715,197,157,362,39,26,63,32,31,63,12,6,20,33,24,55,26,18,41,0,0,0,2132,2136,4265,68,70,134,48,39,86,2792,2823,5622,1021,969,1996,18220,19144,37370
UCL211002,28847,29656,58503,720,845,1568,100,95,198,4228,4483,8709,68,83,149,30,32,62,13,8,25,19,29,49,13,16,29,0,0,4,0,0,0,4479,4753,9227,238,243,478,81,61,138,5511,5906,11413,2533,2610,5138,36885,38172,75059
UCL212001,8497,9049,17547,526,573,1101,19,16,38,820,827,1648,14,14,35,5,8,13,5,4,8,5,3,8,0,0,5,3,0,3,0,0,0,877,879,1757,30,37,65,16,18,32,1446,1510,2960,423,459,884,10369,11018,21386
UCL212002,5155,5669,10826,353,404,758,104,110,218,380,417,800,9,16,29,8,11,14,4,4,5,3,5,8,5,8,11,0,4,3,0,0,0,518,577,1097,16,27,40,20,20,38,907,1026,1937,407,432,843,6473,7129,13604
UCL212003,13086,14367,27455,721,750,1471,187,226,415,1235,1295,2534,49,53,104,83,80,164,17,21,33,0,9,11,7,10,25,6,8,13,0,0,0,1588,1693,3285,72,71,146,56,48,104,2439,2571,5009,1394,1394,2786,16926,18328,35253
UCL212004,8402,9222,17624,533,593,1126,23,21,42,849,934,1790,18,16,34,0,9,12,3,9,16,3,9,9,5,8,12,0,3,4,0,0,0,911,1002,1910,37,41,84,10,14,26,1495,1648,3146,495,563,1056,10396,11429,21829
UCL212005,19165,19944,39106,816,954,1767,111,146,256,1813,1992,3803,47,53,99,13,14,32,14,14,27,17,16,30,17,15,32,6,9,16,0,0,0,2039,2254,4296,119,156,280,60,52,112,3036,3419,6453,1837,1861,3702,24040,25221,49259
UCL212006,15561,16351,31910,397,433,828,29,28,57,1481,1609,3091,11,20,34,3,3,6,4,6,14,4,6,12,5,8,12,4,5,5,0,0,0,1551,1692,3238,53,52,112,20,32,56,2023,2202,4230,677,717,1395,18262,19271,37539
UCL212007,8758,9118,17867,751,752,1503,29,29,60,955,1046,2005,22,26,47,8,9,17,9,7,20,4,10,13,4,11,10,3,3,5,0,0,0,1039,1131,2172,57,60,117,23,31,50,1872,1981,3847,488,476,967,11115,11571,22688
UCL212008,10515,11242,21761,510,619,1130,33,34,66,1056,1202,2257,34,38,65,3,4,8,4,8,11,3,4,11,6,7,14,6,5,12,0,0,0,1139,1310,2450,59,56,113,31,36,70,1743,2020,3761,857,933,1798,13118,14195,27317
UCL212009,12682,13805,26483,645,721,1371,28,40,74,1079,1217,2296,55,50,111,21,17,40,15,10,23,6,12,14,3,4,12,4,0,4,0,0,0,1215,1356,2572,54,57,112,39,28,68,1955,2168,4123,941,994,1932,15580,16958,32539
UCL213001,5076,5647,10724,361,401,761,25,28,55,368,444,813,22,33,61,0,7,4,3,5,16,5,4,7,9,4,12,0,0,0,0,0,0,448,526,966,22,15,40,24,9,32,850,945,1795,495,578,1065,6420,7170,13586
UCL213002,3708,4208,7919,238,252,489,9,12,24,308,351,659,0,3,8,0,3,5,0,4,8,0,0,0,0,4,0,5,3,5,0,0,0,325,385,708,17,18,35,5,6,13,584,662,1243,872,458,1334,5165,5332,10492
UCL213003,4895,5194,10090,375,391,766,17,20,31,261,249,506,8,7,20,3,7,13,0,0,0,9,0,7,0,0,6,0,0,0,0,0,0,293,287,583,40,23,63,16,13,21,727,710,1433,364,346,708,5979,6254,12234
UCL213004,5531,6049,11578,284,362,650,6,10,22,728,777,1500,8,14,23,6,10,11,6,0,9,0,5,5,0,0,0,0,0,0,0,0,0,756,814,1572,13,23,35,17,13,25,1070,1213,2277,327,369,698,6926,7624,14553
UCL213005,6379,6774,13152,313,364,680,18,15,33,692,780,1471,14,19,37,5,7,11,5,3,4,13,3,14,0,5,10,7,3,11,0,0,0,742,835,1580,15,22,40,8,5,15,1092,1230,2317,255,293,546,7718,8298,16018
UCL213006,4539,4737,9280,165,200,369,11,10,22,385,398,774,10,11,26,3,5,5,4,4,4,0,4,4,0,0,0,6,3,4,0,0,0,413,430,843,15,22,37,9,6,14,605,662,1261,152,188,338,5298,5582,10881
UCL213007,6356,6753,13109,571,643,1213,12,15,25,327,393,718,4,7,12,16,18,28,5,5,12,4,4,10,0,0,4,0,0,0,0,0,0,372,440,819,27,18,44,15,10,26,986,1116,2101,455,470,926,7800,8342,16138
UCL213008,6410,6614,13017,291,362,651,7,9,15,629,671,1297,14,7,25,0,0,3,0,3,3,5,4,7,0,3,0,0,0,0,0,0,0,653,705,1357,26,21,47,15,9,20,979,1096,2076,237,233,472,7622,7938,15564
UCL213009,5042,5346,10390,135,176,314,11,7,23,423,444,872,10,9,18,5,3,8,0,0,0,3,0,10,0,0,0,0,5,8,0,0,0,456,483,932,18,25,38,19,8,24,618,687,1306,220,266,487,5883,6305,12182
UCL213010,6038,6401,12440,333,429,761,8,11,22,409,429,839,19,15,32,0,0,0,4,0,8,3,0,3,0,0,6,0,0,0,0,0,0,445,459,910,24,18,44,38,40,79,850,945,1792,692,694,1381,7577,8041,15619
UCL213011,5257,5447,10696,294,278,570,9,12,25,430,439,869,12,7,16,3,10,15,0,3,10,0,4,4,7,4,10,0,0,0,0,0,0,464,476,941,8,17,31,25,11,34,798,786,1581,830,805,1630,6874,7035,13912
UCL213012,4071,4223,8291,339,367,706,13,6,18,237,267,505,14,21,39,16,14,30,7,6,16,4,0,3,7,7,11,4,0,0,0,0,0,292,330,617,13,8,19,15,6,20,657,707,1368,355,349,704,5085,5282,10367
UCL213013,5087,5630,10720,483,558,1042,55,55,113,449,474,924,42,34,74,19,13,31,15,12,26,5,6,14,0,4,10,19,11,31,0,0,0,612,608,1218,25,36,64,12,10,22,1137,1210,2343,439,427,869,6662,7266,13926
UCL213014,4110,4485,8594,330,406,739,40,33,76,195,235,428,14,10,22,6,3,14,0,4,4,0,0,4,3,3,12,0,4,4,0,0,0,258,303,559,25,21,50,4,18,26,621,743,1365,354,408,758,5085,5633,10717
UCL213015,5799,5767,11567,308,299,604,18,11,31,754,760,1515,20,16,35,3,0,9,0,6,3,0,0,0,0,0,5,0,0,0,0,0,5,804,798,1606,23,22,48,22,12,34,1158,1134,2291,321,301,619,7275,7200,14480
UCL213016,7504,8351,15853,556,624,1175,40,61,100,488,544,1028,31,35,65,4,9,12,5,7,14,0,4,6,9,9,21,0,0,4,0,0,0,587,661,1246,19,24,43,18,26,46,1177,1336,2509,529,613,1140,9206,10296,19504
UCL213017,7095,7769,14867,471,562,1036,27,23,47,833,964,1803,25,30,59,0,8,6,11,11,20,5,5,10,0,0,0,0,0,0,0,0,0,908,1044,1949,21,34,57,20,14,29,1420,1649,3069,435,505,941,8952,9927,18879
UCL213018,3269,3521,6788,221,227,452,70,62,134,255,253,513,7,5,16,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,345,332,677,9,5,9,11,8,20,584,574,1158,262,287,552,4114,4384,8495
UCL214001,2707,2848,5551,244,251,499,4,15,19,150,181,330,9,15,21,0,3,8,3,0,6,0,4,6,3,3,10,0,0,0,0,0,0,178,224,402,20,30,46,11,9,17,449,511,963,203,220,425,3363,3577,6942
UCL214002,2580,2584,5169,106,113,219,4,3,4,225,222,443,0,0,3,0,0,0,3,4,7,4,3,4,0,0,0,0,0,0,0,0,0,232,227,458,5,9,8,4,0,7,342,353,696,106,101,209,3024,3039,6067
UCL214003,3587,4048,7638,250,291,539,22,14,41,229,254,484,4,14,19,8,6,14,0,6,9,3,0,4,0,6,7,0,0,0,0,0,0,275,302,571,4,5,10,9,12,28,537,612,1145,424,444,870,4555,5101,9655
UCL214004,2106,2120,4224,161,164,319,53,59,114,121,113,238,4,3,10,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,184,177,367,5,4,16,13,12,20,366,356,722,202,195,401,2669,2674,5340
UCL214005,424,426,847,7,14,19,13,9,17,14,16,24,0,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,51,0,0,6,0,0,0,35,40,76,39,33,74,495,502,997
UCL214006,2365,2642,5010,237,275,514,12,9,17,276,325,604,3,5,6,0,0,4,0,0,6,0,4,4,0,0,4,0,0,5,0,0,0,295,344,641,10,13,25,11,12,23,557,647,1200,247,288,530,3163,3577,6737
UCL214007,1939,1960,3899,44,55,102,4,6,9,309,328,643,6,0,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,351,672,18,7,21,6,0,5,386,417,804,116,99,213,2437,2470,4914
UCL214008,3616,3921,7538,325,408,731,7,6,21,221,249,472,14,9,23,21,19,38,4,0,12,0,0,0,6,7,11,0,0,0,0,0,0,269,298,566,11,7,27,12,8,22,619,730,1349,262,315,578,4495,4967,9463
UCL214009,3524,3853,7379,140,157,299,8,7,12,209,203,412,0,0,0,6,0,6,0,6,6,0,0,0,0,0,0,0,4,4,0,0,0,214,218,442,7,5,16,12,5,17,381,390,771,214,235,448,4116,4478,8595
UCL214010,2272,2524,4798,149,151,305,4,3,11,261,278,537,0,6,8,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,271,294,567,12,12,20,6,0,8,439,459,899,149,143,288,2857,3129,5987
UCL214011,3449,3614,7063,175,208,384,9,12,19,305,346,647,6,10,10,0,0,0,8,4,7,7,0,5,0,0,0,4,3,8,0,0,0,332,367,698,10,8,25,8,12,19,522,599,1120,223,260,484,4189,4480,8664
UCL214012,2333,2496,4826,175,175,355,13,20,29,120,139,258,7,4,6,0,0,0,0,0,8,6,3,7,4,3,3,0,0,0,0,0,0,147,162,307,7,3,9,3,4,4,337,349,682,208,230,434,2872,3073,5945
UCL214013,1982,2207,4190,113,133,250,6,10,15,187,178,365,0,0,0,5,0,5,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,207,189,400,8,13,19,0,0,4,335,343,673,113,131,244,2428,2680,5113
UCL214014,2416,2520,4938,159,177,333,22,21,40,190,183,373,4,8,13,0,0,0,3,3,8,0,4,5,3,5,11,0,3,4,0,0,0,227,219,444,8,9,13,7,6,14,400,404,810,372,359,735,3196,3291,6483
UCL214015,2132,2372,4506,132,165,298,0,0,4,182,195,374,3,9,12,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,193,207,403,7,8,22,0,0,0,343,382,722,169,156,327,2638,2917,5552
UCL214016,3031,3312,6344,142,170,313,3,5,7,207,231,439,12,7,20,0,0,0,0,0,0,0,3,4,0,3,6,0,3,3,0,0,0,225,255,479,3,5,3,11,5,12,377,430,808,261,279,547,3679,4021,7698
UCL214017,1893,2181,4072,110,109,220,4,4,12,233,273,505,6,6,14,0,0,6,3,0,5,5,0,4,8,3,3,0,0,6,0,0,0,255,299,557,4,5,15,3,3,4,376,421,799,181,177,359,2452,2774,5224
UCL214018,3258,3433,6693,174,217,393,20,13,37,489,552,1043,10,7,16,11,3,13,0,4,7,4,3,6,3,7,8,0,0,0,0,0,0,532,592,1126,10,16,23,10,5,9,731,825,1553,367,381,749,4350,4640,8997
UCL214019,2296,2420,4718,109,135,245,23,11,34,145,156,302,6,7,11,0,4,4,50,0,47,4,0,6,0,3,3,0,0,0,0,0,0,221,189,411,0,11,16,5,5,11,343,339,681,301,268,565,2948,3023,5966
UCL214020,2187,2264,4455,153,164,317,0,7,6,106,103,209,4,4,7,0,0,5,0,4,4,3,0,4,0,0,0,0,0,0,0,0,0,117,123,238,21,6,23,5,0,6,290,295,587,265,265,530,2744,2820,5567
UCL214021,2213,2374,4579,78,87,166,0,0,0,202,219,420,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,223,429,10,4,12,6,5,8,296,320,621,105,126,230,2615,2823,5437
UCL214022,3215,3534,6747,266,275,536,5,5,11,187,208,396,9,7,12,0,3,0,4,8,11,5,0,5,0,0,0,4,3,3,0,0,0,213,236,447,3,9,9,13,5,14,490,516,1003,271,337,606,3971,4381,8357
UCL215001,544,584,1123,15,18,33,0,0,0,62,57,118,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,58,124,0,0,4,4,3,3,84,82,167,54,48,101,684,709,1393
UCL215002,984,1061,2045,56,73,124,3,4,5,60,48,109,0,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,74,60,133,0,0,0,0,3,5,129,133,267,68,71,143,1186,1266,2456
UCL215003,1226,1251,2477,49,75,125,3,0,4,158,169,325,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,166,175,345,9,3,12,0,3,3,222,264,481,98,93,190,1545,1609,3154
UCL215004,520,547,1067,57,57,113,10,3,9,51,39,88,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,62,45,109,0,3,5,0,0,0,126,111,231,97,87,179,744,739,1482
UCL215005,463,461,924,11,17,28,0,0,0,27,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,63,0,0,0,3,0,3,41,51,91,51,48,101,562,556,1115
UCL215006,1003,1100,2106,47,53,100,5,4,10,113,122,234,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,118,134,251,0,3,3,0,0,5,165,194,361,46,63,111,1214,1358,2570
UCL215007,1008,1100,2109,16,23,41,3,0,3,95,81,174,0,0,0,0,0,0,3,0,3,0,0,0,5,0,7,0,0,0,0,0,0,100,89,189,9,7,12,0,0,0,124,122,245,77,72,153,1213,1293,2504
UCL215008,801,833,1636,21,22,45,23,17,42,55,58,112,10,9,13,0,0,0,0,0,0,0,0,0,3,9,7,0,0,0,0,0,0,96,90,190,0,4,9,4,3,12,128,125,248,19,19,37,951,972,1921
UCL215009,393,359,754,11,8,25,9,7,13,19,24,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,57,0,0,0,0,0,0,41,47,88,46,38,87,480,447,930
UCL215010,1010,941,1955,8,14,26,6,0,0,68,72,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,148,0,0,0,0,0,0,83,87,173,64,62,129,1163,1091,2252
UCL215011,440,469,903,18,14,29,3,0,3,40,46,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,43,92,0,0,0,3,0,3,68,63,130,65,57,123,567,588,1156
UCL215012,1222,1389,2609,105,124,226,24,28,53,85,118,204,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,9,9,0,0,0,116,155,272,0,5,9,0,0,0,230,285,510,73,79,151,1520,1754,3273
UCL215013,1651,1610,3261,44,35,79,9,6,22,250,254,501,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,267,268,536,10,6,21,0,0,0,327,316,643,82,69,150,2058,1998,4058
