UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL201001,..,2051,88495,201098,172877,146377,114067,65459,17585,808014,..,11198,76552,42699,27589,17321,7810,2508,391,186073,..,301,1544,5610,10652,8477,3732,2067,1458,33848,402421,..,..,..,..,..,..,..,..,402421,..,126143,..,..,..,..,..,..,..,126143,..,73140,61477,18505,12479,5477,846,19,0,171941,..,12795,15212,5249,4441,5273,4244,2346,1266,50835,..,7553,13376,4268,2618,1868,807,255,65,30801,..,25408,49562,12404,7070,6022,3953,1545,307,106267,..,8171,33852,30000,29543,30368,24825,15362,7694,179808,3556,4902,6320,3890,3096,2473,1746,867,280,27133,405978,271657,346401,323715,270357,223651,162038,90432,29054,2123284,..,5360,125995,208502,172390,139445,104148,48263,7875,811973,..,16317,80396,39295,25538,14370,6014,1468,194,183592,..,1862,13625,32624,45694,27188,11850,8670,5734,147249,380844,..,..,..,..,..,..,..,..,380844,..,130033,..,..,..,..,..,..,..,130033,..,50733,42475,9867,6941,4071,924,50,0,115056,..,11144,10430,3361,4057,10053,11468,7828,4614,62948,..,6469,8564,2180,1309,974,495,164,66,20213
UCL203001,..,49,1625,3164,3069,3075,2952,1701,405,16043,..,583,1948,939,730,503,233,100,8,5056,..,15,117,197,303,184,86,45,22,974,9328,..,..,..,..,..,..,..,..,9328,..,2089,..,..,..,..,..,..,..,2089,..,1842,906,352,240,114,14,0,0,3461,..,247,211,76,77,106,78,27,17,850,..,200,230,66,42,28,17,3,0,594,..,641,794,206,188,176,124,50,14,2199,..,205,876,675,820,999,919,554,225,5278,114,154,179,91,73,62,56,20,10,750,9446,6029,6891,5767,5548,5250,4474,2505,709,46622,..,111,2096,3485,3121,3064,2830,1326,218,16258,..,790,1977,901,690,439,182,62,5,5040,..,148,758,1167,1290,601,264,169,134,4536,8954,..,..,..,..,..,..,..,..,8954,..,2240,..,..,..,..,..,..,..,2240,..,1184,508,159,132,76,26,0,0,2086,..,181,143,44,67,153,197,120,53,958,..,190,107,35,16,18,13,5,7,390
UCL203002,..,57,1599,3013,2911,2941,3018,1773,460,15777,..,491,1810,879,661,466,233,80,10,4626,..,12,89,194,277,170,81,39,41,909,9148,..,..,..,..,..,..,..,..,9148,..,2018,..,..,..,..,..,..,..,2018,..,1912,888,374,219,123,22,0,0,3538,..,245,212,75,83,109,91,45,20,874,..,145,195,62,59,38,15,3,0,527,..,450,581,177,151,151,112,53,12,1680,..,183,669,599,793,1002,913,515,227,4902,101,150,140,106,62,72,74,26,9,743,9248,5666,6181,5485,5213,5069,4558,2537,784,44740,..,99,2136,3267,2954,3117,2802,1401,245,16015,..,728,1893,852,657,379,176,47,8,4734,..,114,765,1100,1161,590,278,171,123,4313,8660,..,..,..,..,..,..,..,..,8660,..,2184,..,..,..,..,..,..,..,2184,..,1178,487,171,113,90,22,0,0,2067,..,246,137,44,72,161,187,121,65,1038,..,171,131,50,28,17,11,9,3,418
UCL203003,..,83,3273,6026,5526,5212,4804,2841,746,28519,..,767,3519,1697,1150,710,349,130,10,8334,..,19,104,271,491,335,132,77,52,1485,15334,..,..,..,..,..,..,..,..,15334,..,3851,..,..,..,..,..,..,..,3851,..,3101,1765,695,481,214,44,0,0,6302,..,400,410,132,139,181,125,61,35,1479,..,330,552,104,73,39,22,11,0,1123,..,1499,2113,393,263,258,182,55,13,4768,..,302,1215,1100,1467,1727,1415,803,433,8464,161,328,320,158,130,97,75,33,15,1311,15493,10687,13271,10573,9729,8766,7147,4004,1308,80977,..,174,4346,6356,5582,5349,4469,2201,364,28843,..,1091,3685,1582,1114,640,287,79,4,8491,..,173,924,1661,2027,1058,479,316,214,6851,14550,..,..,..,..,..,..,..,..,14550,..,3991,..,..,..,..,..,..,..,3991,..,2029,1147,320,190,147,26,0,0,3861,..,397,314,104,145,302,303,201,112,1879,..,302,297,66,36,22,12,3,0,739
UCL211001,..,24,653,1113,1124,1155,1120,574,133,5888,..,216,672,328,280,174,83,35,3,1775,..,6,39,102,126,70,40,18,6,403,3519,..,..,..,..,..,..,..,..,3519,..,750,..,..,..,..,..,..,..,750,..,746,319,124,102,44,4,0,0,1334,..,105,93,31,24,35,27,17,11,328,..,67,82,36,21,9,3,0,0,215,..,124,161,47,63,69,55,9,3,529,..,82,294,253,308,384,335,174,68,1901,43,58,52,66,32,25,34,9,6,320,3556,2176,2371,2089,2071,1949,1694,832,226,16963,..,39,842,1234,1155,1199,1028,443,52,5996,..,282,691,356,235,172,58,31,6,1823,..,52,346,471,428,178,87,90,37,1699,3526,..,..,..,..,..,..,..,..,3526,..,776,..,..,..,..,..,..,..,776,..,449,157,56,35,30,7,0,0,737,..,75,43,21,27,84,76,38,24,388,..,66,36,9,8,4,3,0,0,133
UCL211002,..,53,2040,3593,2166,1764,1537,617,82,11860,..,281,1200,707,439,212,101,32,0,2976,..,12,83,151,209,124,65,40,13,697,9045,..,..,..,..,..,..,..,..,9045,..,1641,..,..,..,..,..,..,..,1641,..,1563,967,336,185,57,7,0,0,3116,..,306,418,161,108,108,103,52,20,1268,..,134,189,96,70,39,20,9,0,560,..,136,268,148,94,101,81,32,3,863,..,94,464,443,470,438,411,166,45,2532,97,77,109,71,55,33,25,15,8,483,9143,4302,5736,5709,3802,2870,2353,965,175,35047,..,135,3053,3377,1945,1675,1355,369,38,11944,..,402,1268,696,390,185,82,14,0,3037,..,147,763,923,840,434,229,130,37,3503,8880,..,..,..,..,..,..,..,..,8880,..,1795,..,..,..,..,..,..,..,1795,..,997,556,171,80,49,9,0,0,1860,..,252,192,61,95,218,215,108,42,1192,..,124,119,39,31,16,10,4,0,348
UCL212001,..,5,470,855,718,624,635,292,60,3665,..,69,460,254,195,97,47,10,4,1126,..,0,9,52,64,47,18,3,3,195,2269,..,..,..,..,..,..,..,..,2269,..,447,..,..,..,..,..,..,..,447,..,448,257,75,40,22,0,0,0,838,..,49,62,18,26,20,22,17,0,214,..,40,40,16,10,16,11,3,0,127,..,38,55,24,25,18,25,7,5,195,..,29,120,115,139,160,140,85,14,804,17,24,25,25,16,8,9,10,0,133,2289,1151,1496,1428,1233,1010,902,420,93,10016,..,12,609,860,740,666,583,215,25,3714,..,137,484,237,171,105,27,7,0,1164,..,9,135,252,238,125,46,31,21,860,2058,..,..,..,..,..,..,..,..,2058,..,523,..,..,..,..,..,..,..,523,..,285,166,34,11,14,0,0,0,511,..,43,33,3,20,46,68,28,10,250,..,32,30,5,0,9,5,0,0,79
UCL212002,..,11,170,311,379,474,461,307,75,2186,..,65,221,98,105,96,52,25,3,667,..,0,12,26,37,25,10,4,10,118,1071,..,..,..,..,..,..,..,..,1071,..,242,..,..,..,..,..,..,..,242,..,249,127,43,41,15,5,0,0,482,..,37,16,6,12,12,22,12,0,115,..,19,24,10,9,9,5,0,0,72,..,35,55,23,15,19,24,10,0,180,..,32,73,72,107,140,144,99,50,713,20,23,14,13,24,11,13,3,0,117,1086,709,711,599,724,796,732,461,142,5962,..,11,237,344,417,494,438,245,40,2230,..,107,209,116,81,88,60,11,4,671,..,24,102,140,167,69,30,30,22,581,1048,..,..,..,..,..,..,..,..,1048,..,264,..,..,..,..,..,..,..,264,..,156,65,12,20,16,8,0,0,278,..,24,12,6,20,14,35,12,8,121,..,28,15,0,3,0,0,0,0,50
UCL212003,..,21,610,896,929,1030,1010,626,171,5296,..,162,574,282,209,165,107,29,8,1542,..,6,24,75,100,64,30,11,9,313,3012,..,..,..,..,..,..,..,..,3012,..,611,..,..,..,..,..,..,..,611,..,698,356,123,94,36,8,0,0,1315,..,127,96,27,30,44,23,12,9,362,..,72,111,51,26,19,5,0,0,289,..,150,276,119,84,72,55,18,0,778,..,69,249,206,279,371,317,219,96,1801,38,44,57,37,35,29,35,13,0,290,3053,1954,2350,1812,1790,1824,1585,935,294,15602,..,54,774,1017,983,1026,976,477,85,5383,..,249,583,276,219,171,74,24,3,1591,..,51,325,430,438,207,78,84,36,1652,2931,..,..,..,..,..,..,..,..,2931,..,649,..,..,..,..,..,..,..,649,..,443,165,40,39,42,9,0,0,726,..,107,53,19,43,68,72,49,12,437,..,63,79,22,12,7,4,0,0,188
UCL212004,..,0,232,889,896,851,950,401,96,4332,..,26,243,233,159,116,78,21,3,884,..,3,0,27,56,41,14,5,3,155,2116,..,..,..,..,..,..,..,..,2116,..,526,..,..,..,..,..,..,..,526,..,315,171,44,20,10,4,0,0,559,..,11,9,4,10,11,14,3,5,73,..,11,14,4,5,0,9,0,0,46,..,32,63,28,19,18,16,3,5,175,..,16,44,63,102,135,133,96,46,628,25,21,30,21,15,24,23,11,3,172,2142,970,805,1319,1283,1200,1236,545,163,9662,..,4,347,962,942,864,890,326,52,4388,..,43,263,252,169,148,64,22,0,955,..,0,47,131,237,107,27,12,20,577,2064,..,..,..,..,..,..,..,..,2064,..,524,..,..,..,..,..,..,..,524,..,215,99,26,22,6,5,0,0,375,..,15,8,8,8,18,17,15,15,104,..,14,10,0,4,4,3,0,0,38
