UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL214022,57,62,115,204,194,394,83,59,141,17,8,21,295,263,555,188,182,369,13,14,24,20,17,37,221,211,432,12,8,16,8,17,22,27,14,39,23,46,67,0,0,0,64,89,152,5,48,58,11,24,40,3,8,12,13,34,52,0,0,0,37,112,153,102,207,312,13,9,12,20,23,43,0,0,0,27,32,64,270,325,594,976,1095,2071
UCL215001,9,11,20,26,35,66,0,0,0,3,0,0,30,37,62,10,16,28,11,8,20,12,12,25,38,33,69,0,0,0,0,0,0,3,0,3,6,12,15,0,0,0,14,12,25,13,8,23,0,6,4,4,0,3,3,8,17,0,0,0,21,26,43,35,34,67,0,0,0,4,0,3,0,0,0,4,0,3,47,49,97,156,171,328
UCL215002,27,17,44,47,45,88,33,34,62,0,0,0,73,78,158,68,58,119,3,0,4,8,5,10,71,61,135,3,0,4,0,0,4,10,6,16,4,24,27,0,0,0,20,34,52,0,7,8,0,7,8,0,0,4,6,13,17,0,0,0,9,22,40,28,59,90,0,0,0,7,9,13,0,0,0,7,9,13,70,75,149,281,305,587
UCL215003,41,17,58,94,78,172,0,3,5,3,4,8,99,89,183,39,26,73,16,18,31,25,24,47,81,65,150,0,0,0,0,9,8,12,3,17,11,15,25,0,0,0,29,20,49,15,33,48,11,12,22,0,5,11,8,32,39,0,0,0,38,84,121,72,103,170,0,0,0,0,13,12,0,0,0,3,13,14,98,93,194,388,380,767
UCL215004,20,4,22,49,29,79,0,0,0,0,0,0,49,29,79,34,36,65,0,5,5,0,0,0,34,41,74,0,0,0,5,0,6,0,0,0,3,4,10,0,0,0,7,8,18,0,4,7,4,3,4,0,0,0,4,6,12,0,0,0,10,11,21,15,17,33,0,0,0,4,0,4,0,0,0,7,5,9,94,85,178,213,189,398
UCL215005,6,14,18,33,34,70,6,0,5,0,0,0,39,39,76,15,9,25,3,7,10,9,13,20,33,23,58,0,0,0,0,0,0,3,3,7,0,5,3,0,0,0,5,10,11,0,5,5,0,9,4,0,0,0,4,0,7,0,0,0,4,13,19,11,23,28,0,3,3,0,0,5,0,0,0,0,3,5,49,46,90,142,148,281
UCL215006,27,41,67,89,93,180,26,27,47,5,7,4,116,122,234,36,42,79,18,20,35,4,11,17,62,71,127,0,0,0,4,10,14,10,3,11,3,20,21,0,0,0,18,32,48,7,10,15,5,14,15,0,0,3,4,30,38,0,0,0,14,59,72,38,87,122,0,0,0,12,9,17,0,0,0,11,7,20,51,61,110,302,383,688
UCL215007,45,28,73,98,105,205,5,8,9,17,10,25,120,119,234,27,35,61,18,21,42,21,22,34,63,77,139,8,4,9,0,4,4,6,4,12,0,10,12,0,0,0,16,20,31,15,11,24,0,7,13,4,5,8,10,19,26,0,0,0,28,41,67,44,61,106,0,3,3,5,8,9,0,0,0,5,10,9,85,67,156,358,358,721
UCL215008,31,27,62,67,64,131,38,45,80,13,15,29,121,123,239,37,37,73,36,33,68,18,33,50,85,102,189,5,3,13,5,6,3,16,9,21,8,17,21,0,0,0,32,29,67,0,3,3,8,5,11,0,0,0,4,21,25,0,0,0,14,29,42,44,61,106,4,0,0,7,5,11,0,0,0,9,3,13,20,19,40,311,342,654
UCL215009,5,11,17,36,26,59,0,0,3,0,0,0,38,29,62,19,14,37,6,0,8,0,0,0,20,18,41,0,4,4,0,4,4,0,0,0,6,0,3,0,0,0,6,7,4,0,4,3,0,0,0,0,0,0,0,4,4,0,0,0,3,11,11,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,40,32,77,115,105,213
UCL215010,31,24,56,99,64,167,13,13,22,27,21,43,138,90,228,49,39,84,31,27,51,33,45,77,113,100,217,5,3,3,0,0,0,15,8,24,8,4,16,0,0,0,31,18,46,24,26,50,4,5,11,8,0,6,8,14,21,3,0,0,38,60,97,71,75,144,0,0,3,5,5,9,0,0,0,3,7,11,65,62,130,423,362,782
UCL215011,12,8,22,28,34,68,0,0,0,3,3,4,32,37,69,21,15,36,6,3,7,0,0,0,26,16,42,0,0,0,0,0,0,4,5,8,3,8,5,0,0,0,10,14,21,0,3,3,0,3,5,0,0,0,0,7,12,0,0,0,4,14,18,13,26,40,0,0,0,0,4,4,0,0,0,0,4,4,53,54,107,144,142,286
UCL215012,35,32,65,58,66,123,29,48,73,41,23,63,133,135,263,44,45,88,32,38,75,19,29,47,93,111,209,3,0,7,3,4,4,11,12,23,17,22,35,0,0,0,38,33,71,5,11,12,8,3,10,0,6,6,13,46,55,0,0,0,24,61,78,55,95,149,3,5,4,0,12,14,0,0,0,3,13,22,69,76,144,390,466,854
UCL215013,101,78,178,187,166,353,35,52,88,29,17,46,256,234,489,84,81,165,31,36,69,26,26,44,138,140,282,11,3,15,0,17,20,22,4,26,17,20,34,0,0,0,49,47,96,28,32,57,13,20,30,0,0,0,12,39,55,0,0,0,51,93,148,102,145,242,9,13,15,17,22,35,0,0,0,26,33,53,97,68,169,715,698,1414
UCL215014,19,15,32,57,40,103,0,3,3,0,0,4,62,47,112,31,39,66,0,5,8,0,4,5,35,44,80,4,0,5,0,3,5,11,4,17,4,11,17,0,0,0,22,21,38,0,3,7,0,6,6,0,0,0,4,4,11,0,0,0,0,13,16,23,35,56,0,0,0,3,0,8,0,0,0,5,0,6,20,26,44,159,170,331
UCL215015,15,17,34,90,84,174,0,0,0,0,0,0,94,83,182,63,48,106,5,4,7,17,5,25,77,61,137,3,5,14,5,6,5,5,9,16,11,18,27,0,0,0,25,30,60,3,12,17,0,9,8,0,0,5,3,21,22,0,0,0,15,46,57,36,75,116,0,0,0,0,8,7,0,0,0,0,13,12,108,118,221,331,365,692
UCL215016,57,44,96,164,145,309,25,35,63,0,0,0,197,176,375,87,101,194,15,15,33,3,8,10,114,129,240,6,5,17,5,9,11,16,13,31,12,43,55,0,0,0,42,69,112,11,18,31,5,17,23,0,5,8,8,22,30,0,0,0,29,60,94,75,134,210,0,6,7,13,14,26,0,0,0,17,24,41,104,120,224,550,627,1177
UCL215017,44,22,69,64,56,117,59,47,110,6,6,19,135,115,246,64,51,118,27,37,63,13,18,30,104,109,212,3,4,9,3,4,3,22,6,31,4,22,23,0,0,0,27,37,72,9,21,25,3,5,4,0,3,6,3,16,12,0,0,0,11,40,54,45,83,127,0,3,3,0,0,6,0,0,0,0,4,11,84,86,176,416,419,840
UCL215018,21,29,47,52,47,98,48,48,99,0,4,4,100,100,199,59,46,97,23,38,67,5,0,4,85,82,165,0,0,5,0,4,9,12,3,16,7,10,13,0,0,0,22,18,45,0,3,7,3,6,9,5,4,3,8,13,23,0,0,0,19,25,47,42,46,91,0,0,0,0,0,4,0,0,0,3,4,4,87,82,162,343,336,672
UCL215019,28,25,60,60,50,119,3,4,8,37,21,54,95,76,178,27,44,75,0,5,5,33,27,55,64,72,135,0,4,4,4,4,7,7,11,19,4,12,19,0,0,0,23,29,44,8,14,21,3,5,4,5,0,3,4,22,26,0,0,0,17,44,64,37,67,106,0,0,0,0,6,4,0,0,0,0,9,5,132,147,281,356,407,767
UCL215020,12,9,25,28,23,45,12,12,14,3,0,3,36,32,66,23,23,45,0,5,9,3,3,9,26,39,64,0,0,3,0,0,0,0,4,4,0,6,8,0,0,0,3,11,18,6,3,4,0,3,3,0,0,0,0,5,5,0,0,0,6,9,17,11,18,30,0,0,0,0,0,0,0,0,0,0,0,0,29,43,75,119,146,260
UCL215021,6,10,13,22,24,49,13,13,27,0,0,0,38,35,78,18,22,49,10,15,25,0,4,10,36,47,80,0,3,6,0,0,0,8,9,15,4,7,12,0,0,0,13,26,38,3,8,14,0,0,0,0,0,0,3,7,11,0,0,0,7,24,27,15,45,64,0,0,0,4,7,9,0,0,0,3,7,12,49,47,93,142,191,337
UCL215022,45,36,81,144,154,304,47,27,72,0,0,4,195,187,377,132,99,232,8,14,21,3,6,13,143,117,261,5,5,4,4,13,22,15,17,33,13,30,45,0,0,0,38,64,101,16,36,51,25,28,55,9,5,12,10,23,37,0,0,0,62,94,152,96,157,258,5,5,11,10,14,28,0,0,0,15,24,40,195,216,416,694,736,1430
UCL215023,12,12,17,42,46,84,15,8,20,0,0,3,52,53,104,33,23,55,25,16,41,0,0,0,54,44,101,3,0,3,0,3,3,8,3,13,8,5,10,0,0,0,22,9,30,0,3,3,0,0,0,0,5,0,0,3,9,0,0,0,4,15,24,20,26,48,0,6,0,0,0,5,0,0,0,0,7,5,40,38,80,186,171,358
UCL215024,9,14,25,30,38,67,24,26,49,0,0,0,54,67,120,27,39,65,4,0,4,6,0,4,36,45,72,0,0,0,0,0,0,4,4,7,3,9,9,0,0,0,10,10,15,0,4,4,0,3,4,0,0,0,0,9,9,0,0,0,7,16,18,16,24,33,0,0,0,6,0,4,0,0,0,6,0,4,68,75,147,184,216,402
UCL215025,11,6,20,25,34,60,0,0,0,8,0,3,29,36,64,22,16,40,0,0,0,10,5,16,28,22,56,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,7,13,0,0,0,0,4,4,0,0,0,3,6,3,0,0,0,0,11,8,5,18,23,0,0,0,0,4,0,0,0,0,0,4,0,36,35,74,112,118,232
UCL215026,12,13,23,27,31,59,3,0,3,0,0,0,29,31,65,19,15,32,0,0,0,4,0,6,24,18,38,0,4,3,0,0,0,4,0,3,3,4,8,0,0,0,5,14,20,0,0,3,0,3,4,0,0,0,0,5,10,0,0,0,8,8,15,9,26,31,0,0,0,0,0,6,0,0,0,0,0,6,52,42,92,128,128,254
UCL215027,9,10,22,28,31,53,10,7,19,0,0,0,42,38,75,24,33,54,0,0,0,0,0,0,24,33,54,0,0,0,0,0,0,3,5,8,7,6,14,0,0,0,9,12,20,3,3,8,0,4,4,0,0,4,0,4,3,0,0,0,9,15,21,14,25,39,0,0,0,0,4,4,0,0,0,0,4,4,66,55,122,154,159,317
UCL215028,34,25,58,67,50,114,28,35,56,6,3,8,96,86,185,42,38,82,10,17,33,4,11,18,63,68,131,0,0,5,0,0,0,9,3,12,3,11,15,0,0,0,17,20,35,0,9,12,9,13,19,0,0,0,8,19,31,0,0,0,15,48,66,34,63,102,4,0,6,0,4,9,0,0,0,5,9,15,137,155,287,372,402,773
UCL215029,19,19,38,63,88,157,13,4,20,9,11,17,85,104,193,80,54,136,10,9,20,15,16,32,103,82,180,0,3,0,5,8,9,3,3,8,13,20,33,0,0,0,21,38,57,6,11,15,11,17,24,0,0,0,11,36,52,0,0,0,29,66,99,52,99,156,0,6,7,3,14,18,0,0,0,7,19,31,122,158,283,386,490,872
UCL215030,10,9,26,26,28,54,0,0,0,4,4,3,27,30,57,40,30,70,0,0,0,3,0,4,36,36,73,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,4,4,9,3,3,6,0,3,3,0,0,0,3,4,7,0,0,0,6,14,17,11,16,30,0,0,0,0,5,4,0,0,0,0,5,4,41,45,81,125,141,270
UCL215031,8,12,23,26,31,57,14,13,26,0,0,0,40,39,80,40,31,71,0,0,0,0,0,0,40,31,71,3,4,0,0,0,3,0,5,9,0,5,4,0,0,0,6,11,14,0,4,6,0,0,0,0,0,0,3,5,9,0,0,0,3,9,17,14,18,34,0,0,5,0,3,12,0,0,0,3,11,11,72,66,138,182,174,355
UCL215032,34,15,52,45,52,94,38,55,92,0,3,3,82,106,185,61,56,122,8,22,32,6,3,17,80,83,164,4,0,4,0,9,13,13,4,19,0,20,24,0,0,0,23,33,57,3,5,17,0,0,0,3,0,6,6,15,21,0,0,0,16,29,43,41,61,101,3,0,7,9,9,11,0,0,0,11,10,15,126,128,252,375,403,772
UCL215033,64,54,114,162,139,297,14,8,21,39,37,76,212,183,396,54,56,111,23,39,60,33,53,84,110,146,256,5,0,5,0,6,3,4,0,5,14,20,34,0,0,0,21,26,44,16,33,45,0,13,10,0,4,4,11,21,35,0,0,0,27,67,94,51,92,143,4,0,6,3,3,3,0,0,0,6,4,14,29,26,50,472,504,973
UCL215034,6,7,11,38,25,68,0,0,0,0,0,0,38,28,65,19,26,46,3,4,4,0,0,0,26,25,50,0,6,3,0,5,5,3,3,6,0,7,8,0,0,0,0,22,20,0,3,6,3,0,8,0,0,0,0,8,13,0,0,0,7,13,15,11,32,42,0,0,6,0,0,8,0,0,0,0,5,7,56,57,118,141,156,291
UCL215035,20,24,42,63,52,116,24,23,43,13,12,26,98,87,188,25,34,61,16,15,29,8,3,12,53,55,108,3,3,10,0,3,3,10,7,15,10,10,14,0,0,0,24,14,38,7,7,11,0,9,11,0,0,0,0,8,10,0,0,0,8,26,36,35,44,74,0,0,7,0,7,3,0,0,0,4,8,10,56,55,110,262,262,528
UCL215036,17,12,29,54,52,111,0,0,3,4,11,13,68,66,133,38,26,63,8,4,11,12,7,17,51,40,91,0,0,0,0,6,8,7,3,6,3,3,6,0,0,0,18,13,31,6,9,18,4,4,3,0,3,3,0,8,8,0,0,0,9,19,36,24,33,62,0,0,0,0,5,7,0,0,0,0,5,7,58,66,122,216,229,440
UCL215037,9,12,19,30,40,63,4,0,7,0,4,4,32,45,76,17,17,39,0,0,0,3,10,7,19,27,46,0,0,0,0,0,0,5,0,5,0,9,12,0,0,0,12,10,19,0,0,3,0,0,0,0,0,0,0,9,9,0,0,0,6,8,9,14,17,34,0,0,0,0,3,6,0,0,0,0,3,4,49,42,90,123,140,267
UCL215038,12,8,16,24,13,44,21,25,39,0,0,0,41,40,78,24,10,30,4,6,11,0,0,0,25,17,46,4,6,8,4,3,3,0,5,9,0,4,11,0,0,0,17,16,27,0,0,3,0,5,8,0,0,0,5,9,11,0,0,0,6,22,24,19,37,54,8,0,7,0,0,0,0,0,0,6,0,8,108,105,212,215,203,414
UCL215039,17,9,25,50,38,90,15,17,35,3,0,3,72,59,129,28,24,53,18,16,30,0,0,5,52,41,94,0,8,9,0,0,0,7,0,8,0,12,12,0,0,0,10,19,26,0,3,7,0,6,6,0,0,0,0,8,11,0,0,0,4,12,16,14,30,40,0,0,0,0,0,0,0,0,0,0,5,5,87,72,154,231,217,450
UCL215040,12,14,21,48,34,80,4,0,7,0,5,6,52,39,94,24,22,48,0,0,5,0,5,4,25,32,53,4,4,9,0,5,5,0,3,8,0,8,12,0,0,0,7,16,20,0,0,0,0,4,4,0,0,0,3,4,6,0,0,0,3,11,12,7,31,36,3,0,7,0,6,6,0,0,0,3,4,9,84,85,164,189,196,383
UCL215041,27,19,53,78,61,138,29,53,82,21,22,45,124,134,257,74,66,142,4,6,12,27,22,40,108,94,196,4,5,10,4,7,13,7,8,15,9,14,18,0,0,0,26,28,57,3,9,7,7,4,12,0,0,4,6,15,16,0,0,0,17,26,36,41,58,96,4,4,11,4,7,12,0,0,0,8,10,19,141,151,297,458,464,925
UCL215042,14,9,23,59,48,102,0,0,0,0,0,0,54,48,100,43,34,77,0,0,3,0,0,4,45,40,81,3,4,9,0,0,0,10,4,10,0,6,13,0,0,0,18,15,35,3,8,10,0,0,0,0,0,0,3,5,13,0,0,0,3,17,24,25,34,58,0,0,0,0,5,5,0,0,0,0,5,5,52,45,92,196,172,366
UCL215043,53,50,104,145,135,280,45,62,103,6,3,8,192,196,392,72,114,189,0,10,11,4,16,18,82,140,221,0,6,10,0,6,6,19,17,32,6,23,25,0,0,0,26,48,78,9,16,23,3,15,24,3,3,8,0,7,8,0,0,0,14,42,56,43,92,130,0,0,7,10,11,22,0,0,0,15,7,25,66,64,133,452,553,1003
UCL215044,29,20,50,62,43,109,25,37,60,0,0,6,82,88,167,41,42,81,18,21,41,0,4,4,59,64,127,0,4,9,0,5,12,11,6,17,13,22,31,0,0,0,25,33,63,5,8,7,0,4,5,0,0,3,0,3,8,0,0,0,5,16,26,35,50,87,0,0,0,0,0,0,0,0,3,0,0,6,41,50,89,245,277,523
UCL215045,54,53,107,110,93,199,32,17,48,7,12,19,147,122,265,79,75,150,33,30,58,8,5,9,118,107,225,7,5,9,0,9,14,18,7,26,14,21,30,0,0,0,37,47,83,4,13,20,0,5,11,0,6,6,12,17,32,0,0,0,18,48,66,55,93,150,0,0,0,8,14,20,0,0,0,7,16,22,104,114,223,483,507,987
UCL215046,11,23,35,57,55,115,14,26,39,4,8,10,76,89,165,37,27,66,18,14,26,4,9,11,59,53,106,0,6,3,0,3,4,4,0,12,5,7,14,0,0,0,19,14,32,8,8,15,0,5,9,6,0,6,3,19,21,0,0,0,13,27,45,30,43,76,0,0,0,5,3,8,0,0,0,5,3,8,43,42,91,225,253,480
UCL215047,36,27,58,80,77,156,14,16,30,0,0,6,95,95,189,67,59,124,0,7,7,11,9,18,72,73,146,0,0,7,0,3,0,6,4,5,3,8,20,0,0,0,13,17,33,3,11,14,0,6,6,0,4,4,4,13,20,0,0,0,8,40,44,21,61,77,0,0,8,0,7,9,0,0,0,5,12,20,67,64,128,287,330,624
UCL215048,25,23,44,68,70,140,9,15,19,3,3,10,87,85,172,42,51,92,0,3,10,9,9,20,51,66,115,3,3,8,3,6,9,10,4,15,5,10,18,0,0,0,17,31,45,4,0,7,0,7,10,0,3,3,3,24,23,0,0,0,6,37,46,27,65,93,6,3,5,4,7,11,0,0,0,5,10,13,80,82,160,270,324,593
UCL215049,13,0,12,26,26,47,0,0,0,3,0,6,27,30,52,19,12,34,4,0,6,12,4,12,32,19,51,0,0,0,3,0,3,4,0,8,13,7,16,0,0,0,14,11,28,10,11,22,4,0,4,0,0,0,4,4,13,0,0,0,17,20,37,35,31,64,0,0,0,3,0,5,0,0,0,3,5,8,66,57,128,176,139,314
UCL215050,40,22,64,116,103,219,7,10,21,20,19,38,145,131,275,19,20,44,49,33,88,72,46,119,141,105,252,8,3,12,3,3,4,10,5,13,7,3,14,0,0,0,27,15,44,14,27,43,6,4,13,10,0,7,13,25,42,0,0,0,42,59,103,66,81,144,0,6,4,7,0,12,0,0,0,9,9,14,85,86,173,488,431,919
UCL215051,48,46,97,160,143,302,39,48,89,5,3,10,210,193,404,79,105,188,43,28,69,6,4,11,129,137,267,4,3,10,3,5,6,9,14,31,3,29,33,0,0,0,28,55,76,4,17,22,0,13,15,0,6,7,0,34,35,0,0,0,13,68,85,41,117,161,4,0,4,13,11,26,0,0,0,10,11,23,136,122,253,583,631,1212
UCL215052,4,8,7,18,24,43,4,4,8,5,3,10,27,30,57,13,12,25,9,3,14,6,12,19,26,26,57,0,3,3,0,0,0,0,0,5,3,3,7,0,0,0,4,10,17,0,0,6,0,0,0,0,3,3,6,9,13,0,0,0,8,17,26,15,25,39,0,0,0,0,8,10,0,0,0,0,8,11,27,37,68,105,124,237
UCL215053,45,50,91,102,115,223,52,45,93,22,21,41,182,179,357,81,80,158,4,10,14,13,12,26,99,101,200,3,4,8,4,9,12,11,7,22,17,28,43,0,0,0,30,44,76,6,7,11,3,9,11,0,4,4,7,29,37,0,0,0,16,53,67,46,94,142,3,4,8,13,12,25,0,0,0,23,14,35,110,119,227,501,556,1054
UCL215054,26,22,48,58,62,118,17,15,30,0,0,3,76,78,149,51,53,110,0,4,4,0,4,4,51,59,111,0,4,6,0,3,4,5,3,8,6,9,15,0,0,0,13,21,33,0,3,3,6,3,5,0,3,3,0,9,9,0,0,0,6,21,27,20,43,58,4,0,4,0,5,11,0,0,0,8,5,11,108,97,211,284,306,587
UCL215055,9,12,24,26,29,58,9,3,14,9,8,12,40,45,83,12,8,20,19,12,33,3,4,11,35,29,60,0,0,0,0,0,0,0,3,0,3,9,13,0,0,0,9,10,19,0,4,7,0,3,3,0,0,0,5,9,16,0,0,0,7,21,30,11,36,51,0,0,0,0,7,7,0,0,0,0,6,6,52,57,110,155,183,337
UCL215056,13,14,28,47,50,101,9,3,12,3,0,0,58,56,114,51,39,93,0,0,0,7,8,16,56,49,108,0,3,6,0,7,5,4,0,5,5,11,12,0,0,0,15,18,33,3,8,8,0,4,4,0,0,0,3,11,21,0,0,0,10,25,31,23,43,67,0,6,7,0,3,6,0,0,0,4,6,13,98,78,176,252,246,497
UCL215057,17,10,25,91,84,169,0,3,8,0,0,4,93,89,182,65,37,106,11,12,20,4,0,4,82,46,128,0,0,0,0,5,0,5,0,9,0,12,12,0,0,0,9,12,24,4,10,16,0,3,3,0,0,0,3,10,16,0,0,0,10,21,29,24,37,55,0,0,0,0,6,6,0,0,0,0,6,5,54,65,123,266,257,522
UCL215058,10,3,17,40,30,73,6,11,22,0,3,3,48,47,93,29,23,48,4,11,14,4,3,3,34,38,72,0,0,5,0,4,0,3,9,8,0,6,7,0,0,0,5,14,23,0,9,9,0,0,3,0,0,0,0,0,6,0,0,0,3,9,13,6,27,35,4,3,7,0,3,3,0,0,0,5,5,9,33,37,71,142,157,298
UCL215059,19,17,36,92,61,147,4,0,4,0,6,6,90,67,155,71,74,150,0,4,7,0,3,6,76,80,162,0,3,3,0,9,10,7,6,11,11,17,33,0,0,0,21,30,52,8,8,13,5,6,9,0,0,0,21,25,43,0,0,0,24,34,66,51,69,114,0,0,0,3,11,8,0,0,0,3,8,12,54,68,117,292,304,599
UCL215060,28,24,49,63,57,128,42,43,82,0,0,0,109,102,209,56,48,101,40,30,64,4,3,6,96,75,174,3,6,9,0,7,14,10,3,12,4,17,24,0,0,0,22,35,54,4,12,14,3,13,19,3,5,12,4,17,19,0,0,0,13,50,59,36,83,119,0,0,4,0,3,12,0,0,0,0,9,9,66,62,126,332,359,688
UCL215061,20,21,42,49,50,102,18,8,28,0,0,0,65,60,126,26,27,57,4,14,24,3,8,8,38,49,83,3,4,7,0,0,0,0,3,9,0,17,16,0,0,0,3,20,25,7,4,6,0,6,8,0,0,0,3,11,13,0,0,0,8,18,28,15,37,55,7,0,9,0,5,10,0,0,0,3,6,16,82,83,165,221,259,481
UCL215062,16,17,32,31,19,51,24,10,39,3,4,11,63,43,101,28,26,58,18,17,35,3,4,7,53,51,106,0,3,3,0,3,3,8,10,15,6,10,14,3,0,3,13,23,34,0,0,3,0,7,9,0,4,4,0,3,5,0,0,0,4,20,20,17,38,54,0,0,0,0,3,4,0,0,0,5,9,10,40,40,81,195,187,384
UCL215063,15,7,24,35,36,73,9,9,14,6,0,8,45,49,92,29,24,55,10,3,11,3,3,8,45,29,71,0,4,0,0,10,10,6,0,4,3,3,6,0,0,0,11,13,26,0,3,3,0,0,4,0,0,0,6,3,11,0,0,0,5,12,18,15,23,38,0,3,0,0,5,4,0,0,0,0,3,9,32,31,62,149,143,296
UCL215064,12,22,37,30,30,60,10,14,28,10,16,31,52,61,118,63,43,105,0,0,0,3,5,9,67,50,112,0,6,5,0,0,0,5,10,9,9,16,21,0,0,0,16,24,35,0,4,7,0,9,5,0,0,0,4,10,15,0,0,0,3,23,30,18,47,65,0,9,6,8,9,14,0,0,0,10,12,24,64,59,126,225,255,486
UCL215065,26,26,51,61,56,116,58,59,118,0,0,0,121,109,240,54,51,104,36,61,95,4,5,4,94,110,205,5,10,14,0,9,9,13,13,27,12,19,36,0,0,0,33,49,78,4,10,15,3,8,12,0,0,0,3,25,29,0,0,0,16,41,62,52,93,141,3,8,6,4,8,10,0,0,0,10,18,25,186,182,364,483,548,1026
UCL215066,15,9,30,48,65,109,4,16,21,0,0,0,53,79,130,53,40,86,0,0,0,3,0,3,50,40,89,0,6,6,0,0,0,4,0,9,0,20,18,0,0,0,12,28,40,0,4,4,0,5,3,0,0,0,0,11,10,0,0,0,7,18,23,17,43,60,5,0,5,0,0,4,4,0,4,7,0,13,123,119,236,264,297,555
UCL215067,5,9,11,26,31,60,0,0,0,0,0,0,26,31,57,21,19,42,0,0,0,0,0,0,27,19,40,0,0,0,0,0,0,6,0,6,4,9,16,0,0,0,6,8,20,0,0,0,0,0,5,4,0,4,0,3,4,0,0,0,4,8,14,9,18,34,0,0,0,0,3,3,0,0,0,3,5,6,54,43,93,119,123,242
UCL215068,20,22,38,54,68,123,5,8,14,11,5,18,66,92,158,18,29,48,24,14,37,7,15,22,45,57,102,5,0,9,0,8,10,11,9,16,11,15,29,0,0,0,26,39,64,0,5,11,0,4,7,0,0,0,3,17,19,0,0,5,5,26,34,34,66,94,0,0,0,0,3,6,0,0,0,4,3,9,74,74,144,236,314,553
UCL215069,36,33,68,79,82,156,78,58,135,0,0,0,151,143,293,35,44,82,51,56,104,12,17,24,102,117,215,3,0,3,0,5,5,4,3,14,22,13,30,0,0,0,26,21,52,3,13,19,4,7,12,0,4,4,9,30,40,0,0,3,17,56,72,44,78,120,0,0,3,0,3,6,0,0,0,3,8,9,103,114,221,442,484,925
UCL215070,34,32,70,108,80,183,16,27,40,6,0,8,133,102,236,69,92,159,3,6,9,4,3,9,72,104,177,4,12,12,3,13,18,6,10,11,21,17,38,0,0,0,26,48,71,0,10,10,7,4,12,0,0,0,5,6,11,0,0,0,7,19,31,31,68,104,10,8,19,0,17,15,0,0,0,12,22,38,151,130,280,434,469,904
