UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL213007,171,183,351,457,385,845,124,112,236,111,125,240,692,626,1320,394,343,736,85,82,168,59,66,129,540,491,1031,13,14,34,14,16,31,50,35,83,43,87,131,0,0,0,121,154,276,39,57,94,12,56,74,10,30,42,44,114,166,0,0,0,112,259,369,233,411,647,24,19,34,39,72,112,0,0,0,64,86,151,453,450,905,2152,2251,4405
UCL213008,234,189,422,496,520,1007,180,174,350,61,51,106,729,737,1471,331,284,615,128,150,271,97,74,170,555,505,1060,22,32,58,28,29,62,69,41,110,66,100,165,0,0,0,184,208,395,81,143,225,17,54,74,14,27,45,58,119,173,0,0,0,169,347,515,352,550,908,34,23,60,27,55,80,0,0,6,68,78,142,245,232,472,2186,2299,4484
UCL213009,171,138,306,402,357,758,101,114,219,26,25,45,531,491,1022,244,198,439,108,133,243,51,30,83,408,362,763,24,32,56,16,26,38,65,31,92,66,69,138,0,0,0,178,154,334,66,106,172,24,46,68,13,9,25,36,77,109,0,0,0,139,246,382,314,402,713,20,12,27,38,43,83,0,0,0,56,57,114,222,266,485,1696,1707,3405
UCL213010,132,110,244,391,423,813,128,122,246,4,16,22,523,559,1086,357,334,692,33,19,49,19,26,40,407,376,788,23,30,48,8,54,58,68,48,118,50,94,146,0,0,0,149,222,370,25,52,74,22,48,70,5,15,20,24,53,79,0,0,3,86,161,250,233,386,622,19,19,33,25,42,65,0,0,3,44,60,105,630,638,1266,1972,2130,4105
UCL213011,116,103,218,355,321,679,121,133,252,15,9,22,500,462,956,290,258,549,58,60,118,26,17,46,372,343,714,13,41,55,22,40,58,32,37,69,37,77,117,0,0,5,105,196,300,36,64,103,18,36,55,7,15,27,40,38,75,0,0,0,107,154,258,215,345,559,17,10,25,26,50,74,3,4,6,39,62,106,797,793,1586,2035,2111,4146
UCL213012,81,81,166,270,241,509,76,98,175,26,20,44,373,358,729,214,198,416,52,49,98,44,41,89,306,297,605,24,19,45,9,24,25,47,30,73,31,57,85,0,0,0,109,124,235,7,26,31,10,18,29,6,13,11,19,52,74,0,0,0,42,104,146,149,230,378,13,6,19,22,31,46,0,0,0,30,37,68,360,347,703,1308,1346,2655
UCL213013,159,138,296,380,334,716,153,147,305,63,54,121,596,538,1138,216,207,417,134,162,298,62,78,138,412,443,855,19,18,30,5,30,38,50,38,85,48,113,161,0,0,0,120,203,320,33,57,88,17,50,70,9,18,27,59,117,175,0,0,0,117,242,363,237,445,686,21,18,42,20,54,71,5,0,5,45,72,115,420,416,837,1881,2047,3922
UCL213014,110,114,225,261,226,488,169,196,366,18,16,34,447,443,890,184,190,374,87,105,200,14,18,33,291,317,599,15,21,35,6,21,25,49,27,75,34,84,119,0,3,0,106,151,261,34,54,87,6,17,22,5,10,20,12,56,73,0,0,0,56,142,196,168,297,460,17,18,33,20,34,56,0,0,0,40,49,92,352,375,724,1404,1591,2996
UCL213015,270,205,477,563,518,1085,207,209,418,38,33,74,817,770,1586,333,335,662,108,114,217,34,32,73,481,478,959,20,26,49,25,52,77,68,39,104,49,110,156,0,0,0,167,226,392,51,107,159,17,52,71,11,20,28,42,97,142,0,0,0,125,275,401,295,500,799,33,19,49,35,57,87,0,0,0,64,76,142,341,328,669,2261,2367,4627
UCL213016,191,188,377,416,363,777,294,298,591,94,94,182,800,752,1553,206,208,411,323,311,635,113,104,216,647,617,1267,20,42,56,25,68,87,63,65,129,62,118,181,0,5,0,174,294,468,46,71,116,36,59,94,5,20,25,53,114,165,0,0,0,142,266,404,317,561,875,23,22,43,39,52,95,0,0,0,64,75,139,532,575,1107,2551,2776,5323
