UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL201001,5208,10595,7807,5824,7858,4210,2275,43779,1022,1082,709,536,780,420,258,4815,304,481,302,253,323,166,85,1917,10731,22351,17654,13709,20002,11490,6439,102374,425,844,582,473,618,376,222,3534,657,1328,704,515,643,317,181,4342,1077,2173,1285,987,1265,688,400,7880,11813,24522,18935,14696,21265,12176,6838,110248,11142,13006,7718,5707,7125,3992,2563,51249,384,481,285,223,155,71,59,1664,23339,38005,26940,20629,28546,16249,9453,163164
UCL203001,269,563,364,259,293,71,31,1849,59,57,26,26,30,9,3,203,14,22,13,5,0,0,0,58,453,909,685,525,671,174,89,3500,22,28,25,19,43,5,5,145,35,56,35,16,18,6,0,167,59,84,65,37,60,8,3,315,512,989,747,559,726,184,93,3811,560,552,320,225,213,60,15,1939,6,15,15,14,3,0,0,54,1080,1550,1083,793,946,240,112,5806
UCL203002,273,511,352,239,272,67,18,1731,63,58,30,11,22,5,3,196,12,26,13,5,4,3,0,71,462,895,688,502,601,180,63,3399,17,39,16,15,8,4,0,99,18,35,28,21,20,0,0,120,33,75,40,32,29,6,0,219,501,969,730,543,634,186,66,3621,540,558,281,217,200,42,20,1857,16,20,10,6,6,3,0,66,1052,1549,1028,763,839,227,90,5542
UCL203003,323,706,467,337,416,131,60,2449,65,61,46,35,39,15,6,268,20,27,16,5,16,3,5,93,594,1259,888,711,976,375,181,4997,18,34,27,22,33,8,3,145,43,87,50,21,22,4,0,234,56,121,79,45,53,15,4,376,653,1374,965,757,1035,391,187,5368,642,701,408,305,318,137,64,2566,27,21,3,3,8,0,0,66,1318,2100,1382,1070,1358,533,253,8000
UCL211001,118,212,135,88,115,22,8,701,16,19,9,5,6,6,0,56,4,10,10,6,0,0,0,34,186,398,280,184,249,67,23,1391,8,16,3,4,9,3,0,46,14,17,12,6,4,4,0,57,21,34,15,8,11,9,0,99,211,432,292,190,262,78,26,1491,228,260,149,91,113,22,3,864,0,3,3,9,8,0,0,19,437,698,451,290,382,98,31,2377
UCL211002,179,319,195,130,182,47,24,1063,44,42,20,16,17,5,4,143,26,27,16,8,12,3,8,92,383,642,431,292,404,130,73,2345,27,48,39,31,32,8,3,183,57,83,33,35,28,7,0,252,85,132,66,62,59,19,8,433,475,773,498,349,461,147,80,2774,708,666,345,218,214,66,35,2245,12,12,11,9,0,5,0,45,1191,1454,856,571,675,214,113,5069
UCL212001,31,89,75,40,57,17,10,317,7,4,5,5,0,0,0,37,3,4,0,0,0,0,0,11,73,184,161,110,122,52,26,724,6,7,6,3,0,0,0,26,11,10,5,0,4,0,0,29,19,15,10,7,4,0,0,58,90,201,171,115,127,52,26,778,108,113,73,33,41,13,7,403,0,0,0,0,3,0,0,3,195,315,244,152,176,70,35,1182
UCL212002,19,68,38,30,39,3,5,203,9,6,0,8,3,0,0,31,0,5,0,4,0,0,0,5,41,127,83,64,85,16,11,418,4,3,3,3,3,0,0,17,6,4,6,0,3,0,0,15,6,4,5,7,6,0,0,37,51,129,93,74,93,16,11,455,86,71,43,23,28,3,0,257,5,3,5,0,0,0,0,10,142,205,141,97,120,16,9,722
UCL212003,98,163,123,85,92,31,4,589,23,21,7,0,10,0,0,65,6,12,13,10,7,0,0,43,177,327,251,189,241,61,18,1255,11,14,8,0,3,0,0,33,13,17,14,3,3,0,0,56,24,31,18,4,13,0,0,92,201,359,273,192,252,61,15,1354,231,258,134,82,57,21,9,783,10,12,3,5,9,0,0,34,435,620,404,279,314,87,22,2167
UCL212004,24,82,57,49,69,19,5,303,0,8,4,6,7,0,0,18,0,0,0,0,0,0,0,3,44,131,120,92,126,42,13,566,0,4,4,3,4,0,0,11,0,8,4,0,0,0,0,17,0,6,9,7,4,0,0,26,43,139,128,95,132,41,13,591,23,43,35,18,18,7,0,149,8,4,0,0,0,0,0,9,77,184,160,117,148,51,15,753
