UCL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
UCL201001,180474,265333,68244,13656,82080,78751,18707,33221,274743,19083,220735,1745090,99226,2696611,6451,9731,2383,364,6061,3346,892,1133,7704,838,7195,65296,3444,100601,21937,13619,8321,2429,10134,10669,2083,4659,14846,2599,15335,78527,4629,148758,7628,3682,3142,1292,3729,4487,868,1522,4415,1108,5853,34499,1822,59286,45554,11524,13054,7983,31088,24030,5746,6013,20526,6499,28247,102896,7890,222137,10950,6678,2709,1073,11177,5904,1815,1336,8863,1337,13285,84361,4514,128693,11722,15994,4707,1262,18402,6471,2251,1297,9775,1974,22448,212514,7835,290049,4884,4976,3191,825,8747,4047,1235,833,5204,1042,12702,183040,3471,222689,10508,11997,2855,882,23097,7774,1936,1123,8083,1282,15911,309265,8234,379935,4212,4617,1512,296,2704,1589,437,453,5816,400,5361,45410,1543,65831,4185,4527,1549,351,4653,2079,521,512,4146,482,5245,48902,2212,70956,128029,87340,43420,16752,119796,70389,17788,18870,89381,17548,131581,1164715,45600,1688934,4791,2080,1491,872,2803,2468,667,984,2834,730,2644,15028,172262,199995,313289,354757,113157,31282,204677,151612,37163,53075,366957,37362,354960,2924830,317085,4585537,93008,192524,36866,513
UCL203001,9592,11129,3132,652,4584,4103,847,2211,13053,1058,9097,47330,3506,87755,138,120,47,15,69,51,13,34,138,10,147,548,26,1063,582,331,190,62,259,290,44,173,398,61,392,1170,94,2793,279,90,99,26,129,153,23,74,126,37,145,448,31,1109,181,55,50,31,122,112,19,33,80,30,98,305,25,764,22,26,8,0,15,13,6,3,22,0,25,251,9,344,51,84,26,0,75,43,4,9,61,13,83,1060,25,1400,8,20,12,0,20,13,0,3,26,7,52,804,11,946,37,64,10,4,104,37,7,7,44,3,83,2223,48,2590,63,64,23,0,37,18,8,10,87,4,63,382,14,639,25,41,11,3,23,12,0,5,44,0,47,416,10,600,1393,891,465,151,854,751,115,348,1028,164,1130,7608,299,12236,217,140,68,28,102,115,15,60,146,28,112,378,4415,5359,11197,12157,3664,828,5547,4965,978,2622,14227,1247,10336,55320,8219,105348,3134,5742,995,19
UCL203002,10383,10125,3108,718,4275,4103,989,1837,12346,1016,8563,46003,3697,85353,115,98,28,4,52,50,16,26,110,14,86,459,33,852,467,211,158,38,207,209,42,125,258,53,264,775,71,1948,148,51,52,25,69,88,13,27,76,16,65,250,23,626,118,31,38,13,75,66,21,22,52,25,48,178,22,457,16,20,0,5,17,7,3,0,24,0,35,237,4,324,76,78,34,4,121,36,15,4,72,12,170,2171,69,2712,9,11,3,4,17,6,0,5,13,0,20,477,10,562,31,43,14,4,86,30,5,3,33,3,70,1572,44,1855,25,37,8,0,18,11,5,7,53,3,30,231,7,380,26,20,3,0,15,12,3,4,49,0,41,336,15,470,1028,605,338,95,674,519,116,211,741,125,831,6688,287,10181,261,128,75,30,108,120,30,55,136,40,84,381,4201,5117,11668,10856,3516,843,5051,4746,1137,2110,13217,1182,9474,53073,8184,100649,3364,5137,951,10
UCL203003,11614,15747,3958,1059,5988,5321,1318,2631,18269,1468,12838,80099,5073,136818,182,216,74,5,121,77,20,36,236,26,175,1294,57,2121,1109,638,377,141,599,552,124,271,716,125,710,2984,234,6289,523,220,190,91,277,351,62,136,257,81,333,1204,88,2647,1212,298,356,263,920,690,150,185,606,172,786,2594,192,5833,73,63,12,8,84,35,7,14,96,16,142,1150,43,1550,164,219,56,9,217,74,27,33,148,22,309,3294,131,4372,37,50,29,8,67,37,9,6,34,7,93,1754,31,2064,72,153,32,13,229,63,27,8,102,15,190,6227,134,7042,85,104,37,8,44,21,9,14,137,12,125,890,29,1319,65,93,33,5,49,36,6,10,109,4,108,1071,45,1481,3532,2047,1198,541,2602,1933,452,707,2439,477,2970,22477,980,34725,305,166,96,34,168,132,47,93,187,56,143,730,7183,8694,15453,17964,5254,1635,8750,7390,1813,3429,20895,2000,15945,103302,13239,180239,4339,9237,1520,32
UCL211001,3298,3880,1023,181,1614,1455,369,766,4582,338,3311,17326,1259,31399,58,51,18,0,29,28,9,18,60,8,52,217,21,425,193,82,77,16,95,87,21,57,109,23,113,373,25,864,117,44,47,11,83,85,13,33,56,22,76,222,24,553,99,24,42,18,60,54,12,18,39,18,65,137,23,406,8,9,3,0,6,5,0,0,3,0,6,81,4,116,23,22,11,0,33,15,3,0,22,4,27,516,14,654,8,3,3,0,6,4,0,5,6,0,7,114,0,141,13,30,0,0,43,13,3,3,24,0,42,582,8,716,21,13,7,0,3,6,0,0,20,0,24,73,5,134,3,14,4,0,12,4,0,0,10,0,19,434,9,494,537,288,207,45,377,309,66,134,344,70,429,2749,127,4502,80,52,19,3,45,40,15,24,59,7,42,136,1604,1940,3915,4222,1248,231,2038,1796,452,920,4985,416,3778,20206,2985,37839,1201,2081,362,10
UCL211002,3453,5970,991,161,2185,1416,424,918,6056,393,4125,28210,1929,46509,147,232,50,5,244,79,32,35,125,26,155,2481,131,3398,451,223,143,33,252,197,43,127,236,44,240,634,62,1783,137,53,33,18,76,74,18,43,54,13,73,244,14,576,538,165,156,54,436,293,86,104,342,79,344,1184,93,2620,91,75,12,3,125,41,13,18,84,8,92,1363,41,1766,125,282,49,10,250,60,38,8,106,19,285,2959,122,4011,14,8,13,3,29,10,0,6,18,3,26,346,4,446,122,180,37,6,384,79,24,13,127,15,264,6709,159,7830,77,73,18,5,68,13,9,6,65,7,76,379,25,670,37,64,15,3,83,19,3,7,52,6,95,1306,64,1651,1740,1347,519,141,1954,877,269,368,1210,227,1645,17600,714,24754,91,56,13,11,49,35,6,36,71,16,50,265,4582,5081,5284,7368,1518,315,4186,2330,697,1323,7343,634,5818,46070,7227,76346,1531,3333,416,10
UCL212001,1594,2054,503,122,790,653,147,415,2168,194,1675,10167,686,17365,46,33,7,4,23,10,5,4,42,9,21,223,14,363,167,95,69,22,109,92,12,51,108,29,113,337,50,891,80,27,23,14,42,32,6,14,37,12,31,118,10,281,78,30,27,19,58,46,7,19,47,12,48,223,13,432,17,4,0,0,4,5,3,0,5,0,6,27,0,43,15,14,4,0,17,5,4,0,9,0,21,181,6,253,4,4,4,3,4,0,0,0,0,0,3,54,3,71,14,16,4,0,27,8,3,0,12,0,25,681,26,788,15,18,6,0,4,5,0,3,13,0,16,112,0,169,16,14,0,0,13,5,0,4,16,0,25,95,0,169,447,257,141,62,307,206,48,99,287,72,316,2031,125,3464,42,21,11,8,29,19,7,16,25,4,13,56,714,869,2081,2329,662,188,1120,879,206,533,2482,274,2006,12254,1529,21692,640,1206,188,0
UCL212002,1470,1264,464,108,682,637,149,305,1367,174,1101,6385,557,11665,9,15,9,4,7,8,0,3,12,0,10,86,10,154,83,38,29,12,46,42,9,23,29,12,33,111,6,303,18,11,8,0,8,11,3,8,11,0,15,61,0,111,20,5,3,0,18,9,8,6,16,0,9,30,4,81,4,0,0,0,0,0,0,0,0,0,3,26,0,30,4,8,3,0,4,7,0,0,8,0,3,145,11,184,0,4,0,0,0,0,0,0,0,0,3,46,0,52,0,15,0,4,11,4,0,0,3,0,10,153,4,193,5,6,0,0,0,0,0,0,4,6,3,31,4,45,5,0,0,0,0,0,0,0,0,0,0,33,3,48,149,105,54,24,100,71,27,39,85,17,85,726,39,1199,51,16,16,9,23,22,3,10,28,9,17,90,708,901,1671,1381,541,136,801,728,180,355,1485,198,1205,7199,1302,13764,458,636,121,0
UCL212003,2903,3215,917,206,1536,1379,357,671,3385,330,2336,15053,1215,26940,44,38,9,3,68,23,13,10,33,4,38,414,18,621,124,64,48,14,69,56,23,39,75,23,76,240,23,573,35,11,10,3,17,20,8,12,12,9,23,109,12,216,173,51,42,30,120,94,29,24,54,29,90,219,27,638,41,17,11,3,51,24,10,3,63,16,46,198,11,373,23,55,7,4,51,18,7,3,33,8,59,1477,81,1754,0,3,0,0,9,3,0,0,7,0,8,396,7,437,14,14,3,0,46,18,3,0,19,6,46,829,41,994,12,7,4,0,7,7,0,4,12,0,12,60,3,97,9,10,0,0,17,11,4,0,9,0,16,256,9,310,480,279,140,56,459,269,90,102,324,89,408,4193,227,6012,98,50,22,8,61,59,18,22,65,13,38,187,2261,2699,3483,3541,1089,269,2057,1706,470,791,3775,432,2785,19433,3704,35652,874,1575,282,7
UCL212004,1745,1822,678,103,551,740,159,272,1764,175,1362,11666,568,18505,25,28,12,3,11,11,0,4,12,0,19,120,8,229,187,99,69,23,76,91,16,36,114,21,95,585,41,1118,46,29,31,10,25,33,3,16,40,0,41,181,10,347,30,7,14,7,19,20,8,7,19,6,22,98,5,183,3,0,0,0,0,5,0,0,3,0,0,24,0,33,8,9,0,0,0,0,0,0,6,0,3,83,5,109,0,0,0,0,4,0,0,0,3,0,5,52,0,64,6,3,4,0,0,0,0,0,0,0,8,35,3,51,13,14,8,0,3,3,0,0,19,0,9,106,10,172,7,10,6,0,0,8,0,0,12,0,7,71,3,102,327,203,142,44,145,168,28,59,226,35,204,1347,80,2414,45,35,21,6,19,15,8,11,23,6,16,166,825,1110,2109,2059,839,146,712,921,192,345,2015,215,1582,13175,1473,22035,614,1072,250,0
