UCL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL221079,0,0,0,0,0,0,0,0,3,4,5,0,8,0,0,0,8,18,0,25
UCL221080,0,0,0,0,0,0,0,0,0,3,10,0,10,0,0,0,10,10,0,23
UCL221081,0,0,0,0,0,0,0,0,0,0,8,0,7,0,5,4,12,12,0,23
UCL221082,0,0,0,0,0,0,0,5,5,12,0,0,15,0,0,6,26,5,5,29
UCL221083,0,0,0,0,0,0,0,0,0,18,11,0,31,0,0,0,29,7,4,42
UCL221084,0,0,0,0,0,0,0,0,0,9,6,0,19,0,0,0,19,6,0,29
UCL222001,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4
UCL222002,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,9
UCL222003,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,5,0,11
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
UCL222006,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,10,5,0,9
UCL222007,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
UCL222008,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,11,6,0,19
UCL222009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,13
UCL222010,0,0,0,0,0,0,0,0,0,4,3,0,12,0,0,0,9,7,0,15
UCL222011,0,0,0,0,0,0,0,0,0,4,9,0,10,0,0,0,10,0,0,10
UCL222012,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,4,0,12
UCL222013,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,0,0,6
UCL222014,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,11,3,0,14
UCL222015,0,0,0,0,0,0,0,0,0,4,9,0,6,0,0,0,10,5,0,11
UCL222016,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,4
UCL222017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10
UCL222018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL222019,0,0,0,0,0,0,0,0,0,6,6,3,8,0,0,0,10,9,0,16
UCL222020,0,0,0,0,0,0,0,0,0,6,3,0,8,0,0,0,11,5,0,18
UCL222021,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,9,0,15
UCL222022,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,3,0,7
UCL222023,0,0,0,0,0,0,0,4,5,4,3,0,7,0,0,0,10,3,4,17
UCL222024,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,8
UCL222025,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,6,0,0,12
UCL222026,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,0,0,5
UCL222027,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,8,8,0,16
UCL222028,0,0,0,0,0,0,0,0,0,5,5,0,8,0,0,0,8,0,0,8
UCL222029,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,10,0,11
UCL222030,0,0,0,0,0,0,0,0,0,3,5,0,10,0,0,0,10,8,0,19
UCL222031,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,17
UCL222032,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,7,0,0,8
UCL222033,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,3,9,0,13
UCL222034,0,0,0,0,0,0,0,0,0,4,0,0,9,0,3,3,13,11,0,21
UCL222035,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,11,0,18
UCL222036,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,6,8,0,15
UCL222037,0,0,0,0,0,0,0,0,0,7,5,3,13,0,0,0,13,4,0,20
UCL222038,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
UCL222039,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,4
UCL222040,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,11
UCL222041,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,7,3,0,10
UCL222042,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,7,4,0,12
UCL222043,0,0,0,0,0,0,0,0,4,3,3,0,7,0,0,0,5,12,0,18
UCL222044,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,7,8,0,11
UCL222045,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,9,7,0,9
UCL222046,0,0,0,0,0,0,0,0,6,6,6,3,12,0,0,0,18,12,3,30
UCL222047,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,9,4,0,11
UCL222048,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,9,0,9
UCL222049,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,10
UCL222050,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,9,0,0,8
UCL222051,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,8
UCL222052,0,0,0,0,0,0,0,0,0,7,7,0,10,0,0,0,10,17,0,25
UCL222053,0,0,0,0,0,0,0,0,0,8,4,0,15,0,0,0,15,10,0,28
UCL222054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL222055,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,13,10,0,20
