UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL215021,0,0,0,0,7,3,0,0,0,10,0,5,3,6,0,12,5,0,0,29,36,35,78,78,144,124,32,4,0,534
UCL215022,0,9,16,8,5,3,4,0,0,53,4,9,17,20,16,8,5,0,0,70,88,200,401,345,298,295,75,15,0,1711
UCL215023,0,7,4,0,6,0,0,0,0,15,0,0,0,3,4,7,5,0,0,26,44,52,100,88,160,139,38,7,0,627
UCL215024,0,0,4,7,0,0,4,0,0,20,0,3,6,4,8,13,0,3,0,35,26,37,111,125,148,129,63,12,4,645
UCL215025,0,4,3,3,6,6,0,0,0,21,0,0,5,3,0,5,3,0,0,16,10,27,59,78,72,124,41,4,0,412
UCL215026,0,0,3,7,9,3,0,0,0,23,4,0,4,3,8,3,0,0,0,25,18,31,69,74,93,100,24,6,0,416
UCL215027,0,3,6,4,4,5,7,0,0,29,0,0,0,5,0,4,0,0,0,8,22,26,80,81,88,111,32,17,3,462
UCL215028,4,3,8,16,12,14,4,0,0,65,4,3,9,3,10,9,9,0,0,46,54,56,172,204,242,232,71,10,0,1037
UCL215029,0,0,6,11,11,11,8,0,0,52,3,5,11,14,13,12,8,0,0,69,62,57,238,277,413,436,120,16,0,1626
UCL215030,0,5,5,0,0,0,0,0,0,11,0,0,4,0,3,5,5,3,0,18,26,26,90,72,88,122,21,11,0,459
UCL215031,0,0,4,4,3,7,6,0,0,20,0,0,4,0,7,7,0,0,0,20,32,29,80,87,106,123,53,4,0,523
UCL215032,0,3,9,12,4,12,3,0,0,47,0,3,7,7,8,9,8,7,0,50,79,82,221,234,221,228,104,27,0,1187
UCL215033,0,0,16,20,8,3,6,0,0,54,3,0,12,14,14,11,5,0,0,53,101,63,260,492,376,168,36,5,0,1494
UCL215034,0,0,0,4,0,12,0,0,0,17,0,0,0,0,0,4,0,0,0,11,34,35,58,68,84,103,39,9,0,415
UCL215035,6,0,24,5,11,3,0,0,0,45,4,0,3,8,9,0,5,3,0,35,45,58,178,161,167,114,29,5,0,765
UCL215036,3,5,8,0,7,5,3,0,0,29,0,3,4,4,10,14,0,0,0,39,43,44,99,114,140,104,30,0,0,574
UCL215037,0,5,4,4,8,6,0,0,0,27,0,3,10,3,7,8,6,0,0,35,15,45,117,95,117,119,43,3,0,562
UCL215038,3,0,8,11,4,3,3,0,0,36,0,3,3,8,11,8,0,0,0,32,19,34,92,110,126,140,48,11,0,589
UCL215039,8,3,0,8,3,4,0,0,0,24,0,0,5,6,7,6,0,0,0,17,44,37,100,113,97,101,25,3,0,518
UCL215040,0,3,6,0,0,0,0,0,0,14,3,3,0,0,8,6,0,0,0,30,34,40,86,84,91,105,27,4,0,475
UCL215041,4,4,15,3,3,15,6,0,0,46,0,3,9,9,24,6,3,0,0,69,70,102,226,254,272,320,94,20,4,1359
UCL215042,0,4,7,4,4,5,0,0,0,34,0,0,5,11,5,7,0,0,0,24,41,54,108,130,155,112,24,0,0,621
UCL215043,7,6,31,11,10,7,0,6,0,76,0,9,23,30,17,15,0,0,0,99,106,137,483,352,293,209,43,7,0,1637
UCL215044,0,0,14,15,10,7,0,0,0,46,3,3,8,3,5,7,3,0,0,32,38,53,176,162,171,159,49,8,0,817
UCL215045,0,11,21,12,12,17,3,0,0,75,9,3,15,15,17,19,4,0,0,80,97,129,330,273,346,305,94,17,3,1591
UCL215046,3,5,18,10,10,9,4,0,0,46,0,6,4,4,6,7,0,0,0,28,45,60,189,172,150,146,44,0,0,817
UCL215047,3,3,26,16,8,9,0,0,0,67,4,4,17,11,15,14,4,0,0,65,62,103,359,205,180,128,20,0,0,1058
UCL215048,0,0,18,8,11,6,0,0,0,48,3,3,19,18,9,3,0,0,0,59,36,82,261,183,128,112,19,0,0,825
UCL215049,0,0,0,0,6,0,3,0,0,10,0,0,0,0,5,8,4,0,0,26,14,38,126,78,87,134,74,6,0,561
UCL215050,0,0,3,12,12,5,8,0,0,38,0,0,5,17,16,9,8,0,0,55,80,70,124,315,386,312,128,20,0,1422
UCL215051,6,16,21,17,5,12,3,0,0,89,6,5,13,15,9,10,4,0,0,61,121,164,402,399,315,327,107,13,0,1859
UCL215052,0,0,3,3,3,0,0,0,0,18,0,3,0,0,3,8,4,0,0,23,26,24,64,75,119,161,56,5,0,537
UCL215053,6,3,24,16,12,10,7,0,0,76,0,5,14,18,9,13,3,5,0,65,79,107,375,408,351,363,124,13,0,1819
UCL215054,0,0,11,5,10,4,4,0,0,34,0,4,16,5,13,5,0,0,3,43,38,67,188,127,140,161,46,3,3,776
UCL215055,0,0,0,9,6,6,3,0,0,26,3,4,0,0,5,9,4,4,0,20,20,20,77,100,124,188,79,15,0,628
UCL215056,0,0,7,9,3,3,0,0,0,26,0,6,14,4,3,8,0,0,0,34,25,42,165,132,113,126,26,0,0,621
UCL215057,0,3,9,10,3,0,0,0,0,31,0,0,7,5,8,8,0,0,0,27,45,37,113,155,188,145,44,0,0,730
UCL215058,0,0,0,0,3,0,0,0,0,12,0,0,7,3,0,0,0,3,0,11,30,33,76,62,94,87,40,4,0,428
UCL215059,0,3,3,3,0,7,4,0,0,14,0,3,3,9,0,3,0,0,0,19,59,46,162,219,211,195,81,11,0,989
