UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL221042,0,0,0,0,4,4,5,0,0,11,0,4,6,3,0,5,0,0,0,16,15,19,56,54,48,49,22,0,0,255
UCL221043,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,11,3,6,10,18,76,96,19,0,0,231
UCL221044,0,0,0,6,0,0,0,0,0,3,0,0,0,3,3,0,5,0,0,20,18,16,55,81,82,130,44,6,0,424
UCL221045,0,0,3,0,3,0,3,0,0,15,0,3,0,0,0,0,0,0,0,6,10,13,54,75,89,83,22,4,0,367
UCL221046,4,6,8,8,5,0,0,0,0,27,3,3,4,6,3,0,0,0,0,23,47,44,299,219,87,60,11,0,0,780
UCL221047,0,0,0,3,9,3,0,0,0,21,0,0,0,0,4,0,5,0,0,6,28,36,48,77,99,62,16,0,0,367
UCL221048,0,0,5,0,3,0,0,0,0,10,0,0,3,3,0,0,0,0,0,14,16,23,51,45,56,32,18,3,0,241
UCL221049,0,0,5,3,8,0,0,0,0,17,0,0,3,0,5,0,0,0,0,12,24,26,52,106,89,68,17,0,0,389
UCL221050,0,0,7,0,0,0,0,0,0,12,0,0,3,4,11,4,0,0,0,27,17,16,51,46,71,69,21,6,0,297
UCL221051,0,0,0,0,0,4,0,0,0,7,0,0,3,5,0,4,0,0,0,11,22,16,42,48,65,74,20,4,0,290
UCL221052,0,0,0,4,0,0,0,0,0,9,0,4,0,0,4,3,0,0,0,15,17,14,61,41,51,70,12,0,0,274
UCL221053,0,0,5,6,0,0,0,0,0,8,0,0,3,0,6,5,0,0,0,13,9,8,24,37,63,59,19,4,0,233
UCL221054,0,0,0,0,0,0,4,0,0,3,0,0,0,0,4,0,0,0,0,8,13,14,41,55,62,61,28,3,0,278
UCL221055,0,0,0,7,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,17,22,20,44,103,94,54,11,0,0,351
UCL221056,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,14,9,8,42,29,35,31,3,0,0,153
UCL221057,0,0,3,3,6,6,0,0,0,19,0,0,3,4,9,3,0,0,0,22,17,28,60,89,89,60,17,0,0,365
UCL221058,0,0,3,0,5,0,0,0,0,12,0,0,0,0,0,3,0,0,0,3,24,7,37,62,58,45,11,0,0,248
UCL221059,0,0,3,4,4,0,4,0,0,15,0,0,3,4,0,4,0,0,0,11,17,18,70,97,101,82,20,0,0,405
UCL221060,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,14,19,34,53,19,6,0,161
UCL221061,0,0,0,3,3,5,3,0,0,14,0,0,0,5,0,0,0,0,0,13,22,10,27,48,60,90,34,0,0,287
UCL221062,0,0,0,5,0,3,0,0,0,9,0,0,4,9,6,6,0,0,0,24,16,19,44,45,82,79,18,4,0,301
UCL221063,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,6,12,21,38,37,41,36,15,0,0,209
UCL221064,0,0,9,10,5,0,0,0,0,24,0,0,0,7,3,4,0,0,0,19,19,36,96,94,74,47,6,0,0,372
UCL221065,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,14,25,34,46,55,27,10,0,206
UCL221066,0,3,7,6,4,0,0,0,0,19,0,0,0,4,5,3,0,0,0,18,18,32,63,72,66,51,13,0,0,320
UCL221067,0,0,0,3,3,0,0,0,0,12,0,0,4,3,4,0,0,0,0,11,17,28,56,53,51,41,14,0,0,255
UCL221068,0,0,6,5,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,11,8,15,44,63,37,42,5,0,0,220
UCL221069,0,0,9,0,5,0,0,0,0,11,0,0,4,3,0,4,0,0,0,21,30,29,76,90,97,115,18,0,0,447
UCL221070,4,0,0,0,5,0,0,0,0,14,0,0,0,3,3,7,0,0,0,21,20,28,79,58,75,94,28,8,0,389
UCL221071,0,3,5,3,3,8,0,0,0,27,5,0,0,0,3,0,0,0,0,16,33,34,62,60,72,79,19,6,0,354
UCL221072,0,0,0,0,0,3,0,0,0,7,5,0,6,0,0,0,0,0,0,8,12,22,66,44,30,50,3,0,0,224
UCL221073,0,5,0,7,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,37,26,38,54,66,50,4,0,0,277
UCL221074,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,18,12,11,43,61,79,105,28,6,0,337
UCL221075,0,0,7,3,3,8,0,0,0,17,0,0,0,0,8,5,3,3,0,15,11,3,43,61,77,99,35,8,0,341
UCL221076,0,0,4,0,4,0,0,0,0,9,0,0,0,0,3,0,0,0,0,10,16,5,42,62,82,87,32,0,0,317
UCL221077,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,9,10,14,33,36,48,78,29,0,0,246
UCL221078,0,0,0,0,5,4,0,0,0,8,0,0,9,3,4,8,0,0,0,23,10,24,58,58,69,62,13,0,0,293
UCL221079,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,11,10,30,21,43,60,23,3,5,198
UCL221080,0,0,0,0,5,0,0,0,0,7,0,0,0,0,8,4,0,0,0,15,14,8,28,55,65,64,20,0,0,253
UCL221081,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,7,40,24,55,46,22,3,0,199
UCL221082,0,7,5,0,8,0,0,0,0,17,0,0,12,6,5,0,0,0,0,34,19,50,113,117,123,69,13,4,0,510
UCL221083,0,0,0,0,3,10,0,0,0,9,0,0,0,0,3,0,0,0,0,5,29,15,64,106,103,124,41,6,0,482
UCL221084,0,3,8,0,0,4,0,0,0,15,0,4,0,0,4,0,3,0,0,15,15,30,108,77,64,70,25,0,0,399
UCL222001,5,0,0,0,5,0,0,0,0,10,0,6,0,0,0,0,0,0,0,5,12,11,11,9,55,36,10,0,0,153
UCL222002,0,0,0,6,0,3,0,0,0,7,0,0,0,6,0,0,0,0,0,3,11,9,18,48,60,48,21,0,0,218
UCL222003,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,4,0,0,10,7,12,53,35,23,27,5,0,0,163
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,7,3,0,3,0,0,0,19
UCL222005,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,5,21,16,25,25,7,0,0,103
UCL222006,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,3,3,0,0,13,12,7,24,48,33,37,10,0,0,173
UCL222007,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,11,9,25,34,6,0,0,93
UCL222008,0,0,4,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,11,7,19,41,71,35,4,0,0,186
UCL222009,0,0,4,0,0,3,0,0,0,10,0,0,0,4,4,0,0,0,0,9,6,3,37,24,17,40,13,6,0,147
UCL222010,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,7,19,17,27,34,51,32,12,3,0,192
UCL222011,0,0,0,0,0,4,0,0,0,8,6,0,0,5,4,0,0,0,0,9,22,18,17,48,57,27,8,0,0,200
UCL222012,0,0,0,4,0,5,0,0,0,12,0,0,0,5,7,0,3,0,0,15,14,13,15,37,51,55,10,0,0,190
UCL222013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,14,16,20,29,10,0,0,102
UCL222014,0,0,4,0,7,0,0,0,0,14,0,0,0,0,5,0,0,0,0,7,15,13,37,53,55,33,6,0,0,211
UCL222015,0,0,5,3,0,0,0,0,0,16,3,0,0,0,5,0,0,0,0,11,13,20,35,36,52,28,9,0,0,189
UCL222016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,8,25,24,16,27,11,0,0,111
UCL222017,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,7,4,5,9,22,9,3,0,59
UCL222018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,18,19,24,9,0,0,0,91
UCL222019,0,0,5,0,3,0,0,0,0,13,0,0,0,0,0,4,0,0,0,7,6,12,27,31,48,44,21,0,0,193
UCL222020,0,5,3,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,4,3,13,23,28,35,4,0,0,112
UCL222021,0,0,5,3,7,0,0,0,0,8,0,0,3,4,0,3,4,0,0,13,4,5,27,31,23,30,9,0,0,138
UCL222022,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,7,0,15,20,33,23,9,0,0,108
UCL222023,0,0,7,0,0,0,0,0,0,11,0,0,5,0,4,0,0,0,0,11,11,10,51,56,61,37,7,0,0,231
UCL222024,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,11,44,64,33,26,20,5,0,0,202
UCL222025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,19,24,14,12,0,0,85
UCL222026,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,15,7,27,42,38,37,10,0,0,170
UCL222027,0,0,5,5,3,0,0,0,0,14,0,0,0,5,0,0,3,0,0,3,3,4,30,39,31,33,26,0,0,164
UCL222028,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,5,18,40,41,22,21,4,0,0,149
UCL222029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,15,8,21,5,3,0,73
UCL222030,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,8,29,25,21,3,0,0,91
UCL222031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,25,34,16,12,5,0,117
UCL222032,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,5,10,48,35,28,34,10,3,0,170
UCL222033,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,3,0,0,6,0,9,38,35,44,38,17,0,0,174
UCL222034,0,0,0,5,0,0,4,0,0,5,0,0,3,6,6,0,0,0,0,15,0,10,23,31,29,21,14,0,0,133
UCL222035,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,3,16,11,14,29,5,0,0,86
UCL222036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,12,15,24,22,6,3,0,95
UCL222037,0,3,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,11,3,11,30,17,34,25,5,0,0,128
UCL222038,0,0,3,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,7,7,9,13,20,29,26,5,0,0,116
UCL222039,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,3,7,8,28,27,45,42,3,0,0,159
UCL222040,0,0,0,0,3,0,0,0,0,3,0,0,6,0,4,0,0,0,0,7,7,5,16,31,60,50,15,0,0,187
UCL222041,0,0,4,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,10,22,31,33,25,3,0,0,144
UCL222042,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,11,4,8,10,10,24,34,6,0,0,97
UCL222043,0,0,0,0,0,3,3,0,0,7,0,0,7,0,0,0,0,0,0,14,6,10,38,22,44,28,13,0,0,158
UCL222044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,4,8,18,16,28,36,11,0,0,118
UCL222045,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,12,10,12,23,35,29,3,0,0,123
UCL222046,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,8,0,0,0,11,14,9,23,21,22,35,16,0,0,135
UCL222047,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,20,8,0,0,67
UCL222048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8,5,0,9,5,21,33,11,4,0,87
UCL222049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,10,24,31,26,25,0,0,125
UCL222050,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,12,6,42,36,48,63,11,5,0,221
UCL222051,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,13,29,25,34,42,16,7,0,175
UCL222052,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,3,0,0,0,4,8,7,41,35,40,32,12,0,0,179
UCL222053,0,0,4,5,0,0,0,0,0,12,0,0,3,0,7,3,0,0,0,15,7,10,33,34,30,42,8,0,0,166
UCL222054,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,4,3,14,31,21,34,14,0,0,125
UCL222055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,21,19,31,34,9,0,0,127
UCL222056,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,8,40,63,15,9,15,5,0,0,166
UCL222057,0,3,0,5,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,12,4,8,24,41,35,27,8,0,0,158
UCL222058,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,20,31,13,14,4,0,0,0,90
UCL222059,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,8,4,20,14,19,26,4,0,0,88
UCL222060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,3,20,18,14,30,3,5,0,92
UCL222061,0,3,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,15,16,21,33,26,4,0,0,124
UCL222062,0,0,0,3,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,4,13,6,26,33,44,66,16,3,0,206
UCL222063,0,0,0,0,6,4,0,0,0,6,0,0,0,0,0,0,0,0,0,9,8,8,27,26,33,54,23,7,0,190
UCL222064,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,14,8,16,17,31,22,9,0,0,120
UCL222065,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,18,9,29,27,14,0,0,102
UCL222066,0,0,6,3,0,0,0,0,0,9,0,3,3,4,0,3,0,0,0,14,3,10,24,14,21,25,10,3,0,110
UCL222067,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,6,5,18,23,18,27,12,5,0,115
UCL222068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,15,12,32,30,3,0,0,111
UCL222069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,9,14,23,44,49,11,3,0,155
UCL222070,0,0,0,0,0,3,0,0,0,6,0,0,0,0,4,4,0,0,0,14,5,3,21,15,20,30,11,8,0,103
UCL222071,0,0,5,3,0,0,0,0,0,11,0,0,0,0,3,5,0,0,0,10,19,6,47,44,29,30,13,0,0,183
UCL222072,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,23,18,26,17,14,4,0,105
UCL222073,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,9,3,7,28,26,25,22,9,5,0,129
UCL222074,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,12,10,18,10,29,15,7,0,0,101
UCL222075,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,8,12,16,32,38,64,33,13,0,0,213
UCL222076,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,9,4,5,19,40,39,33,16,0,0,169
UCL222077,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,12,4,3,35,34,29,36,22,4,0,164
UCL222078,0,3,0,0,5,3,0,0,0,9,0,0,3,5,0,0,0,0,0,8,0,8,21,16,25,6,4,0,0,84
UCL222079,0,0,0,0,4,0,0,0,0,4,0,0,3,4,0,3,0,0,0,11,18,14,25,43,64,55,30,4,0,246
UCL222080,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,9,4,12,25,19,18,31,6,0,0,117
UCL222081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,6,3,12,21,25,30,6,8,0,101
UCL222082,0,0,0,0,0,3,0,0,0,5,0,0,3,0,7,0,0,0,0,6,5,7,9,34,35,23,3,0,0,120
UCL222083,0,0,4,3,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,3,10,9,17,34,15,22,11,0,0,119
UCL222084,0,0,5,0,0,0,0,0,0,5,4,0,0,3,0,0,0,0,0,5,8,6,16,31,31,42,6,0,0,141
UCL222085,0,0,0,0,0,0,0,0,0,5,0,0,0,3,7,4,0,0,0,8,8,8,24,30,33,43,11,0,0,157
UCL222086,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,6,18,27,39,43,34,22,0,0,188
UCL222087,0,0,5,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,6,7,19,39,31,34,46,11,0,0,196
UCL222088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,11,24,36,5,0,0,90
UCL222089,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,4,5,6,15,9,25,28,3,0,0,93
UCL222090,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,0,4,0,0,13,7,6,14,28,18,22,11,0,0,110
UCL222091,4,0,3,0,0,0,0,0,0,9,0,0,0,5,3,0,0,0,0,9,16,15,30,42,43,40,5,4,0,197
UCL222092,0,0,4,3,5,0,0,4,0,11,0,0,0,0,0,4,0,0,0,10,11,9,22,45,40,22,4,4,0,171
UCL222093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,18,17,32,38,7,0,0,138
UCL222094,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,3,10,29,12,22,34,5,0,0,124
UCL222095,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,5,23,9,16,22,10,0,0,98
UCL222096,0,0,5,0,0,0,0,0,0,9,0,5,0,3,5,0,0,0,0,11,4,10,34,55,60,31,25,0,0,220
UCL222097,0,3,7,0,10,4,0,0,0,14,0,0,0,0,0,0,0,0,0,6,14,20,36,21,43,31,6,0,0,172
UCL222098,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,6,25,45,42,38,9,0,0,172
UCL222099,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,3,7,26,17,11,19,0,0,0,87
UCL222100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,4,0,8,17,26,7,0,0,64
UCL222101,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,7,16,30,22,22,7,0,0,109
UCL222102,0,0,5,3,0,0,0,0,0,9,4,6,3,0,5,3,0,0,0,16,8,14,34,35,35,50,7,0,0,186
UCL222103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,20,41,20,8,0,0,115
UCL222104,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,4,0,0,0,11,9,16,24,23,20,25,8,4,0,128
UCL222105,0,0,0,0,3,3,0,0,0,7,0,0,0,0,4,0,0,0,0,6,11,9,17,24,26,18,3,0,0,108
UCL231001,481,675,1286,1341,1673,1519,520,58,0,7549,647,684,1210,1457,2060,1897,919,427,71,9381,12922,14329,28255,36121,48723,47196,18600,4083,499,210724
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
UCL299994,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
