UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL201001,48597,11248,95489,771675,1018770,421012,286889,1058156,206331,3762827
UCL203001,1331,457,2790,17190,24452,10796,7523,20763,5120,85845
UCL203002,1348,421,2780,16273,23051,10333,7365,19826,4890,81745
UCL203003,2366,490,4583,30083,41794,18122,12307,37877,8335,148516
UCL211001,350,56,671,6030,8372,3768,2555,7925,1688,30334
UCL211002,372,51,591,9445,12577,5697,5432,19410,4396,56958
UCL212001,263,32,404,3445,4744,2074,1580,4514,811,17165
UCL212002,224,120,512,2103,3030,1365,1054,3051,863,11469
UCL212003,543,139,1016,5051,6962,3198,2442,9015,2513,29176
UCL212004,237,63,519,3589,5825,2888,1690,2699,925,17618
UCL212005,712,166,1352,7074,9576,4248,3388,12370,3252,39909
UCL212006,346,51,644,6542,8859,3900,2874,7249,1333,30766
UCL212007,180,80,414,3806,5911,2661,1647,2982,906,17912
UCL212008,370,140,725,4048,6211,2811,2073,5805,1579,22531
UCL212009,470,180,1045,5382,7703,3441,2256,6675,1783,27240
UCL213001,203,148,543,1945,2911,1471,1168,2894,1010,11408
UCL213002,110,196,465,1496,2636,1397,928,1339,1286,9080
UCL213003,268,54,492,1903,2494,1213,977,3069,601,10261
UCL213004,235,29,372,2223,3237,1536,1196,2936,634,11750
UCL213005,166,100,424,2582,3998,1931,1329,2935,586,13358
UCL213006,94,56,223,1836,2598,1327,863,1461,304,8387
UCL213007,289,58,576,2554,3566,1675,1232,3458,799,13281
UCL213008,156,21,262,2598,3532,1559,1182,3159,453,12488
UCL213009,130,76,301,2064,2811,1351,932,2436,446,10033
UCL213010,322,49,554,2182,3036,1518,1309,4106,1102,13251
UCL213011,237,81,467,1779,2494,1197,1083,3750,1311,11620
UCL213012,198,31,334,1533,2259,1165,843,2394,605,8798
UCL213013,255,73,460,2037,3116,1525,1132,2967,774,11554
UCL213014,205,53,417,1585,2184,993,796,2580,646,8798
UCL213015,38,0,75,2110,2894,1227,1078,3180,615,11106
UCL213016,399,120,793,3000,4449,2030,1450,4351,1024,16309
UCL213017,310,49,563,3103,4453,2054,1523,3639,836,15613
UCL213018,201,70,390,1251,1823,1009,634,2011,508,7238
UCL214001,156,29,282,1017,1502,674,574,1754,383,5910
UCL214002,78,10,114,907,1314,623,542,1040,181,4611
UCL214003,257,80,505,1415,2174,1088,824,2116,766,8379
UCL214004,144,26,237,802,1043,437,406,1508,329,4522
UCL214005,9,4,27,163,244,111,69,198,58,839
UCL214006,125,79,297,964,1601,840,663,1284,500,5860
UCL214007,3,0,16,791,1128,427,350,1026,204,3924
UCL214008,215,48,417,1472,2192,1040,785,2015,482,7992
UCL214009,175,23,291,1323,2093,1008,687,1717,426,7258
UCL214010,125,37,235,876,1635,931,515,892,257,5113
UCL214011,142,24,239,1343,1892,883,644,1882,451,7087
UCL214012,137,62,312,838,1307,615,460,1411,370,5003
UCL214013,156,29,268,759,1236,618,415,1052,227,4313
UCL214014,145,40,261,818,1304,684,660,1551,582,5602
UCL214015,98,24,218,864,1224,696,526,994,278,4575
UCL214016,240,45,383,1031,1510,912,641,2038,491,6620
UCL214017,142,18,296,821,1502,846,454,717,321,4657
UCL214018,97,89,306,1309,2248,1269,879,1720,669,8096
UCL214019,127,29,208,854,1215,591,430,1555,455,5101
UCL214020,74,77,225,805,1132,576,493,1275,480,4765
UCL214021,129,37,213,863,1173,523,401,1231,239,4436
UCL214022,187,56,369,1170,1804,963,750,1996,536,7209
UCL215001,14,5,34,211,480,228,108,129,93,1246
UCL215002,55,3,96,343,574,283,226,562,140,2126
UCL215003,60,9,102,501,936,446,283,394,176,2735
UCL215004,14,12,47,245,368,169,129,233,153,1292
UCL215005,35,7,50,134,214,114,114,268,102,946
UCL215006,33,14,73,371,606,293,200,541,113,2126
UCL215007,26,3,79,355,674,383,251,253,115,2032
UCL215008,4,0,11,308,473,217,159,249,42,1450
UCL215009,8,4,14,114,195,116,79,215,77,801
UCL215010,21,3,32,373,529,292,192,306,107,1798
UCL215011,25,12,51,163,238,124,83,293,98,1002
UCL215012,54,9,110,487,885,454,231,555,139,2756
UCL215013,3,0,6,579,792,308,268,885,139,2973
UCL215014,9,0,13,205,267,113,93,248,45,973
UCL215015,23,21,80,354,658,335,217,367,199,2129
UCL215016,33,9,68,612,891,400,322,855,193,3273
UCL215017,45,10,75,464,551,297,226,414,141,2090
UCL215018,65,15,127,410,698,340,255,590,170,2459
UCL215019,17,0,18,327,564,285,166,293,235,1870
UCL215020,57,15,96,178,260,143,125,376,90,1183
UCL215021,4,4,18,189,293,128,98,238,91,1021
UCL215022,23,7,45,649,939,475,409,976,347,3792
UCL215023,43,8,76,215,317,171,144,356,66,1274
UCL215024,68,13,121,225,393,239,177,432,132,1602
UCL215025,0,7,19,135,241,149,108,204,67,896
UCL215026,12,0,23,150,239,131,96,257,91,957
UCL215027,36,10,76,174,217,116,112,253,122,1011
UCL215028,58,37,133,399,613,310,249,542,260,2375
UCL215029,75,28,150,573,1051,488,278,654,261,3308
UCL215030,31,17,72,174,270,185,124,305,93,1154
UCL215031,49,14,87,167,295,155,143,300,108,1165
