UCL_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL201001,8536,49907,220120,233322,186748,120376,24475,1913,99,845499,31257,49910,62289,41399,34468,34232,20332,4236,310,278438,4532,6076,9171,7185,6124,6419,2703,479,63,42745,735,2664,7153,5032,3148,1968,647,201,60,21593,45054,108558,298729,286936,230484,162999,48162,6822,532,1188278,1714,5932,11117,8231,7473,5607,869,43,10,41009,9529,6378,4259,2046,1788,2392,980,128,16,27513,11244,12310,15379,10282,9260,7999,1847,172,23,68524,56300,120864,314102,297212,239745,171002,50009,6996,562,1256803,69082,29687,33936,28538,32861,56180,116744,86623,32338,485993,4969,8184,21561,16292,12338,9481,7583,6285,3748,90442,130354,158734,369594,342049,284946,236664,174337,99909,36647,1833238,2497,35373,162781,132393,119428,67467,10212,464,20,530629,41003,60882,92950,106289,91042,68034,21319,2250,106,483877,6078,8225,20238,15075,7787,7567,2631,343,32,67964,666,2108,4785,3258,2356,1464,494,170,75,15378,50244,106584,280750,257009,220606,144537,34658,3225,232,1097849,1023,3503,7416,5305,4438,2760,261,15,0,24726,9622,5976,6087,5655,4487,3471,709,59,4,36071,10645,9478,13507,10955,8922,6227,974,77,12,60800
UCL203001,421,1399,4423,4103,3754,2589,453,25,0,17177,915,882,1152,711,689,855,495,84,4,5791,133,112,194,123,144,235,79,7,3,1024,31,48,108,57,55,40,14,4,0,362,1502,2442,5882,5000,4643,3715,1038,126,11,24351,55,140,243,162,130,111,13,0,0,857,170,85,89,48,39,53,28,4,0,516,223,221,329,208,172,166,42,6,0,1373,1728,2663,6214,5209,4809,3881,1085,132,11,25724,1351,482,741,633,821,1504,3628,2489,836,12484,147,203,404,302,305,276,264,223,137,2254,3228,3349,7352,6143,5936,5659,4969,2844,982,40461,161,909,2594,2156,2442,1572,199,7,7,10050,1228,1419,2308,2655,2245,1940,520,38,0,12358,163,195,521,309,198,248,75,14,0,1711,29,35,74,47,38,29,14,9,8,286,1579,2564,5500,5169,4920,3786,803,64,11,24399,40,69,123,85,86,55,8,0,0,460,173,93,123,113,87,79,16,0,0,684,219,155,244,195,176,133,22,0,0,1138
UCL203002,373,1413,4190,3874,3563,2543,505,22,4,16486,927,735,970,722,653,795,510,85,8,5406,87,110,180,142,127,225,78,11,0,958,24,41,93,64,49,36,15,8,3,340,1412,2300,5432,4806,4397,3598,1097,130,12,23182,59,127,167,123,119,86,12,0,0,704,177,83,66,25,34,55,17,0,0,458,237,211,230,151,153,143,30,0,0,1163,1647,2513,5663,4957,4550,3738,1130,134,12,24347,1124,460,585,581,734,1473,3677,2550,943,12124,120,162,384,305,299,270,238,169,109,2054,2893,3136,6635,5839,5580,5475,5046,2852,1063,38526,136,947,2521,2042,2375,1470,194,5,0,9699,1260,1245,2214,2510,2034,1982,555,43,6,11849,139,160,502,256,171,285,86,6,0,1602,20,32,80,59,33,37,7,7,4,280,1554,2381,5317,4869,4615,3770,844,66,7,23433,30,48,88,54,56,46,6,0,0,336,188,71,105,77,75,66,18,0,0,614,221,125,199,140,131,114,27,0,3,948
UCL203003,531,2420,8652,7650,6612,4458,815,70,5,31219,1528,1946,2462,1370,1179,1355,816,138,13,10816,165,246,347,280,251,292,131,17,0,1737,28,105,210,134,104,74,26,12,0,700,2256,4717,11675,9438,8145,6176,1789,242,22,44470,101,258,411,219,265,184,25,0,0,1465,325,205,162,73,52,97,38,4,0,959,421,462,577,299,320,277,64,7,0,2424,2675,5185,12259,9737,8465,6452,1855,246,24,46894,2293,1012,1232,959,1337,2505,5619,3924,1512,20388,242,404,814,533,482,422,387,297,168,3745,5213,6608,14297,11230,10283,9378,7853,4465,1698,71028,173,1586,5628,3783,3991,2478,316,15,0,17973,2064,2821,4322,4616,3880,3298,960,68,4,22030,287,391,960,602,336,366,125,5,0,3064,31,72,161,112,88,63,18,13,7,553,2549,4870,11071,9115,8285,6207,1417,106,9,43621,45,106,193,150,138,83,8,0,0,721,324,199,230,190,154,107,31,9,0,1239,372,303,420,338,295,185,38,8,0,1962
UCL211001,279,659,1699,1547,1445,998,198,12,0,6851,337,227,301,217,201,271,161,36,4,1750,42,20,47,50,51,81,30,5,0,324,18,15,44,28,25,18,5,0,0,156,675,920,2094,1842,1731,1364,402,49,3,9085,35,61,79,51,39,37,7,0,0,303,64,22,27,11,10,20,7,0,0,160,95,82,106,64,45,56,11,0,0,463,770,1007,2199,1909,1775,1416,415,56,6,9547,473,129,225,210,308,581,1389,825,243,4382,63,69,144,129,106,90,88,54,16,767,1309,1200,2573,2251,2191,2094,1888,929,267,14699,103,323,884,929,958,609,79,5,0,3882,447,378,862,851,761,674,190,18,0,4187,58,42,163,86,61,97,24,5,0,530,19,21,54,23,15,11,6,6,0,154,621,764,1954,1894,1802,1400,292,27,4,8754,13,26,38,37,33,21,3,0,0,176,62,21,29,31,23,24,8,0,0,194,74,51,72,72,54,49,13,0,0,375
UCL211002,219,938,3564,3740,2365,1339,266,7,0,12432,412,525,845,809,454,376,165,19,0,3600,53,65,155,136,99,82,30,0,0,628,25,60,184,129,52,35,6,0,0,488,704,1586,4745,4807,2969,1835,460,30,3,17145,73,132,247,189,141,94,15,0,0,886,163,81,60,47,37,28,15,0,0,430,238,210,307,237,174,124,24,0,0,1313,943,1794,5055,5046,3145,1959,489,30,3,18460,1140,392,625,614,652,920,1878,934,188,7356,157,194,462,419,286,191,136,90,23,1964,2233,2380,6143,6085,4081,3078,2503,1050,219,27777,67,549,1997,1867,1339,714,107,0,0,6643,605,661,1605,1492,994,674,190,14,0,6225,82,123,336,193,117,106,25,3,0,996,21,47,93,60,42,25,3,0,0,299,770,1379,4038,3615,2487,1523,326,19,0,14160,41,102,177,144,91,56,6,0,0,611,178,94,190,141,79,54,5,0,0,741,220,193,366,284,173,111,16,0,0,1350
UCL212001,94,309,1101,1057,883,582,99,3,0,4132,173,124,176,141,123,128,92,14,0,973,19,18,57,46,33,33,19,3,0,215,3,14,24,34,22,12,4,6,0,116,287,468,1362,1272,1059,762,205,21,0,5441,10,17,37,24,27,18,3,0,0,140,21,20,5,14,4,10,0,0,0,71,37,38,44,33,30,24,3,0,0,212,320,501,1405,1311,1086,788,214,21,0,5649,259,69,105,114,138,236,717,421,117,2167,23,21,59,57,48,42,50,28,4,339,594,588,1575,1482,1281,1068,977,471,129,8156,31,186,646,542,593,323,40,0,0,2373,231,252,453,509,412,344,100,12,0,2314,26,31,136,68,31,34,7,0,0,336,4,8,23,23,19,8,6,0,0,97,294,488,1255,1143,1053,711,153,14,0,5116,11,17,28,17,18,8,0,0,0,99,36,15,29,42,11,8,0,0,0,138,46,30,58,53,32,18,0,0,0,237
UCL212002,68,187,488,418,494,418,89,7,3,2183,122,57,85,84,84,135,80,19,0,659,24,14,21,25,15,45,21,3,0,170,5,7,17,10,16,13,3,0,0,62,213,265,613,544,611,610,197,23,7,3082,6,8,24,9,23,12,0,0,0,88,15,9,8,0,3,4,7,0,0,46,17,22,34,9,25,16,10,0,0,130,237,282,644,555,636,619,204,23,7,3212,149,49,72,58,104,206,570,463,154,1825,13,20,61,35,62,37,46,47,26,356,402,351,776,650,800,867,824,534,190,5388,17,122,292,239,333,227,37,0,3,1268,148,144,263,278,300,333,93,9,0,1578,18,21,55,35,32,41,19,0,0,216,10,7,9,9,5,6,0,0,0,50,197,289,614,558,673,602,154,14,3,3106,4,8,13,8,9,4,0,0,0,47,9,11,9,14,20,10,0,0,0,71,17,22,22,17,23,23,6,0,0,118
UCL212003,140,474,1423,1125,1148,925,210,7,3,5448,245,206,372,263,213,246,147,16,5,1702,26,31,63,36,37,52,17,5,3,272,15,22,63,42,39,30,0,6,0,222,429,730,1919,1464,1439,1257,369,32,4,7649,34,61,79,66,47,37,6,0,0,330,53,30,43,24,27,18,11,0,0,212,85,95,125,94,73,57,17,0,0,542,517,826,2042,1556,1512,1309,386,32,7,8192,445,189,335,258,299,537,1230,933,313,4531,82,86,211,178,163,151,129,82,54,1130,1043,1101,2586,1986,1977,1999,1742,1048,373,13854,45,365,949,765,873,587,98,4,0,3682,351,314,698,667,600,565,174,6,0,3374,46,48,145,76,59,66,16,0,0,448,13,21,32,31,39,26,7,7,0,176,456,745,1822,1535,1565,1245,294,19,0,7677,21,22,43,31,24,20,0,0,0,168,56,29,57,35,33,36,0,0,0,244,76,50,97,64,56,62,0,0,0,412
UCL212004,60,165,575,1003,927,596,114,4,0,3458,212,124,125,164,205,249,163,27,0,1273,45,21,25,52,42,61,29,5,0,279,8,8,9,27,25,9,5,4,0,88,326,312,734,1252,1197,920,316,43,0,5099,0,11,16,10,24,15,4,0,0,83,38,8,6,3,0,7,4,0,0,67,40,19,15,14,25,20,10,0,0,149,365,333,752,1270,1221,939,323,43,0,5247,238,48,63,70,85,314,1043,553,187,2602,19,20,35,51,44,66,78,57,20,392,627,405,850,1385,1355,1318,1447,650,207,8242,10,97,371,443,620,344,30,0,0,1921,270,186,337,746,644,541,173,19,3,2918,53,33,84,99,53,82,19,5,0,431,11,7,18,14,12,15,3,0,3,84,346,321,815,1298,1324,976,231,25,3,5350,4,6,8,10,11,9,0,0,0,47,21,9,6,12,17,13,3,0,0,79,22,16,19,19,27,21,10,0,0,130
