UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL214002,7,24,10,3,27,30,7,13,0,119,0,19,10,7,17,29,3,14,16,121,192,464,356,248,576,650,179,368,36,3060
UCL214003,0,23,15,12,22,27,12,11,3,125,14,19,12,7,32,28,9,29,47,200,231,633,460,323,723,737,193,484,112,3899
UCL214004,11,15,6,9,10,19,8,8,0,86,0,15,15,11,14,16,7,0,26,98,116,310,278,195,398,409,154,251,46,2150
UCL214005,0,3,0,0,3,3,0,3,0,22,0,5,6,0,0,0,0,0,3,13,27,61,51,38,78,106,23,49,16,442
UCL214006,0,16,11,6,13,10,11,7,3,83,9,19,18,3,3,8,4,5,19,94,222,470,350,217,424,376,108,195,61,2426
UCL214007,5,13,17,4,22,28,8,9,0,118,9,10,9,4,34,26,0,5,19,116,151,278,308,171,729,684,161,250,42,2782
UCL214008,9,33,18,15,24,38,8,22,6,176,7,30,14,4,28,25,8,14,32,162,253,667,542,379,762,881,225,461,71,4249
UCL214009,10,36,36,12,36,44,6,20,5,194,10,17,16,14,23,34,6,16,17,160,297,693,540,326,669,793,223,377,57,3969
UCL214010,13,18,4,12,6,9,3,3,3,68,8,11,11,3,11,8,5,6,14,80,192,471,326,207,335,435,108,249,48,2363
UCL214011,14,19,15,11,29,36,10,20,4,154,7,17,10,17,32,36,7,18,34,176,214,554,430,303,773,883,250,486,80,3972
UCL214012,12,22,13,11,23,19,8,17,0,121,3,15,7,9,14,16,4,8,25,103,137,345,288,230,484,468,167,268,65,2453
UCL214013,6,13,10,8,18,12,4,5,0,75,0,16,3,0,15,16,3,11,6,60,147,372,226,223,389,460,150,306,30,2307
UCL214014,8,12,14,8,14,11,4,5,0,70,14,12,3,7,12,8,0,4,23,86,158,417,295,197,326,340,75,188,51,2050
UCL214015,3,16,11,13,23,29,8,12,3,119,8,10,3,11,13,14,0,5,19,81,124,407,285,213,409,438,153,258,47,2342
UCL214016,10,20,12,5,18,14,3,15,0,94,12,15,10,9,28,24,5,8,24,131,148,455,320,276,575,442,111,224,64,2606
UCL214017,6,7,7,7,4,13,0,6,0,51,5,11,14,8,9,12,5,11,18,84,146,419,299,174,290,333,93,237,48,2038
UCL214018,15,21,25,14,22,23,9,15,0,132,6,18,10,5,14,20,4,10,24,121,249,562,414,294,568,605,173,319,67,3254
UCL214019,5,16,10,4,17,24,0,9,0,90,7,9,3,0,11,18,4,3,26,82,140,360,280,243,504,453,128,226,51,2389
