UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL221018,0,0,0,0,0,0,0,0,0,10,3,0,0,0,7,3,0,0,0,20,14,73,52,29,61,60,22,61,3,372
UCL221019,6,3,3,0,0,0,0,0,0,13,0,0,0,0,3,5,0,0,6,8,20,56,43,41,51,57,10,27,7,315
UCL221020,0,3,0,0,0,0,0,0,0,9,4,0,0,0,6,3,0,5,0,16,12,55,43,31,35,60,22,38,9,298
UCL221021,0,0,3,0,4,0,0,0,0,13,6,4,0,0,3,6,0,0,3,15,21,64,51,34,68,65,10,32,7,356
UCL221022,0,0,0,0,0,0,0,0,0,7,0,3,4,0,4,0,0,0,0,5,17,46,46,12,38,46,21,23,0,252
UCL221023,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,6,23,27,27,17,19,29,4,19,0,175
UCL221024,0,4,0,3,10,0,4,0,0,23,0,4,0,0,0,0,0,0,8,13,25,78,43,32,73,70,26,36,14,381
UCL221025,0,0,0,5,0,0,0,0,0,8,5,0,0,0,0,3,0,0,3,15,14,27,30,22,26,73,16,32,7,257
UCL221026,0,4,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,29,51,35,22,54,35,7,23,7,257
UCL221027,0,0,3,0,0,3,0,3,0,11,0,6,0,0,4,0,0,4,5,11,15,35,24,22,44,42,9,42,9,243
UCL221028,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,6,24,72,55,29,20,48,17,36,6,316
UCL221029,0,3,0,0,3,5,0,0,0,15,0,0,0,3,0,3,0,5,4,18,20,54,41,27,62,75,28,43,12,364
UCL221030,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,8,11,6,17,28,16,26,33,10,10,9,151
UCL221031,0,0,0,0,0,6,0,0,0,5,0,4,0,0,4,0,0,0,5,14,24,45,33,26,52,65,21,32,7,296
UCL221032,0,0,4,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,7,44,32,25,39,49,15,19,8,238
UCL221033,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,9,17,27,31,26,19,45,12,23,6,197
UCL221034,0,5,3,0,5,6,0,5,0,23,0,5,4,0,6,5,0,4,0,24,29,73,49,36,77,93,28,66,13,465
UCL221035,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,4,3,22,12,35,33,28,34,42,12,34,4,229
UCL221036,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,4,11,30,65,43,31,62,87,24,38,11,384
UCL221037,0,0,0,0,4,0,0,7,0,14,0,0,0,0,0,0,0,0,8,13,18,45,26,20,41,73,10,59,8,300
UCL221038,3,5,0,0,0,4,0,10,0,21,4,3,0,0,7,3,0,7,0,25,28,61,38,26,79,101,29,62,8,430
UCL221039,0,3,6,0,3,0,5,8,0,21,0,3,0,0,0,0,0,0,0,14,19,59,38,42,70,57,17,45,9,358
UCL221040,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,8,16,58,34,22,48,60,10,40,8,291
UCL221041,0,3,0,0,0,3,0,0,0,14,0,3,0,0,3,3,0,0,0,18,26,40,47,30,64,67,9,37,5,323
UCL221042,0,4,0,0,4,4,0,0,0,11,7,4,0,0,7,0,0,0,0,16,17,28,38,28,61,51,12,20,5,255
UCL221043,0,5,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,18,61,34,23,28,34,9,29,4,231
UCL221044,0,5,0,3,0,0,0,0,0,3,0,10,5,0,0,4,0,0,0,20,37,104,75,33,44,67,23,44,8,424
UCL221045,0,0,0,6,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,18,77,38,44,61,74,17,35,5,367
UCL221046,0,3,4,0,5,13,0,0,0,27,4,3,3,0,4,3,0,0,5,23,44,87,97,48,176,163,58,88,20,780
UCL221047,0,0,3,0,4,6,0,3,0,21,3,0,5,0,0,0,0,0,0,6,27,56,48,31,57,81,24,36,3,367
UCL221048,0,0,0,3,0,0,0,0,0,10,4,0,0,0,0,6,0,3,0,14,22,48,28,24,30,52,13,30,8,241
UCL221049,0,4,0,0,4,4,0,3,0,17,0,0,0,0,0,0,0,4,0,12,25,61,49,38,65,77,20,43,6,389
UCL221050,0,0,3,0,0,3,0,0,0,12,0,0,0,0,0,10,0,3,3,27,18,42,47,19,65,70,9,24,4,297
UCL221051,0,3,0,3,0,3,0,0,0,7,0,0,0,0,3,0,0,0,4,11,6,55,29,28,56,65,12,32,8,290
UCL221052,0,0,0,0,0,3,0,0,0,9,0,4,3,0,0,0,0,0,4,15,7,42,45,23,55,53,18,31,8,274
UCL221053,0,0,0,4,0,3,0,0,0,8,0,0,0,0,6,0,0,3,5,13,11,39,24,24,54,29,13,21,5,233
UCL221054,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,14,47,42,38,35,49,12,33,6,278
UCL221055,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,3,6,0,4,17,25,35,31,24,61,65,29,61,16,351
UCL221056,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,6,14,7,26,15,14,30,26,6,18,11,153
UCL221057,4,0,3,0,4,3,0,0,0,19,0,6,5,0,11,3,0,0,3,22,31,38,36,32,79,70,18,51,18,365
UCL221058,0,0,0,0,4,7,3,0,0,12,0,0,0,0,0,0,0,0,0,3,13,37,31,24,54,33,25,32,3,248
UCL221059,0,4,4,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,3,11,28,64,53,48,56,66,19,52,8,405
UCL221060,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,34,30,17,21,28,3,19,0,161
UCL221061,3,5,5,0,0,5,0,0,0,14,4,5,0,0,0,3,0,0,0,13,27,54,33,34,42,55,8,17,4,287
UCL221062,0,0,0,0,3,5,0,0,0,9,5,4,0,0,3,0,0,0,7,24,12,54,42,27,52,52,5,38,12,301
UCL221063,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,6,9,31,21,17,28,40,11,39,7,209
UCL221064,0,7,4,0,8,4,3,0,0,24,5,0,0,3,0,7,0,3,3,19,21,47,45,26,70,93,23,33,5,372
UCL221065,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,12,14,46,38,19,21,40,12,22,4,206
UCL221066,0,3,9,0,6,0,3,0,0,19,0,0,0,0,6,3,0,4,4,18,10,37,44,20,82,52,19,34,6,320
UCL221067,0,0,5,0,0,9,0,3,0,12,0,0,0,0,0,5,0,0,3,11,20,41,29,22,35,58,22,23,6,255
UCL221068,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,5,11,24,38,26,23,42,43,9,12,15,220
UCL221069,0,5,0,0,0,3,5,0,0,11,7,0,6,0,7,4,0,0,0,21,50,78,60,43,62,85,21,48,3,447
UCL221070,0,0,3,0,0,4,0,5,0,14,0,0,0,3,3,0,6,4,4,21,32,55,36,38,81,85,23,29,9,389
UCL221071,3,6,7,0,0,10,0,0,0,27,0,4,4,0,0,3,0,0,0,16,20,78,46,33,41,60,22,48,7,354
UCL221072,0,6,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,4,3,8,14,27,21,15,50,45,19,25,9,224
UCL221073,0,4,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,3,14,65,29,32,43,55,20,22,3,277
UCL221074,0,0,0,4,0,0,0,0,0,7,3,0,4,0,4,0,0,0,0,18,25,57,43,35,63,58,12,44,5,337
UCL221075,0,0,4,0,3,0,0,3,0,17,0,3,0,0,3,0,0,4,0,15,33,73,48,26,49,54,8,29,8,341
UCL221076,0,4,0,4,0,0,0,0,0,9,0,3,6,0,0,0,0,0,4,10,20,81,41,27,40,47,20,33,4,317
UCL221077,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,10,53,25,27,41,43,6,28,6,246
UCL221078,0,0,0,0,4,0,0,0,0,8,0,3,4,0,0,5,0,5,3,23,12,36,38,25,70,60,13,35,4,293
UCL221079,0,0,0,0,3,0,0,0,0,3,0,5,0,0,3,0,0,0,0,10,18,54,12,14,27,32,8,28,9,198
UCL221080,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,3,4,15,20,40,28,25,52,37,25,34,0,253
UCL221081,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,11,28,28,17,25,31,9,44,3,199
UCL221082,0,4,0,0,6,0,0,0,0,17,0,3,9,0,5,5,0,4,15,34,26,47,54,32,138,110,22,60,22,510
UCL221083,0,0,3,0,0,6,0,0,0,9,0,0,0,0,0,3,0,0,0,5,35,87,69,45,68,94,31,61,4,482
UCL221084,0,3,0,0,4,0,0,6,0,15,4,3,0,0,4,4,0,4,0,15,35,47,38,28,92,81,15,56,4,399
UCL222001,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,5,10,17,13,11,29,33,11,31,0,153
UCL222002,0,0,3,0,0,6,0,0,0,7,6,0,0,0,0,0,0,0,0,3,27,30,40,12,20,40,20,28,6,218
UCL222003,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,10,16,17,18,17,26,33,14,20,4,163
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,4,4,0,0,0,19
UCL222005,0,3,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,21,4,10,23,21,9,13,0,103
UCL222006,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,4,0,0,0,13,5,26,29,15,37,33,12,13,5,173
UCL222007,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,12,11,3,25,15,6,6,0,93
UCL222008,0,4,4,0,0,0,0,3,0,6,4,0,0,0,0,0,0,0,0,4,15,35,33,15,19,39,11,26,0,186
UCL222009,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,9,14,23,17,9,27,23,11,21,11,147
UCL222010,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,7,7,37,24,21,35,47,7,19,0,192
UCL222011,0,4,0,0,0,0,0,0,0,8,0,3,0,0,3,0,0,0,0,9,11,33,27,13,29,38,12,29,3,200
UCL222012,0,3,0,0,5,0,0,4,0,12,0,0,0,0,3,0,0,0,3,15,15,29,15,15,26,44,15,19,3,190
UCL222013,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,12,11,14,9,18,20,0,18,0,102
UCL222014,0,4,0,0,3,5,0,0,0,14,0,0,0,0,4,0,5,0,0,7,14,25,16,12,36,51,23,21,5,211
UCL222015,0,4,0,0,5,7,0,0,0,16,0,6,0,0,5,0,4,0,0,11,10,21,26,12,43,37,12,23,6,189
UCL222016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,8,12,13,10,5,29,22,9,15,0,111
UCL222017,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,14,13,0,11,6,4,5,0,59
UCL222018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,18,11,15,15,11,0,9,3,91
UCL222019,0,5,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,7,14,27,17,17,31,37,11,19,5,193
UCL222020,0,0,0,0,4,5,0,0,0,6,0,0,0,0,3,0,0,0,0,3,3,17,6,3,20,25,11,24,5,112
UCL222021,0,0,0,0,3,5,0,0,0,8,0,4,0,0,6,0,0,0,0,13,19,27,11,8,26,26,7,14,0,138
UCL222022,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,6,11,13,9,26,20,6,11,0,108
UCL222023,0,0,6,0,3,0,0,0,0,11,0,0,0,0,3,4,0,6,0,11,24,26,33,16,48,36,11,29,3,231
UCL222024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,54,30,13,34,15,7,35,11,202
UCL222025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,13,10,12,15,9,10,3,85
UCL222026,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,8,22,21,14,51,21,14,19,0,170
UCL222027,0,4,0,0,5,0,0,3,0,14,0,0,0,0,0,0,0,0,0,3,7,22,14,16,24,32,6,29,3,164
UCL222028,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,4,5,7,31,19,9,26,25,12,20,6,149
UCL222029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,6,9,12,11,15,3,73
UCL222030,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,10,19,15,9,7,9,5,9,3,91
UCL222031,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,13,9,16,30,5,21,4,117
UCL222032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,30,18,15,20,30,4,15,4,170
UCL222033,0,3,0,0,5,0,0,3,0,12,0,0,0,0,0,0,0,0,0,6,17,27,31,11,23,28,14,26,0,174
UCL222034,0,3,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,15,13,26,16,12,31,16,13,12,3,133
UCL222035,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,21,8,7,14,12,3,18,0,86
UCL222036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,14,13,9,22,15,6,3,3,95
UCL222037,0,0,0,0,0,3,0,0,0,7,0,0,0,0,3,3,0,4,0,11,13,10,13,14,23,34,6,13,0,128
UCL222038,0,0,0,0,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,7,14,18,9,9,22,27,8,14,0,116
UCL222039,0,0,0,0,4,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,9,17,25,17,32,29,8,29,4,159
UCL222040,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,7,15,24,31,21,28,34,10,18,3,187
UCL222041,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,6,21,15,13,31,38,4,17,4,144
UCL222042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,12,10,8,12,20,7,8,0,97
UCL222043,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,4,6,14,7,16,22,13,35,35,13,14,9,158
UCL222044,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,8,3,28,17,12,13,21,9,12,0,118
UCL222045,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,9,12,15,5,18,31,10,18,0,123
UCL222046,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,3,11,8,30,22,14,18,17,7,13,6,135
UCL222047,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,17,12,7,6,7,0,6,3,67
UCL222048,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,8,7,13,3,6,14,16,8,20,5,87
UCL222049,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,6,32,18,5,29,15,3,9,4,125
UCL222050,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,3,0,0,0,5,28,35,20,28,36,44,15,24,4,221
UCL222051,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,22,27,24,22,32,18,6,14,0,175
UCL222052,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,3,0,0,4,4,6,25,17,19,28,43,14,27,9,179
UCL222053,0,0,0,5,0,0,0,0,0,12,3,0,3,0,3,0,0,5,0,15,6,16,18,14,43,32,14,17,7,166
UCL222054,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,6,15,14,22,12,28,21,7,10,0,125
UCL222055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,23,7,28,17,3,18,8,127
UCL222056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,33,30,14,29,23,7,24,10,166
UCL222057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,12,13,14,14,20,15,38,18,24,0,158
UCL222058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,15,8,9,22,7,9,4,90
UCL222059,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,6,4,13,15,24,12,8,12,3,88
UCL222060,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,17,15,8,12,15,8,18,0,92
UCL222061,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,22,15,11,37,22,7,9,3,124
UCL222062,0,0,0,3,7,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,19,29,23,23,36,41,3,23,3,206
UCL222063,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,9,16,43,21,18,27,26,8,24,4,190
UCL222064,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,6,21,9,14,12,24,9,24,0,120
UCL222065,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,20,15,4,15,25,4,18,4,102
UCL222066,0,0,0,0,0,5,0,0,0,9,0,6,0,0,0,0,0,0,6,14,0,18,11,8,28,22,5,13,3,110
UCL222067,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,7,20,24,5,16,17,6,16,4,115
UCL222068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,10,9,23,21,7,5,0,111
UCL222069,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,23,27,11,25,33,9,18,0,155
UCL222070,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,4,0,14,11,13,16,9,9,18,6,18,7,103
UCL222071,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,10,9,41,17,11,35,31,11,24,3,183
UCL222072,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,15,8,7,20,15,8,18,3,105
UCL222073,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,13,26,14,15,15,19,5,17,8,129
UCL222074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,14,15,8,20,18,7,4,7,101
UCL222075,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,3,0,8,11,24,28,9,32,54,17,21,9,213
UCL222076,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,5,9,0,23,22,26,21,26,18,25,11,169
UCL222077,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,5,12,4,28,23,20,25,37,13,27,3,164
UCL222078,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,7,11,8,10,20,9,4,5,0,84
UCL222079,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6,11,19,36,33,28,33,48,6,33,6,246
UCL222080,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,11,21,15,11,14,28,13,12,3,117
UCL222081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,25,6,8,17,11,5,13,4,101
UCL222082,0,0,0,0,0,0,0,4,0,5,0,0,4,3,0,0,0,0,0,6,4,21,22,8,17,18,3,23,5,120
UCL222083,0,0,0,0,4,0,0,4,0,9,0,0,0,0,0,3,0,0,0,3,3,17,10,11,24,33,3,11,3,119
UCL222084,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,6,22,20,9,22,26,9,20,9,141
UCL222085,0,0,4,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,14,30,23,18,13,26,5,23,0,157
UCL222086,4,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,32,25,19,28,35,12,17,4,188
UCL222087,0,0,0,0,3,0,0,0,0,9,0,5,0,0,0,0,0,0,7,6,16,24,20,17,33,32,23,21,6,196
UCL222088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,6,11,16,21,6,7,0,90
UCL222089,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,3,12,14,0,21,16,12,15,4,93
UCL222090,0,0,0,0,0,0,0,0,0,5,0,4,0,0,5,4,0,0,7,13,8,13,12,11,22,32,0,12,3,110
UCL222091,0,0,0,0,0,4,0,0,0,9,0,3,0,0,0,0,6,0,0,9,18,24,14,22,32,37,8,30,0,197
UCL222092,0,0,5,0,0,0,0,4,0,11,0,0,0,0,6,0,0,3,0,10,10,25,15,9,42,39,15,26,0,171
UCL222093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,12,6,14,27,0,12,0,138
UCL222094,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,8,24,10,6,27,27,0,15,4,124
UCL222095,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,10,14,10,8,16,20,5,16,0,98
UCL222096,3,0,0,0,0,4,0,0,4,9,0,0,0,6,0,6,0,0,6,11,18,24,36,21,34,42,18,29,10,220
UCL222097,3,0,0,0,0,5,0,0,3,14,0,0,0,0,0,0,0,0,0,6,16,18,20,14,34,33,16,21,4,172
UCL222098,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,31,27,26,22,24,7,18,3,172
UCL222099,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,6,8,12,12,11,24,13,3,6,0,87
UCL222100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,3,20,7,11,10,8,3,5,5,64
UCL222101,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,6,0,5,10,7,19,9,26,22,12,14,0,109
UCL222102,0,0,5,0,0,0,0,0,0,9,4,0,0,0,0,0,3,0,5,16,16,31,23,14,34,34,11,12,3,186
UCL222103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,7,12,17,5,21,0,115
UCL222104,0,0,0,0,4,0,0,0,0,7,3,0,0,0,0,3,0,0,6,11,11,14,8,15,26,31,0,6,3,128
UCL222105,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,6,5,9,7,10,18,32,12,11,4,108
UCL231001,459,1257,908,544,1227,1597,373,1064,123,7549,554,1194,797,505,1181,1628,405,1092,2017,9381,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
UCL299994,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
