UCL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL201001,529066,29684,12983,4596,418,188,1369,578308
UCL203001,9070,851,491,98,16,11,47,10574
UCL203002,8849,850,476,90,12,10,59,10344
UCL203003,17150,1383,664,115,16,9,57,19402
UCL211001,3243,363,230,35,4,5,30,3910
UCL211002,8243,667,451,142,20,12,54,9595
UCL212001,2273,226,150,18,4,3,7,2684
UCL212002,1009,122,70,16,0,0,5,1230
UCL212003,2710,285,167,37,9,3,33,3255
UCL212004,2424,157,57,10,0,0,8,2653
UCL212005,4427,377,217,57,9,7,30,5126
UCL212006,4423,375,214,24,10,0,18,5066
UCL212007,2800,174,79,5,0,0,0,3067
UCL212008,2391,290,152,14,0,5,17,2865
UCL212009,2902,273,119,18,8,0,17,3334
UCL213001,1003,107,52,7,0,4,14,1187
UCL213002,765,68,25,8,0,0,4,864
UCL213003,1017,88,43,11,0,0,6,1161
UCL213004,1346,142,103,11,0,4,10,1624
UCL213005,1452,168,97,20,0,0,12,1745
UCL213006,1490,91,38,3,0,0,3,1627
UCL213007,1377,140,98,11,0,3,15,1644
UCL213008,1835,146,105,16,6,3,11,2124
UCL213009,1262,148,73,12,0,0,3,1498
UCL213010,1000,147,98,15,0,0,13,1270
UCL213011,825,116,75,11,3,0,16,1051
UCL213012,766,86,48,4,0,0,3,901
UCL213013,1120,125,71,4,3,0,8,1332
UCL213014,915,73,50,8,0,0,7,1052
UCL213015,1810,155,106,17,8,0,8,2105
UCL213016,1573,140,96,11,7,3,15,1853
UCL213017,1765,188,106,22,3,0,10,2090
UCL213018,599,69,41,12,0,0,0,727
UCL214001,479,59,39,10,0,0,4,588
UCL214002,834,60,36,7,0,0,8,939
UCL214003,580,62,48,6,0,0,4,702
UCL214004,348,44,25,3,0,0,3,431
UCL214005,91,13,6,0,0,0,0,107
UCL214006,422,33,27,7,0,0,5,489
UCL214007,600,35,26,14,0,0,0,676
UCL214008,775,54,39,0,0,0,12,882
UCL214009,763,86,46,4,0,0,8,911
UCL214010,471,32,12,5,0,0,5,526
UCL214011,859,81,46,9,5,0,4,1003
UCL214012,466,54,27,5,0,0,6,558
UCL214013,467,39,15,3,0,0,0,530
UCL214014,368,43,30,7,0,0,0,450
UCL214015,458,50,27,0,0,0,0,545
UCL214016,470,51,32,4,3,0,3,561
UCL214017,403,22,10,0,0,0,0,436
UCL214018,548,53,18,0,0,0,7,630
UCL214019,380,48,22,0,0,0,6,463
UCL214020,391,27,25,4,0,0,3,455
UCL214021,576,51,25,5,0,0,3,661
UCL214022,557,69,35,3,0,0,5,674
UCL215001,112,12,0,0,0,0,0,121
UCL215002,187,26,3,0,0,0,3,217
UCL215003,275,12,0,0,0,0,0,291
UCL215004,90,3,4,0,0,0,0,101
UCL215005,77,8,0,0,0,0,0,87
UCL215006,234,23,17,4,0,0,0,274
UCL215007,261,17,7,0,0,0,0,283
UCL215008,253,23,16,3,0,0,0,291
UCL215009,59,8,4,0,0,0,0,71
UCL215010,341,23,11,0,0,0,0,374
UCL215011,60,13,7,0,0,0,3,76
UCL215012,262,25,5,0,0,0,0,286
UCL215013,611,48,39,8,0,4,5,713
UCL215014,150,16,9,0,0,0,0,177
UCL215015,191,14,10,0,0,0,0,213
UCL215016,360,50,29,0,0,0,6,441
UCL215017,310,16,17,0,0,0,0,344
UCL215018,210,20,18,0,0,0,0,248
UCL215019,218,22,7,0,0,0,0,246
UCL215020,71,7,0,0,0,0,0,77
UCL215021,98,14,10,0,0,0,0,121
UCL215022,319,43,34,5,0,0,8,405
UCL215023,113,10,10,0,0,0,0,126
UCL215024,132,8,3,0,0,0,0,150
UCL215025,59,6,0,0,0,0,3,79
UCL215026,69,7,4,0,0,0,0,79
UCL215027,76,6,6,0,0,0,0,87
UCL215028,191,19,14,0,6,0,0,232
UCL215029,218,15,7,0,0,0,0,239
UCL215030,81,10,9,0,0,0,0,98
UCL215031,98,7,4,0,0,0,0,111
UCL215032,193,16,13,3,6,0,0,230
UCL215033,427,41,21,4,0,0,0,494
UCL215034,65,0,4,0,0,0,0,69
UCL215035,186,22,6,0,0,0,0,219
UCL215036,135,19,6,0,0,0,0,158
UCL215037,94,14,0,0,0,0,0,105
UCL215038,93,14,9,0,0,0,0,121
UCL215039,108,9,8,0,0,0,0,126
UCL215040,65,4,14,0,0,0,0,86
UCL215041,252,15,23,0,0,0,3,298
UCL215042,123,15,14,3,0,0,0,147
UCL215043,351,47,31,10,0,0,0,434
UCL215044,166,16,11,8,0,0,4,197
UCL215045,302,34,26,3,3,0,0,363
UCL215046,182,20,7,0,4,0,0,209
UCL215047,234,30,21,0,0,0,0,285
UCL215048,166,19,15,5,0,0,0,202
UCL215049,81,4,0,0,0,0,0,85
UCL215050,362,19,6,5,0,0,0,391
UCL215051,358,27,20,0,0,0,0,417
UCL215052,79,13,3,0,0,0,0,98
UCL215053,312,30,15,5,0,0,0,359
UCL215054,141,18,8,0,0,0,0,170
UCL215055,99,5,3,0,0,0,0,106
UCL215056,127,12,8,0,0,0,0,145
UCL215057,148,17,15,0,0,0,0,179
UCL215058,64,3,7,0,0,0,0,80
UCL215059,169,19,3,0,0,0,0,191
UCL215060,208,27,18,0,0,0,0,256
UCL215061,148,22,6,0,0,0,0,167
UCL215062,115,6,14,0,0,0,3,132
UCL215063,110,11,6,0,0,0,3,125
UCL215064,159,15,3,9,0,0,0,182
UCL215065,242,19,19,5,0,0,3,289
UCL215066,109,12,12,3,0,0,0,144
UCL215067,72,0,6,0,0,0,0,76
UCL215068,166,19,12,3,0,0,0,205
UCL215069,287,16,4,0,0,0,0,310
UCL215070,204,30,25,6,0,0,0,275
UCL215071,472,30,14,0,0,0,3,518
UCL215072,146,14,3,8,5,0,5,189
UCL215073,176,19,12,0,0,0,0,215
UCL215074,601,41,22,7,0,0,4,676
UCL215075,90,9,6,4,0,0,3,117
UCL215076,184,15,16,0,0,0,0,211
UCL215077,134,10,6,0,0,0,0,155
UCL215078,245,23,7,3,0,0,0,281
UCL215079,134,11,9,0,0,0,0,160
UCL215080,199,26,14,4,0,0,5,244
UCL215081,378,35,18,5,0,0,0,432
UCL215082,305,29,22,3,0,0,0,361
UCL215083,153,13,3,0,0,0,0,168
UCL215084,105,5,8,0,0,0,0,119
UCL215085,152,15,8,0,0,0,0,170
UCL215086,333,39,26,5,0,0,5,404
UCL215087,210,15,10,7,0,0,0,239
UCL215088,117,14,4,0,0,0,0,143
UCL215089,133,8,13,0,0,0,0,154
UCL215090,189,26,7,0,0,0,0,218
UCL215091,225,12,4,3,0,0,0,242
UCL215092,493,39,17,4,0,0,0,559
UCL215093,466,39,33,5,0,0,3,552
UCL215094,114,5,7,0,0,0,0,128
UCL215095,90,11,10,0,0,0,3,115
UCL215096,283,29,11,0,0,0,0,327
UCL215097,307,28,17,11,0,0,0,360
UCL215098,122,8,13,3,0,0,0,144
UCL215099,96,12,8,0,0,0,0,116
UCL215100,77,12,6,0,0,0,0,96
UCL221001,84,4,0,0,0,0,0,89
UCL221002,71,6,4,0,0,0,0,87
UCL221003,61,6,5,0,0,0,0,71
UCL221004,172,11,0,0,0,0,0,185
UCL221005,62,5,5,0,0,0,0,68
UCL221006,63,6,3,0,0,0,0,72
UCL221007,38,3,0,0,0,0,0,47
UCL221008,49,3,3,0,0,0,0,53
UCL221009,46,4,3,0,0,0,0,65
UCL221010,53,8,0,0,0,0,0,66
UCL221011,80,10,3,0,0,0,0,91
UCL221012,58,3,7,0,0,0,0,63
UCL221013,59,7,3,0,0,0,0,73
UCL221014,87,3,6,0,0,0,0,94
UCL221015,47,5,0,0,0,0,0,49
UCL221016,121,14,14,5,0,0,0,154
UCL221017,89,6,5,0,0,0,0,101
UCL221018,53,5,6,0,0,0,0,59
UCL221019,54,10,9,0,0,0,0,65
UCL221020,46,7,3,0,0,0,0,53
UCL221021,58,3,4,0,0,0,0,72
UCL221022,45,6,0,0,0,0,0,53
UCL221023,22,9,4,0,0,0,0,38
UCL221024,49,10,3,0,0,0,0,62
UCL221025,38,5,5,0,0,0,0,44
UCL221026,27,5,0,0,0,0,0,32
UCL221027,48,0,3,0,0,0,0,54
UCL221028,51,3,0,0,0,0,0,52
UCL221029,90,3,5,0,0,0,0,104
UCL221030,18,5,0,0,0,0,0,19
UCL221031,70,6,0,0,0,0,0,77
UCL221032,56,0,3,0,0,0,0,60
UCL221033,28,0,0,0,0,0,0,28
UCL221034,156,10,6,0,0,0,0,167
UCL221035,46,7,4,0,0,0,4,58
UCL221036,110,4,0,0,0,0,0,113
UCL221037,52,4,0,0,0,0,0,51
UCL221038,117,10,0,0,0,0,0,130
UCL221039,65,3,0,0,0,0,0,74
UCL221040,43,10,0,0,0,0,0,56
UCL221041,76,5,8,0,0,0,0,90
UCL221042,35,0,3,0,0,0,0,44
UCL221043,19,3,0,0,0,0,4,29
UCL221044,68,8,3,0,0,0,0,81
UCL221045,82,3,0,0,0,0,0,85
UCL221046,214,11,12,0,0,0,4,243
UCL221047,91,6,3,0,0,0,0,99
UCL221048,41,6,0,0,0,0,0,43
UCL221049,103,5,5,0,0,0,0,117
UCL221050,59,3,0,0,0,0,0,69
UCL221051,63,4,8,0,0,0,0,73
UCL221052,53,4,0,0,0,0,0,61
UCL221053,49,7,0,0,0,0,0,59
UCL221054,65,0,0,0,0,0,0,67
UCL221055,114,8,0,0,0,0,0,118
UCL221056,28,4,0,0,0,0,0,31
UCL221057,89,14,11,0,0,0,0,113
UCL221058,64,0,0,0,0,0,0,67
UCL221059,75,6,0,0,0,0,0,90
UCL221060,21,9,0,0,0,0,0,26
