UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL201001,245,3087,96,54142,385,80,159,219,226,372,117,258,159,1051,10601,13630,322,87,205,209,99,158,41,151,107,2340,2479,6196,106504,21157,2765,58749,8234,41178,4209,29685,5062,134262,15133,426935
UCL203001,8,58,3,667,9,0,0,13,0,6,0,5,3,27,307,365,6,0,0,3,0,0,0,0,0,86,61,169,2063,564,68,1615,177,869,130,800,150,4039,441,10909
UCL203002,6,40,0,542,10,6,7,14,6,5,0,11,3,44,312,409,7,3,4,4,0,5,0,3,3,92,59,184,1888,501,70,1543,175,809,113,788,149,4055,440,10528
UCL203003,5,87,0,1397,12,0,6,16,3,11,6,15,8,56,440,578,7,3,7,6,0,9,0,9,3,133,101,288,3761,931,111,2825,358,1484,176,1332,236,6265,635,18111
UCL211001,0,13,0,161,3,0,0,0,0,0,0,0,0,13,123,150,0,0,3,3,0,0,0,0,0,25,21,60,774,156,20,624,65,332,49,251,48,1456,163,3947
UCL211002,0,9,0,207,7,0,4,4,6,9,0,9,4,8,156,203,9,0,3,4,0,0,4,0,0,35,60,111,1273,208,41,704,124,705,44,358,94,1690,258,5496
UCL212001,0,8,0,154,0,0,0,0,0,0,0,0,0,8,56,70,6,0,0,0,0,0,0,4,0,17,18,44,516,90,17,298,51,211,25,144,19,754,86,2205
UCL212002,0,10,0,79,4,0,0,0,0,0,0,0,0,9,52,69,0,0,0,0,0,0,0,4,0,18,13,38,260,91,18,247,38,122,19,119,30,670,74,1689
UCL212003,4,15,0,169,5,0,0,4,0,0,3,3,4,11,117,153,3,4,5,4,0,3,0,4,0,30,46,101,740,166,27,469,60,320,30,246,41,1464,207,3776
UCL212004,4,42,0,332,0,0,0,0,0,5,0,0,0,13,84,105,0,0,3,0,0,3,0,0,0,21,12,40,332,158,17,336,55,167,37,231,50,1194,108,2691
UCL212005,3,22,0,251,5,0,3,3,0,12,0,3,6,13,129,163,0,0,0,0,0,0,0,0,0,47,52,109,881,193,29,695,71,432,50,330,70,1875,218,4836
UCL212006,6,12,0,301,3,4,0,3,0,0,0,0,0,5,70,93,0,0,0,3,0,0,0,0,0,15,10,33,933,145,27,537,77,380,43,223,50,1178,87,3688
UCL212007,4,31,5,334,3,0,0,0,0,0,3,0,0,0,65,75,3,0,0,4,0,0,0,0,0,20,8,39,481,132,12,298,45,168,27,191,27,937,79,2401
UCL212008,6,15,0,218,0,0,0,0,0,3,0,0,0,18,96,127,0,0,0,0,0,0,0,0,0,20,11,40,573,94,18,427,48,261,37,202,44,1117,124,2957
UCL212009,0,26,3,199,0,0,0,7,0,0,0,4,0,22,99,129,0,3,0,0,0,4,0,0,5,30,25,72,616,184,22,582,67,251,37,279,49,1430,151,3659
UCL213001,0,9,0,49,0,0,0,0,0,0,0,0,0,9,53,69,0,0,0,0,0,3,0,0,0,25,17,46,188,61,19,199,21,104,14,126,26,763,85,1606
UCL213002,0,5,0,69,0,0,0,0,0,0,0,3,0,5,37,51,0,0,0,0,0,0,0,0,0,12,10,20,138,92,3,156,12,111,19,128,14,552,49,1286
UCL213003,0,5,0,37,0,0,0,0,0,5,0,0,0,8,38,47,0,0,4,4,0,0,0,0,0,13,9,31,235,57,10,167,28,93,20,104,26,533,62,1332
UCL213004,3,0,0,76,0,0,0,0,0,0,3,0,0,8,68,80,0,0,0,0,0,0,0,0,0,21,17,45,295,69,12,245,39,138,13,127,20,701,91,1750
UCL213005,0,3,0,86,0,0,0,3,3,0,0,0,0,12,60,77,0,0,0,3,0,0,0,0,0,18,11,38,275,101,8,260,40,172,10,185,30,1046,86,2219
UCL213006,0,4,0,122,0,0,0,0,0,0,0,0,0,4,26,35,3,0,0,0,0,0,0,0,0,5,0,16,200,38,3,133,26,92,11,77,11,382,27,1002
UCL213007,0,18,0,119,0,0,0,0,0,0,0,0,0,3,41,51,0,0,0,0,0,0,0,3,0,18,15,42,349,91,16,271,28,132,16,143,30,709,72,1842
UCL213008,4,3,0,124,0,0,0,0,4,0,0,0,0,10,42,59,3,0,0,0,0,0,0,0,0,11,9,28,374,40,11,252,40,150,19,86,27,520,56,1568
UCL213009,0,7,0,62,0,0,0,0,0,0,0,0,0,5,33,44,0,0,0,0,0,0,0,0,0,10,8,24,240,66,3,204,31,97,16,104,17,591,42,1420
UCL213010,0,6,0,56,3,0,0,0,0,0,0,0,0,6,42,50,0,0,0,0,0,0,0,4,0,14,18,45,205,59,12,217,21,121,19,124,28,742,79,1623
UCL213011,0,8,0,39,0,0,6,0,5,0,0,0,3,6,51,67,5,0,0,0,0,0,0,0,0,26,20,51,136,51,13,153,22,129,13,127,30,646,81,1399
UCL213012,0,5,0,47,0,0,0,0,0,3,0,5,0,9,41,59,0,0,0,0,0,0,0,0,0,13,14,31,178,70,17,158,19,127,13,118,19,542,69,1323
UCL213013,3,3,0,106,0,0,0,0,0,5,0,3,0,5,56,66,0,0,0,0,0,0,0,0,0,15,16,31,228,58,16,217,20,165,13,127,25,634,77,1582
UCL213014,0,11,0,56,0,0,0,0,0,0,0,0,0,4,37,42,0,0,0,0,0,0,0,0,0,10,8,25,258,52,14,212,20,90,17,79,15,415,52,1218
UCL213015,0,0,0,66,0,0,0,0,4,6,0,0,0,0,42,50,5,0,5,0,0,0,0,0,5,6,5,22,315,38,6,211,38,153,20,69,16,314,50,1224
UCL213016,0,8,0,87,4,0,0,4,0,0,0,0,0,13,65,90,3,0,0,0,0,0,0,0,0,25,21,51,376,105,9,334,39,136,29,161,30,910,96,2222
UCL213017,3,17,0,159,4,0,0,0,0,3,0,5,0,6,47,64,0,0,0,0,0,0,0,3,0,16,6,33,410,89,22,299,24,176,26,162,43,899,69,2224
UCL213018,0,9,0,41,0,0,0,0,0,0,0,0,0,9,46,55,0,0,0,0,0,0,0,0,0,22,17,40,145,61,3,112,13,64,16,85,26,697,76,1296
UCL214001,0,0,0,21,0,0,0,0,0,0,0,0,0,6,40,46,0,0,0,0,0,0,0,0,0,6,11,15,137,37,13,88,13,59,11,58,12,349,51,832
UCL214002,0,0,0,37,0,0,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,4,4,9,124,20,8,78,14,44,3,30,7,205,26,560
UCL214003,0,6,0,51,0,0,0,0,0,0,0,5,0,12,39,59,0,0,0,0,0,0,0,0,0,18,6,37,200,61,14,144,13,99,19,97,14,582,63,1312
UCL214004,0,4,0,8,0,0,0,0,0,0,0,0,0,0,26,32,0,0,3,0,0,0,0,0,0,13,16,28,83,30,5,87,11,43,10,43,18,294,48,661
UCL214005,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,3,4,19,6,9,3,3,0,72,8,142
UCL214006,0,9,0,45,0,0,0,0,0,5,0,0,5,5,32,42,0,0,0,0,0,0,0,0,0,4,10,17,76,60,13,86,12,55,12,85,23,556,53,1031
UCL214007,0,0,0,40,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,4,0,3,217,17,4,93,15,47,10,18,10,90,12,535
UCL214008,0,0,0,42,0,0,0,0,0,6,0,0,0,0,41,46,0,0,0,3,0,0,0,0,0,8,15,21,155,75,8,173,26,93,13,87,15,441,64,1151
UCL214009,0,9,0,59,0,0,0,0,0,0,0,0,0,3,23,24,0,0,0,0,0,0,0,0,0,6,6,18,157,66,5,153,18,70,15,98,18,414,30,1031
UCL214010,0,15,0,73,0,0,0,0,0,0,0,3,0,7,19,33,0,0,0,3,0,0,0,0,0,7,6,21,86,59,3,90,14,51,8,83,17,545,36,989
UCL214011,0,0,0,34,0,0,0,0,0,0,0,0,0,0,21,29,0,0,0,0,0,0,0,0,0,18,9,23,172,26,9,120,22,78,6,62,9,377,39,921
UCL214012,0,5,0,17,0,0,0,0,0,0,0,0,0,0,24,27,0,0,0,0,0,0,0,0,0,7,8,20,96,32,7,90,12,50,0,58,11,328,45,738
UCL214013,0,4,0,65,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,4,6,8,108,20,7,67,6,45,7,43,9,239,18,575
UCL214014,0,5,0,18,0,0,0,0,0,0,0,0,0,0,28,32,0,0,0,0,0,0,0,0,0,14,5,25,58,48,0,82,7,37,3,96,23,502,46,894
UCL214015,0,3,0,16,0,0,0,0,0,0,0,3,0,0,15,23,0,0,0,0,0,0,0,0,0,8,4,13,85,35,6,74,12,39,4,53,15,323,30,675
UCL214016,0,4,0,15,0,0,0,0,0,0,0,0,0,8,18,31,0,0,0,0,0,3,0,0,0,24,11,43,87,30,7,97,7,66,7,64,10,543,42,971
UCL214017,0,27,0,105,0,0,0,0,0,0,0,0,0,3,28,28,0,0,0,0,0,0,0,3,0,8,0,16,74,56,6,62,0,46,9,105,8,533,36,950
UCL214018,4,10,0,83,3,0,0,0,0,4,0,0,0,6,54,68,0,0,0,0,0,0,0,0,0,16,12,38,138,76,16,152,17,118,18,141,37,878,86,1669
UCL214019,0,0,0,21,0,0,0,0,0,0,0,0,0,6,33,36,0,0,0,0,0,0,0,0,0,7,6,16,83,30,0,80,10,48,14,54,8,263,39,620
UCL214020,0,3,0,12,0,0,0,0,0,0,0,0,0,6,29,33,0,0,0,0,0,0,0,0,0,3,3,11,99,39,4,82,16,47,6,48,19,314,41,712
UCL214021,0,4,0,28,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0,0,7,0,7,90,14,0,66,14,34,3,31,4,180,27,481
UCL214022,0,0,0,13,0,0,0,0,0,0,0,0,0,6,30,36,0,0,4,0,0,0,0,0,0,14,7,30,78,55,10,110,7,53,9,77,13,570,51,1034
UCL215001,0,9,0,38,0,0,0,0,0,0,0,0,0,6,13,14,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,27,0,18,0,29,3,94,11,228
UCL215002,0,0,0,9,0,0,0,0,0,0,0,0,0,3,8,21,0,0,0,0,0,0,0,0,0,7,0,3,34,15,0,38,9,15,0,24,8,172,12,327
UCL215003,0,8,0,70,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,7,0,9,61,40,0,58,8,30,4,54,10,208,19,494
UCL215004,0,4,0,9,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,3,16,18,3,21,0,10,4,18,6,68,10,178
UCL215005,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,7,19,10,3,15,0,10,0,11,3,68,3,151
UCL215006,0,0,0,15,0,0,0,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,0,0,0,0,3,9,64,16,3,37,4,36,3,17,5,114,26,312
UCL215007,0,3,0,34,0,0,0,0,0,3,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,38,20,4,33,5,25,4,31,5,163,14,352
UCL215008,0,4,0,12,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,40,5,35,6,19,3,65,9,223
UCL215009,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,9,4,6,19,3,0,12,5,7,0,14,0,81,9,157
UCL215010,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,8,35,10,0,32,0,22,3,20,0,62,0,186
UCL215011,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,5,7,24,0,3,19,0,20,3,10,6,69,9,158
UCL215012,0,8,0,29,0,0,0,3,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,8,0,13,65,31,3,64,6,29,18,35,3,192,17,454
UCL215013,0,0,0,31,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,104,9,0,52,15,36,0,15,0,43,8,292
UCL215014,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,3,29,3,4,20,0,11,0,0,0,38,10,120
UCL215015,0,0,0,25,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,3,0,8,57,27,3,42,3,15,9,33,6,147,14,367
UCL215016,0,4,0,15,0,0,0,0,0,0,0,0,0,0,17,17,0,0,6,0,0,0,0,0,0,6,4,12,82,4,5,60,13,42,6,30,8,142,26,416
UCL215017,0,0,0,20,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,8,6,12,48,10,3,42,11,26,0,22,0,103,16,282
UCL215018,0,7,0,15,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,3,5,8,47,7,7,47,4,25,6,35,8,177,19,376
UCL215019,0,3,0,18,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,5,42,17,5,37,4,17,6,17,5,89,14,249
UCL215020,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,10,0,10,17,4,0,21,7,21,5,16,7,91,9,185
UCL215021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,5,16,9,4,18,4,12,0,9,6,62,11,150
UCL215022,0,0,0,15,0,0,0,0,0,0,0,0,0,0,16,22,0,0,0,0,0,0,0,0,0,3,4,6,53,17,3,79,9,38,7,44,10,231,18,504
UCL215023,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,3,9,33,7,0,31,4,8,0,18,0,91,11,200
UCL215024,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,7,4,9,24,10,4,25,0,18,5,14,9,144,14,267
UCL215025,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,8,0,24,0,18,4,16,9,81,3,178
UCL215026,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,7,16,8,0,10,0,21,5,15,0,69,3,155
UCL215027,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,3,0,4,21,9,0,23,0,11,0,15,4,56,7,148
UCL215028,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,3,28,15,10,50,4,34,0,33,3,169,23,358
UCL215029,0,11,0,67,0,0,0,0,0,0,0,0,0,3,17,27,0,0,0,0,0,0,0,0,0,0,7,6,75,49,0,73,16,45,6,48,9,200,26,548
UCL215030,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,3,4,7,19,9,0,22,0,13,0,13,6,90,10,190
UCL215031,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,4,23,9,0,25,0,18,0,9,7,78,8,173
UCL215032,0,0,0,4,0,0,0,0,0,0,0,0,0,4,19,21,0,0,0,0,0,0,0,0,0,7,3,10,41,19,0,41,9,27,0,44,0,188,20,403
UCL215033,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,74,3,0,44,4,22,4,10,0,61,4,231
UCL215034,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,4,0,7,6,12,0,18,0,13,0,8,0,109,11,183
UCL215035,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,9,9,25,8,0,27,0,9,0,10,0,77,16,177
UCL215036,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,3,7,15,9,0,10,7,11,0,11,0,49,5,118
UCL215037,0,4,0,10,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,7,29,16,0,23,7,15,3,13,6,77,9,188
UCL215038,0,0,0,13,0,0,0,0,0,0,0,0,0,6,14,18,0,0,0,0,0,0,0,0,0,3,3,10,25,11,0,23,0,21,6,13,0,131,19,254
UCL215039,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,4,8,23,5,0,18,0,13,0,10,0,92,6,162
UCL215040,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,19,0,14,0,9,3,70,9,153
UCL215041,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,7,7,13,51,17,3,67,8,24,0,37,11,194,25,437
UCL215042,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,29,9,3,23,5,16,3,7,0,44,3,147
UCL215043,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,9,67,10,0,62,8,32,10,15,0,75,16,297
UCL215044,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,4,29,12,3,27,9,13,6,15,5,68,8,203
UCL215045,0,5,0,12,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,3,5,8,45,28,5,54,12,30,7,45,8,202,26,449
UCL215046,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,6,0,8,42,9,0,24,5,13,3,16,3,59,11,193
UCL215047,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,3,73,13,4,38,7,16,3,11,0,66,9,243
UCL215048,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,4,6,0,6,34,3,6,22,3,12,0,10,6,72,11,175
UCL215049,0,7,0,26,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,13,5,12,3,13,5,75,8,156
UCL215050,0,3,0,75,0,0,0,0,0,0,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,0,3,3,66,30,0,45,10,32,4,35,3,127,12,360
UCL215051,0,5,0,27,0,0,0,0,0,0,0,0,0,5,21,31,0,0,0,0,0,0,0,0,0,0,7,10,74,17,3,72,11,37,11,44,9,250,36,554
UCL215052,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,3,4,16,17,4,23,0,20,3,25,3,109,7,229
UCL215053,0,4,0,26,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,5,10,12,71,29,4,79,15,33,9,40,0,192,30,503
UCL215054,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,3,11,33,8,0,34,8,12,3,28,6,84,17,223
UCL215055,0,6,0,20,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,6,27,26,7,26,0,21,9,38,5,175,15,345
UCL215056,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,3,3,24,5,4,17,0,17,0,8,0,39,10,119
UCL215057,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,3,30,14,3,22,4,13,0,17,3,93,8,203
UCL215058,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,16,0,16,0,18,3,78,0,155
UCL215059,0,3,0,16,0,0,0,0,0,0,0,0,0,3,11,17,0,0,0,0,0,0,0,0,0,0,9,8,32,13,4,43,7,18,13,38,4,136,21,329
UCL215060,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,4,7,8,61,21,3,56,13,24,6,30,9,152,16,388
