UCL_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL201001,810604,547663,724369,676438,572446,473959,356840,211345,91687,4465358,389,394,471,439,472,524,641,556,367,4253,189,701,761,386,399,459,333,122,27,3371,9579,13305,15911,10936,9265,8611,6957,4744,2991,82298,118,516,419,284,280,393,329,93,27,2463,67,165,207,132,101,135,97,35,18,965,44,199,180,107,125,161,109,35,8,970,34,137,176,82,85,116,118,40,13,804,26,69,66,35,35,36,17,0,0,295,16,77,61,39,28,31,32,8,0,289,0,0,0,0,0,0,0,0,0,0,10061,15163,17781,12004,10323,9941,8001,5080,3090,91452,10449,15563,18250,12439,10796,10464,8642,5636,3457,95702,821060,563227,742624,688884,583240,484426,365482,216983,95141,4561062
UCL203001,19117,12625,14292,12678,12206,11560,10251,6070,2650,101442,16,19,14,7,16,25,34,29,18,171,5,16,13,10,7,10,9,0,3,70,351,675,502,351,335,289,269,152,114,3035,4,9,10,4,14,10,18,0,0,71,0,9,4,0,0,3,3,0,0,26,3,0,0,3,10,0,9,0,0,25,0,0,0,0,0,3,3,0,0,5,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,706,536,369,360,331,301,158,115,3237,379,724,549,381,375,354,329,186,132,3411,19493,13348,14840,13056,12580,11911,10581,6256,2780,104851
UCL203002,18586,11685,13301,11951,11431,11328,10082,5969,2650,96979,11,9,6,15,9,21,26,28,13,135,3,25,13,8,9,10,14,12,4,97,281,604,518,333,333,322,214,129,110,2846,5,11,8,6,11,7,5,0,0,55,0,10,3,9,7,3,10,5,0,48,0,3,0,9,0,3,3,0,0,27,0,4,0,6,0,9,6,0,0,27,0,4,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,290,664,546,365,365,362,258,144,112,3114,297,669,554,383,375,378,283,175,123,3249,18886,12356,13857,12333,11803,11711,10367,6139,2775,100229
UCL203003,31151,22333,27622,22630,20900,19217,16098,9725,4399,174065,37,38,29,35,38,37,49,30,25,301,9,60,25,13,14,19,4,3,0,143,445,1007,796,466,482,459,363,283,175,4475,10,18,12,19,20,8,12,0,0,101,3,13,0,6,5,7,6,0,0,45,9,9,0,8,4,4,0,0,0,38,0,3,3,3,4,0,5,3,0,21,3,6,0,0,3,0,0,0,0,20,0,5,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,473,1115,846,513,529,510,395,293,175,4852,510,1152,873,551,568,543,444,325,199,5149,31658,23479,28492,23180,21461,19762,16539,10048,4597,179216
UCL211001,7393,4456,5016,4606,4413,4242,3663,1964,638,36385,7,10,5,0,4,7,10,8,6,48,17,55,45,23,32,13,9,10,4,203,91,139,129,122,97,80,44,21,17,750,3,14,9,9,5,4,0,0,0,49,0,0,0,5,0,0,0,0,0,14,0,5,0,0,3,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,106,217,190,159,138,102,67,28,26,1040,109,221,200,159,146,114,77,38,24,1087,7509,4680,5215,4769,4556,4355,3740,2000,661,37475
UCL211002,19132,8827,12767,11956,8030,6307,5094,2087,568,74777,20,6,13,11,4,6,11,3,6,85,9,3,3,0,5,3,6,0,0,32,246,206,274,142,101,65,66,18,10,1137,0,0,3,5,0,3,0,0,0,16,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,0,3,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,218,293,155,109,77,81,20,10,1220,274,223,304,167,118,86,95,25,15,1307,19408,9048,13074,12123,8146,6396,5187,2114,580,76088
UCL212001,4477,2292,3161,2962,2607,2223,1971,1037,398,21114,0,0,0,0,0,8,7,7,4,30,0,0,0,0,0,3,0,0,0,8,50,81,57,43,34,41,24,19,12,352,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,81,59,50,32,44,26,19,12,364,53,82,59,52,39,49,33,20,12,398,4533,2371,3217,3009,2639,2278,2000,1058,405,21511
UCL212002,2222,1432,1543,1336,1614,1765,1624,1072,495,13102,7,0,0,3,5,6,7,9,6,33,12,11,16,3,7,0,5,3,5,59,33,88,126,54,61,98,87,48,7,615,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,100,150,62,75,103,93,56,15,700,58,100,144,65,78,108,98,60,18,729,2282,1531,1688,1408,1692,1871,1725,1126,511,13835
UCL212003,6358,4003,5071,4070,4025,4025,3537,2241,971,34295,3,8,0,3,12,8,12,6,5,60,15,23,20,10,19,13,13,5,0,123,104,160,215,149,180,255,159,83,41,1354,0,0,13,5,6,10,7,0,0,40,0,11,9,9,13,10,8,0,0,59,0,3,0,6,4,0,3,0,0,16,0,0,0,0,0,0,4,3,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,195,262,178,217,297,185,91,40,1598,129,202,266,180,223,308,200,99,52,1655,6487,4206,5338,4250,4247,4332,3736,2341,1019,35955
UCL212004,4312,1894,1708,2838,2853,2708,2680,1245,490,20735,5,4,3,7,3,11,8,10,3,49,5,4,3,5,0,4,0,0,0,24,117,100,120,83,93,138,108,45,12,816,0,3,4,0,0,6,5,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,122,110,127,87,100,149,121,48,12,874,127,108,134,94,99,161,126,54,17,921,4439,2007,1845,2929,2957,2863,2808,1301,503,21654
