UCL_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
UCL201001,59,848,1973,7030,1872,918,359,92,23,13173,128042,234155,198564,352159,160504,125169,81391,41480,14354,1335821,20,267,454,2831,698,295,185,33,3,4785,0,22,73,1363,609,925,541,321,59,3916,13,109,143,1736,252,103,43,16,3,2412,26,193,780,2375,1460,1206,871,299,68,7283,63,263,250,1460,732,469,249,100,13,3605,7,75,91,1072,771,607,564,354,42,3591,293,3716,10088,31277,8373,9038,6273,2104,1003,72163,0,19,30,707,620,1299,1314,1454,412,5857,31,314,550,1516,576,1008,1242,902,266,6411,308,2585,3777,14557,10716,11863,9632,7103,2308,62837,8,88,289,1859,1029,921,499,187,38,4920,30,145,239,1828,519,370,290,140,54,3614,40,156,328,1609,1032,951,1844,1822,564,8351,14,207,425,1168,1309,3314,4591,6707,2856,20594,116,857,1195,4507,1392,1608,1363,356,93,11478,1061,6966,14435,80268,11795,5659,4156,1686,424,126443,41,292,1341,3965,1086,478,558,244,59,8069,40,736,1138,6039,1603,796,425,175,39,10996
UCL203001,0,0,4,5,4,0,0,0,0,13,2921,6244,5689,10711,4904,4730,3896,2111,724,41927,0,0,8,30,11,0,0,0,0,49,0,0,0,0,0,0,0,0,0,9,0,0,0,5,3,0,0,0,0,14,0,0,0,4,0,0,0,0,0,3,0,0,0,19,9,16,14,4,0,63,0,0,0,6,3,3,0,3,0,17,0,21,33,151,25,33,19,8,0,287,0,0,0,4,4,6,16,25,9,57,0,0,11,9,3,0,4,6,0,28,0,57,44,182,140,201,266,174,48,1105,0,3,5,9,3,3,6,0,0,31,0,3,5,12,0,8,5,0,0,30,0,4,3,9,14,11,57,26,5,129,0,0,0,0,0,0,8,12,8,32,0,5,4,10,9,3,5,0,0,34,6,39,173,651,92,16,17,9,0,999,0,6,4,14,9,0,3,4,0,38,0,0,0,16,9,0,0,0,0,30
UCL203002,0,6,5,23,3,0,0,0,0,48,2877,6014,5211,10082,4637,4644,4223,2308,873,40867,0,3,5,22,6,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,14,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,3,3,8,7,3,7,3,0,37,0,0,0,0,0,0,0,0,0,3,0,7,13,69,18,8,4,4,0,132,0,0,0,0,0,3,6,3,0,14,0,3,8,15,7,5,3,5,0,44,0,18,24,95,121,153,188,126,33,765,0,0,4,9,6,3,0,0,0,23,0,0,5,8,0,0,8,0,0,22,0,0,3,12,9,11,29,20,6,91,0,0,0,0,3,11,5,5,3,27,0,3,3,9,3,0,0,0,0,30,0,55,72,423,59,19,16,6,0,649,0,0,4,3,7,3,0,4,0,21,0,12,3,10,3,0,0,0,0,29
UCL203003,0,31,69,174,45,15,4,0,0,340,5251,9384,9388,17932,7918,7010,5368,2697,976,65913,0,0,11,55,13,5,0,0,0,86,0,0,7,62,17,59,33,20,5,203,0,0,3,26,8,0,3,0,0,38,0,0,4,7,5,9,0,0,0,19,6,10,12,40,19,18,9,5,4,113,0,0,0,9,5,0,3,0,0,17,0,52,98,305,63,60,57,18,5,669,0,3,3,52,42,118,117,139,60,539,5,16,5,32,6,7,10,7,0,86,10,102,144,417,359,472,428,323,130,2386,0,3,10,30,10,3,7,0,0,57,5,8,4,34,12,16,3,0,4,76,4,12,11,30,40,27,122,89,48,374,0,0,7,3,17,18,38,42,20,147,0,21,28,20,6,10,11,0,0,98,22,98,449,1949,105,35,34,17,7,2704,0,7,11,44,13,9,11,0,0,87,3,25,41,117,30,20,3,4,5,243
UCL211001,0,0,0,3,0,0,0,0,0,4,1084,2293,2179,3941,1794,1732,1446,645,175,15292,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,8,0,0,0,7,6,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,16,4,4,0,0,0,28,0,0,0,0,0,8,11,15,6,44,0,0,0,3,0,0,0,0,0,10,0,12,15,42,41,75,83,50,11,337,0,0,0,4,3,0,0,3,0,17,0,0,3,3,0,3,3,0,0,7,0,0,3,7,5,16,55,28,7,122,0,0,0,0,0,0,3,4,0,8,0,0,0,4,3,0,0,0,0,10,0,14,17,141,19,5,9,6,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,16
UCL211002,0,4,8,26,9,4,0,0,0,51,3261,4854,3026,5904,2286,1682,1345,448,104,22902,0,26,16,147,38,5,0,0,0,243,0,0,8,46,15,29,4,5,0,107,0,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,0,0,5,3,4,0,0,0,19,0,0,3,15,10,15,16,12,0,72,0,0,6,37,18,19,13,0,0,98,0,0,0,8,5,18,29,13,5,81,0,7,20,18,11,8,17,8,0,92,0,8,16,72,88,169,162,121,29,666,0,9,10,72,33,22,0,0,0,147,0,0,0,7,3,0,0,0,0,17,0,0,5,12,3,8,45,21,3,103,0,0,0,4,8,13,18,12,0,61,0,0,0,3,4,6,6,0,0,17,22,153,257,2279,173,68,68,22,0,3039,0,4,4,26,8,4,0,0,0,47,0,8,0,27,8,0,0,0,0,47
UCL212001,0,0,0,3,0,0,0,0,0,3,742,1459,1056,2360,1004,798,683,283,66,8451,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,10,0,0,0,3,5,0,0,0,0,8,0,0,3,3,0,0,0,5,0,11,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,7,13,36,45,73,63,43,19,307,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,3,9,4,22,12,6,53,0,0,0,6,0,3,8,8,0,21,0,0,0,3,3,0,0,0,0,9,6,17,30,267,8,7,9,3,0,343,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0,5
UCL212002,0,0,0,0,0,0,0,0,0,0,325,733,698,1134,684,749,681,425,149,5580,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,0,0,6,6,17,35,32,7,114,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,5,4,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,7,0,34,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL212003,0,13,28,53,17,24,9,0,0,151,980,1875,1693,2961,1447,1502,1318,732,249,12757,0,0,0,7,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,0,14,0,0,0,3,0,4,0,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,10,43,16,11,6,0,0,84,0,0,0,0,0,3,3,10,0,25,0,4,0,4,3,0,0,0,0,14,0,3,4,41,20,55,47,45,7,218,0,0,0,22,8,0,5,0,0,38,0,0,0,3,0,4,0,0,0,8,0,0,0,3,0,3,14,6,0,39,0,0,0,0,0,6,12,13,10,47,0,3,7,16,0,4,0,0,0,24,4,21,27,180,31,10,8,3,0,287,0,0,0,10,0,0,0,0,0,17,0,0,3,12,3,0,0,0,0,14
UCL212004,0,0,0,0,0,0,0,0,0,0,564,1539,949,1904,1095,1045,1116,456,135,8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,14,0,0,0,6,0,0,0,0,0,7,0,0,0,9,3,0,0,0,0,6,0,0,0,0,3,0,5,0,0,5,0,0,0,0,0,0,3,0,3,8,3,25,11,58,69,102,103,66,20,457,0,0,0,5,0,0,0,0,0,3,0,0,0,3,8,0,0,0,0,11,0,0,0,4,7,3,13,13,5,45,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
