UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL201001,1102854,3201336,156608,323779,126620,312906,283230,636687,85159,154126,52785,86616,62551,102756,74315,128371,914,1992,275722,473854,360,447,1205,1523,13,32,3635,7117,5212,9122,1691,3380,1668713,4324380,188947,..,1857654,4324380
UCL203001,35271,86848,4802,7964,540,1012,5345,8975,1007,1439,88,129,3,5,0,0,11,21,1102,1589,8,11,0,0,0,6,43,96,57,113,72,143,41851,97683,3370,..,45224,97683
UCL203002,35439,87259,2800,4346,451,851,3246,5195,399,626,17,44,0,0,0,0,15,19,429,688,18,27,22,41,0,3,32,74,81,152,75,160,39271,93452,2990,..,42259,93452
UCL203003,58195,148041,7118,11247,1654,3354,8772,14604,1757,2735,163,250,300,453,134,229,11,22,2368,3687,29,37,193,269,0,0,123,287,343,598,101,192,69783,167117,5193,..,74973,167117
UCL211001,12911,32513,1352,1974,86,165,1437,2140,277,397,0,0,0,0,0,0,3,8,282,400,42,44,0,0,0,0,8,24,47,71,15,32,14696,35157,1018,..,15712,35157
UCL211002,22565,67365,1705,3169,273,626,1978,3798,69,132,0,0,0,0,0,0,16,40,86,173,0,0,0,0,0,0,8,40,10,37,21,64,24655,71434,1450,..,26104,71434
UCL212001,7093,19179,635,1000,118,230,751,1229,40,46,0,0,21,26,0,0,4,17,71,85,11,21,21,32,0,3,6,9,36,66,4,11,7964,20574,491,..,8449,20574
UCL212002,4688,11330,725,1098,15,28,745,1127,15,25,0,0,0,0,0,0,0,5,15,26,3,6,39,54,0,0,6,6,47,64,10,25,5505,12584,576,..,6078,12584
UCL212003,11179,28414,1386,2269,69,123,1450,2396,1042,1592,19,23,0,0,0,0,3,3,1060,1616,16,36,42,103,0,4,12,28,81,178,41,74,13808,32672,1282,..,15090,32672
UCL212004,7544,19362,269,484,218,436,484,919,55,88,3,11,0,0,0,0,0,0,62,91,0,0,7,8,0,0,3,9,12,18,0,0,8107,20388,2302,..,10409,20388
