UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL215068,55,641,637,184,79,1589,43,1632
UCL215069,61,479,579,143,55,1326,16,1344
UCL215070,85,450,404,131,66,1140,22,1162
UCL215071,15,275,520,254,167,1241,9,1248
UCL215072,72,234,223,78,54,668,28,699
UCL215073,65,444,403,156,86,1157,24,1185
UCL215074,17,375,734,359,222,1701,25,1729
UCL215075,16,162,186,71,44,486,19,502
UCL215076,36,327,350,148,75,931,22,951
UCL215077,23,252,293,69,32,666,9,670
UCL215078,3,123,304,114,90,638,8,647
UCL215079,92,364,312,111,67,944,32,969
UCL215080,19,258,379,141,74,863,14,871
UCL215081,69,562,631,243,135,1638,32,1673
UCL215082,3,94,306,169,123,689,9,693
UCL215083,48,313,279,123,63,821,23,843
UCL215084,30,194,191,70,29,507,13,522
UCL215085,9,74,159,87,53,383,0,381
UCL215086,51,514,611,183,95,1456,20,1474
UCL215087,7,87,214,130,84,521,28,549
UCL215088,38,345,262,75,38,759,9,767
UCL215089,73,368,340,101,67,940,31,971
UCL215090,32,255,302,116,82,780,18,806
UCL215091,3,37,190,115,126,474,0,478
UCL215092,64,712,699,199,86,1757,23,1777
UCL215093,39,402,633,252,191,1509,18,1536
UCL215094,12,117,146,51,37,364,3,368
UCL215095,14,152,150,73,38,434,15,451
UCL215096,19,222,426,130,74,867,6,874
UCL215097,49,355,435,192,129,1161,10,1173
UCL215098,19,215,230,67,34,558,10,568
UCL215099,64,337,232,91,24,752,13,768
UCL215100,29,228,202,58,31,556,17,565
UCL221001,6,52,109,48,31,248,0,253
UCL221002,3,114,145,58,36,353,7,360
UCL221003,3,39,88,40,22,201,3,200
UCL221004,0,24,146,76,81,327,9,332
UCL221005,19,95,109,35,28,275,6,282
UCL221006,5,90,112,18,20,247,0,249
UCL221007,13,71,90,32,14,215,3,216
UCL221008,15,95,113,56,14,287,11,298
UCL221009,8,64,95,37,24,234,4,236
UCL221010,11,69,93,40,17,231,5,229
UCL221011,0,22,91,44,43,200,0,199
UCL221012,3,25,70,37,28,156,0,155
UCL221013,6,44,89,48,37,214,3,221
UCL221014,12,168,161,51,20,406,7,411
UCL221015,0,48,92,26,12,185,0,184
UCL221016,0,38,123,67,45,274,3,276
UCL221017,8,102,152,48,48,358,8,367
UCL221018,29,160,145,61,24,430,15,443
UCL221019,24,167,141,52,22,412,4,419
UCL221020,28,170,130,50,23,406,4,413
UCL221021,5,103,121,42,20,288,6,302
UCL221022,9,76,86,43,11,223,0,231
UCL221023,18,147,112,37,15,327,6,327
UCL221024,0,134,188,57,33,414,8,424
UCL221025,17,130,123,40,14,320,6,332
UCL221026,13,165,115,28,4,328,10,331
UCL221027,8,126,116,44,18,312,8,317
UCL221028,3,96,160,33,20,309,0,315
UCL221029,0,47,94,50,35,239,5,246
UCL221030,3,123,92,34,15,268,3,267
UCL221031,0,51,94,32,23,203,0,203
UCL221032,8,68,95,32,19,220,4,220
UCL221033,12,96,82,33,11,240,8,244
UCL221034,0,23,77,67,84,254,0,254
UCL221035,18,108,115,43,27,313,7,317
UCL221036,4,54,102,68,40,259,3,263
UCL221037,20,119,113,50,18,316,3,317
UCL221038,3,49,108,72,53,282,4,288
UCL221039,7,73,122,58,21,276,3,280
UCL221040,7,106,107,40,16,272,3,275
UCL221041,4,35,76,60,40,214,3,214
UCL221042,3,61,84,29,13,193,12,202
UCL221043,22,234,188,47,23,517,3,521
UCL221044,22,184,181,62,22,469,12,485
UCL221045,8,86,139,40,17,291,0,292
UCL221046,4,91,253,94,41,479,6,486
UCL221047,4,29,69,44,50,188,0,196
UCL221048,10,58,77,33,19,196,5,201
UCL221049,0,20,106,41,44,217,4,223
UCL221050,13,110,128,45,32,331,5,338
UCL221051,12,139,124,48,16,341,5,343
UCL221052,8,37,86,29,25,182,3,186
UCL221053,4,81,145,60,23,316,7,324
UCL221054,0,111,109,42,30,295,3,291
UCL221055,0,20,90,46,36,189,9,198
UCL221056,11,66,62,21,17,173,13,184
UCL221057,3,40,87,58,50,237,5,244
UCL221058,0,33,80,33,22,170,0,173
UCL221059,3,74,126,44,32,281,3,286
UCL221060,5,113,123,34,13,291,0,291
UCL221061,8,97,135,43,19,295,8,299
UCL221062,25,179,118,56,32,413,24,436
UCL221063,16,102,70,40,15,240,9,249
UCL221064,3,51,97,40,34,226,3,228
UCL221065,0,48,98,26,15,186,7,190
UCL221066,3,43,112,50,36,248,4,248
UCL221067,7,56,74,40,31,209,4,215
UCL221068,8,92,65,27,7,201,8,209
UCL221069,7,152,172,48,11,383,3,390
UCL221070,17,155,147,64,23,399,9,406
UCL221071,13,113,137,41,23,331,11,331
UCL221072,0,39,72,46,27,187,0,190
UCL221073,0,20,64,48,25,158,0,158
UCL221074,9,150,129,39,18,348,4,352
UCL221075,9,111,148,56,25,347,6,355
UCL221076,11,204,163,31,9,412,11,423
UCL221077,16,126,97,41,19,297,11,312
UCL221078,0,54,94,45,27,214,0,214
UCL221079,15,110,99,40,21,282,9,286
UCL221080,17,94,99,31,14,256,5,260
UCL221081,14,94,86,39,11,243,6,248
UCL221082,14,161,126,40,12,358,9,365
UCL221083,17,156,180,49,25,423,7,434
UCL221084,6,96,145,47,26,316,0,319
UCL222001,0,10,47,24,17,93,0,95
UCL222002,0,21,75,36,18,147,0,148
UCL222003,0,26,58,17,15,115,0,115
UCL222004,0,0,0,0,0,0,0,0
UCL222005,4,33,41,12,11,100,0,104
UCL222006,0,45,62,18,21,142,5,152
UCL222007,0,22,43,11,4,81,0,81
UCL222008,0,68,58,20,5,162,0,164
UCL222009,5,43,51,25,10,134,0,136
UCL222010,0,13,51,26,28,126,0,126
UCL222011,0,19,46,25,22,115,0,115
UCL222012,0,47,60,28,21,151,4,157
UCL222013,3,27,46,19,5,98,4,103
UCL222014,6,24,61,26,27,139,5,139
UCL222015,0,22,48,34,23,129,0,131
UCL222016,0,42,30,22,13,108,0,112
UCL222017,5,42,36,8,4,103,3,103
UCL222018,3,11,10,5,0,27,8,37
UCL222019,0,18,46,35,25,127,0,131
UCL222020,0,33,40,18,12,108,0,107
UCL222021,5,32,43,21,14,113,6,119
UCL222022,3,29,45,18,21,111,4,118
UCL222023,3,29,70,35,24,160,5,159
UCL222024,7,10,4,5,0,25,4,31
UCL222025,0,38,33,11,3,85,0,87
UCL222026,0,19,56,28,15,120,0,117
UCL222027,0,38,69,18,15,132,4,134
UCL222028,0,30,48,22,16,120,0,120
UCL222029,7,40,30,11,7,98,5,99
UCL222030,0,43,38,8,6,89,4,91
UCL222031,8,41,46,17,10,126,4,126
UCL222032,9,64,48,10,7,137,0,137
UCL222033,4,32,47,14,14,116,4,121
UCL222034,5,50,46,24,4,135,3,137
UCL222035,11,63,47,21,8,146,3,151
UCL222036,0,22,30,14,7,83,8,89
UCL222037,0,24,37,25,3,93,0,95
UCL222038,0,10,21,19,18,73,0,73
UCL222039,0,12,48,23,15,100,5,102
UCL222040,4,58,80,19,15,183,0,178
UCL222041,0,33,44,23,9,109,0,109
UCL222042,7,43,34,16,8,103,7,114
UCL222043,11,65,57,28,23,184,4,187
UCL222044,12,63,49,19,11,155,3,161
UCL222045,0,13,41,18,17,90,0,94
UCL222046,11,54,60,24,15,155,3,159
UCL222047,5,41,37,12,5,97,0,97
