UCL_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
UCL201001,55,5832,..,129236,10895,140129,1414,141541,..,36917,6918,43840,269,44106,..,5645,682,6329,61,6385,..,5612,3458,9076,59,9137,..,6684,1878,8562,64,8628,..,11103,2539,13647,95,13743,..,9871,582,10451,104,10554,..,8607,1605,10208,81,10285,..,6046,843,6891,37,6927,..,3942,375,4314,48,4363,..,8044,1645,9688,61,9746,..,5407,370,5773,57,5834,..,6715,1484,8201,54,8253,..,10742,277,11015,78,11089,..,8324,709,9040,108,9145,..,13637,398,14036,73,14110,..,4882,524,5408,44,5450,..,37593,1902,39494,300,39796,..,18133,2229,20368,168,20538,..,14139,1264,15402,167,15569,..,6734,1443,8176,44,8223,..,12802,3662,16460,106,16564,..,40435,20920,61357,427,61787,..,90045,21086,111131,1885,113015,..,688817,146622,835441,7554,842997,..,11663,2999,14663,92327,106992,1379759,700478,149625,850103,99890,2329751,2734902,..,..,..,..,2734902,..,4327,56,4381,21,4403,..,72742,12631,85374,612,85988,..,534,34,567,13,577,..,61574,18071,79640,547,80188,..,156048,53534,209588,1847,211433
UCL203001,0,24,..,859,77,935,13,949,..,70,4,69,0,72,..,81,4,89,0,83,..,9,0,10,0,10,..,31,4,38,0,38,..,11,0,11,0,11,..,231,18,247,3,252,..,29,6,32,0,33,..,29,0,29,0,29,..,29,0,29,0,29,..,38,8,46,0,45,..,10,0,16,0,16,..,20,4,27,0,27,..,111,3,112,6,115,..,41,0,38,0,38,..,120,6,126,0,126,..,48,0,48,0,48,..,319,6,328,6,332,..,97,3,105,6,111,..,61,0,66,0,63,..,74,8,91,0,90,..,5,3,13,0,13,..,88,14,103,0,103,..,527,52,578,13,589,..,3491,399,3897,46,3947,..,164,17,184,2503,2685,48271,3659,425,4079,2553,54908,92292,..,..,..,..,92292,..,61,0,64,0,64,..,174,5,181,4,187,..,27,0,27,0,27,..,127,30,156,0,159,..,734,216,944,16,960
UCL203002,0,22,..,569,38,606,8,619,..,90,4,96,0,96,..,26,0,26,0,26,..,11,0,15,0,15,..,30,7,37,0,37,..,4,0,4,0,4,..,228,21,245,3,252,..,16,0,15,0,17,..,9,0,9,0,9,..,12,5,18,4,20,..,25,4,25,0,25,..,0,0,0,0,0,..,12,0,10,0,10,..,122,0,123,0,128,..,46,3,48,0,48,..,134,3,137,4,139,..,58,9,65,0,65,..,364,21,378,3,385,..,54,3,56,0,56,..,37,0,34,0,34,..,52,12,62,0,62,..,7,3,14,0,14,..,77,21,94,5,95,..,854,441,1294,20,1313,..,3071,707,3779,47,3827,..,153,38,190,2517,2705,45890,3225,740,3970,2564,52426,88018,..,..,..,..,88018,..,76,3,75,0,75,..,192,7,196,5,203,..,44,0,44,0,44,..,114,25,137,4,142,..,400,144,541,3,549
UCL203003,0,70,..,1899,145,2049,25,2070,..,701,131,824,6,838,..,109,7,121,4,123,..,26,11,34,0,34,..,82,10,94,0,94,..,380,114,492,0,498,..,263,16,281,5,284,..,168,38,210,0,211,..,179,33,208,0,207,..,104,6,109,0,112,..,116,25,141,0,141,..,7,0,7,0,9,..,277,85,365,3,368,..,324,6,329,0,327,..,117,4,114,0,120,..,299,7,309,0,313,..,112,4,119,0,116,..,845,20,872,9,877,..,310,54,361,9,366,..,165,17,178,6,183,..,178,46,225,0,231,..,116,24,140,0,140,..,249,95,347,3,349,..,1934,628,2569,45,2608,..,10897,2075,12977,140,13118,..,297,52,346,3986,4339,75486,11200,2123,13324,4132,92940,145499,..,..,..,..,145499,..,155,0,159,0,159,..,620,107,728,12,734,..,40,0,39,0,39,..,336,73,411,3,411,..,1481,360,1841,23,1858
UCL211001,0,6,..,274,59,334,9,341,..,42,0,40,0,43,..,4,0,4,0,4,..,8,5,10,0,10,..,10,0,12,0,12,..,0,0,0,0,0,..,40,3,45,0,45,..,8,0,8,0,8,..,8,3,6,0,6,..,7,0,7,0,8,..,5,0,5,0,5,..,0,0,0,0,0,..,26,0,21,0,21,..,47,5,51,0,51,..,3,0,3,0,4,..,62,0,70,0,70,..,9,0,9,0,9,..,128,7,128,0,133,..,22,3,24,0,24,..,3,4,8,0,8,..,14,9,25,0,25,..,0,0,0,0,0,..,53,47,96,0,96,..,251,95,346,3,356,..,1160,274,1433,22,1449,..,77,19,95,868,958,16978,1239,290,1521,887,19388,33101,..,..,..,..,33101,..,28,0,28,0,31,..,66,3,74,0,74,..,18,0,15,0,15,..,20,5,31,0,26,..,87,35,125,5,128
UCL211002,0,56,..,3762,507,4268,70,4341,..,168,15,180,0,182,..,25,0,23,0,23,..,15,5,23,0,23,..,30,11,48,0,48,..,141,23,168,3,166,..,129,13,134,0,134,..,18,9,24,0,24,..,54,15,71,0,71,..,48,10,52,0,58,..,23,4,27,0,27,..,511,44,556,9,567,..,158,31,190,4,194,..,428,16,440,4,441,..,78,3,83,0,83,..,488,8,499,0,505,..,109,7,115,0,112,..,1104,29,1134,5,1143,..,285,45,328,0,328,..,175,30,199,0,204,..,94,20,107,0,107,..,129,23,149,0,153,..,289,146,441,7,444,..,2463,632,3092,57,3147,..,10619,1812,12433,169,12603,..,241,76,314,2438,2750,23443,10860,1885,12741,2611,38794,46102,..,..,..,..,46102,..,50,0,50,0,57,..,728,101,826,3,828,..,17,0,16,0,19,..,118,35,159,3,162,..,247,99,347,4,352
UCL212001,0,7,..,338,39,380,6,383,..,32,5,37,0,37,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,11,0,11,..,8,0,6,0,6,..,0,0,0,0,0,..,15,0,18,0,18,..,13,0,14,0,14,..,4,0,4,0,4,..,20,0,20,0,20,..,17,0,17,0,17,..,21,0,21,0,21,..,4,0,4,0,4,..,28,0,32,0,32,..,8,0,11,0,11,..,62,3,66,0,66,..,40,0,42,0,44,..,14,3,22,0,22,..,10,0,13,0,13,..,6,0,11,0,11,..,20,7,27,0,31,..,202,25,220,5,232,..,971,115,1083,17,1099,..,33,3,29,403,434,9633,1002,110,1109,423,11169,18697,..,..,..,..,18697,..,18,0,18,0,18,..,28,0,30,4,38,..,6,0,6,0,6,..,11,0,13,0,13,..,40,18,58,0,60
UCL212002,0,0,..,71,11,84,0,84,..,19,4,23,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,5,3,7,0,7,..,0,0,0,0,0,..,16,3,20,0,20,..,6,0,6,0,6,..,0,0,0,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,4,..,13,0,14,0,14,..,0,0,0,0,0,..,35,0,40,0,40,..,8,0,5,0,5,..,56,4,65,0,68,..,10,0,9,0,9,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,6,6,15,0,15,..,38,3,46,0,44,..,303,50,353,8,361,..,26,3,27,396,428,6418,338,51,384,404,7203,12239,..,..,..,..,12239,..,8,0,8,0,14,..,12,0,16,0,20,..,14,0,21,0,21,..,16,0,14,0,14,..,24,5,33,5,31
UCL212003,0,3,..,243,26,272,5,275,..,217,54,269,0,270,..,21,0,21,0,21,..,15,16,28,0,28,..,22,7,26,0,26,..,7,0,7,0,7,..,63,6,70,0,70,..,15,3,12,0,12,..,0,0,6,0,6,..,0,0,4,0,4,..,5,0,5,0,5,..,31,3,32,0,32,..,11,0,8,0,8,..,57,0,59,0,59,..,9,3,8,0,8,..,55,3,58,0,60,..,111,31,142,0,144,..,229,39,271,5,273,..,12,0,19,0,19,..,32,4,34,0,34,..,33,28,64,0,64,..,100,80,176,0,178,..,85,101,185,0,191,..,408,143,555,10,564,..,1983,744,2725,27,2746,..,68,15,87,1200,1290,14489,2051,757,2811,1230,18526,27450,..,..,..,..,27450,..,52,0,52,0,52,..,77,18,89,3,91,..,23,0,23,0,23,..,83,50,136,0,137,..,357,429,787,25,811
UCL212004,0,0,..,6,0,6,0,6,..,43,3,50,6,49,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,7,0,7,..,7,0,7,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,15,0,17,..,20,0,21,0,21,..,0,0,0,0,0,..,5,0,13,0,13,..,0,0,0,0,0,..,4,0,5,0,5,..,81,3,84,8,90,..,357,18,369,11,389,..,9,0,9,509,514,10648,367,18,389,520,11553,20383,..,..,..,..,20383,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,4,3,6,0,6,..,42,11,53,0,53
