UCL_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
UCL201001,8335,1163,32834,2043,607,5890,3309,3964,530,16344,2527,909,6544,1629,1084,230,12925,7971,2314,19875,6487,4294,977,41922,1651,506,4868,2662,3487,499,13677,20021,5272,44436,9799,6617,1411,87556,3112,1054,9351,5332,5388,858,25084,10138,5188,20843,8277,6698,888,52030,32287,16504,52173,14372,11519,1723,128582,34570,17267,82540,35513,34085,5140,209117,1935,882,6186,2561,2362,264,14197,2787,1066,7324,6816,9828,768,28591,4205,897,10410,4632,4625,3961,28726,143020,57687,338428,138001,132303,22919,832364,822,182,2186,1270,1841,263,6567,630,114,1232,318,732,81,3101,12174,2400,33003,16983,34286,2852,101691,3528,734,7067,2422,4151,388,18284,7752,1728,26809,18791,82920,3437,141436,6492,1413,17989,7996,11452,1254,46591,13321,3001,45203,23540,28709,3804,117572,6238,1056,22737,17357,18072,2404,67882,9076,1764,21514,14705,19261,2601,68921,6665,1778,16436,4714,3838,693,34122,18986,5214,46334,13040,7797,1956,93326,3610,974,10358,5071,7393,990,28394,49199,10479,106044,20759,13397,3287,203160,6373,1720,17944,10012,12655,1649,50353,19104,8433,38873,17972,16873,1926,103185,51374
UCL203001,359,28,746,19,4,55,44,108,14,246,19,14,71,50,61,5,217,19,13,77,80,76,7,268,9,4,50,39,100,9,204,131,59,398,138,189,18,933,21,14,87,84,188,15,405,172,115,400,262,304,21,1280,564,438,1400,379,495,30,3304,699,570,2126,1085,1480,141,6098,35,20,95,55,82,13,294,29,24,76,148,289,15,575,24,7,74,65,91,55,314,1887,1366,5649,3044,4860,454,17258,13,10,95,80,179,9,385,26,6,69,25,119,6,254,127,35,404,311,1196,53,2123,38,15,86,59,179,4,384,43,28,263,296,2388,49,3066,17,5,83,92,272,12,484,101,46,526,374,1116,85,2248,96,29,304,279,713,52,1473,78,10,184,157,448,39,916,33,33,167,93,172,8,507,61,40,212,175,122,18,623,11,7,114,85,199,12,432,314,132,1064,318,341,34,2203,51,28,167,136,373,28,775,298,198,740,576,722,43,2575,906
UCL203002,363,27,706,9,3,33,36,74,8,161,9,9,56,14,28,0,120,29,16,178,112,167,25,529,3,4,32,36,77,9,152,74,60,326,124,175,11,773,15,16,69,83,229,17,426,114,110,355,250,278,24,1125,331,409,1137,307,411,33,2627,661,605,2133,1137,1531,150,6218,12,11,82,36,76,7,221,26,14,97,146,318,9,618,12,12,58,58,113,61,317,1411,1348,5258,2944,4942,507,16401,12,4,81,57,198,22,382,31,11,122,44,387,11,595,92,30,384,292,1368,63,2231,20,20,107,74,192,11,421,26,21,184,239,2360,56,2883,12,8,64,74,230,12,401,62,46,430,343,1044,76,2002,49,17,229,258,664,49,1268,22,6,110,134,413,27,718,17,12,114,46,103,12,306,64,51,452,247,264,32,1110,13,5,66,69,169,10,334,164,120,769,261,311,24,1650,32,18,113,122,412,18,725,204,191,628,546,695,50,2309,510
UCL203003,646,37,1461,26,12,92,84,153,11,375,31,28,95,47,42,4,236,90,72,458,233,218,15,1087,21,9,84,87,147,13,371,288,137,882,319,318,38,1988,54,27,194,160,283,17,741,266,234,744,452,481,44,2214,957,699,2406,721,649,53,5479,1163,907,3946,1844,2592,248,10702,42,24,160,69,121,7,422,51,31,175,281,568,28,1135,59,23,206,136,198,122,740,3477,2349,11212,5796,8169,797,31800,23,13,115,73,154,15,398,14,5,28,18,61,9,124,342,48,781,505,1633,89,3397,75,12,228,134,337,21,818,197,51,816,668,4666,153,6541,83,28,351,246,599,28,1345,379,102,1399,959,1791,147,4776,257,43,742,615,1141,83,2885,239,50,449,396,842,64,2031,80,40,241,115,124,10,619,213,124,919,424,346,30,2060,45,17,221,151,289,25,748,712,263,2183,688,624,71,4540,134,49,373,285,595,41,1485,473,358,1413,935,1131,101,4408,1680
UCL211001,175,14,256,0,0,14,13,56,11,91,3,0,15,10,11,0,37,3,4,25,27,63,0,117,0,0,5,18,42,4,67,12,20,75,44,67,3,224,5,0,16,36,98,7,169,43,30,150,173,160,11,572,113,144,372,164,227,8,1019,149,172,654,444,702,43,2170,4,0,9,9,19,0,45,5,4,24,58,160,10,251,5,5,21,25,62,24,147,376,404,1550,1274,2325,167,6104,4,5,11,25,43,3,100,0,0,3,0,15,0,25,34,19,173,146,684,29,1085,0,0,8,15,55,0,76,8,10,53,118,947,34,1169,0,3,32,30,161,0,231,20,10,95,172,510,27,830,10,0,56,63,305,23,451,7,3,42,68,289,25,433,3,0,24,20,32,0,79,13,6,44,51,84,0,200,0,0,10,28,67,4,110,37,34,180,97,124,3,479,6,3,39,58,174,11,293,83,60,294,360,512,26,1337,168
UCL211002,159,16,373,23,10,81,97,218,15,449,10,0,32,16,16,0,75,37,8,126,76,94,23,363,11,3,23,18,68,7,136,72,19,185,95,80,16,456,36,12,80,72,157,14,369,49,30,160,134,190,9,583,174,190,513,279,291,23,1468,194,175,824,661,822,91,2762,0,3,24,27,52,9,114,18,5,45,68,162,11,305,27,5,60,59,103,73,326,803,508,2604,2065,3093,380,9454,11,0,20,25,37,3,99,0,0,6,9,28,3,48,77,8,229,226,667,56,1266,29,0,48,34,122,7,246,55,5,181,248,1628,68,2192,33,10,109,92,248,21,509,115,30,349,333,728,59,1613,60,11,146,189,285,29,716,115,28,367,573,888,82,2052,39,8,108,35,41,6,240,100,17,261,137,137,25,676,17,0,46,50,130,12,265,205,28,428,173,158,24,1028,55,18,132,122,333,25,698,135,49,344,288,456,32,1302,271
UCL212001,62,5,119,3,4,20,30,49,3,112,3,4,11,6,6,0,28,12,7,16,31,38,6,98,0,0,3,16,21,5,44,38,13,78,43,48,4,221,4,0,18,23,29,0,86,26,29,95,91,113,3,360,94,118,317,101,136,9,779,71,68,283,222,241,21,904,6,0,8,9,29,0,45,5,3,19,42,78,0,144,3,0,10,21,34,25,95,302,258,999,797,1106,109,3560,4,0,17,12,37,0,77,0,0,0,10,25,0,33,12,5,55,84,220,3,378,3,0,16,13,65,6,102,13,6,60,100,813,20,1017,5,4,29,34,73,5,152,25,5,71,83,194,11,403,11,0,31,43,94,6,193,24,6,58,97,261,16,455,5,4,26,15,21,3,83,14,4,50,49,50,13,186,4,0,9,27,45,10,88,68,21,184,86,82,6,449,11,4,32,31,79,0,154,47,43,152,170,249,13,672,134
UCL212002,77,7,145,0,0,3,3,11,0,13,0,0,6,0,5,0,9,0,0,8,8,11,0,30,0,0,7,0,12,0,20,5,0,41,13,10,0,80,0,0,11,11,25,0,50,8,10,27,36,29,0,108,40,42,143,29,52,4,308,61,67,230,147,248,34,785,0,0,13,17,11,0,41,4,4,10,16,58,4,97,0,0,3,8,8,4,32,133,133,576,392,712,73,2025,4,3,25,12,56,3,101,0,0,3,0,7,0,10,12,4,56,41,221,12,349,0,0,6,6,28,0,41,7,3,39,31,346,7,436,0,0,5,14,49,3,69,7,0,44,51,178,8,284,6,8,44,52,161,17,284,0,0,4,17,60,3,82,0,0,9,0,3,0,13,3,3,22,15,17,0,59,3,0,7,8,26,0,44,11,15,74,33,34,3,161,0,0,12,16,59,0,91,15,17,58,65,67,4,217,48
UCL212003,141,11,250,3,0,12,13,41,3,74,0,0,12,5,4,0,22,0,3,12,22,36,4,79,6,0,8,6,37,7,68,16,13,80,43,61,5,229,8,4,41,30,95,10,186,28,16,93,101,101,7,343,72,123,397,123,158,11,883,134,121,534,355,509,46,1702,6,4,11,11,13,0,42,0,0,14,48,106,4,172,0,3,28,26,33,30,117,302,315,1462,1022,1726,201,5022,31,4,128,111,197,50,522,3,3,16,10,46,4,84,20,11,86,62,289,18,484,8,6,26,26,82,4,153,4,5,24,52,588,20,691,9,0,39,37,132,9,222,11,6,108,107,419,38,682,4,5,77,113,278,23,500,12,4,28,49,178,14,289,0,0,16,8,35,0,64,7,7,36,35,55,5,141,7,0,16,16,74,7,121,46,25,192,85,122,7,480,7,7,66,49,178,18,324,57,34,164,200,224,21,701,113
UCL212004,55,14,148,8,3,11,5,17,7,51,10,0,19,3,3,0,33,13,9,70,33,27,0,142,4,0,17,15,25,3,65,46,32,167,50,37,5,337,6,10,30,29,27,0,96,38,33,139,62,49,3,329,141,112,360,89,90,9,811,173,162,447,211,178,33,1210,8,0,21,12,19,5,71,10,9,33,44,57,4,154,4,12,32,34,14,11,102,488,405,1546,782,745,119,4077,6,7,11,20,20,4,63,3,0,10,3,7,3,25,13,6,99,52,133,3,308,6,3,27,19,20,4,73,14,4,88,132,708,22,975,3,4,43,29,49,3,133,6,11,124,104,162,17,425,7,5,57,75,109,23,277,14,4,36,41,81,6,186,12,6,36,9,8,0,70,34,16,147,57,37,3,301,7,0,44,26,45,11,138,112,52,399,108,76,10,758,8,12,51,46,68,0,189,64,52,227,154,133,12,643,227
