UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL201001,37,2000,844,391,2255,0.9,1906,2.6
UCL203001,38,1430,736,300,1834,0.7,1401,2.3
UCL203002,39,1408,744,295,1849,0.7,1428,2.4
UCL203003,37,1701,770,330,2052,0.8,1570,2.4
UCL211001,38,1408,780,290,1872,0.7,1441,2.4
UCL211002,32,1625,706,331,1717,0.8,1529,2.9
UCL212001,37,1733,817,340,2125,0.8,1745,2.6
UCL212002,45,1414,705,285,1673,0.7,1300,2.3
UCL212003,39,1300,685,280,1633,0.8,1296,2.4
UCL212004,44,2000,886,425,2366,0.7,1929,2.5
UCL212005,38,1300,705,270,1713,0.8,1371,2.5
UCL212006,38,1733,858,361,2243,0.7,1926,2.6
UCL212007,40,2167,1005,500,2621,0.8,2275,2.7
UCL212008,39,1300,770,275,1969,0.7,1499,2.3
UCL212009,42,1408,753,295,1869,0.7,1396,2.3
UCL213001,45,1225,637,280,1465,0.7,1139,2.2
UCL213002,50,1408,683,310,1667,0.7,1196,2.1
UCL213003,42,1300,696,260,1686,0.7,1236,2.3
UCL213004,39,1640,693,330,1768,0.7,1422,2.5
UCL213005,45,1637,702,380,1753,0.7,1405,2.4
UCL213006,39,2100,948,432,2645,0.8,2288,2.9
UCL213007,40,1200,758,245,1803,0.7,1329,2.3
UCL213008,36,1733,848,365,2222,0.8,1939,2.7
UCL213009,40,1625,768,376,1969,0.7,1625,2.5
UCL213010,45,1083,566,210,1382,0.7,969,2.1
UCL213011,43,953,520,215,1257,0.7,935,2.2
UCL213012,47,1083,621,250,1498,0.7,1159,2.2
UCL213013,42,1300,698,280,1765,0.7,1319,2.3
UCL213014,38,1300,753,235,1790,0.8,1380,2.3
UCL213015,33,1733,847,360,2053,0.8,1917,3
UCL213016,44,1300,707,260,1726,0.7,1236,2.2
UCL213017,40,1625,750,321,1972,0.7,1540,2.5
UCL213018,52,1430,625,290,1440,0.7,1141,2.3
UCL214001,45,1083,673,250,1555,0.7,1183,2.2
UCL214002,35,1863,849,390,2246,0.8,2063,3
UCL214003,51,1200,636,255,1485,0.7,1107,2.1
UCL214004,47,1224,606,250,1454,0.7,1039,2.2
UCL214005,49,1420,680,233,1607,0.7,1258,2.3
UCL214006,56,1550,590,331,1350,0.7,1029,2.1
UCL214007,32,1800,996,396,2240,0.7,2016,2.6
UCL214008,45,1083,680,235,1605,0.7,1213,2.2
UCL214009,46,1683,689,350,1857,0.8,1439,2.4
UCL214010,55,1690,693,350,1671,0.7,1253,2.2
UCL214011,39,1625,734,340,1918,0.7,1528,2.5
UCL214012,47,1148,624,220,1480,0.7,1097,2.2
UCL214013,46,1733,728,360,1988,0.7,1486,2.3
UCL214014,55,1230,522,260,1222,0.7,886,2.1
UCL214015,45,1421,640,270,1637,0.7,1170,2.3
UCL214016,51,1000,510,240,1209,0.7,864,2
UCL214017,61,2000,824,400,1958,0.6,1525,2.1
UCL214018,60,1660,597,340,1413,0.6,1120,2.1
UCL214019,45,1274,622,250,1440,0.7,1120,2.2
UCL214020,48,953,644,214,1465,0.7,1089,2.1
UCL214021,40,1809,699,346,2006,0.8,1573,2.6
UCL214022,51,1216,526,280,1270,0.7,917,2.1
UCL215001,57,2115,958,350,2194,0.7,1765,2.1
UCL215002,52,1300,616,240,1455,0.7,1039,2.1
UCL215003,54,2167,853,405,2159,0.7,1699,2.2
UCL215004,51,1517,690,300,1513,0.7,1130,2
UCL215005,51,999,496,213,1258,0.7,890,2.1
UCL215006,42,1562,723,330,1893,0.7,1464,2.3
UCL215007,48,2000,855,462,2218,0.7,1736,2.5
UCL215008,35,1677,975,350,2335,0.8,2197,3
UCL215009,54,1083,509,200,1280,0.7,927,2.2
UCL215010,41,2167,996,400,2881,0.9,2787,3.2
UCL215011,53,1023,558,250,1470,0.7,901,2
UCL215012,50,1517,748,300,1827,0.7,1318,2.2
UCL215013,31,2058,1017,400,2360,0.8,2290,3.2
UCL215014,38,1740,810,355,2129,0.8,1912,2.7
UCL215015,49,1647,771,300,1743,0.7,1343,2.2
UCL215016,38,1500,719,315,1843,0.7,1501,2.5
UCL215017,37,1950,792,320,2210,0.8,1922,2.8
UCL215018,52,1094,610,240,1482,0.7,1091,2.1
UCL215019,43,1500,732,340,1949,0.8,1471,2.4
UCL215020,59,684,506,160,1222,0.7,845,1.9
UCL215021,49,1192,654,260,1699,0.7,1238,2.2
UCL215022,38,945,574,230,1322,0.7,1087,2.3
UCL215023,51,1083,618,220,1491,0.7,1134,2.2
UCL215024,56,949,554,180,1358,0.7,1003,2
UCL215025,55,1473,598,321,1350,0.7,1141,2.2
UCL215026,51,1300,542,281,1353,0.7,952,2
UCL215027,52,867,566,200,1369,0.6,960,2
UCL215028,51,1300,589,275,1491,0.7,1072,2.1
UCL215029,54,1517,718,340,1738,0.7,1205,2
UCL215030,54,768,547,170,1343,0.7,986,2
UCL215031,53,798,592,180,1447,0.7,1016,2.1
UCL215032,53,1121,586,250,1402,0.7,1030,2.1
UCL215033,35,1939,1135,380,2737,0.8,2615,3.1
UCL215034,62,1213,529,240,1327,0.7,846,1.8
UCL215035,38,1733,725,345,1981,0.8,1647,2.8
UCL215036,41,1764,766,370,2137,0.8,1951,2.8
UCL215037,51,1408,608,300,1397,0.7,1027,2
UCL215038,58,1127,483,250,1203,0.7,847,1.9
UCL215039,47,997,496,210,1261,0.7,912,2.2
UCL215040,50,910,581,180,1368,0.7,966,2.1
UCL215041,51,1000,571,200,1406,0.7,1004,2.1
UCL215042,42,0,752,0,2079,0.8,1738,2.6
UCL215043,33,1800,827,318,2082,0.8,1763,2.7
UCL215044,40,1347,738,280,1711,0.8,1409,2.5
UCL215045,47,1291,592,280,1475,0.7,1125,2.3
UCL215046,39,1716,749,365,1975,0.8,1656,2.5
UCL215047,32,1745,830,320,2020,0.8,1792,2.7
UCL215048,33,1418,708,330,1730,0.7,1403,2.5
UCL215049,56,2167,881,375,1937,0.7,1482,2.1
UCL215050,45,2492,1003,380,2868,0.8,2458,2.7
UCL215051,42,1200,634,250,1582,0.7,1179,2.3
UCL215052,59,1285,607,270,1493,0.7,1040,1.9
UCL215053,45,1600,749,331,1756,0.7,1259,2.2
UCL215054,45,953,580,210,1458,0.8,1072,2.2
UCL215055,60,1322,629,350,1390,0.7,1240,2.1
UCL215056,40,0,600,0,1455,0.8,1186,2.2
UCL215057,46,1300,646,270,1783,0.7,1255,2.4
UCL215058,52,867,527,220,1270,0.7,926,2.1
UCL215059,49,1235,683,280,1716,0.7,1252,2.1
UCL215060,49,1300,637,260,1503,0.7,1114,2.2
UCL215061,51,1430,643,293,1525,0.7,1088,2.1
UCL215062,47,1083,608,190,1631,0.7,1096,2.2
UCL215063,44,1515,675,288,1508,0.8,1344,2.5
UCL215064,46,766,673,200,1562,0.8,1202,2.2
UCL215065,50,1083,591,210,1401,0.7,1038,2.1
UCL215066,53,867,484,190,1109,0.7,770,2
UCL215067,52,0,601,0,1456,0.7,1037,2
UCL215068,64,1202,554,300,1276,0.7,975,2
UCL215069,52,1733,737,310,1934,0.7,1424,2.3
UCL215070,41,1062,616,250,1419,0.8,1081,2.3
UCL215071,42,1985,907,400,2436,0.8,2163,2.8
UCL215072,36,1006,576,220,1334,1,1196,2.9
UCL215073,54,1083,569,220,1424,0.7,1028,2.1
UCL215074,36,1900,853,380,2256,0.8,2024,2.7
UCL215075,42,1083,600,250,1455,0.7,1170,2.3
UCL215076,48,1300,711,250,1770,0.7,1268,2.3
UCL215077,52,1780,725,306,1735,0.7,1337,2.2
UCL215078,35,1832,897,374,2213,0.8,2078,2.9
UCL215079,52,867,553,188,1303,0.7,893,2
UCL215080,38,1300,708,290,1651,0.7,1362,2.4
UCL215081,45,1300,722,250,1805,0.7,1347,2.3
UCL215082,37,1950,832,420,2313,0.8,2187,3.1
UCL215083,49,1040,633,230,1481,0.7,1108,2.2
UCL215084,42,997,624,200,1455,0.8,1122,2.3
UCL215085,38,2000,838,350,2231,0.8,1981,2.9
UCL215086,41,1408,727,303,1867,0.7,1427,2.4
UCL215087,40,1800,783,305,2198,0.8,2048,2.9
UCL215088,50,1387,597,290,1488,0.8,1143,2.1
UCL215089,51,736,629,180,1503,0.7,1047,2
UCL215090,41,1560,731,290,1781,0.7,1399,2.3
UCL215091,46,2523,991,559,3198,0.8,3107,3.1
UCL215092,45,1900,821,396,2391,0.8,1887,2.5
UCL215093,34,1733,759,350,1892,0.8,1617,2.7
UCL215094,42,1522,743,250,1850,0.8,1455,2.6
UCL215095,40,867,629,220,1601,0.8,1154,2.3
UCL215096,39,1950,830,380,2033,0.8,1741,2.6
UCL215097,41,1757,634,335,1731,0.8,1365,2.5
UCL215098,41,1435,710,330,1695,0.7,1257,2.3
UCL215099,53,1083,494,220,1165,0.7,822,2
UCL215100,56,1320,549,300,1328,0.7,957,2
UCL221001,38,0,856,0,2029,0.8,1669,2.7
UCL221002,49,1443,718,310,1643,0.7,1357,2.3
UCL221003,38,1257,761,293,1888,0.8,1603,2.5
UCL221004,39,2268,956,350,2881,0.8,2851,3.3
UCL221005,48,758,740,155,1638,0.7,1152,2.2
UCL221006,42,1356,809,300,1952,0.8,1510,2.4
UCL221007,44,980,592,223,1478,0.7,1088,2.2
UCL221008,58,897,542,180,1385,0.7,960,2.1
UCL221009,37,1109,678,250,1579,0.7,1276,2.4
UCL221010,41,1040,647,250,1521,0.8,1180,2.3
UCL221011,43,1517,852,300,2262,0.8,2152,3
UCL221012,43,1550,930,250,2390,0.8,2312,2.9
UCL221013,41,1717,778,300,1889,0.8,1607,2.6
UCL221014,54,1517,664,300,1651,0.6,1253,2.1
UCL221015,54,1950,993,336,2304,0.7,2176,2.4
UCL221016,32,1923,942,300,2297,0.9,2200,3.3
UCL221017,46,1083,591,220,1463,0.7,1121,2.4
UCL221018,57,750,516,200,1230,0.7,922,2
UCL221019,53,1000,497,240,1272,0.7,1009,2
UCL221020,58,641,492,140,1309,0.7,790,1.9
UCL221021,39,1419,698,280,1544,0.7,1294,2.2
UCL221022,50,1083,687,220,1854,0.7,1171,2.1
UCL221023,59,704,460,192,959,0.7,707,1.8
UCL221024,59,1387,590,300,1370,0.7,1225,2.1
UCL221025,56,867,523,165,1490,0.7,871,1.9
UCL221026,55,1082,549,256,1171,0.7,816,1.8
UCL221027,53,1083,511,220,1271,0.7,869,2
UCL221028,64,2167,1057,481,2548,0.6,1977,2.1
UCL221029,37,1500,806,273,2336,0.8,2045,2.8
UCL221030,60,847,451,200,1009,0.7,720,1.7
UCL221031,37,1654,870,315,2250,0.8,2008,2.7
UCL221032,45,1452,655,300,1632,0.8,1307,2.4
UCL221033,58,650,529,158,1309,0.6,1030,1.9
UCL221034,38,2167,808,375,2491,0.8,2562,3.5
UCL221035,55,879,485,200,1196,0.7,839,2.1
UCL221036,41,1614,762,340,2143,0.8,1884,2.8
UCL221037,52,650,601,135,1468,0.7,1045,2
UCL221038,39,1997,832,310,2187,0.9,2040,2.9
UCL221039,46,975,745,200,1821,0.7,1375,2.3
UCL221040,52,1300,648,275,1474,0.7,1138,2.2
UCL221041,37,1668,781,340,1982,0.8,1809,2.8
UCL221042,44,1181,701,255,1491,0.7,1302,2.4
UCL221043,63,700,433,180,848,0.6,675,1.7
UCL221044,60,1127,583,221,1365,0.7,1017,2
UCL221045,44,1300,759,360,1833,0.8,1633,2.3
