UCL_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
UCL201001,42745,120484,94253,63701,264920,327183,84911,168476,21593,1188278,194,827,737,538,1176,761,174,229,52,4692,55,56,80,67,115,264,75,173,10,892,1788,6867,6010,4159,14626,10568,2426,3370,285,50097,342,344,663,626,2448,2128,493,611,43,7700,1056,4549,4406,2448,6197,6802,1313,2342,301,29406,1005,2557,3020,2115,7428,6033,1391,1803,97,25453,9628,35881,21796,10088,19353,12293,3020,4450,1044,117561,7949,30905,13366,4696,6782,4371,1083,2126,818,72093,1551,3079,3505,1883,6470,5568,1256,1627,260,25195,985,1832,1596,1166,4025,3779,988,1671,79,16132,2598,2720,4834,3765,12951,16380,3048,4976,293,51566,759,2105,2237,1354,4986,4233,859,1406,111,18057,3989,11224,12102,8414,22451,25242,5677,10009,468,99573,2170,8367,7332,3005,7704,5064,1050,1641,361,36694,3717,4592,6666,5431,18963,13059,3544,5126,337,61439,7175,26162,21752,14225,28760,20065,7975,14933,844,141900,13683,38075,46383,38737,46741,35028,7043,11310,1886,238881,2989,5306,2860,1576,2870,2512,544,1102,152,19913,4359,8704,7494,3653,6368,4112,1020,1465,339,37510
UCL203001,1024,2585,1855,1359,5322,6344,1914,3595,362,24351,10,41,17,14,17,20,9,12,5,137,5,3,6,0,7,12,3,7,0,44,51,184,115,63,193,167,56,55,5,901,3,10,13,12,31,37,9,15,0,132,23,110,92,50,113,92,17,16,4,504,9,42,35,16,57,49,12,6,0,224,189,950,568,301,432,244,71,68,23,2848,239,952,317,119,192,95,17,55,23,2009,24,56,60,44,112,57,10,20,3,384,28,38,42,15,61,49,38,21,0,293,33,23,48,39,115,91,22,22,0,404,4,40,33,25,88,60,15,19,0,284,49,154,193,134,270,225,50,72,3,1152,53,221,150,73,124,56,7,21,13,716,109,132,183,146,477,313,85,104,11,1563,200,618,616,434,776,407,226,435,19,3731,522,1081,1477,1322,1341,971,194,313,45,7251,44,138,72,40,70,47,18,24,0,459,75,204,159,84,128,82,19,22,14,788
UCL203002,958,2409,1621,1368,5348,5833,1750,3554,340,23182,4,37,26,12,37,33,7,6,0,167,3,13,10,6,9,25,10,22,0,104,51,174,128,92,279,208,65,57,6,1059,12,7,25,29,33,51,6,10,0,158,9,109,81,60,136,99,12,31,0,542,13,31,31,29,59,25,3,9,4,195,211,905,541,257,430,200,37,56,20,2678,180,871,316,155,166,113,23,52,23,1899,17,53,50,25,59,34,7,25,7,286,15,41,24,15,47,20,10,13,0,173,54,70,129,76,304,141,42,53,4,868,3,28,18,11,100,41,8,18,0,234,47,164,136,94,261,154,42,65,0,979,53,240,140,71,179,53,10,27,12,782,102,122,165,149,434,261,69,84,10,1396,151,497,497,335,644,327,171,310,16,2945,529,1030,1429,1379,1335,964,221,333,35,7254,28,115,73,31,58,27,6,9,0,343,75,213,180,74,119,68,16,37,3,779
UCL203003,1737,5096,3317,2399,9395,11990,3407,6428,700,44470,8,49,30,19,35,30,4,17,4,198,0,0,5,0,0,3,3,0,0,15,47,292,193,102,311,308,64,88,15,1421,27,18,39,25,100,75,18,21,3,329,28,198,157,95,201,210,49,66,14,1016,45,69,77,48,152,132,40,32,0,595,417,1797,1034,464,861,568,122,162,44,5465,402,1635,613,205,266,201,28,91,41,3494,43,105,116,48,121,110,25,45,9,619,30,69,53,27,57,51,14,20,4,331,88,82,174,163,425,333,60,88,4,1422,19,72,55,40,175,102,11,36,5,518,122,349,360,228,570,457,107,180,6,2380,95,466,220,121,192,103,28,35,7,1277,206,258,339,232,732,569,134,200,19,2696,318,1067,1013,629,1267,754,356,597,39,6043,828,2096,2605,2211,2310,1557,333,483,78,12498,98,211,102,43,80,56,15,26,0,633,144,385,305,140,223,158,31,54,15,1456
UCL211001,324,801,507,446,2018,2644,812,1379,156,9085,3,6,9,11,8,10,5,0,0,45,0,0,0,0,0,0,0,0,0,3,23,54,43,35,105,88,27,22,4,397,0,4,4,0,4,5,0,0,0,22,7,43,30,28,49,54,12,14,7,239,0,11,8,4,33,22,0,5,0,94,74,359,218,143,175,113,16,33,19,1145,50,269,114,47,69,34,11,27,7,632,9,19,19,19,45,21,14,22,0,163,3,10,8,0,16,6,6,0,0,53,12,15,29,25,57,29,8,9,0,177,7,8,14,13,31,8,8,9,0,92,9,35,65,35,76,33,8,14,5,286,15,87,51,40,72,24,3,11,6,310,39,52,85,64,226,192,49,41,4,757,63,150,159,143,296,136,73,118,7,1153,147,322,476,503,537,331,76,119,18,2533,10,26,16,6,13,5,0,4,0,76,35,80,71,23,49,33,12,8,3,318
UCL211002,628,1405,1196,995,4406,4643,1188,2196,488,17145,6,10,12,9,21,9,0,3,0,70,0,0,6,0,5,9,0,0,0,13,22,87,48,38,211,152,21,21,4,597,6,7,12,6,43,14,3,5,0,99,16,66,76,29,116,93,17,20,13,450,20,27,25,22,103,56,10,18,0,271,178,576,386,162,349,176,45,42,22,1933,136,428,167,67,93,58,10,26,20,999,38,77,85,55,264,200,34,68,11,840,17,7,11,5,39,19,0,3,0,102,33,20,41,23,188,163,17,25,5,516,12,18,24,10,75,43,9,14,3,206,26,66,64,37,174,131,17,33,5,558,46,146,125,62,143,56,8,25,6,621,46,83,91,52,260,165,29,57,9,784,78,242,263,235,457,201,79,116,6,1678,189,463,609,533,766,386,79,147,49,3219,51,44,23,18,25,23,3,7,4,199,55,93,95,41,69,41,5,16,0,418
UCL212001,215,444,299,234,1105,1565,468,996,116,5441,0,8,7,5,14,13,0,0,0,48,0,0,4,0,0,0,0,3,0,6,9,25,9,14,40,28,8,14,0,153,0,0,6,3,10,8,0,0,0,32,13,36,33,15,35,47,11,8,3,197,3,10,3,9,15,17,6,7,0,68,58,183,110,45,78,51,5,9,0,545,32,165,57,22,29,12,5,10,6,332,14,23,30,13,52,53,11,13,0,201,4,3,7,0,10,0,5,0,0,32,10,8,18,6,39,43,10,10,0,147,3,5,15,6,22,12,5,9,0,71,12,38,49,34,58,57,13,21,0,286,9,46,21,9,29,20,7,8,3,144,32,31,35,40,126,126,18,25,8,445,44,115,124,121,188,109,55,114,13,878,55,163,193,192,217,160,27,49,17,1075,13,25,11,7,12,8,0,0,0,78,18,42,47,17,40,19,0,7,0,198
UCL212002,170,276,212,173,684,758,233,509,62,3082,0,3,3,5,12,8,0,3,0,36,0,0,0,0,0,0,0,0,0,0,9,34,19,14,44,29,10,18,0,171,0,0,0,0,4,0,0,0,0,9,4,19,14,7,10,16,0,4,0,74,0,0,5,3,9,3,0,0,0,30,35,104,102,48,65,30,6,10,5,412,29,143,62,21,30,22,7,21,6,336,0,3,5,6,4,11,0,6,4,39,0,4,5,0,3,0,0,0,0,12,5,4,3,3,20,10,0,0,0,48,7,9,3,0,13,7,0,4,0,35,0,20,24,14,26,21,6,10,0,124,7,25,19,6,20,3,3,5,0,87,4,16,16,12,45,26,8,5,0,128,23,58,40,40,63,54,32,29,3,340,67,123,196,158,184,144,23,41,0,939,6,23,16,13,10,4,0,0,3,71,11,41,34,11,14,10,5,0,4,130
UCL212003,272,700,552,454,1807,1947,555,1137,222,7649,11,46,56,53,124,47,19,24,8,383,0,0,4,0,0,5,0,0,0,11,6,48,21,24,56,52,14,14,0,233,0,4,0,6,6,22,0,0,0,53,3,27,25,11,31,23,8,4,3,131,3,12,11,11,37,27,11,21,0,133,69,323,188,83,180,61,18,35,18,977,78,244,133,42,93,35,3,32,13,663,11,22,19,17,28,21,7,17,0,140,3,3,9,3,9,5,3,0,0,41,10,9,24,7,28,24,9,7,0,119,4,14,11,8,30,16,3,9,0,93,4,38,36,28,96,63,7,18,0,304,23,79,52,33,85,45,16,23,8,358,19,37,42,25,136,113,17,14,3,411,43,123,128,125,259,113,65,123,11,992,114,226,331,316,595,311,46,110,18,2068,3,15,15,5,10,4,0,3,0,62,21,58,47,25,39,21,6,14,4,235
UCL212004,279,551,409,315,860,1406,378,808,88,5099,0,7,6,6,6,3,0,0,0,26,0,0,0,0,0,0,0,0,0,4,8,55,25,12,14,18,7,16,4,165,0,5,4,3,5,0,0,0,0,21,0,47,30,17,12,26,3,10,4,153,0,7,16,6,17,14,0,6,0,67,51,179,84,50,49,58,18,18,4,525,49,191,62,20,37,13,4,18,4,399,8,5,23,11,10,13,3,5,0,79,3,7,10,7,10,0,6,5,0,45,12,20,25,18,38,39,11,15,3,177,3,20,8,10,14,17,0,9,0,83,17,82,72,47,57,73,17,37,0,393,14,58,20,4,21,12,4,7,0,142,27,43,80,44,86,67,17,20,6,389,49,161,172,92,129,111,52,105,10,883,109,254,317,233,192,151,45,52,14,1368,16,24,23,17,13,7,0,3,0,101,27,61,43,15,21,16,5,10,5,202
UCL212005,399,1056,697,561,2488,2854,948,1585,244,10832,8,37,41,50,106,76,17,21,11,365,0,0,0,0,0,0,0,0,0,3,21,75,35,42,103,105,37,30,8,463,3,3,14,7,33,40,3,4,0,112,7,39,36,30,57,47,12,14,6,255,3,11,16,9,36,26,5,3,0,125,84,407,253,127,226,91,24,22,17,1258,78,335,109,54,77,57,9,30,10,766,10,24,27,10,36,29,8,14,0,158,9,16,8,8,22,11,0,4,3,82,6,14,23,18,49,34,5,9,6,153,3,7,20,10,30,14,9,8,0,99,22,67,66,42,124,60,13,33,0,424,13,83,62,43,89,62,16,23,7,383,28,58,45,50,134,101,13,37,4,462,72,183,195,169,312,194,85,132,7,1357,191,449,585,593,625,475,76,139,31,3160,15,16,9,7,18,6,0,6,0,82,38,101,78,40,89,47,8,15,3,409
UCL212006,388,820,573,480,2236,2939,897,1563,153,10043,0,12,7,4,10,5,0,4,0,50,0,3,0,0,0,6,0,0,0,9,8,51,56,17,95,74,14,22,0,341,0,3,5,10,18,26,3,6,0,72,17,50,34,36,55,61,25,23,5,304,10,17,15,15,45,56,7,9,0,171,94,334,218,120,189,100,23,33,6,1117,86,278,83,31,54,32,9,18,4,586,34,54,76,31,130,100,37,23,7,489,8,16,17,7,23,12,3,11,0,89,22,14,45,30,111,104,18,25,6,357,13,22,19,13,42,30,4,8,0,139,19,58,81,58,133,107,20,42,0,522,24,85,40,24,62,29,6,11,3,269,52,74,104,61,237,155,45,55,9,781,106,210,244,178,318,187,90,129,7,1466,154,307,392,348,403,284,51,66,11,2010,20,36,16,15,26,13,4,10,0,133,50,86,55,40,47,30,16,20,6,344
UCL212007,291,631,366,308,1018,1603,494,1056,59,5822,3,10,3,0,6,5,0,5,0,34,0,0,0,0,0,0,0,0,0,0,11,51,23,14,18,24,6,13,6,157,0,0,0,3,11,5,4,0,0,31,17,41,38,23,18,30,6,16,3,185,4,11,13,13,19,23,6,5,0,99,56,186,98,47,98,91,12,25,10,620,53,212,61,32,34,32,10,12,0,437,13,15,16,11,12,13,5,7,0,85,6,9,10,3,12,10,8,3,0,65,9,9,25,17,42,48,8,20,0,193,3,14,8,13,20,23,3,9,0,99,14,77,69,58,73,90,21,49,4,457,16,60,23,21,20,14,0,0,0,152,30,49,50,47,103,85,24,27,6,419,55,157,154,80,152,137,65,95,9,911,113,239,320,191,183,141,40,62,0,1299,9,26,19,9,25,23,3,6,0,125,29,57,43,23,30,25,3,8,0,219
UCL212008,278,587,363,282,1477,1621,623,1004,92,6324,0,7,10,4,5,9,0,8,0,42,0,0,0,0,0,3,7,4,0,16,4,30,19,11,42,25,17,6,3,144,6,9,17,8,72,24,9,6,0,149,6,16,20,16,44,41,12,19,3,172,0,8,7,10,13,8,5,0,0,43,60,279,143,77,99,52,13,12,5,744,52,235,94,36,47,27,4,15,3,517,7,17,13,13,9,17,5,3,0,89,7,11,4,6,20,8,0,3,0,60,9,15,19,14,36,27,4,13,0,129,3,5,10,5,25,8,9,0,0,71,9,29,30,14,49,38,14,12,0,200,5,45,32,14,27,15,7,5,8,162,58,75,119,71,220,127,35,41,3,745,50,114,113,82,171,95,49,103,3,769,137,220,408,373,371,254,52,81,11,1914,12,35,13,4,7,3,3,6,0,81,33,63,55,32,30,23,9,9,0,257
UCL212009,341,883,529,411,1747,2121,668,1112,119,7925,7,30,15,12,14,16,5,9,0,114,0,0,0,4,0,3,3,0,0,8,17,65,45,22,89,93,28,25,4,384,4,5,9,12,9,18,0,0,0,59,5,24,16,17,25,16,8,3,0,110,0,21,13,3,17,15,3,0,0,85,69,407,209,83,186,76,25,17,14,1081,73,337,121,42,64,51,6,30,10,731,5,20,10,6,22,20,6,5,0,85,0,10,7,5,15,8,0,0,0,46,12,11,24,18,38,15,5,4,0,129,8,13,7,6,32,17,0,5,0,93,11,47,49,45,89,35,11,17,0,310,10,90,46,18,48,12,5,6,3,241,25,66,73,55,124,74,10,13,0,450,64,178,184,122,213,113,68,100,3,1040,163,343,508,477,418,338,64,113,23,2454,9,24,6,11,16,23,3,11,0,107,29,74,63,28,51,27,0,13,3,293
