UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL213002,0,9,0,9,..,10,0,10,0,10,..,5,0,5,0,5,..,3,0,3,0,3,..,82,15,96,0,96,..,358,39,397,8,400,..,33,0,32,1249,1283,8891,391,40,429,1255,10577
UCL213003,0,8,0,8,..,13,3,16,0,18,..,0,0,0,0,0,..,13,6,19,0,19,..,140,35,167,12,182,..,636,268,908,9,918,..,29,3,35,559,600,10835,662,274,938,572,12348
UCL213004,0,11,0,11,..,9,0,6,0,6,..,3,0,3,0,3,..,9,5,11,0,11,..,159,11,178,3,183,..,649,80,723,7,734,..,33,4,36,639,669,13362,681,81,759,643,14764
UCL213005,0,5,0,5,..,23,0,24,0,24,..,8,0,11,0,11,..,10,0,10,0,10,..,142,19,159,5,167,..,695,72,767,12,775,..,42,6,47,477,520,14897,737,71,809,490,16199
UCL213006,0,3,0,3,..,10,0,10,0,10,..,11,0,13,0,13,..,5,6,7,0,7,..,76,12,86,3,86,..,500,33,533,5,538,..,38,0,38,296,334,10129,535,33,572,302,10999
UCL213007,4,11,0,13,..,8,0,9,0,9,..,11,0,20,0,15,..,19,0,19,0,19,..,122,59,187,7,189,..,770,107,875,14,889,..,33,8,49,817,864,14537,804,115,924,834,16289
UCL213008,5,20,0,20,..,42,10,55,0,55,..,17,0,16,0,16,..,43,18,63,0,61,..,218,36,250,11,260,..,1568,158,1725,33,1752,..,38,4,47,422,472,13550,1604,159,1770,460,15772
UCL213009,0,5,0,5,..,9,0,9,0,9,..,12,0,12,0,12,..,12,0,14,0,14,..,137,11,150,0,157,..,726,73,796,9,806,..,24,3,27,442,467,11048,745,76,823,451,12319
UCL213010,0,0,0,0,..,17,6,18,0,18,..,0,0,3,0,3,..,15,9,23,0,23,..,259,50,304,4,317,..,776,154,936,12,947,..,61,4,60,1144,1203,13611,835,158,996,1156,15758
UCL213011,0,7,0,7,..,10,6,16,0,16,..,4,0,3,0,3,..,19,15,40,7,38,..,276,108,390,9,395,..,1210,279,1490,18,1508,..,49,30,79,1476,1555,11002,1263,304,1569,1496,14068
UCL213012,0,4,0,4,..,12,0,12,0,12,..,0,0,0,0,0,..,11,5,17,0,13,..,59,7,68,0,70,..,345,20,360,5,367,..,31,0,32,641,674,9411,374,20,390,644,10450
UCL213013,5,41,0,36,..,14,0,14,0,14,..,0,0,0,0,0,..,36,21,57,3,58,..,110,24,130,3,135,..,784,110,897,17,908,..,47,0,52,825,878,12313,834,114,947,836,14100
UCL213014,0,9,0,9,..,9,0,10,0,10,..,0,0,0,0,0,..,91,69,161,0,158,..,147,46,200,11,205,..,1031,326,1354,24,1373,..,46,17,62,674,742,8756,1079,340,1416,694,10869
UCL213015,4,46,0,46,..,15,0,13,0,18,..,89,20,108,0,108,..,30,7,31,0,31,..,395,99,494,13,511,..,2422,294,2715,37,2750,..,53,4,54,606,661,11326,2469,295,2771,642,14741
UCL213016,6,33,0,33,..,17,7,28,0,28,..,5,0,0,0,3,..,15,7,26,0,26,..,133,15,147,13,154,..,1045,131,1181,21,1195,..,54,7,60,1019,1080,17435,1101,139,1242,1034,19712
UCL213017,3,22,0,21,..,31,7,40,0,44,..,4,0,4,0,4,..,37,17,57,0,57,..,234,19,251,5,260,..,1176,148,1324,14,1340,..,41,3,42,849,885,16904,1218,152,1368,857,19134
