UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL213009,53,168,73,110,6,469,61,70,308,192,286,26,940,0,5,15,11,22,0,49,5,8,23,51,153,0,241,0,0,16,22,53,19,117,201,189,980,785,1948,111,4208
UCL213010,41,104,64,103,11,357,35,30,156,183,354,33,796,0,0,3,11,19,0,35,4,0,10,18,142,0,175,0,0,11,14,92,35,147,116,107,530,590,2158,147,3646
UCL213011,24,77,38,64,7,231,29,20,145,124,235,31,584,3,0,6,4,8,4,22,5,0,13,11,82,3,107,0,0,21,13,66,25,130,110,73,457,417,1463,149,2682
UCL213012,37,153,38,69,10,329,38,43,159,130,199,21,587,0,0,12,3,20,0,37,0,0,14,21,80,3,120,0,0,8,7,47,11,77,106,104,506,421,1394,113,2633
UCL213013,70,213,59,78,3,505,118,64,301,172,249,18,922,0,0,14,11,3,0,32,3,6,20,31,95,3,161,7,0,12,20,50,19,114,322,213,1062,749,1667,115,4132
UCL213014,57,192,43,90,5,406,66,50,201,134,186,20,652,0,0,0,9,19,0,34,3,9,6,14,121,6,154,0,0,3,10,59,24,108,135,140,696,538,1447,116,3075
UCL213015,46,144,85,118,9,456,67,56,203,169,226,24,751,3,0,22,16,20,0,65,7,0,19,36,141,14,217,13,5,17,30,124,36,220,316,167,907,925,2135,164,4617
UCL213016,90,279,75,136,10,664,154,147,522,340,429,37,1631,4,3,6,12,24,0,47,6,3,23,49,171,0,257,9,3,15,19,88,38,171,365,325,1348,1020,2598,218,5865
UCL213017,113,372,100,157,15,918,151,109,427,245,294,43,1266,0,0,27,16,36,0,79,11,11,27,52,176,6,275,3,3,25,19,81,33,170,491,338,1604,1072,2535,206,6251
UCL213018,39,110,26,42,9,251,31,27,125,77,118,10,377,0,0,3,4,11,3,18,0,0,5,17,58,0,86,0,0,8,5,38,5,55,83,86,430,360,1056,94,2111
UCL214001,18,75,25,23,0,159,22,29,90,124,156,15,442,0,3,9,3,7,0,22,0,0,9,8,57,0,81,0,3,0,5,24,16,51,104,69,346,326,872,93,1816
UCL214002,39,95,44,42,0,260,18,41,95,87,144,4,387,0,0,4,7,4,0,18,0,5,5,13,69,0,90,3,5,11,9,47,11,85,85,109,402,401,1077,62,2133
UCL214003,46,109,45,56,4,300,35,41,131,140,192,26,559,3,0,3,7,17,0,43,3,3,5,13,66,4,92,0,0,4,9,53,24,96,145,110,473,468,1205,137,2539
UCL214004,17,45,25,20,0,119,13,13,51,54,56,14,198,0,0,4,0,0,0,6,0,0,4,15,32,5,57,0,3,5,7,27,13,51,40,42,214,223,605,76,1205
UCL214005,3,8,5,3,0,23,0,3,16,11,17,4,47,0,0,0,0,0,0,0,0,0,0,6,13,0,16,0,0,0,0,3,0,5,0,7,39,49,168,11,273
UCL214006,27,69,12,22,4,147,20,21,94,63,75,8,278,10,0,18,26,43,0,100,4,0,6,5,39,4,64,0,0,6,15,18,7,47,96,84,394,354,683,69,1667
UCL214007,21,99,22,28,0,217,26,30,90,55,83,8,291,3,0,7,8,10,0,33,0,0,8,15,61,0,95,4,0,12,4,23,13,57,162,93,564,381,719,70,1990
