UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL215064,6,26,6,19,0,68,12,8,53,26,60,8,163,0,0,0,0,0,0,4,0,0,3,3,19,0,20,0,0,0,0,12,5,20,26,18,113,84,271,26,529
UCL215065,11,36,14,21,4,98,9,16,62,51,73,8,210,0,0,4,0,4,0,10,0,0,0,5,41,0,49,0,0,5,4,22,9,38,28,35,169,155,465,52,906
UCL215066,5,17,3,12,0,34,6,4,18,26,45,5,107,0,0,3,0,0,0,5,0,0,0,0,13,0,11,0,0,0,0,3,5,11,20,12,60,53,191,22,356
UCL215067,4,23,0,6,0,36,3,0,16,11,21,0,58,0,0,0,0,0,0,0,0,0,3,3,10,0,10,0,0,0,0,4,4,8,17,7,58,35,131,11,254
UCL215068,14,31,14,16,3,88,19,11,50,50,61,6,191,0,0,3,3,6,0,9,0,0,4,7,9,3,27,0,0,0,3,4,6,17,47,41,141,150,345,27,753
UCL215069,16,64,11,3,0,115,37,24,94,47,34,7,236,0,0,5,3,10,0,17,3,0,5,3,6,0,19,0,0,8,5,0,3,26,99,60,351,181,324,45,1059
UCL215070,9,31,15,7,4,62,6,5,19,31,51,0,114,0,0,0,3,0,0,5,0,0,7,0,23,0,35,0,0,4,0,15,9,41,20,19,94,114,411,39,693
UCL215071,25,59,25,26,5,165,17,20,64,38,48,6,195,0,0,10,8,9,0,19,0,0,0,7,45,0,59,4,0,9,4,22,8,44,98,78,330,242,569,46,1359
UCL215072,3,16,0,9,0,34,4,0,13,8,13,0,40,0,0,0,0,0,0,4,0,0,3,0,11,4,14,0,0,5,7,12,21,40,17,9,90,68,136,55,379
UCL215073,13,36,7,12,0,68,3,11,27,31,67,6,138,0,0,0,3,3,0,10,4,0,3,6,23,0,32,0,0,0,6,15,12,28,15,28,102,92,333,34,604
UCL215074,41,84,28,33,0,204,11,24,65,53,61,5,224,0,0,10,0,11,0,14,0,0,10,13,72,0,97,0,0,6,9,38,8,67,79,89,360,301,855,29,1717
UCL215075,10,7,12,9,0,29,3,3,20,4,25,0,61,0,0,0,0,0,0,0,0,0,0,0,16,5,21,0,0,0,0,4,0,10,12,16,43,41,202,13,321
UCL215076,13,24,8,14,0,69,10,4,24,20,39,0,109,3,0,0,0,0,0,3,0,0,3,4,22,0,27,0,0,0,0,11,4,20,41,34,149,120,335,24,691
UCL215077,7,33,8,8,0,59,9,4,27,20,17,0,94,0,0,6,0,9,0,13,0,0,5,4,7,0,19,0,0,0,0,6,3,7,29,21,131,105,186,11,489
UCL215078,9,30,11,17,0,77,0,5,21,37,41,0,109,0,0,0,3,5,0,7,0,0,4,7,38,0,49,0,0,5,7,16,8,32,25,18,106,121,377,15,674
UCL215079,3,13,4,8,0,41,7,10,33,33,51,7,129,0,0,0,0,4,0,5,0,0,4,0,17,4,23,0,0,3,0,10,0,13,14,17,85,84,255,29,479
UCL215080,9,28,12,22,0,77,0,7,25,32,54,3,125,0,0,0,5,0,0,7,0,0,4,0,27,0,32,0,0,4,0,17,4,27,20,24,111,107,377,24,663
UCL215081,28,66,8,17,0,134,21,19,68,79,64,10,254,0,0,4,4,7,0,11,0,0,8,10,39,0,64,3,0,4,5,12,3,27,73,61,289,244,524,32,1225
UCL215082,13,42,15,13,0,95,10,12,43,22,53,3,141,0,0,0,0,4,0,3,3,0,0,4,27,0,37,0,4,10,3,23,4,44,27,56,165,125,400,15,797
UCL215083,9,15,3,6,0,44,9,3,22,25,55,8,127,0,0,4,0,4,0,9,0,0,0,7,25,0,32,0,0,5,3,6,3,20,23,29,94,84,277,24,525
UCL215084,0,9,8,7,0,20,4,4,17,17,36,0,78,0,0,0,0,7,0,4,0,0,0,3,15,0,21,0,0,0,0,11,6,20,5,6,50,54,190,20,320
UCL215085,3,19,9,4,0,42,4,0,10,14,22,0,54,0,0,0,4,3,0,6,0,0,0,0,11,0,12,0,0,0,0,13,0,14,7,10,69,62,235,9,390
UCL215086,27,58,15,29,0,148,16,13,80,49,58,5,215,0,0,0,3,7,0,10,0,0,5,4,39,0,50,0,0,0,14,26,3,37,57,62,231,172,543,34,1101
UCL215087,12,10,12,18,0,57,3,9,7,20,28,3,72,0,0,0,0,0,0,7,0,0,3,3,29,0,36,0,0,8,0,8,3,20,26,25,75,95,320,25,558
UCL215088,17,27,14,3,6,89,6,8,28,25,30,0,105,0,0,8,4,0,0,14,4,0,0,3,14,0,21,0,0,4,7,6,8,34,63,38,123,105,185,14,524
UCL215089,12,21,9,13,0,61,7,9,37,33,74,8,165,0,0,0,0,5,0,6,0,0,9,0,19,0,25,0,0,0,0,13,8,22,16,25,93,88,293,27,549
UCL215090,13,23,19,6,0,68,5,10,41,21,42,5,129,0,0,5,4,5,0,5,0,0,0,3,17,0,22,4,0,5,3,18,0,27,26,30,122,108,310,22,614
UCL215091,3,22,4,6,0,51,11,6,30,20,9,0,78,0,0,4,0,0,0,10,0,0,7,8,13,0,29,5,0,7,9,7,0,25,48,25,204,108,223,6,617
UCL215092,31,85,13,26,0,234,58,38,91,37,45,8,284,9,3,4,5,6,0,32,4,0,13,14,17,0,46,3,0,14,0,15,0,45,299,145,551,225,358,27,1600
UCL215093,12,46,30,28,0,133,10,16,49,62,79,4,224,4,0,4,4,7,0,26,3,0,13,12,89,3,121,0,0,0,5,33,3,43,34,47,190,250,857,45,1423
UCL215094,4,14,6,4,0,33,10,5,12,12,17,0,56,0,0,0,0,0,0,0,0,0,0,5,11,0,15,0,0,0,3,5,3,9,23,14,58,57,144,7,297
UCL215095,3,4,5,11,0,16,3,8,12,21,41,0,84,0,0,0,0,0,0,5,0,0,0,0,5,0,13,0,0,0,4,17,0,20,5,15,30,50,207,0,313
UCL215096,20,36,19,13,0,94,10,6,35,32,29,3,112,0,0,0,4,6,0,17,0,0,4,8,34,0,54,0,0,0,4,15,13,37,39,39,160,155,397,35,824
UCL215097,17,38,19,22,0,105,3,10,32,23,50,4,130,0,0,8,7,14,0,22,0,0,0,6,32,0,42,0,0,0,4,29,12,49,32,36,132,160,532,33,926
UCL215098,5,17,4,10,0,49,4,7,17,22,30,6,87,0,0,4,4,4,0,12,0,0,0,0,19,0,21,3,0,0,0,12,0,10,24,11,74,74,222,10,417
UCL215099,11,23,4,0,0,42,6,7,22,25,31,3,80,0,0,0,0,3,0,3,0,0,5,0,11,0,15,0,0,0,0,9,3,18,10,21,67,56,182,27,355
UCL215100,6,18,7,6,0,45,6,8,19,15,14,0,63,0,0,0,0,4,0,4,0,0,0,0,10,0,10,0,0,0,3,5,0,7,15,13,63,60,144,12,308
UCL221001,0,7,3,9,0,25,0,0,17,13,14,4,49,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,6,0,7,4,4,38,35,148,15,241
UCL221002,0,16,3,7,0,28,0,0,11,10,10,0,34,0,0,0,0,0,0,3,0,0,3,0,6,0,5,0,3,0,0,3,0,4,20,7,56,45,138,5,265
UCL221003,0,9,4,3,0,19,3,4,0,11,14,5,33,0,0,0,0,4,0,0,0,0,0,0,10,0,10,0,0,0,0,3,0,5,7,10,14,30,104,13,170
UCL221004,5,26,0,9,0,46,5,8,25,11,11,0,63,0,0,0,4,0,0,3,0,0,0,0,21,0,22,0,0,0,0,4,0,11,37,26,127,62,163,12,423
UCL221005,4,5,0,5,3,25,5,3,17,11,8,0,39,0,0,0,0,0,0,3,0,0,0,0,7,0,10,0,0,0,0,0,0,0,8,4,63,31,81,7,200
UCL221006,8,10,8,4,0,27,3,3,26,0,12,3,50,0,0,5,3,0,0,8,0,0,0,3,7,0,9,0,0,0,0,0,0,0,8,15,68,34,83,10,228
UCL221007,5,13,0,6,0,30,4,3,7,9,7,0,35,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,6,17,4,32,30,67,11,158
UCL221008,4,10,0,3,0,24,0,0,18,5,11,0,44,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,5,9,6,7,46,26,80,7,179
UCL221009,3,15,0,3,0,26,3,0,10,6,14,4,32,0,0,4,3,0,0,5,0,0,0,0,8,0,12,0,0,0,0,4,0,7,5,10,43,30,89,13,189
UCL221010,5,3,0,4,0,14,4,0,15,10,17,0,44,0,0,0,0,3,0,6,0,0,0,0,8,0,11,0,0,0,0,0,0,0,6,9,36,32,92,10,179
UCL221011,3,17,0,0,0,32,4,4,15,8,11,0,45,0,0,5,0,3,0,7,0,0,0,0,6,0,6,0,0,0,0,0,0,3,22,11,66,30,115,3,247
UCL221012,6,4,6,3,0,17,3,5,8,5,3,0,29,0,0,0,0,4,0,4,0,0,0,4,7,0,15,0,0,0,0,0,0,3,5,11,36,33,62,13,165
UCL221013,0,13,3,4,0,18,0,3,4,10,14,3,29,0,0,0,0,0,0,3,0,0,0,3,3,0,6,0,0,0,3,9,0,9,7,6,40,35,100,7,191
UCL221014,4,16,4,8,0,36,12,3,25,12,9,4,70,0,0,5,0,0,0,7,0,0,5,3,3,0,15,0,0,0,4,0,0,5,27,15,91,52,125,11,311
UCL221015,5,9,0,0,0,20,0,0,5,5,7,0,20,0,0,5,3,3,0,4,0,0,0,0,4,0,4,0,0,0,0,3,0,4,14,10,59,26,63,5,180
UCL221016,0,17,9,3,0,37,3,7,24,18,22,7,83,0,0,0,0,0,0,4,0,0,0,3,13,0,15,0,0,0,0,9,0,10,21,14,68,68,171,10,346
UCL221017,3,10,3,8,0,24,0,3,11,17,19,5,53,0,0,0,0,0,0,7,0,0,0,0,9,0,15,0,0,4,0,6,0,10,4,11,28,48,131,8,236
UCL221018,4,18,4,8,0,40,0,0,14,9,9,0,32,0,0,0,5,0,0,6,0,0,0,0,9,0,9,0,0,0,0,3,0,4,10,7,50,31,108,13,221
UCL221019,6,17,10,0,0,50,0,0,14,7,15,0,45,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,0,0,0,5,3,8,26,8,56,40,82,7,223
UCL221020,0,7,5,3,6,18,0,0,8,15,20,0,42,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,4,0,4,5,0,32,35,98,6,171
UCL221021,4,9,4,4,0,28,5,11,18,16,19,0,63,0,0,0,0,0,0,6,0,0,0,4,6,0,10,0,0,0,0,7,0,7,9,10,34,39,132,8,236
UCL221022,3,13,4,4,0,27,0,5,6,6,0,3,22,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,6,11,12,60,27,71,11,184
UCL221023,0,4,0,0,0,5,5,0,0,6,8,0,17,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,6,5,0,15,27,50,4,102
UCL221024,4,16,0,7,0,41,0,3,23,9,15,0,57,0,0,0,0,0,0,0,3,0,3,4,9,0,21,0,0,0,0,3,0,7,24,15,59,31,126,10,271
UCL221025,5,10,0,5,0,19,7,9,15,3,10,0,45,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,9,13,40,29,62,5,154
UCL221026,4,5,0,8,0,26,5,3,8,6,12,0,32,0,0,0,0,3,0,3,0,0,0,0,4,0,6,0,0,0,0,5,0,6,7,10,24,27,88,0,158
UCL221027,6,6,0,0,0,18,6,3,7,9,11,0,28,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,4,0,5,8,12,20,20,81,4,146
UCL221028,0,9,0,0,0,13,10,0,10,7,0,3,27,0,0,5,0,0,0,8,0,0,0,0,0,0,4,0,0,4,0,0,0,7,36,13,111,39,44,10,252
UCL221029,3,19,4,4,0,26,0,0,14,7,12,0,32,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,4,11,7,14,43,31,134,13,239
UCL221030,0,0,4,0,0,10,0,0,6,8,10,0,20,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,3,20,17,45,4,89
UCL221031,3,12,0,3,0,35,8,6,13,9,10,0,32,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,8,0,8,18,14,55,42,100,6,232
UCL221032,0,8,0,0,0,22,3,0,8,8,14,0,34,0,0,0,6,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,11,3,33,36,59,4,155
UCL221033,3,7,0,0,0,18,0,0,5,5,13,3,27,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,6,3,3,23,13,58,4,111
UCL221034,4,10,13,12,0,31,3,4,0,9,8,0,28,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,4,7,0,11,7,13,49,49,150,17,279
UCL221035,7,4,0,9,0,20,0,0,7,13,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,7,4,7,20,28,77,0,128
UCL221036,7,13,6,3,0,33,0,5,19,4,6,0,33,0,0,0,3,4,0,6,0,0,0,0,6,0,11,0,0,0,3,0,0,3,19,25,72,50,124,10,298
UCL221037,3,19,0,8,0,31,0,0,9,11,13,0,31,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,3,3,9,43,28,87,4,171
UCL221038,6,7,13,8,0,24,5,4,12,15,7,4,48,0,0,0,0,0,0,0,0,0,0,0,12,0,17,4,0,0,0,3,3,10,18,12,53,63,160,10,309
UCL221039,0,13,0,7,0,28,4,3,7,8,14,0,40,0,0,0,0,4,0,8,0,3,0,4,11,0,17,0,0,0,0,0,5,4,10,11,37,37,126,13,228
UCL221040,5,10,0,10,0,34,3,3,10,10,12,0,37,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,3,7,11,34,29,100,7,189
UCL221041,3,9,6,5,0,16,0,0,7,17,16,0,42,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,4,11,8,6,38,47,128,4,231
UCL221042,0,3,5,8,0,8,0,0,4,3,9,0,24,0,0,0,0,0,0,0,0,0,0,3,6,0,9,0,0,0,0,3,4,7,0,0,26,25,75,9,140
UCL221043,3,12,0,0,0,19,0,0,5,3,12,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,9,6,7,26,17,78,11,137
UCL221044,7,12,3,7,0,35,6,3,12,4,8,0,40,0,0,7,0,0,0,12,0,0,0,5,3,0,3,0,0,4,0,7,0,8,13,18,70,42,127,17,291
UCL221045,10,18,3,8,3,52,10,6,15,4,6,0,38,3,0,4,0,0,0,12,0,0,5,0,6,0,10,0,0,0,0,0,0,5,43,25,71,29,101,8,277
UCL221046,12,32,0,8,0,55,7,9,34,27,37,3,109,0,0,0,0,0,0,5,0,0,0,0,19,0,20,0,0,0,0,3,0,7,15,18,113,89,270,12,514
UCL221047,4,27,3,5,0,37,3,4,16,11,10,0,39,0,0,0,0,5,0,6,0,0,0,0,12,0,15,0,0,0,0,3,0,4,15,5,61,41,135,7,258
UCL221048,0,8,3,3,0,15,3,3,4,5,3,0,17,0,0,0,0,0,0,3,0,0,0,0,7,0,6,0,0,0,0,0,6,12,9,4,35,28,74,11,165
UCL221049,3,23,7,3,0,46,0,10,23,9,5,0,48,0,0,3,4,5,0,9,0,0,0,5,12,0,16,0,0,5,0,0,0,3,18,16,92,45,109,12,295
UCL221050,3,11,5,3,3,25,0,0,7,17,10,0,39,0,0,0,0,0,0,4,0,0,0,0,3,0,9,0,0,0,0,12,0,14,6,3,33,36,101,11,194
UCL221051,3,14,4,3,0,29,0,7,12,13,10,0,38,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,0,0,3,12,10,12,35,27,82,11,175
UCL221052,0,10,0,4,0,13,0,0,5,3,10,0,17,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,7,0,8,6,4,22,23,110,9,170
UCL221053,0,14,0,3,0,25,0,0,9,6,3,0,26,0,0,0,0,0,0,6,0,0,0,0,3,0,6,0,0,4,0,8,0,10,9,4,43,27,65,8,152
UCL221054,8,14,3,0,0,25,4,3,12,14,7,0,35,0,3,0,0,0,0,5,0,0,0,0,3,0,3,0,0,6,0,0,0,6,16,17,57,34,74,6,193
UCL221055,5,22,0,10,0,39,3,3,14,4,7,0,37,0,0,0,4,3,0,6,0,0,0,0,3,0,8,0,0,5,0,4,0,11,12,13,76,42,103,20,265
UCL221056,0,0,0,0,0,4,0,0,3,4,13,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,11,8,56,3,79
UCL221057,9,3,0,4,0,13,0,0,5,9,15,0,31,0,0,3,0,3,0,7,0,0,0,0,11,0,14,0,0,0,0,9,0,8,0,6,32,33,147,13,232
UCL221058,6,5,4,4,0,29,4,4,6,6,8,0,28,0,0,0,0,0,0,4,0,0,0,3,9,0,12,0,0,0,0,0,0,3,11,19,36,29,102,4,193
UCL221059,10,10,0,0,0,17,0,7,9,7,7,0,38,0,0,0,0,3,0,11,0,0,0,0,6,0,15,0,0,0,0,3,0,5,19,18,65,52,125,6,282
UCL221060,4,8,3,3,0,16,0,0,5,4,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,12,24,26,36,4,115
UCL221061,6,5,8,0,0,27,0,3,11,5,4,0,24,0,0,0,0,7,0,7,0,0,0,4,8,0,14,0,0,4,0,0,0,7,19,18,38,35,69,6,182
UCL221062,4,4,6,0,0,14,0,0,7,8,11,6,35,0,0,0,0,0,0,4,0,0,0,5,0,0,4,0,0,0,0,5,9,11,5,4,19,39,89,21,170
UCL221063,3,11,0,4,0,19,0,0,7,3,4,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,6,5,4,27,11,63,7,113
UCL221064,0,9,3,8,0,31,0,0,10,15,15,0,37,0,0,0,0,0,0,3,0,0,4,4,10,0,23,0,0,0,0,6,0,9,11,7,37,44,158,0,260
UCL221065,6,13,0,0,0,18,10,0,5,4,0,0,20,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,4,0,13,34,3,68,14,40,4,170
UCL221066,0,3,7,3,0,18,0,0,14,8,12,0,34,0,0,0,0,0,0,0,0,0,0,4,9,0,17,0,0,0,0,8,6,12,8,7,23,39,126,4,202
UCL221067,0,0,0,5,0,9,0,0,3,9,8,0,21,0,0,0,0,0,0,0,0,0,3,0,8,0,11,0,0,0,0,0,0,0,0,5,17,22,84,12,144
UCL221068,8,10,4,3,0,24,0,0,4,14,9,0,29,0,0,5,4,3,0,11,0,0,0,0,6,0,6,0,0,0,0,4,0,5,8,12,28,36,67,3,156
UCL221069,8,27,4,3,0,53,4,3,10,10,16,4,41,0,0,3,0,8,0,14,0,0,0,0,10,0,9,0,0,0,6,5,0,14,25,28,91,45,126,5,325
UCL221070,9,11,7,7,0,28,0,5,8,9,22,0,48,0,0,4,0,0,0,5,0,0,0,0,14,0,9,0,0,0,0,9,3,10,8,18,43,39,151,17,269
UCL221071,0,15,8,0,0,27,0,0,4,13,15,0,30,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,3,0,6,5,3,39,32,122,12,217
UCL221072,0,0,0,3,0,9,3,3,13,8,9,0,41,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,6,0,3,3,9,19,20,105,0,158
UCL221073,0,12,0,4,0,24,0,4,15,4,14,0,41,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,4,5,13,44,34,91,3,192
UCL221074,4,9,3,4,0,34,3,0,18,11,6,0,38,3,0,0,0,4,0,11,0,0,0,0,4,0,4,0,0,0,0,0,7,10,41,13,86,53,67,5,264
UCL221075,7,10,4,0,0,27,3,5,18,6,9,4,37,0,0,4,7,3,0,20,0,0,3,0,3,0,12,0,0,0,3,8,0,10,17,13,81,42,80,9,247
UCL221076,7,9,3,3,0,32,11,3,11,9,9,4,45,0,0,0,0,0,0,3,0,0,0,0,7,0,8,0,0,0,4,0,0,7,27,22,65,36,82,11,244
UCL221077,0,4,4,7,0,17,4,0,13,0,23,4,45,0,0,0,5,0,0,0,0,0,5,0,0,0,7,0,0,0,0,5,0,3,8,10,28,17,90,6,158
UCL221078,0,7,0,0,4,15,0,0,11,4,14,0,19,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,5,13,0,15,4,4,29,28,105,4,177
UCL221079,3,4,0,6,0,12,0,0,5,8,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,21,23,52,9,108
UCL221080,0,8,9,0,0,17,0,5,4,7,0,0,17,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,0,3,0,4,7,9,4,36,41,62,10,163
UCL221081,0,7,0,0,0,17,3,4,0,6,5,4,19,0,0,0,0,0,0,6,0,0,0,0,8,0,9,0,0,0,0,0,0,0,5,9,25,14,62,7,123
UCL221082,3,19,5,5,0,40,12,0,26,10,9,0,57,0,0,3,3,0,0,7,0,0,3,3,11,0,19,0,0,5,4,6,8,20,46,9,110,68,103,14,361
UCL221083,10,37,12,4,0,83,12,14,31,14,9,0,75,0,0,3,0,0,0,5,0,0,5,0,5,0,13,0,0,0,0,3,0,5,54,28,142,55,95,11,393
UCL221084,3,19,7,11,0,50,4,0,20,13,12,0,50,0,0,0,5,0,0,7,0,0,0,0,15,0,15,0,0,0,3,0,0,6,15,14,50,42,138,9,271
UCL222001,3,5,0,6,0,15,0,0,8,4,0,3,19,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,5,0,5,30,19,43,4,107
UCL222002,3,9,0,0,0,22,0,3,0,7,3,0,19,0,0,3,0,0,0,8,0,0,0,0,3,0,5,0,0,0,0,0,0,0,17,17,58,22,55,3,172
UCL222003,0,7,0,0,0,18,0,0,7,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,3,21,24,60,0,113
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,13
UCL222005,0,0,0,0,0,5,0,4,4,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,4,11,9,39,6,66
UCL222006,0,11,4,6,0,20,6,0,11,5,9,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,4,0,0,0,8,6,5,33,21,53,8,125
UCL222007,0,8,3,0,0,5,0,0,3,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,8,0,12,14,32,0,65
UCL222008,3,6,0,0,0,22,5,0,14,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,7,19,13,41,18,43,0,139
UCL222009,0,5,0,0,0,5,0,0,5,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,5,4,3,19,18,52,3,98
UCL222010,5,8,0,4,0,11,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,8,22,14,58,3,112
UCL222011,0,10,3,8,0,26,0,0,13,3,10,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,4,6,3,38,12,56,0,129
UCL222012,0,0,0,0,0,5,5,0,8,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,3,0,6,11,3,20,30,69,0,135
UCL222013,0,0,0,3,0,4,3,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,10,12,41,0,75
UCL222014,0,9,0,4,0,16,3,4,6,5,3,0,26,0,0,0,6,0,0,3,0,0,0,0,5,0,6,0,0,0,0,3,0,10,11,4,23,32,69,7,138
UCL222015,0,7,0,0,0,15,4,0,10,5,10,0,29,0,0,0,0,0,0,0,0,0,0,3,11,0,14,0,0,0,0,10,0,10,9,4,22,14,77,0,127
UCL222016,0,0,0,0,0,0,4,0,0,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,4,0,0,10,35,3,50
UCL222017,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,4,3,17,4,34
UCL222018,0,3,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,14,12,21,6,59
UCL222019,0,3,5,0,0,11,0,0,13,5,7,0,27,0,0,0,0,0,0,6,0,0,0,0,11,0,11,0,0,0,0,0,4,4,4,4,27,24,71,3,135
UCL222020,0,7,0,3,0,7,0,0,0,3,6,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,7,3,11,9,41,5,74
UCL222021,0,0,0,5,0,10,0,0,0,4,3,0,17,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,9,0,10,4,3,18,16,35,0,87
UCL222022,6,4,0,4,0,15,0,0,8,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,3,14,13,35,0,78
UCL222023,0,3,3,3,0,19,0,5,5,8,17,0,44,0,0,0,0,0,0,3,0,0,0,0,7,0,6,0,0,0,0,3,0,3,8,14,24,34,93,3,171
UCL222024,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,48,25,54,0,139
UCL222025,3,0,0,0,0,11,0,5,0,3,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,5,26,0,62
UCL222026,3,9,3,0,0,21,3,0,7,12,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,11,9,33,32,46,0,128
UCL222027,7,3,0,0,0,5,0,0,3,8,11,0,19,0,0,0,0,0,0,0,0,3,0,0,7,0,11,0,0,0,0,8,0,3,0,12,13,27,59,3,114
UCL222028,3,6,0,0,0,8,0,4,0,4,4,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,8,0,8,4,5,13,15,58,3,100
UCL222029,3,6,0,0,0,9,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,18,0,36
UCL222030,0,5,0,4,0,7,0,0,5,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,7,27,9,20,0,71
UCL222031,0,3,0,0,0,3,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,30,0,52
