UCL_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL201001,455,1426,182,462,88,17,2634,238,2019,239,358,95,16,2964,1070,12294,1007,2275,473,131,17251,2344,4994,1731,3597,662,101,13435,2890,2485,1052,2977,455,55,9918,12060,2488,1125,5471,1300,107,22553,67595,2245,889,14455,2097,250,87537,159812,1766,543,17973,2491,308,182900,72182,405,163,8575,754,121,82202,31283,106,48,3679,219,45,35382,15580,58,25,1876,123,24,17683,8525,43,21,1176,55,11,9835,4617,29,12,584,40,8,5292,8434,24,4,1271,156,24,9919,7210,2602,502,5378,1275,1107,18081,394316,32995,7538,70128,10287,2340,517594
UCL203001,12,64,6,17,8,0,106,6,80,6,15,6,0,112,96,554,70,118,13,6,863,485,219,94,219,17,10,1044,419,136,48,216,15,3,839,1728,167,64,432,18,17,2424,3593,42,32,537,24,12,4228,2881,17,3,253,18,0,3176,454,9,0,51,9,0,517,51,0,0,17,0,0,76,20,0,0,10,0,0,31,15,0,0,3,0,0,21,3,6,0,0,3,0,6,8,0,0,10,3,0,25,148,90,12,95,36,31,415,9928,1390,336,1988,178,67,13889
UCL203002,8,70,12,12,4,0,103,3,79,12,13,6,0,105,49,505,27,123,10,9,723,278,230,87,247,17,5,870,310,105,45,269,13,6,760,1345,172,71,445,35,10,2080,2879,79,58,610,32,9,3670,2212,10,11,290,22,0,2550,422,4,0,63,3,0,503,55,3,0,15,7,0,81,15,5,0,8,0,0,24,3,0,0,0,0,0,4,0,0,0,3,0,0,3,7,0,0,5,0,0,18,101,80,17,117,27,17,357,7690,1344,354,2224,182,59,11858
UCL203003,20,148,7,27,5,4,206,16,138,19,19,5,0,201,102,967,68,153,20,11,1319,297,394,213,295,41,18,1251,502,167,71,290,42,5,1076,1525,243,92,451,65,16,2388,4223,155,95,854,85,22,5434,5966,74,61,703,89,13,6902,2025,10,11,198,27,3,2264,456,6,0,68,9,0,533,156,0,0,40,0,0,201,58,0,0,14,0,0,77,25,0,0,0,6,0,32,51,0,0,12,5,0,71,253,158,40,176,78,44,745,15669,2456,680,3298,472,133,22705
UCL211001,3,49,0,3,0,0,50,6,56,0,0,0,0,69,24,315,6,25,4,0,375,147,147,16,56,12,3,380,196,65,7,100,5,4,371,589,110,10,152,142,9,1006,970,35,8,178,45,4,1240,1078,6,0,85,10,5,1183,198,0,0,14,6,0,214,23,0,0,0,0,0,29,6,0,0,0,0,0,12,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,6,58,62,7,34,13,7,186,3306,848,62,656,238,30,5140
UCL211002,9,16,0,4,0,0,29,4,17,0,4,5,0,28,20,101,0,28,0,4,152,31,61,28,55,11,3,184,22,23,10,62,5,0,128,335,37,10,117,11,3,515,2685,23,24,382,54,16,3179,2262,10,14,224,59,11,2588,86,3,0,35,11,4,127,26,0,0,9,0,0,37,10,0,0,0,6,0,14,11,0,0,0,3,0,14,4,0,0,0,0,0,7,16,0,0,10,0,0,28,111,22,15,66,10,14,242,5635,314,115,987,170,51,7272
UCL212001,3,7,0,0,0,0,14,0,13,0,0,0,0,13,6,68,7,3,4,0,91,4,42,20,10,7,4,87,23,16,5,24,0,0,62,91,10,17,41,7,0,174,341,24,8,94,17,5,483,574,3,0,79,6,0,664,61,0,0,10,0,0,80,7,0,0,0,0,0,12,0,0,0,5,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,12,0,25,7,3,86,1146,194,68,303,44,15,1772
UCL212002,0,10,0,6,0,0,19,6,26,0,0,0,0,30,10,151,8,13,4,0,190,45,52,4,29,0,0,128,42,22,3,35,0,0,102,147,43,0,55,3,0,254,297,15,3,72,4,0,391,285,8,4,50,0,0,343,83,0,0,15,5,0,109,6,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,15,21,5,18,4,5,68,928,351,31,292,36,4,1644
UCL212003,4,26,13,8,8,3,55,3,42,3,3,5,0,56,36,224,29,58,23,5,372,180,139,25,122,18,7,494,258,58,7,136,15,4,471,597,55,23,178,24,5,884,1102,24,19,228,38,6,1422,702,6,10,119,21,4,866,114,3,0,25,10,0,156,18,0,0,11,0,0,32,8,0,0,11,0,0,15,4,0,0,8,0,0,11,0,0,0,3,0,0,7,0,0,0,11,0,0,15,53,42,4,45,22,25,192,3077,624,139,958,189,64,5046
UCL212004,0,0,0,4,0,0,9,0,0,0,0,0,0,3,0,29,0,18,0,0,47,7,9,6,14,3,0,33,8,4,0,16,3,0,32,28,0,4,23,5,0,63,109,0,4,50,0,0,167,370,0,4,67,0,3,440,368,0,0,51,0,0,424,89,0,0,17,0,0,116,38,0,0,11,0,0,46,11,0,0,3,0,0,17,6,0,0,0,0,0,8,12,0,0,0,0,0,19,12,0,0,17,4,4,40,1067,45,21,291,21,8,1443
