UCL_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
UCL212005,17248,..,..,..,..,17248,..,25,0,25,0,25,..,533,153,685,16,696,..,26,0,26,0,28,..,37,18,63,3,63,..,141,74,222,6,221,..,8,0,9,0,9,..,184,103,287,5,292,..,7,0,14,0,14,..,28,0,25,0,25,..,8,0,8,0,8,..,69,15,78,3,79,..,29,0,25,0,25,..,91,13,105,3,108,..,82,0,88,0,88,..,46,0,50,0,50,..,591,106,693,5,704,..,58,5,64,0,64,..,93,5,100,0,102,..,24,4,29,0,30,..,1021,136,1154,9,1168,..,296,59,351,6,349,..,7,0,11,0,11,..,0,4,0,0,0,..,3,4,8,0,8,..,73,0,75,0,75,..,217,16,235,7,238,..,30,19,48,0,48,..,8,0,8,0,8,..,3,0,3,0,7,..,3,0,3,0,3,..,90,16,96,0,96,..,6,0,8,0,8,..,111
UCL212006,16197,..,..,..,..,16197,..,28,0,28,0,28,..,58,4,67,0,67,..,4,0,4,0,4,..,20,5,27,0,27,..,70,14,86,0,86,..,8,0,5,0,5,..,101,23,121,0,121,..,51,4,58,0,56,..,11,0,13,0,13,..,38,0,39,0,39,..,57,3,57,0,57,..,14,0,14,0,14,..,16,0,19,0,20,..,79,0,80,0,81,..,18,3,22,0,22,..,141,14,153,6,154,..,46,0,52,0,52,..,19,0,19,0,19,..,4,0,4,0,4,..,338,23,361,5,368,..,146,16,164,4,169,..,19,0,19,0,19,..,0,0,0,0,0,..,13,0,13,0,13,..,11,0,11,0,11,..,21,0,21,0,17,..,7,0,12,0,12,..,31,0,31,0,31,..,18,0,17,0,16,..,11,0,11,0,11,..,21,0,21,0,21,..,25,0,24,0,24,..,33
UCL212007,10298,..,..,..,..,10298,..,17,0,17,0,17,..,9,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,6,7,13,0,13,..,0,0,0,0,0,..,12,7,23,0,23,..,8,0,7,0,7,..,49,0,52,0,50,..,46,0,50,0,50,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,46,0,51,0,51,..,18,0,14,0,14,..,0,0,0,0,0,..,0,0,3,0,3,..,8,3,14,0,14,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,11,0,11,..,22,0,22,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,4
UCL212008,11551,..,..,..,..,11551,..,13,0,13,0,13,..,15,0,20,0,23,..,0,0,0,0,0,..,25,10,29,0,29,..,47,10,54,0,59,..,0,0,0,0,0,..,68,15,88,0,88,..,8,0,8,0,8,..,6,0,6,0,6,..,22,0,22,0,22,..,50,12,61,0,61,..,8,0,5,0,5,..,8,0,8,0,8,..,24,0,24,0,25,..,12,0,10,0,10,..,48,0,47,6,52,..,32,3,37,0,37,..,18,0,17,0,17,..,8,0,8,0,8,..,155,7,160,6,165,..,81,0,88,0,88,..,11,7,14,0,14,..,0,4,6,0,6,..,4,0,4,0,4,..,5,0,5,0,5,..,52,0,57,0,57,..,3,0,3,0,3,..,10,0,14,0,14,..,4,0,3,0,3,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,31
UCL212009,13936,..,..,..,..,13936,..,27,0,27,0,27,..,32,0,32,0,32,..,10,0,11,0,11,..,11,0,14,0,14,..,65,88,154,3,159,..,5,5,11,0,11,..,83,92,174,3,175,..,0,0,0,0,0,..,11,0,11,0,11,..,12,0,12,0,12,..,8,0,6,0,6,..,5,0,5,0,5,..,9,0,9,0,9,..,31,0,32,0,32,..,17,0,17,0,17,..,31,0,36,0,36,..,56,0,56,0,56,..,10,0,6,0,6,..,3,0,3,0,3,..,161,4,166,0,164,..,15,0,15,0,15,..,19,0,19,0,19,..,7,0,3,0,3,..,11,3,12,0,12,..,0,0,0,0,0,..,16,0,16,0,16,..,5,0,5,0,5,..,5,0,5,0,5,..,4,0,4,0,4,..,12,4,12,0,10,..,7,5,7,0,7,..,0,0,0,0,0,..,33
UCL213001,5651,..,..,..,..,5651,..,14,0,12,0,12,..,9,0,9,0,9,..,3,0,3,0,5,..,7,0,5,0,5,..,17,7,21,0,21,..,3,0,3,0,3,..,25,7,31,0,31,..,0,0,0,0,0,..,11,0,11,0,11,..,12,0,13,0,13,..,9,0,9,0,9,..,0,0,0,0,0,..,7,0,7,0,7,..,5,0,5,0,5,..,6,0,6,0,6,..,23,3,25,0,25,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,50,3,51,0,51,..,38,0,36,0,36,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13
UCL213002,4158,..,..,..,..,4158,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,6,3,7,0,7,..,0,0,0,0,0,..,6,3,7,0,7,..,0,4,0,0,0,..,10,0,13,0,11,..,18,5,19,0,19,..,12,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,12,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3
UCL213003,5244,..,..,..,..,5244,..,0,0,0,0,0,..,17,8,20,0,20,..,0,0,0,0,0,..,5,0,4,0,4,..,61,81,146,0,141,..,0,20,18,0,18,..,71,100,172,0,175,..,0,0,0,0,0,..,6,0,4,0,4,..,4,0,4,0,4,..,8,0,8,0,8,..,9,0,9,0,9,..,0,0,0,0,0,..,7,0,7,0,7,..,14,0,14,0,16,..,14,5,14,0,14,..,14,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,49,9,51,0,49,..,17,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,11,0,11,..,0,0,0,0,0,..,14,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,28,4,31,0,31,..,0,0,0,0,0,..,9
UCL213004,6356,..,..,..,..,6356,..,17,3,19,0,19,..,7,5,6,0,8,..,0,0,0,0,0,..,9,0,9,0,9,..,15,9,24,0,24,..,4,0,4,0,4,..,29,9,40,0,40,..,5,0,8,0,8,..,12,0,12,0,12,..,14,0,11,0,11,..,9,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,12,0,12,0,12,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,41,0,41,0,41,..,10,3,12,0,12,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,0,0,0,..,3,0,3,0,8,..,6
UCL213005,7219,..,..,..,..,7219,..,11,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,6,0,6,..,16,0,12,0,17,..,0,0,4,0,4,..,16,4,23,0,27,..,5,4,4,0,4,..,12,0,9,0,9,..,18,0,18,0,20,..,26,0,28,0,28,..,0,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,25,0,25,0,26,..,36,0,43,0,46,..,6,0,6,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,6,0,6,0,6,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,9
UCL213006,4965,..,..,..,..,4965,..,10,0,10,0,10,..,9,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,12,0,12,..,0,0,0,0,0,..,16,3,18,0,18,..,7,0,7,0,7,..,11,0,11,0,11,..,14,0,14,0,14,..,13,0,13,0,13,..,5,0,5,0,5,..,0,0,0,0,0,..,12,0,12,0,12,..,3,0,3,0,3,..,16,3,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,41,3,45,0,45,..,25,0,24,0,24,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3
UCL213007,7022,..,..,..,..,7022,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,18,4,21,0,21,..,4,0,0,0,0,..,32,3,27,0,27,..,0,0,0,0,0,..,5,0,7,0,7,..,3,6,9,0,9,..,11,0,11,0,11,..,9,0,9,0,9,..,14,0,14,0,14,..,14,0,14,0,16,..,16,0,21,0,21,..,21,0,23,0,23,..,8,0,8,0,8,..,8,0,8,0,8,..,3,0,3,0,3,..,91,0,92,0,96,..,24,0,24,0,24,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,27,9,36,0,36,..,0,0,0,0,0,..,10,0,5,0,5,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17
UCL213008,6621,..,..,..,..,6621,..,8,0,8,0,8,..,14,6,20,0,20,..,0,0,0,0,0,..,10,0,8,0,14,..,17,3,17,0,20,..,0,0,0,0,0,..,23,0,33,0,31,..,41,5,39,0,44,..,13,0,13,0,18,..,17,0,17,0,16,..,14,0,14,0,14,..,0,0,0,0,0,..,12,3,11,0,11,..,23,0,25,0,26,..,3,0,3,0,3,..,132,14,140,0,142,..,9,0,9,0,9,..,13,0,13,0,11,..,0,0,0,0,0,..,195,11,206,4,210,..,36,0,40,0,40,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,4,0,4,..,20,0,20,0,20,..,7,0,5,0,5,..,4,0,11,0,8,..,6,0,6,0,6,..,10,0,6,0,6,..,7,0,7,0,10,..,4,3,9,0,9,..,19,4,31,0,31,..,46
UCL213009,5369,..,..,..,..,5369,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,22,9,30,0,31,..,0,0,0,0,0,..,22,9,31,0,38,..,10,0,13,0,13,..,0,0,0,0,0,..,7,0,7,0,7,..,24,5,28,0,28,..,7,0,7,0,7,..,10,0,5,0,5,..,21,0,21,0,20,..,3,0,4,0,3,..,22,0,26,0,25,..,4,0,4,0,4,..,4,0,8,0,8,..,0,0,0,0,0,..,65,3,69,3,68,..,32,0,29,0,29,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,8,0,8,..,10,0,11,0,11,..,3,0,5,0,5,..,11,0,16,0,16,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6
UCL213010,6614,..,..,..,..,6614,..,0,0,0,0,0,..,13,4,15,0,15,..,3,0,3,0,3,..,9,3,9,0,9,..,10,10,20,0,20,..,0,4,4,0,4,..,17,17,32,0,32,..,10,3,12,0,12,..,12,0,12,0,12,..,19,0,20,0,20,..,17,0,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,5,0,6,0,6,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,23,0,23,..,24,0,24,0,22,..,0,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,18,0,18,..,18,6,20,0,20,..,7
UCL213011,5456,..,..,..,..,5456,..,3,0,3,0,3,..,38,0,38,3,39,..,7,0,7,0,7,..,4,4,8,0,8,..,16,6,18,0,20,..,0,0,0,0,0,..,18,12,29,0,30,..,6,0,9,0,9,..,5,0,5,0,5,..,4,0,4,0,4,..,34,4,35,0,35,..,5,0,5,0,5,..,0,0,0,0,0,..,14,0,14,0,14,..,5,0,5,0,5,..,18,0,18,0,18,..,12,0,12,0,12,..,12,0,16,0,16,..,4,0,4,0,4,..,71,0,68,0,68,..,112,29,135,0,135,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,31,0,30,0,31,..,0,0,0,0,0,..,16,0,20,0,20,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4,3,4,0,4,..,18
UCL213012,4615,..,..,..,..,4615,..,4,0,4,0,4,..,5,5,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,6,4,10,0,10,..,3,0,3,0,3,..,14,4,12,0,12,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,10,0,10,..,13,0,13,0,13,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,33,5,35,0,35,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4
UCL213013,5892,..,..,..,..,5892,..,16,0,16,0,16,..,10,0,15,0,13,..,4,0,4,0,4,..,3,0,7,0,7,..,27,7,32,0,32,..,0,0,0,0,0,..,33,9,42,0,42,..,3,3,6,0,6,..,5,0,5,0,5,..,5,0,5,0,5,..,3,0,7,0,7,..,3,0,8,0,8,..,9,0,12,0,12,..,14,0,14,0,14,..,10,0,10,0,10,..,27,0,27,0,27,..,16,0,16,0,16,..,8,0,8,0,8,..,4,0,4,0,4,..,95,5,100,0,100,..,12,3,16,0,16,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,18,0,18,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5
UCL213014,4132,..,..,..,..,4132,..,5,0,6,0,6,..,3,4,7,0,8,..,6,0,6,0,6,..,3,0,9,0,9,..,22,28,54,0,54,..,7,6,13,0,13,..,32,36,77,0,77,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,8,0,8,0,8,..,8,0,8,0,8,..,85,15,102,0,102,..,7,0,7,0,7,..,12,0,18,0,18,..,4,0,4,0,4,..,136,18,151,0,151,..,49,6,55,0,57,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,5,19,0,19,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18
UCL213015,5698,..,..,..,..,5698,..,17,0,17,0,17,..,81,11,91,0,94,..,0,0,0,0,0,..,8,0,8,0,8,..,15,0,19,0,13,..,3,0,4,0,4,..,21,0,25,0,31,..,9,0,8,0,8,..,11,0,11,0,11,..,7,0,9,0,9,..,42,4,39,0,39,..,7,0,7,0,7,..,5,0,5,0,5,..,71,4,80,0,80,..,3,5,13,0,12,..,339,19,356,5,366,..,45,3,42,0,42,..,38,4,39,0,45,..,9,0,9,0,9,..,511,34,544,8,555,..,74,9,83,0,82,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,38,5,45,0,45,..,20,0,22,0,22,..,0,0,5,0,5,..,13,0,18,0,18,..,0,0,0,0,0,..,4,0,4,0,4,..,33,0,34,0,37,..,0,0,0,0,0,..,7
UCL213016,8259,..,..,..,..,8259,..,3,0,3,0,3,..,5,0,12,0,12,..,0,0,0,0,0,..,4,0,8,0,8,..,15,3,18,0,18,..,0,0,0,0,0,..,22,6,28,0,28,..,8,0,8,0,8,..,9,0,9,0,9,..,6,0,6,0,6,..,15,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,35,0,31,0,33,..,28,0,32,0,35,..,13,0,13,0,13,..,10,0,14,0,14,..,8,0,8,0,8,..,111,6,119,6,117,..,102,13,118,3,121,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,22
UCL213017,8039,..,..,..,..,8039,..,10,0,10,0,10,..,9,0,10,0,11,..,4,0,4,0,4,..,7,4,13,0,13,..,46,31,73,0,73,..,4,0,4,0,4,..,54,34,86,0,86,..,11,0,9,0,9,..,9,0,9,0,9,..,13,0,13,0,13,..,11,5,14,0,14,..,0,0,0,0,0,..,5,0,5,0,7,..,23,0,27,0,27,..,3,0,3,0,3,..,40,7,42,0,42,..,28,0,28,0,28,..,21,0,20,0,25,..,6,0,6,0,6,..,127,7,136,3,141,..,33,0,34,0,34,..,6,5,9,0,9,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,20,0,20,0,20,..,3,0,3,0,3,..,6,0,7,0,7,..,0,0,5,0,5,..,3,0,3,0,3,..,7,0,7,0,7,..,4,0,5,0,5,..,11
UCL213018,3783,..,..,..,..,3783,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,3,13,0,13,..,5,3,11,0,11,..,0,0,0,0,0,..,18,8,25,0,25,..,7,5,7,0,7,..,4,0,4,0,4,..,3,0,5,0,5,..,3,0,3,0,5,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,5,0,5,0,5,..,9,0,9,0,9,..,0,0,0,0,0,..,30,0,30,0,30,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9
UCL214001,2951,..,..,..,..,2951,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,7,0,5,0,5,..,10,19,31,0,31,..,0,4,3,0,3,..,19,22,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,10,0,10,0,10,..,12,0,12,0,12,..,9,3,10,0,13,..,18,4,25,0,25,..,3,0,3,0,3,..,16,0,16,0,16,..,3,0,3,0,3,..,76,8,81,0,80,..,3,0,3,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,6
UCL214002,2873,..,..,..,..,2873,..,0,0,0,0,0,..,5,0,5,0,4,..,0,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,11,4,15,0,15,..,5,0,5,0,5,..,5,0,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,8,0,8,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0
