UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL201001,83448,103775,187223,107152,135469,242621,1789,1860,3646,27400,31258,58664,801,814,1610,447890,503566,951457,2842,3586,6428,97254,103836,201095,4305,5556,9861,4139,4514,8654,4920,6236,11152,8685,9093,17774,8204,9477,17678,18679,21769,40445,22572,26790,49362,1737,2444,4184,3388,3948,7334,30953,43340,74293,57017,66513,123533,1473,1726,3197,851203,981792,1833000,105853,92283,198130,130416,121237,251654,21780,23666,45440,88,101,182,42237,36349,78585,7893,9514,17404,50220,45960,96185,855932,814313,1670247,7716,6146,13860,2984,4963,7948,866631,825425,1692058,146243,135602,281851,2255791,2329751,4585537
UCL203001,369,457,827,3554,4738,8291,0,0,0,382,424,809,107,105,211,9953,12139,22096,309,428,739,217,226,441,123,153,276,41,67,109,194,228,417,44,33,79,108,144,246,335,381,720,867,1130,1999,83,136,221,65,93,159,1981,2911,4889,845,1021,1865,16,30,43,19220,24389,43605,724,577,1297,411,336,749,25,30,58,9,5,21,334,310,639,157,267,417,496,579,1079,25472,24890,50362,178,143,322,77,140,211,25720,25173,50893,3481,3359,6843,50442,54908,105348
UCL203002,575,735,1307,4136,5481,9618,0,0,4,1068,1260,2325,80,83,168,8743,10387,19130,58,82,140,167,139,304,107,126,240,69,86,156,137,172,301,62,47,110,81,109,191,474,614,1091,715,844,1551,55,99,149,134,135,273,2014,2833,4844,985,1192,2183,16,9,21,19115,23693,42801,432,371,804,390,345,738,22,22,48,9,4,18,215,177,391,111,195,302,336,372,707,23844,23403,47246,179,121,300,49,93,142,24062,23620,47685,3292,3262,6554,48224,52426,100649
UCL203003,922,1208,2128,5588,7232,12825,3,0,3,1451,1746,3197,82,81,168,18612,21865,40477,105,150,253,1475,1540,3018,216,309,521,90,103,199,516,642,1162,79,72,146,202,232,434,510,638,1149,1425,1867,3293,132,193,329,81,102,191,2413,3584,5997,2145,2639,4786,65,79,137,35196,43087,78279,1951,1272,3225,1996,1498,3494,62,56,122,6,0,5,829,688,1516,257,349,604,1091,1039,2127,39741,38768,78510,321,238,566,114,214,331,40175,39228,79404,5907,5557,11462,87298,92940,180239
UCL211001,145,177,320,1894,2403,4296,0,0,0,281,350,635,6,3,9,3681,4168,7854,11,12,20,80,82,157,112,135,246,20,19,40,240,254,496,9,4,12,64,84,147,182,218,401,282,368,654,26,46,70,36,44,81,465,685,1152,438,502,946,4,5,9,7836,9376,17218,250,249,499,93,60,158,11,11,22,4,3,8,91,85,171,43,62,108,141,150,290,8608,8099,16715,51,40,95,35,36,73,8697,8179,16875,1288,1178,2461,18454,19388,37839
UCL211002,526,704,1227,1834,2298,4134,12,8,20,631,662,1295,87,69,153,8138,9067,17212,11,14,26,736,734,1475,144,184,331,276,272,545,92,117,210,240,248,492,239,251,493,446,551,990,362,437,798,32,59,92,91,147,235,565,744,1305,1553,1715,3266,32,36,59,15529,17616,33142,1638,1481,3120,2119,2187,4310,18,10,30,0,0,3,2352,2119,4471,107,148,255,2460,2270,4727,11870,11181,23053,84,65,150,44,55,100,12000,11307,23301,3271,3220,6490,37551,38794,76346
UCL212001,58,89,139,776,1102,1878,0,0,0,95,125,226,13,4,17,2313,2647,4960,5,9,13,142,135,277,34,35,68,16,17,32,33,51,84,0,0,0,25,42,68,63,84,147,100,180,279,12,14,24,14,21,37,240,379,613,189,213,405,0,4,13,4072,5065,9144,195,155,354,97,83,174,8,4,6,0,0,0,256,237,484,19,43,61,278,273,551,5178,4877,10053,38,34,75,13,20,37,5230,4935,10163,593,565,1159,10526,11169,21692
UCL212002,45,54,99,764,949,1714,0,0,0,74,98,168,0,0,0,1361,1631,2995,3,17,15,17,16,32,3,15,16,6,4,10,24,24,48,9,5,9,10,10,27,50,62,114,167,182,349,8,23,29,0,0,6,335,514,851,87,107,198,5,5,3,2920,3669,6588,50,38,88,16,18,34,0,0,0,0,0,3,9,5,20,7,14,24,24,22,43,2958,2887,5847,8,10,16,4,14,15,2971,2911,5885,533,486,1017,6552,7203,13764
UCL212003,456,408,865,1265,1699,2963,0,0,0,113,121,238,0,0,0,3107,3742,6843,57,95,151,170,176,352,50,79,128,41,40,80,145,188,325,15,15,30,67,88,156,207,250,460,256,347,604,30,56,85,116,146,264,592,856,1443,405,447,848,18,22,35,6656,8348,15004,179,144,319,567,471,1040,0,0,3,8,11,14,167,139,309,32,47,75,206,197,404,7461,7349,14805,30,37,71,22,29,46,7513,7416,14925,1550,1540,3091,17129,18526,35652
UCL212004,51,81,136,979,1235,2220,0,0,0,151,177,331,0,0,0,2268,2562,4829,16,15,28,69,59,130,16,18,40,4,0,4,31,46,79,0,0,6,10,16,29,24,23,48,162,194,358,11,6,12,5,4,12,355,562,923,132,171,300,3,0,5,4236,5115,9351,15,13,28,18,20,34,14,12,26,0,0,0,13,6,15,10,29,38,20,37,51,5407,5448,10854,43,31,67,11,36,50,5457,5512,10972,674,767,1440,10477,11553,22035
UCL212005,255,324,579,1799,2300,4096,0,0,0,220,226,445,62,53,117,5237,5893,11131,42,52,91,313,313,627,93,138,227,59,72,125,47,64,112,38,38,77,83,68,149,212,239,449,465,562,1030,27,45,71,22,31,60,823,1204,2025,577,670,1250,6,13,20,10117,11985,22105,468,429,899,2103,1928,4031,10,11,22,0,10,9,649,549,1194,82,92,176,726,647,1376,8553,8092,16646,48,24,75,32,46,80,8630,8164,16799,2030,2034,4063,24344,25520,49862
UCL212006,155,235,392,1405,1839,3240,0,0,0,165,201,363,90,93,176,4994,5573,10569,33,41,65,260,278,534,61,64,129,51,63,112,62,81,141,7,9,18,41,42,74,116,135,249,251,289,537,24,32,56,19,21,40,399,641,1042,364,471,839,9,11,20,8339,9868,18208,193,206,403,158,147,310,19,13,35,0,0,0,122,140,264,43,59,101,168,198,368,8399,7762,16156,52,41,98,20,28,44,8471,7832,16307,1022,972,1993,18530,19482,38010
UCL212007,61,98,156,784,947,1730,0,0,0,173,189,360,0,0,0,2204,2575,4783,0,9,7,70,73,146,37,54,90,6,7,8,35,56,90,0,0,0,19,15,31,23,32,59,138,183,326,11,15,21,0,3,4,332,448,782,193,224,413,0,8,7,4022,4835,8862,17,9,31,15,20,38,9,15,26,0,0,4,11,10,17,15,26,37,27,32,60,6336,5975,12317,40,30,75,15,42,59,6398,6051,12444,716,665,1382,11266,11729,22998
UCL212008,104,146,249,1173,1638,2813,0,0,0,116,139,252,0,3,8,2608,3110,5717,10,10,22,141,148,293,24,44,66,26,22,46,40,56,94,7,8,15,34,49,80,119,127,246,240,295,534,3,21,25,14,12,23,337,496,830,210,266,485,5,0,6,5108,6449,11555,103,99,198,75,73,147,4,3,13,0,0,6,49,53,97,33,38,71,79,92,173,6703,6358,13058,29,29,62,18,31,46,6744,6425,13167,1052,1077,2129,13276,14356,27628
UCL212009,147,170,315,925,1251,2175,0,0,0,194,219,413,27,31,60,4043,4796,8841,49,46,92,47,37,89,17,32,55,10,11,23,111,139,243,11,10,11,22,21,44,98,108,204,590,771,1358,33,57,87,18,26,47,438,650,1090,341,422,762,10,4,15,6984,8633,15611,92,70,157,53,56,109,17,14,29,0,3,6,28,23,50,25,29,58,56,56,112,7199,6931,14129,42,34,75,11,31,39,7250,6987,14237,1190,1132,2317,15774,17118,32894
