UCL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL212005,663,999,2490,2195,2106,1742,539,84,14,10832,0,27,146,85,60,33,10,0,0,365,0,0,0,4,0,0,0,0,0,3,39,30,73,105,113,97,16,0,0,463,3,8,32,30,24,16,4,0,0,112,10,17,54,48,67,45,8,0,0,255,3,14,34,29,28,15,5,0,0,125,247,169,222,196,208,186,28,3,0,1258,232,123,128,92,96,69,21,0,0,766,0,10,32,31,34,31,12,0,0,158,4,13,17,18,15,8,4,0,0,82,6,19,26,41,43,19,3,0,0,153,0,14,25,28,25,8,0,0,0,99,6,25,137,84,83,68,24,0,0,424,10,32,101,92,70,57,21,0,0,383,5,30,93,112,117,90,20,0,0,462,39,95,301,327,279,241,67,4,0,1357,42,263,773,675,664,588,154,0,0,3160,16,11,20,17,10,4,0,0,0,82,13,47,98,85,92,56,19,0,0,409
UCL212006,548,883,2252,2159,2126,1627,397,46,0,10043,6,9,12,14,6,4,0,0,0,50,0,0,0,0,9,0,0,0,0,9,15,22,75,51,93,71,12,0,0,341,0,5,17,16,18,5,0,0,0,72,7,21,75,85,65,36,14,0,0,304,0,8,43,39,36,40,3,0,0,171,160,168,195,169,197,184,37,8,0,1117,222,130,64,66,54,39,13,0,0,586,4,36,111,114,123,83,11,0,0,489,8,8,25,24,25,12,0,0,0,89,0,18,76,97,105,61,3,0,0,357,7,16,43,27,32,18,5,0,0,139,3,29,156,146,98,75,11,0,0,522,4,20,65,56,66,46,12,0,0,269,4,49,143,198,218,138,30,0,0,781,30,78,372,362,330,238,49,3,0,1466,17,149,476,425,448,402,97,8,0,2010,19,19,33,20,25,12,6,0,0,133,15,39,94,73,71,41,8,0,0,344
UCL212007,310,412,958,1584,1383,861,286,31,0,5822,0,3,6,6,8,7,4,0,0,34,0,0,0,0,0,0,0,0,0,0,31,11,19,48,32,19,5,0,0,157,0,4,4,6,10,0,0,0,0,31,0,8,33,55,56,26,10,0,0,185,0,5,7,32,35,13,4,0,0,99,82,85,123,135,111,65,17,0,0,620,153,95,48,45,57,33,3,0,0,437,0,3,9,30,31,10,4,0,0,85,0,3,8,25,15,10,0,0,0,65,0,0,38,65,56,23,0,0,0,193,0,3,15,35,24,13,5,0,0,99,0,20,90,145,123,56,18,0,0,457,3,9,20,45,47,26,9,0,0,152,4,4,77,132,121,57,14,0,0,419,9,37,143,290,243,160,29,0,0,911,16,64,271,369,320,222,43,0,0,1299,16,7,30,34,30,11,0,0,0,125,7,21,45,61,50,31,0,0,0,219
UCL212008,408,548,1484,1362,1224,982,269,37,0,6324,0,6,9,13,8,4,3,0,0,42,0,0,0,10,0,8,0,0,0,16,10,11,23,42,33,20,4,0,0,144,3,9,32,40,33,24,0,0,0,149,9,18,33,49,35,22,0,0,0,172,0,4,11,12,6,10,0,0,0,43,164,89,130,109,115,114,23,0,0,744,191,85,72,60,52,43,17,0,0,517,0,5,9,16,20,29,10,0,0,89,7,7,20,11,7,4,0,0,0,60,0,8,40,36,32,16,0,0,0,129,0,8,18,20,12,4,3,0,0,71,0,15,68,48,29,32,8,0,0,200,8,12,33,38,25,38,8,0,0,162,5,46,179,205,179,112,18,0,0,745,13,34,179,190,199,136,28,6,0,769,20,163,566,400,370,326,65,3,0,1914,24,6,14,18,13,8,3,0,0,81,19,19,67,57,47,26,5,0,0,257
UCL212009,576,676,1761,1527,1538,1365,427,63,0,7925,11,14,21,17,12,22,13,6,0,114,0,0,5,5,0,0,0,0,0,8,31,33,115,74,79,56,9,0,0,384,0,5,14,18,15,5,0,0,0,59,0,9,20,22,29,23,4,0,0,110,5,9,20,11,5,22,8,0,0,85,227,138,156,151,189,178,31,0,0,1081,198,110,145,105,77,74,17,0,0,731,3,0,14,13,22,27,4,0,0,85,0,3,10,9,6,7,0,0,0,46,0,8,32,40,25,28,4,0,0,129,0,7,16,22,21,12,10,0,0,93,9,23,76,75,67,42,16,0,0,310,9,24,50,48,50,54,14,0,0,241,8,27,70,90,143,91,15,0,0,450,32,48,217,247,263,203,36,0,0,1040,28,150,538,511,569,557,96,4,0,2454,11,12,25,25,18,14,4,0,0,107,19,37,87,59,50,28,12,5,0,293
UCL213001,192,252,614,471,515,475,189,30,3,2735,7,7,25,11,11,6,4,5,0,73,0,3,0,0,0,0,0,0,0,3,12,21,26,43,22,46,9,0,0,179,0,5,0,6,0,0,0,0,0,16,0,4,18,13,10,7,3,0,0,61,4,7,11,4,16,9,7,0,0,46,62,40,62,60,60,57,13,0,0,338,65,30,36,25,20,24,9,0,0,216,0,0,4,0,15,11,6,0,0,32,0,0,0,0,4,0,0,0,0,10,0,0,9,7,8,6,0,0,0,31,0,4,10,7,14,4,0,0,0,38,0,4,21,29,17,17,13,0,0,100,0,14,28,17,21,17,13,0,0,102,3,6,31,38,42,25,10,0,0,150,5,38,80,68,86,72,12,0,0,371,11,53,177,146,173,186,40,0,0,782,0,0,5,8,3,4,0,0,0,26,0,15,19,18,29,7,7,0,0,96
UCL213002,105,118,294,430,476,422,160,25,5,2032,0,0,6,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,4,10,0,32,27,34,22,5,0,0,137,0,0,0,4,3,0,0,0,0,5,0,0,9,10,8,7,6,0,0,37,0,0,0,8,6,0,6,0,0,14,50,14,25,26,48,45,14,0,0,219,35,18,24,20,23,15,8,0,0,142,0,0,6,6,8,14,0,0,0,29,0,0,6,6,15,13,0,0,0,40,0,3,0,10,3,7,0,0,0,27,0,0,0,5,5,8,4,0,0,25,0,4,21,34,34,26,11,0,0,127,0,0,9,3,11,16,5,0,0,43,0,0,29,40,58,42,10,0,0,179,5,7,34,97,101,78,27,0,0,338,5,20,83,115,151,164,34,0,0,571,0,0,8,17,26,13,0,4,0,76,0,4,7,22,22,8,11,0,0,71
UCL213003,206,281,698,567,537,466,169,23,5,2941,7,7,28,17,9,10,10,0,0,88,0,0,0,0,0,0,0,0,0,0,19,63,120,67,47,29,3,0,0,349,0,0,0,4,3,3,3,0,0,14,0,0,10,12,8,6,3,0,0,38,0,4,12,0,10,9,3,0,0,31,83,43,62,49,67,48,14,0,0,360,70,22,45,36,33,32,5,0,0,235,0,0,0,9,8,3,6,0,0,24,0,4,4,8,9,6,0,0,0,32,0,4,3,8,12,4,0,0,0,28,0,3,4,9,6,0,0,0,0,27,0,13,14,21,20,22,3,0,0,96,4,6,15,31,21,26,3,0,0,107,5,4,14,32,36,20,16,0,0,128,14,21,58,67,75,68,8,0,0,309,12,44,132,138,154,168,42,0,0,694,4,5,8,9,0,4,4,0,0,31,3,11,20,16,21,6,9,0,0,86
UCL213004,180,278,798,670,594,533,171,30,0,3261,3,9,17,11,13,12,4,0,0,73,0,0,0,0,3,0,0,0,0,3,3,16,37,22,42,22,3,0,0,135,0,0,9,3,4,0,0,0,0,15,4,6,30,22,17,25,3,0,0,109,0,3,13,10,7,12,0,0,0,49,57,49,78,63,73,63,13,0,0,394,71,40,37,27,23,13,0,0,0,212,0,3,8,15,11,16,4,0,0,64,0,0,4,6,4,4,0,0,0,22,0,7,26,18,14,3,0,0,0,71,0,4,14,7,7,6,3,0,0,43,0,11,45,31,18,17,9,0,0,136,5,5,29,18,22,19,0,0,0,97,0,3,44,39,32,35,3,0,0,156,7,31,138,89,116,81,17,0,0,486,22,66,216,169,185,164,43,0,0,858,0,5,10,13,14,3,0,0,0,46,4,22,48,23,26,25,4,0,0,148
UCL213005,225,287,709,785,732,624,218,20,0,3607,0,0,4,0,5,8,0,0,0,23,0,0,0,0,0,0,0,0,0,4,9,5,10,16,29,33,4,0,0,113,0,0,0,4,3,7,0,0,0,14,0,7,27,23,18,13,5,0,0,93,4,0,7,7,16,8,0,0,0,41,76,77,74,72,80,96,15,0,0,494,93,39,54,29,31,27,7,0,0,277,0,3,11,12,19,16,5,0,0,69,3,0,0,3,4,0,0,0,0,21,0,0,31,27,37,18,0,0,0,120,0,4,15,9,8,5,3,0,0,48,0,12,26,41,48,30,9,0,0,170,4,4,17,30,33,19,11,0,0,121,5,3,33,48,58,54,14,0,0,221,4,24,88,122,101,99,14,6,0,464,3,53,208,239,242,274,45,3,0,1071,0,4,9,12,0,10,4,0,0,41,5,18,38,35,27,19,10,0,0,143
