UCL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL213006,193,198,397,724,709,461,96,20,0,2803,3,0,3,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,3,12,25,21,12,4,0,0,94,0,3,0,6,5,3,0,0,0,23,4,5,17,33,31,23,4,0,0,111,0,0,0,10,17,0,0,0,0,32,73,35,22,32,44,43,3,0,0,259,80,24,11,11,25,3,5,0,0,157,0,11,13,27,29,23,0,0,0,105,0,0,3,9,0,0,0,0,0,26,0,6,21,45,22,11,6,0,0,113,0,0,9,14,7,6,0,0,0,38,6,6,38,62,47,23,4,0,0,181,0,4,8,25,20,13,5,0,0,79,0,10,38,80,70,47,6,0,0,242,9,15,82,153,128,85,12,0,0,492,13,49,96,173,172,66,20,0,0,590,6,4,5,7,12,7,0,0,0,37,7,18,10,34,18,14,0,0,0,104
UCL213007,249,348,881,732,697,665,233,56,6,3863,3,4,17,4,6,21,13,11,0,78,0,0,0,0,0,0,0,0,0,0,19,10,15,6,14,15,0,0,0,79,0,3,20,17,7,9,0,0,0,50,5,8,18,14,17,15,0,0,0,76,0,7,16,16,16,19,5,0,0,66,78,56,84,54,98,99,24,3,0,496,69,29,36,38,36,35,11,0,0,262,0,5,8,10,14,5,0,0,0,48,0,5,8,3,9,3,0,0,0,32,0,9,23,24,24,6,0,0,0,93,0,9,3,4,3,4,0,0,0,30,3,12,41,42,35,16,5,0,0,157,5,8,25,29,21,25,6,0,0,124,0,11,52,47,29,42,3,0,0,201,5,33,125,94,119,88,24,4,0,488,22,99,309,251,242,237,52,3,0,1205,3,4,14,8,9,10,3,0,0,50,5,19,34,28,28,17,10,0,0,153
UCL213008,243,335,1022,957,884,583,143,5,3,4169,0,0,4,3,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,6,7,3,41,28,39,20,0,0,0,147,0,0,8,11,7,8,0,0,0,31,3,7,23,24,25,10,4,0,0,102,0,3,16,17,15,6,0,0,0,68,73,68,94,102,98,45,13,0,0,493,122,51,35,40,24,11,3,0,0,279,0,9,27,27,29,22,5,0,0,119,0,3,10,6,5,5,0,0,0,27,0,3,44,57,32,17,5,0,0,151,0,12,18,9,10,3,0,0,0,54,8,12,57,67,47,19,5,0,0,215,4,14,42,33,38,27,0,0,0,151,4,6,67,92,77,48,14,3,0,313,8,46,132,170,127,66,8,0,0,555,7,66,255,223,216,137,34,0,0,940,0,4,9,17,4,0,3,0,0,33,8,9,36,26,33,22,0,0,0,136
UCL213009,181,276,634,665,638,478,116,16,0,3003,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,4,16,7,14,21,31,19,3,0,0,103,0,0,7,7,3,3,0,0,0,23,3,0,17,16,17,13,3,0,0,76,0,0,11,7,7,15,0,0,0,47,55,61,70,71,71,71,10,0,0,418,89,23,30,24,20,17,5,0,0,205,0,0,4,5,9,6,5,0,0,34,0,0,9,0,3,8,0,0,0,22,0,3,27,38,28,15,0,0,0,106,0,0,7,11,17,3,0,0,0,36,0,8,28,49,36,18,4,4,0,144,0,10,17,21,18,17,5,0,0,85,0,6,41,52,52,33,3,0,0,183,15,27,90,96,96,67,3,0,0,395,11,53,232,195,216,182,37,0,0,930,7,0,10,3,5,6,0,0,0,31,4,24,47,39,29,17,0,0,0,152
UCL213010,166,261,714,504,514,548,144,11,3,2868,7,7,12,9,5,11,4,0,0,51,0,0,0,3,0,0,0,0,0,9,0,8,20,16,9,11,0,0,0,60,0,3,8,4,8,7,0,0,0,44,3,8,23,17,17,0,3,0,0,64,3,3,4,7,8,3,0,0,0,26,51,45,77,57,87,56,11,0,0,373,81,38,40,22,20,20,4,0,0,223,0,0,3,3,9,16,4,0,0,40,0,4,4,3,0,6,0,0,0,21,0,3,22,30,13,8,0,0,0,81,0,10,7,8,6,7,0,0,0,47,0,15,26,15,14,11,9,0,0,86,3,14,21,19,28,21,0,0,0,104,3,4,56,64,62,55,16,0,0,245,6,27,61,60,102,62,17,0,0,326,4,70,186,156,167,173,44,0,0,810,9,3,11,3,3,4,0,0,0,25,6,11,26,17,22,18,3,0,0,108
UCL213011,123,230,551,435,471,412,125,12,0,2358,5,9,5,8,8,6,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,3,12,9,8,5,5,0,0,48,4,6,9,3,4,10,0,0,0,31,0,0,6,0,9,5,0,0,0,23,0,0,7,3,9,8,0,0,0,27,36,52,68,49,55,41,6,0,0,311,64,37,41,23,25,29,4,0,0,213,0,5,10,6,14,17,0,0,0,43,0,6,12,6,3,7,3,0,0,46,0,0,10,12,11,4,0,0,0,40,0,3,9,10,5,11,0,0,0,30,4,7,14,17,3,9,0,0,0,53,4,11,14,23,25,22,7,0,0,104,0,10,43,51,62,33,8,0,0,207,3,18,44,43,54,49,11,0,0,227,9,61,119,112,135,115,26,0,0,585,4,5,8,3,5,3,0,0,0,29,7,7,25,5,10,9,0,0,0,65
UCL213012,160,195,369,406,484,465,144,22,4,2249,0,8,4,10,9,9,9,0,0,53,0,0,0,0,0,0,0,0,0,0,5,9,10,18,27,24,3,0,0,96,0,0,4,6,5,4,0,0,0,16,4,0,3,4,0,9,0,0,0,22,3,0,5,11,10,3,4,0,0,30,53,17,25,32,57,20,9,0,0,223,52,29,36,38,32,43,6,0,0,226,0,3,9,10,16,15,0,0,0,47,0,0,3,0,4,3,0,0,0,14,0,0,5,8,10,3,0,0,0,28,0,0,9,3,4,3,6,0,0,26,0,0,10,8,15,7,0,0,0,51,0,6,15,17,24,20,0,0,0,77,3,9,23,37,26,40,8,0,0,148,3,18,55,61,81,56,8,0,0,284,6,39,133,101,141,140,41,0,0,601,9,6,5,4,4,6,5,0,0,41,9,3,16,20,16,12,8,0,0,84
UCL213013,181,276,714,615,546,521,153,30,5,3047,0,8,9,14,13,4,0,4,0,55,0,3,3,6,5,5,0,0,0,21,4,0,10,19,14,9,0,0,0,58,0,3,8,4,3,4,4,0,0,23,0,5,9,14,23,7,0,0,0,64,0,0,0,8,3,0,0,0,0,13,89,59,48,53,75,49,8,3,0,380,64,29,37,23,19,26,3,0,0,204,0,4,8,3,4,6,0,0,0,27,0,3,3,3,4,0,0,0,0,18,0,0,3,6,9,9,0,0,0,36,0,6,10,10,15,4,6,0,0,39,0,9,41,32,22,17,3,0,0,126,0,0,17,23,16,19,5,0,0,76,5,21,63,66,78,42,14,0,0,279,9,18,100,97,110,81,22,0,0,433,8,55,210,192,194,181,30,0,0,879,0,5,5,11,8,0,0,0,0,35,6,14,36,24,27,16,10,0,0,116
UCL213014,157,259,633,520,404,438,144,18,3,2580,4,3,42,25,18,15,15,5,0,117,0,0,0,0,0,0,0,0,0,0,8,5,39,25,13,25,5,0,0,114,0,0,0,0,0,0,3,0,0,8,3,3,12,9,16,13,0,0,0,54,0,7,13,3,7,10,0,0,0,33,41,46,53,46,41,48,10,0,0,278,61,48,52,35,28,27,5,0,0,256,0,3,11,6,10,13,6,0,0,51,4,4,3,4,0,0,0,0,0,14,0,7,10,19,7,6,0,0,0,51,0,3,4,9,6,0,0,0,0,24,5,12,13,22,14,14,4,0,0,85,4,3,18,17,9,13,0,0,0,75,0,8,35,25,34,21,10,3,0,137,4,21,93,78,68,59,18,0,0,346,13,65,166,132,125,120,25,0,0,663,0,0,11,3,0,0,0,0,0,23,3,13,35,20,9,10,0,0,0,84
UCL213015,199,331,980,985,720,512,126,6,0,3875,0,0,7,5,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,6,47,60,51,27,0,0,0,195,0,0,3,6,7,5,0,0,0,24,0,13,32,39,16,18,3,0,0,124,5,3,17,19,9,13,0,0,0,63,37,47,100,63,67,47,11,0,0,372,119,55,52,35,10,12,0,0,0,288,0,6,42,41,28,16,0,0,0,139,0,0,5,8,3,3,0,0,0,17,0,6,30,30,23,14,0,0,0,92,0,3,12,10,17,0,0,0,0,43,0,13,37,48,30,13,3,0,0,130,3,9,22,19,15,14,7,0,0,90,0,12,53,62,61,27,4,0,0,224,14,35,133,99,84,47,13,0,0,425,6,40,221,201,170,107,15,0,0,760,3,8,9,15,7,6,0,0,0,45,8,10,39,38,20,9,0,0,0,124
UCL213016,330,348,874,878,855,751,263,35,5,4335,0,3,8,5,14,7,9,0,0,49,0,0,0,0,0,0,0,0,0,0,11,10,44,42,39,34,5,0,0,188,0,0,0,0,0,6,0,0,0,7,0,3,24,15,22,16,4,0,0,82,5,5,4,8,13,4,3,0,0,42,108,60,111,91,80,96,23,0,0,580,124,67,73,40,60,29,8,0,0,403,0,5,10,11,25,23,8,0,0,72,4,3,5,7,7,4,0,0,0,27,0,4,20,20,11,18,0,0,0,80,0,6,10,10,11,3,3,0,0,52,5,4,36,39,30,19,11,0,0,147,3,8,25,29,49,38,8,0,0,170,3,7,34,60,70,49,14,0,0,243,15,27,108,151,135,108,21,0,0,558,28,117,348,280,337,325,65,3,0,1507,10,5,8,11,4,0,3,0,0,31,8,18,43,25,28,15,8,0,0,154
UCL213017,230,395,1057,910,851,709,237,38,4,4427,3,12,72,23,10,9,0,0,0,135,0,0,3,0,0,0,0,0,0,10,12,10,46,28,31,19,10,0,0,155,0,3,7,6,4,0,0,0,0,14,0,17,41,25,30,28,10,0,0,149,0,6,13,3,11,8,3,0,0,48,91,69,78,70,67,75,8,0,0,470,100,46,45,24,28,28,3,0,0,269,0,3,13,6,18,14,4,0,0,57,6,6,7,8,13,0,0,0,0,39,0,10,30,27,24,14,0,3,0,95,3,8,13,16,5,6,7,0,0,59,4,18,59,54,34,33,7,0,0,211,7,9,20,41,27,25,7,0,0,142,0,12,66,52,74,51,11,0,0,270,9,46,138,179,188,134,25,0,0,725,19,98,297,261,245,205,57,3,0,1190,11,15,10,16,16,16,0,0,0,71,4,20,37,27,55,40,17,0,0,202
UCL213018,139,136,295,301,360,336,118,24,0,1709,0,0,0,4,9,3,5,0,0,33,0,0,0,0,0,0,0,0,0,0,8,3,16,26,22,15,0,0,0,87,0,0,0,0,3,0,0,0,0,3,3,7,6,11,18,4,3,0,0,53,0,0,0,0,0,0,4,0,0,12,28,10,22,47,37,42,18,0,0,197,37,31,48,45,46,49,9,0,0,267,0,0,3,5,8,6,3,0,0,25,0,0,0,0,3,6,0,0,0,10,0,4,5,9,17,3,0,0,0,44,0,3,0,0,7,0,0,4,0,25,5,3,13,14,16,9,3,0,0,63,0,0,4,9,20,15,0,0,0,56,0,0,11,8,16,13,0,0,0,50,5,16,39,41,56,38,11,0,0,211,6,24,94,82,84,96,29,0,0,411,0,3,6,0,3,0,0,0,0,17,0,6,21,13,7,3,0,0,0,54
UCL214001,99,147,380,249,261,276,87,11,0,1509,4,6,3,0,11,3,9,0,0,34,0,3,0,0,0,0,0,0,0,3,9,21,50,31,29,23,3,0,0,167,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,3,0,0,0,12,0,0,3,4,3,0,0,0,0,14,22,18,19,24,23,25,9,0,0,137,34,26,15,25,17,22,3,0,0,141,0,0,7,6,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,10,0,0,5,5,6,5,0,0,0,22,0,0,4,3,4,3,0,0,0,22,0,0,10,6,4,12,4,0,0,32,0,0,15,9,11,10,3,0,0,45,0,13,35,20,49,25,3,0,0,150,5,11,34,38,26,28,7,0,0,150,10,48,102,65,110,98,26,0,0,463,0,0,4,6,3,6,4,0,0,15,7,5,11,11,3,6,4,0,0,48
UCL214002,100,128,357,387,360,181,51,9,0,1565,3,3,4,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,9,17,19,11,4,0,0,57,0,0,9,0,0,0,0,0,0,7,0,0,15,17,6,0,0,0,0,41,0,0,3,5,11,0,3,0,0,20,28,17,35,40,41,18,7,0,0,192,45,11,16,7,6,5,0,0,0,96,0,0,15,6,10,4,0,0,0,31,0,0,0,7,3,4,0,0,0,12,0,0,12,25,13,5,0,0,0,57,0,3,4,7,4,0,0,0,0,22,0,5,12,30,12,4,0,0,0,64,0,3,6,9,14,3,0,0,0,39,0,0,23,40,36,13,0,0,0,115,5,9,48,89,42,24,6,0,0,217,3,21,106,91,96,53,9,0,0,388,3,0,4,4,4,3,0,0,0,17,4,6,10,24,12,0,0,0,0,52
UCL214003,124,164,396,330,355,414,171,17,0,1970,4,0,3,7,8,8,9,0,0,38,0,0,0,4,0,4,0,0,0,6,10,14,11,21,14,14,0,0,0,93,0,0,0,0,0,0,0,0,0,9,0,7,19,12,23,13,4,0,0,74,0,5,3,0,0,4,0,0,0,15,37,21,42,29,36,36,12,0,0,212,33,18,31,21,20,17,11,0,0,155,0,0,3,0,16,4,4,0,0,25,0,0,0,0,0,0,0,0,0,5,0,5,5,4,8,5,0,0,0,34,0,0,0,0,0,3,3,0,0,16,4,6,18,12,11,13,7,3,0,65,0,5,11,14,26,14,0,0,0,73,3,8,22,25,22,48,12,3,0,145,4,15,49,50,67,56,18,0,0,253,8,35,109,106,116,154,31,0,0,568,4,0,4,5,8,6,0,0,0,32,4,5,10,13,13,10,4,0,0,54
UCL214004,70,92,261,221,208,203,65,18,0,1138,0,7,19,14,10,10,5,0,0,60,0,0,0,0,0,0,0,0,0,0,5,10,13,21,27,20,0,0,0,91,0,0,0,0,3,0,0,0,0,5,0,0,10,5,6,8,0,0,0,27,0,0,0,3,6,3,0,0,0,11,24,21,18,32,20,22,5,0,0,139,18,14,17,15,21,14,3,0,0,96,0,0,0,8,4,7,0,0,0,17,0,0,0,0,4,0,0,0,0,9,0,0,10,4,6,0,0,0,0,20,0,0,0,0,8,0,0,0,0,8,0,9,6,11,5,3,0,0,0,40,0,6,24,6,10,8,4,0,0,49,0,0,9,8,14,3,0,0,0,35,5,7,27,31,25,21,8,0,0,119,0,14,38,36,51,50,16,0,0,209,0,0,0,0,0,0,0,0,0,8,0,4,14,7,0,5,0,0,0,36
UCL214005,12,21,43,41,53,46,16,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,7,7,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,8,4,8,8,12,4,0,0,0,31,7,0,0,0,6,0,0,0,0,20,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,7,3,0,0,7,0,0,0,0,0,16,0,0,0,8,5,3,0,0,0,22,0,3,4,8,13,15,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10
UCL214006,60,72,208,222,251,249,103,18,3,1172,0,0,0,3,4,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,6,0,6,8,4,9,0,0,0,37,0,0,0,8,3,4,0,0,0,18,0,0,10,10,7,4,0,0,0,30,4,0,0,0,4,6,4,0,0,17,23,12,29,30,27,39,4,0,0,160,17,19,35,25,33,31,12,0,0,166,0,0,0,4,3,10,0,0,0,17,0,0,0,0,3,0,0,0,0,15,0,0,0,9,4,14,0,0,0,27,0,7,4,3,14,10,4,0,0,39,0,5,13,8,10,16,10,5,0,67,0,0,0,16,6,12,3,0,0,38,0,0,8,14,8,9,3,0,0,39,0,7,17,38,33,22,6,0,0,122,0,15,49,42,59,80,22,0,0,273,5,0,15,15,14,27,11,0,0,80,0,0,9,10,13,7,0,0,0,41
UCL214007,38,118,530,380,187,160,28,3,0,1433,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,23,15,4,0,0,0,60,0,0,0,4,3,0,0,0,0,11,0,0,23,10,10,3,0,0,0,44,0,0,12,10,8,0,0,0,0,29,15,16,35,29,21,22,0,0,0,141,18,7,18,9,4,4,0,0,0,63,0,5,31,17,16,12,8,0,0,92,0,0,6,7,0,3,0,0,0,10,0,6,20,19,4,0,0,0,0,53,0,4,11,3,3,8,0,0,0,24,0,0,37,18,10,7,0,0,0,75,0,4,20,11,5,10,0,0,0,46,0,9,41,27,18,10,0,0,0,105,3,8,97,40,23,20,0,0,0,181,0,19,114,69,43,32,3,0,0,284,0,3,9,7,5,0,0,0,0,19,0,5,23,4,9,0,0,0,0,47
UCL214008,131,192,464,357,394,416,163,35,3,2152,3,10,18,8,15,12,10,4,0,80,0,0,0,0,0,0,0,0,0,0,3,8,3,8,7,12,3,0,0,45,0,0,0,3,0,0,0,0,0,3,0,8,11,4,6,15,5,0,0,49,0,4,4,5,7,3,0,0,0,23,47,35,37,45,50,43,13,0,0,273,48,35,33,21,13,21,0,0,0,176,0,0,4,8,5,9,3,0,0,28,0,3,4,5,0,10,3,0,0,29,0,3,6,9,7,4,0,0,0,29,0,3,8,4,3,4,0,0,0,25,9,5,16,18,16,20,0,0,0,83,0,6,10,13,12,14,0,0,0,50,0,11,18,31,33,34,8,0,0,142,0,11,37,44,91,47,17,0,0,256,14,45,161,129,131,153,39,5,0,670,0,0,0,0,0,0,0,0,0,12,4,9,13,14,18,8,7,0,0,70
UCL214009,126,131,376,369,418,415,123,20,0,1982,4,4,4,6,5,9,0,0,0,31,0,0,0,0,0,0,0,0,0,0,23,10,24,31,38,22,12,0,0,161,0,0,5,4,4,0,0,0,0,20,0,3,19,13,11,11,0,0,0,62,0,0,4,8,7,6,0,0,0,28,15,22,31,32,41,51,3,6,0,202,52,35,36,29,38,24,5,0,0,213,0,0,0,3,7,15,0,0,0,30,0,0,4,0,0,3,0,0,0,17,0,0,8,6,13,8,0,0,0,30,0,0,3,3,0,9,0,0,0,22,0,8,23,31,23,22,4,0,0,116,0,0,9,12,19,17,6,0,0,63,0,4,11,32,19,19,7,0,0,85,5,12,54,77,55,44,12,3,0,264,8,18,86,70,85,122,22,0,0,418,0,3,9,21,17,10,4,0,0,68,8,11,19,17,21,10,4,0,0,95
UCL214010,74,71,172,248,227,261,95,13,0,1164,4,0,0,0,0,12,5,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,3,4,9,7,0,0,0,27,0,0,0,0,0,0,0,0,0,7,0,0,3,12,12,8,3,0,0,38,0,0,0,0,3,4,0,0,0,11,28,11,16,11,35,27,15,0,0,133,25,4,10,9,7,9,3,0,0,70,0,0,0,6,3,4,3,0,0,12,0,0,3,0,0,0,0,0,0,4,0,0,5,13,5,5,4,0,0,33,0,0,4,3,3,8,0,0,0,18,0,5,19,15,12,10,7,0,0,68,0,0,3,8,7,9,3,0,0,29,0,0,9,22,19,21,4,0,0,77,0,14,30,58,62,46,8,0,0,221,0,21,58,83,71,71,20,4,0,323,0,0,4,7,8,3,0,0,0,25,5,3,0,7,10,10,8,0,0,41
UCL214011,134,213,433,420,425,331,81,10,0,2047,0,0,5,6,3,5,0,0,0,18,0,0,4,0,0,0,0,0,0,7,14,8,17,18,37,16,3,0,0,115,0,0,6,3,0,0,0,0,0,6,3,0,13,13,21,14,4,0,0,68,0,0,9,6,10,0,0,0,0,24,29,24,40,28,48,27,4,0,0,203,59,24,10,16,15,9,0,0,0,132,0,5,16,13,8,17,3,0,0,58,0,3,4,0,5,3,0,0,0,22,0,3,12,12,17,10,0,0,0,53,0,0,7,3,11,0,0,0,0,21,0,3,15,21,26,6,0,0,0,89,0,4,11,14,16,7,5,0,0,60,0,16,39,35,41,18,3,0,0,151,4,16,74,62,86,57,12,0,0,312,8,34,100,89,94,77,15,0,0,420,5,0,11,10,7,4,0,0,0,30,3,11,16,17,10,4,8,0,0,63
UCL214012,68,122,237,220,258,247,81,8,0,1244,3,8,11,8,11,9,0,0,0,49,0,0,0,0,0,0,0,0,0,0,5,7,11,21,24,17,0,0,0,83,0,0,0,7,0,0,0,0,0,11,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,22,16,17,20,31,19,11,0,0,142,15,6,17,8,9,16,4,0,0,77,0,0,4,0,11,4,0,0,0,22,0,0,0,0,3,0,0,0,0,3,0,3,3,5,5,4,0,0,0,19,0,3,4,6,0,3,0,0,0,15,0,8,16,7,17,17,3,0,0,64,0,0,6,4,8,9,5,0,0,35,0,3,12,10,5,13,0,0,0,41,0,8,29,33,43,32,10,0,0,158,9,21,65,75,76,84,31,0,0,359,0,3,3,3,0,5,0,0,0,15,5,10,11,11,7,15,0,0,0,59
UCL214013,60,86,200,253,294,177,75,11,5,1156,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,3,29,10,6,5,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,3,0,0,0,20,0,0,3,0,7,4,0,0,0,16,21,18,19,19,28,25,5,0,0,145,20,10,11,14,18,19,4,0,0,86,0,0,5,4,4,4,0,0,0,21,0,0,9,3,10,0,0,0,0,22,0,0,7,13,3,0,0,0,0,26,0,0,6,6,6,3,5,0,0,21,0,0,7,30,24,9,5,0,0,76,0,5,9,15,13,11,8,0,0,52,0,0,13,24,27,22,3,0,0,90,0,3,27,38,44,31,12,0,0,158,4,11,38,54,71,51,6,0,0,244,0,3,5,5,9,0,0,0,0,32,0,8,9,8,7,0,0,0,0,41
UCL214014,80,77,157,189,192,214,93,15,4,1021,0,0,3,0,3,7,4,0,0,18,0,0,0,0,0,0,0,0,0,0,7,0,5,3,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,5,0,0,18,0,0,0,0,0,0,0,0,0,7,25,5,12,18,25,30,10,0,0,124,26,16,26,29,35,38,14,0,0,183,0,0,4,4,8,6,0,0,0,19,0,0,0,0,0,3,0,0,0,8,0,0,4,3,0,5,0,0,0,12,0,6,6,0,9,0,0,0,0,9,3,0,0,8,11,4,0,0,0,25,0,3,3,11,11,5,0,0,0,31,0,0,9,11,11,17,0,0,0,51,3,10,27,28,25,25,8,0,0,139,0,19,54,56,68,70,18,0,0,279,0,0,0,4,3,0,0,0,0,10,4,6,7,10,7,0,4,0,0,32
