UCL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL201001,317061,630357,268429,237562,293250,189209,128895,176135,45239,2286127
UCL203001,5324,11172,6636,6847,5986,4706,2511,4841,731,48758
UCL203002,4788,10358,6249,6450,5493,4276,2746,5531,729,46618
UCL203003,9659,20523,12234,12210,9768,7918,5468,8820,1500,88098
UCL211001,1808,3043,2833,2575,2068,1687,1426,2084,316,17840
UCL211002,2458,3993,4543,4398,4173,2796,4551,3638,751,31303
UCL212001,1094,1827,1829,1329,1523,871,950,944,186,10556
UCL212002,741,1039,964,922,609,645,379,798,92,6191
UCL212003,1790,2802,1958,2032,1614,1539,976,2265,362,15321
UCL212004,1599,3025,1461,1271,1196,837,268,630,149,10444
UCL212005,2513,4001,2773,2660,2363,2047,1369,3170,412,21306
UCL212006,2272,3534,3218,2446,2995,1786,1394,1583,329,19571
UCL212007,1956,3472,1506,1365,1239,933,239,687,167,11561
UCL212008,1210,2616,1965,1568,1858,1222,817,1279,237,12775
UCL212009,1686,3238,2175,2152,1678,1668,851,2238,269,15954
UCL213001,551,887,762,781,616,581,343,863,116,5496
UCL213002,528,1284,522,522,416,290,158,411,69,4207
UCL213003,549,649,795,771,504,525,478,1317,117,5707
UCL213004,644,1017,1132,865,769,594,511,842,118,6482
UCL213005,747,1321,1228,1042,841,712,452,786,124,7255
UCL213006,802,1345,876,655,747,429,250,375,64,5546
UCL213007,1006,1436,1095,1023,847,760,485,832,125,7613
UCL213008,781,1476,1294,1137,1007,704,751,811,138,8091
UCL213009,606,1101,1029,881,760,613,391,602,104,6094
UCL213010,441,680,1032,905,742,564,422,793,142,5720
UCL213011,330,510,689,679,615,512,393,715,113,4566
UCL213012,392,678,626,634,412,380,514,616,102,4361
UCL213013,718,1341,847,924,616,547,280,639,109,6021
UCL213014,685,871,686,653,570,491,251,767,98,5076
UCL213015,695,925,1377,933,977,632,742,747,156,7176
UCL213016,931,1685,1227,1300,953,880,605,1123,145,8842
UCL213017,996,1935,1249,1152,1057,703,488,1128,128,8831
