UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL201001,426935,860281,8060,47662,56598,262965,9163,43097,319188,1226137,393006,1579857,32303,140145,55292,196293,97703,322693,185297,659130,578308,2238987,2267,11090,12792,43820,4330,15805,58247,150760,77631,221476,9525,31521,22581,51844,71364,159776,103467,243144,181096,464619,22149,47081,1208493,3610972
UCL203001,10909,21779,148,799,1061,4937,287,1299,6130,23920,7626,30958,412,1745,856,2852,1684,5337,2950,9938,10574,40897,87,415,406,1367,211,785,2278,6083,2983,8648,186,588,514,1105,1833,3958,2531,5649,5512,14300,432,901,27429,77874
UCL203002,10528,21030,206,1154,1027,4792,263,1211,5891,23062,7390,30223,493,2108,761,2548,1703,5404,2950,10064,10344,40285,102,444,424,1453,197,707,2157,5810,2874,8406,166,525,428,911,1759,3807,2341,5238,5221,13641,453,936,26544,75895
UCL203003,18111,36284,262,1523,1705,7936,396,1809,11255,43325,13615,54592,871,3690,1629,5584,3280,10560,5783,19837,19402,74428,110,522,616,2085,290,1036,3017,7884,4041,11527,357,1138,826,1853,3107,6832,4288,9821,8333,21351,823,1699,46664,133764
UCL211001,3947,7892,71,399,369,1750,103,468,2295,8922,2837,11547,171,703,248,823,659,2106,1073,3636,3910,15179,37,173,161,578,76,276,928,2494,1199,3520,73,249,183,404,645,1367,898,2026,2097,5543,154,324,10114,28943
UCL211002,5496,11199,233,1560,818,4177,289,1434,6086,24230,7436,31399,364,1629,460,1606,1328,4386,2156,7623,9595,39023,106,579,346,1332,177,671,1775,5101,2409,7688,148,516,284,629,1367,3081,1802,4226,4201,11913,316,689,19605,62822
UCL212001,2205,4430,47,241,249,1126,67,323,1579,6139,1940,7830,112,476,163,562,465,1525,739,2560,2684,10393,19,71,90,327,36,134,433,1194,576,1719,53,177,88,199,344,753,485,1130,1055,2849,77,164,6025,17839
UCL212002,1689,3366,23,120,138,635,31,156,650,2560,845,3469,61,261,83,273,243,765,387,1300,1230,4766,10,35,61,213,32,115,279,763,382,1124,23,76,47,105,251,537,324,717,699,1846,49,104,3672,10080
UCL212003,3776,7554,69,405,319,1535,116,534,1825,7093,2334,9574,130,533,196,625,591,1893,916,3049,3255,12627,24,117,140,507,100,379,827,2293,1089,3286,72,236,150,328,653,1427,878,1994,1970,5283,173,361,9163,25822
UCL212004,2691,5335,37,184,286,1270,39,191,1589,6340,1951,7990,122,511,236,812,341,1070,699,2389,2653,10384,5,42,78,237,23,73,264,683,369,1037,36,99,97,197,230,505,363,800,732,1833,41,86,6115,17634
UCL212005,4836,9685,125,781,514,2534,143,731,2873,11519,3661,15569,256,1105,321,1069,891,2868,1467,5042,5126,20611,45,220,204,740,118,439,1005,2844,1377,4246,96,304,168,367,805,1750,1074,2424,2448,6669,198,425,12613,37399
UCL212006,3688,7413,87,465,458,2106,127,591,2638,10149,3315,13312,324,1382,392,1372,1038,3400,1756,6154,5066,19466,30,130,114,382,55,164,642,1706,845,2379,102,319,173,394,710,1588,987,2307,1832,4686,134,278,10716,31839
UCL212007,2401,4784,34,175,357,1590,56,260,1921,7571,2372,9598,118,494,251,851,323,1035,695,2372,3067,11969,10,26,72,228,11,27,269,663,359,951,31,96,75,164,180,377,288,634,644,1587,45,98,6168,18439
UCL212008,2957,5877,55,279,296,1383,67,292,1622,6259,2035,8213,131,528,215,707,489,1555,833,2788,2865,11008,24,110,80,293,51,180,605,1578,753,2166,48,155,123,258,474,1013,641,1417,1405,3581,96,198,7320,20656
