UCL_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
UCL201001,885,881,619,470,229,0,0,0,3076,305,648,548,364,375,0,0,0,2234,374,2397,3632,5370,6950,11060,9158,5921,44852,1567,3918,4796,6198,7551,11060,9158,5921,50169,272937,342507,319874,266085,219607,156105,84864,26997,1688978,14588,23165,17382,12659,9504,7169,5895,3733,94093,289091,369594,342049,284946,236664,174337,99909,36647,1833238,249,273,176,109,38,0,0,0,841,62,128,92,89,61,0,0,0,427,131,346,634,1225,1522,972,475,598,5891,435,747,898,1415,1621,972,475,598,7160,262200,355038,332706,287791,242109,189457,112025,51001,1832323,12483,19841,15027,11080,8736,8068,7627,7244,90107,275116,375628,348635,300286,252467,198500,120121,58840,1929594,1130,1151,792,575,263,0,0,0,3917,364,771,643,448,440,0,0,0,2666,506,2741,4264,6587,8470,12035,9630,6514,50747,2001,4665,5699,7613,9175,12035,9630,6514,57328,535133,697545,652582,553875,461718,345563,196887,77998,3521304,27073,43006,32409,23746,18236,15235,13516,10977,184198,564204,745220,690688,585234,489125,372835,220034,95489,3762827
UCL203001,4,3,4,10,6,0,0,0,34,6,22,8,5,12,0,0,0,48,17,99,147,234,355,483,410,246,1993,22,127,162,249,371,483,410,246,2075,6181,6821,5687,5382,5029,4232,2229,604,36169,377,407,290,306,253,254,199,134,2220,6580,7352,6143,5936,5659,4969,2844,982,40461,0,3,0,4,0,0,0,0,8,3,3,4,4,0,0,0,0,12,5,19,32,60,88,58,17,11,290,6,24,33,61,88,58,17,11,310,6216,7048,6569,6314,6117,5630,3220,1498,42611,385,397,298,272,243,269,301,296,2463,6612,7475,6906,6641,6448,5957,3538,1807,45383,4,8,4,8,6,0,0,0,39,8,26,15,7,12,0,0,0,64,22,122,176,292,443,537,429,255,2287,30,153,199,310,459,537,429,255,2381,12396,13873,12254,11695,11143,9858,5449,2105,78781,765,807,591,571,498,528,505,427,4684,13189,14830,13043,12584,12102,10924,6377,2790,85845
UCL203002,3,0,4,5,4,0,0,0,20,4,24,18,14,10,0,0,0,68,11,107,167,262,310,555,444,331,2184,17,131,185,277,325,555,444,331,2264,5692,6112,5353,4993,4869,4247,2222,570,34058,316,398,304,305,285,249,189,162,2197,6030,6635,5839,5580,5475,5046,2852,1063,38526,0,3,6,0,0,0,0,0,6,3,0,3,5,4,0,0,0,10,6,19,35,65,80,61,15,22,302,6,25,46,65,84,61,15,22,323,5863,6764,6093,5844,6023,5438,3098,1388,40512,289,379,321,288,270,250,283,305,2383,6167,7170,6455,6195,6383,5740,3398,1714,43222,3,5,7,8,4,0,0,0,28,3,19,21,15,13,0,0,0,79,14,127,197,321,394,615,459,354,2482,25,157,225,344,411,615,459,354,2590,11559,12880,11440,10832,10891,9681,5318,1955,74571,606,767,621,591,555,489,476,467,4582,12190,13806,12295,11773,11857,10787,6256,2780,81745
UCL203003,9,11,7,13,7,0,0,0,46,14,26,16,15,17,0,0,0,93,25,174,232,307,462,720,540,369,2828,44,210,261,335,487,720,540,369,2963,11087,13271,10425,9457,8470,6790,3656,1214,64374,688,824,537,492,420,348,265,125,3699,11822,14297,11230,10283,9378,7853,4465,1698,71028,0,3,0,0,0,0,0,0,10,5,3,3,4,3,0,0,0,15,0,24,54,87,124,93,28,32,448,6,34,58,95,124,93,28,32,471,10972,13610,11448,10578,10124,8649,5270,2594,73245,599,690,556,472,364,441,393,257,3765,11585,14331,12067,11140,10613,9185,5689,2885,77486,11,13,14,11,3,0,0,0,52,19,29,18,17,21,0,0,0,108,22,198,288,404,583,808,571,397,3273,52,242,322,427,613,808,571,397,3434,22062,26880,21874,20033,18592,15435,8931,3814,137617,1289,1509,1097,964,789,788,654,375,7462,23401,28627,23294,21426,19990,17033,10156,4583,148516
UCL211001,234,175,105,55,19,0,0,0,590,4,11,9,18,21,0,0,0,64,13,65,90,165,230,368,181,87,1190,251,249,204,240,265,368,181,87,1844,2122,2167,1922,1853,1725,1437,695,164,12084,141,153,127,94,103,85,53,21,775,2510,2573,2251,2191,2094,1888,929,267,14699,43,42,23,6,4,0,0,0,120,0,0,3,4,8,0,0,0,16,12,9,18,43,43,51,11,4,196,50,54,45,60,56,51,11,4,331,1971,2428,2341,2211,2226,1956,1057,354,14551,119,132,115,92,78,95,81,42,754,2144,2615,2506,2361,2355,2096,1150,407,15638,276,214,126,62,27,0,0,0,705,4,15,15,28,22,0,0,0,78,23,74,113,207,272,415,197,87,1386,305,302,246,297,322,415,197,87,2168,4092,4598,4259,4060,3951,3389,1752,523,26635,259,282,245,189,179,179,136,61,1531,4657,5187,4754,4553,4453,3985,2082,671,30334
UCL211002,10,0,7,0,4,0,0,0,18,0,5,14,8,3,0,0,0,35,3,44,50,111,151,253,113,40,775,15,56,70,116,163,253,113,40,830,4240,5601,5585,3684,2712,2128,860,157,24973,360,488,426,284,200,124,77,19,1978,4616,6143,6085,4081,3078,2503,1050,219,27777,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,11,12,26,27,23,3,3,104,5,16,13,32,28,23,3,3,115,4130,6392,5608,3805,3166,2650,1008,340,27088,351,497,424,286,169,136,89,32,1973,4483,6895,6040,4120,3365,2807,1097,371,29181,12,4,8,3,3,0,0,0,30,0,8,14,8,5,0,0,0,39,8,56,64,137,180,272,121,47,882,16,70,79,143,191,272,121,47,945,8370,11993,11190,7487,5880,4773,1872,497,52058,707,979,853,568,368,261,163,49,3950,9096,13038,12129,8198,6435,5308,2153,591,56958
UCL212001,0,7,7,0,0,0,0,0,8,0,3,0,3,5,0,0,0,16,4,21,39,59,69,107,52,26,380,8,29,41,65,73,107,52,26,405,1140,1474,1379,1165,952,830,392,88,7416,44,67,61,52,40,45,28,8,335,1189,1575,1482,1281,1068,977,471,129,8156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,16,15,10,5,3,63,0,10,12,18,15,10,5,3,64,1145,1609,1466,1320,1163,1041,564,259,8565,45,62,58,41,57,50,43,18,374,1194,1678,1531,1373,1237,1097,616,277,9006,0,3,7,0,0,0,0,0,11,0,9,0,3,5,0,0,0,18,3,26,46,73,81,114,56,33,445,9,39,52,78,86,114,56,33,468,2291,3081,2846,2490,2119,1864,949,349,15982,88,130,113,86,101,92,73,27,711,2383,3250,3016,2657,2301,2073,1080,404,17165
UCL212002,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,6,6,12,31,42,87,76,50,303,6,5,13,31,46,87,76,50,311,705,711,599,705,782,697,416,110,4723,40,60,39,66,36,42,37,27,354,759,776,650,800,867,824,534,190,5388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,9,6,3,34,0,3,0,4,9,9,6,3,34,710,775,704,833,942,894,540,232,5634,38,46,37,47,45,41,70,87,410,753,828,745,884,1000,943,612,322,6077,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,6,9,12,34,54,95,83,51,339,6,6,15,34,59,95,83,51,348,1416,1486,1306,1537,1723,1590,959,344,10356,80,107,76,111,84,84,102,116,764,1508,1603,1393,1686,1863,1762,1150,512,11469
UCL212003,4,3,0,0,3,0,0,0,11,0,7,0,0,0,0,0,0,17,0,19,29,52,94,205,118,82,597,7,33,26,59,95,205,118,82,623,1945,2324,1786,1743,1753,1419,844,240,12056,190,226,175,176,149,114,84,51,1168,2143,2586,1986,1977,1999,1742,1048,373,13854,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,7,0,0,7,8,16,9,8,5,57,0,4,10,8,23,9,8,5,67,1881,2485,2030,2086,2070,1854,1163,542,14100,150,222,183,151,115,138,107,96,1153,2029,2709,2221,2235,2206,2000,1273,645,15322,4,3,0,0,6,0,0,0,12,0,11,5,0,0,0,0,0,21,5,23,36,61,113,214,123,91,660,6,39,35,62,116,214,123,91,690,3825,4812,3817,3825,3823,3275,2008,780,26160,340,452,358,323,263,257,190,147,2326,4171,5296,4211,4211,4210,3740,2323,1016,29176
UCL212004,0,0,0,0,4,0,0,0,12,0,3,3,4,5,0,0,0,9,3,12,30,46,54,126,73,55,397,3,17,35,52,57,126,73,55,423,969,801,1291,1249,1200,1244,527,135,7412,65,33,58,53,56,80,43,17,411,1036,850,1385,1355,1318,1447,650,207,8242,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,7,11,21,12,6,0,61,0,0,10,10,24,12,6,0,68,923,930,1484,1524,1523,1521,675,275,8855,66,37,62,59,73,83,39,36,453,990,975,1555,1593,1619,1613,727,315,9372,0,0,0,5,4,0,0,0,10,0,3,4,4,5,0,0,0,10,6,10,39,57,71,136,80,56,463,6,12,45,67,81,136,80,56,486,1889,1734,2778,2774,2722,2762,1202,409,16271,126,72,117,110,127,163,89,55,861,2021,1822,2938,2950,2930,3066,1374,519,17618
