UCL_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
UCL201001,14,54,77,1171,787,737,695,368,70,3983,292,3518,10271,42259,13732,12046,6971,2600,1285,92974,3,5,30,692,631,1382,1694,1460,541,6442,20,337,482,1434,617,995,1342,910,430,6568,266,2508,3526,12328,8855,10815,9722,7655,3484,59156,11,96,300,2245,1257,1081,605,254,83,5926,19,136,213,1548,474,325,289,143,109,3248,28,123,342,1994,986,922,2175,1830,934,9337,15,216,459,1012,1184,3013,6035,8494,3367,23797,110,724,1119,5059,1735,2080,1550,296,110,12783,1005,6611,9699,67672,8826,6316,4360,1860,695,107052,52,282,1648,5606,1579,713,737,226,65,10907,43,686,1039,5484,1160,720,396,166,50,9750,28,1044,1438,4989,2070,1394,785,389,103,12245,23,274,267,3059,764,774,748,509,279,6685,10,169,310,1809,1019,3737,7963,8515,5408,28940,55,270,427,2860,1373,436,284,93,52,5841,47,318,806,4768,1400,538,230,84,15,8207,47,184,349,2193,1979,2022,1325,499,163,8755,139,1302,3180,12503,4074,3951,3491,1158,295,30110
UCL203001,0,6,0,0,5,0,0,0,0,13,0,15,29,203,55,40,37,5,0,382,0,0,0,0,7,10,20,15,8,59,0,0,4,4,0,4,4,3,0,16,0,61,46,149,138,197,286,192,93,1165,0,4,4,12,10,8,0,4,0,35,0,0,4,12,3,3,5,3,0,27,0,0,9,23,13,17,52,32,17,162,0,0,0,0,0,0,7,11,3,30,0,3,5,11,3,3,0,0,0,33,3,51,140,520,48,30,19,11,0,824,0,3,8,22,10,0,7,0,3,53,0,0,7,16,3,0,5,0,0,35,0,0,4,11,8,0,0,0,0,21,0,4,6,19,17,7,14,3,10,80,0,0,0,4,4,7,20,6,20,66,0,0,3,27,19,3,3,0,7,65,0,0,3,22,5,5,0,0,0,32,0,0,0,0,0,3,0,0,0,4,0,8,6,50,26,25,9,0,0,135
UCL203002,0,0,0,4,0,0,0,0,0,6,0,6,24,110,30,29,11,3,0,207,0,0,0,5,3,11,0,8,0,29,0,5,3,20,0,3,0,0,0,34,0,30,31,85,99,191,176,144,67,819,0,0,4,10,3,5,0,0,0,33,0,0,0,19,5,0,4,0,0,24,0,0,3,6,14,13,25,19,7,95,0,0,0,6,3,3,4,0,7,27,0,3,3,7,4,4,5,0,0,26,6,36,55,369,31,19,19,4,0,548,0,0,7,24,18,12,0,0,0,57,0,7,10,10,3,3,0,0,0,24,0,0,0,6,0,0,0,0,0,12,0,0,0,14,7,3,10,3,6,45,0,0,0,5,3,12,20,7,5,59,0,0,0,13,3,6,0,0,0,20,5,0,0,26,3,6,0,0,0,42,0,0,0,0,0,4,0,0,0,3,0,6,12,63,21,17,13,5,4,139
UCL203003,0,0,0,17,11,3,7,0,0,35,5,48,74,383,118,90,54,32,3,798,0,0,8,43,55,100,159,167,64,596,5,13,11,27,0,6,9,0,0,76,7,78,124,375,296,534,514,386,183,2492,0,3,4,31,8,10,8,0,0,68,4,3,5,28,7,12,3,0,3,71,0,5,8,62,28,27,162,99,77,469,0,4,0,8,9,18,36,57,31,156,0,17,13,49,9,15,11,0,0,114,13,81,217,1242,74,42,46,11,3,1737,3,6,17,71,32,4,12,4,0,156,0,18,36,117,22,18,4,4,0,225,0,11,11,47,24,13,9,4,0,117,0,14,7,62,29,24,30,19,11,198,0,0,11,22,17,70,166,172,125,591,0,15,7,45,20,7,0,0,0,97,0,7,11,63,6,5,3,0,0,93,0,6,4,6,5,18,6,3,0,41,0,22,30,131,46,59,22,11,3,311
UCL211001,0,0,0,0,0,0,0,0,0,4,0,0,0,25,4,9,9,0,0,47,0,0,0,0,0,13,13,24,11,60,0,4,3,5,0,0,0,0,0,10,0,15,5,50,57,70,72,60,15,348,0,0,0,4,3,6,0,0,0,14,0,0,0,0,0,4,0,0,0,10,0,4,3,13,12,9,57,31,9,140,0,0,0,0,3,0,0,4,0,5,0,0,0,3,0,0,0,0,0,9,0,12,8,135,5,10,5,4,0,189,0,0,0,6,4,0,0,0,0,18,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,4,0,4,0,3,3,4,0,22,0,0,0,0,0,0,9,7,8,30,0,0,0,3,0,0,0,0,0,5,0,0,0,8,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,3,10,5,4,3,3,0,31
UCL211002,0,0,4,21,18,10,21,9,0,81,0,0,7,71,31,22,15,3,0,156,0,0,0,16,13,24,21,20,3,108,0,9,27,20,11,5,16,0,4,98,0,5,18,73,80,190,190,108,50,708,6,4,12,86,33,20,4,0,0,168,0,0,0,5,0,4,8,0,0,20,0,0,0,18,7,18,60,16,8,128,0,0,0,10,6,11,14,25,7,65,0,3,3,8,0,8,4,0,0,22,25,150,172,2033,113,121,84,20,4,2710,0,4,4,50,22,7,0,0,0,90,0,3,4,11,3,0,0,3,0,22,0,16,8,35,7,8,4,3,0,83,0,3,4,12,3,4,10,7,0,48,0,0,0,6,12,29,39,19,10,115,0,0,0,14,0,0,0,0,0,22,0,3,0,20,11,3,3,0,0,43,0,0,0,24,6,8,10,3,0,55,0,42,7,48,21,14,11,3,0,149
UCL212001,0,0,4,3,4,0,0,0,0,15,0,0,0,13,4,8,0,0,0,27,0,0,0,5,3,0,6,0,0,18,0,0,0,0,0,0,0,0,0,6,0,5,9,48,52,93,85,66,23,383,0,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,4,24,8,8,51,0,0,0,0,0,6,3,6,0,14,0,0,0,6,0,0,0,0,0,6,7,21,23,227,6,18,12,0,0,319,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,5,0,0,23,0,0,0,0,3,7,8,3,3,24,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,15
UCL212002,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,3,0,11,6,23,33,40,15,135,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,9,0,0,0,0,0,0,5,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,31,0,0,4,0,4,50,0,0,0,0,5,0,0,0,0,5,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,6,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9
UCL212003,0,0,0,3,0,0,0,0,0,4,0,4,11,73,15,9,6,0,0,124,0,0,0,0,0,8,4,5,12,33,0,0,0,10,0,0,6,5,0,10,0,6,6,34,39,50,56,39,19,244,0,0,0,9,4,5,0,0,0,23,0,0,0,0,0,3,0,0,0,7,0,0,0,8,7,3,17,10,0,48,0,0,0,0,0,5,17,24,6,52,0,0,4,23,0,3,0,0,0,38,0,20,11,160,25,6,11,4,0,230,0,0,0,12,3,0,0,0,0,19,0,3,0,4,0,0,0,0,0,12,0,8,0,5,7,0,0,0,0,22,0,5,0,4,0,0,0,3,0,14,0,0,0,9,5,18,49,65,43,183,0,0,0,17,0,0,0,0,0,17,0,0,4,18,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,16,43,229,55,15,0,3,0,355
UCL212004,0,0,0,0,0,0,0,0,0,3,0,0,10,10,5,0,0,0,0,22,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26,14,68,53,90,104,77,36,470,0,0,0,5,4,0,0,0,0,10,0,0,0,6,4,0,0,0,0,11,0,0,0,15,5,4,23,6,9,60,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,20,0,0,0,5,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,4,0,31,0,0,0,8,5,4,5,3,4,28,0,0,0,6,4,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,11
