UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL201001,99846,104951,53412,31820,40425,27056,16275,373787,20426,19472,11331,7453,9796,5316,2798,76587,21825,20124,10538,6545,8030,4555,2348,73962,89388,86311,52577,35514,47117,25483,12406,348790,1004,1023,505,302,198,77,47,3145,232479,231872,128369,81633,105560,62492,33874,876282,6913,12102,8538,6653,9558,6951,4533,55252,3126,4440,3188,2377,3295,1675,963,19077,1736,3209,2216,1674,2371,1255,688,13145,10592,17130,12408,9508,13004,6224,3187,72053,967,1124,594,417,320,138,76,3638,23339,38005,26940,20629,28546,16249,9453,163164,255816,269883,155305,102263,134108,78740,43333,1039442
UCL203001,595,586,279,141,205,70,41,1914,243,260,142,106,127,37,20,933,270,257,145,106,101,32,4,922,3577,3570,2093,1369,1650,553,184,12999,12,20,5,5,3,0,0,43,4699,4696,2661,1725,2079,696,253,16807,39,70,50,32,50,21,12,260,63,110,78,62,61,27,18,415,21,54,50,34,35,12,3,214,927,1271,879,655,788,180,81,4792,26,44,20,21,5,0,0,119,1080,1550,1083,793,946,240,112,5806,5776,6248,3743,2524,3029,939,365,22614
UCL203002,605,608,262,171,237,124,48,2056,202,182,115,85,99,29,20,738,174,203,93,71,78,25,12,662,3628,3542,2008,1394,1632,530,211,12941,28,16,12,5,3,0,0,63,4643,4555,2498,1724,2048,709,294,16467,47,56,41,41,45,23,13,262,61,112,71,29,59,17,4,359,17,39,33,26,38,12,7,168,886,1293,856,658,690,172,71,4628,38,40,24,11,7,0,0,122,1052,1549,1028,763,839,227,90,5542,5698,6097,3523,2491,2882,936,385,22009
UCL203003,1516,1365,676,450,529,320,128,4991,660,618,342,208,266,147,69,2304,711,637,340,177,234,106,49,2257,5974,5411,2919,1921,2417,993,431,20075,28,24,18,11,6,3,0,95,8894,8051,4300,2765,3457,1569,684,29721,116,179,123,100,155,100,60,831,108,195,138,102,128,58,14,737,54,102,85,61,81,33,21,432,987,1562,1008,775,980,333,155,5796,62,61,34,25,15,10,0,199,1318,2100,1382,1070,1358,533,253,8000,10216,10155,5677,3834,4809,2098,929,37729
UCL211001,204,218,125,79,92,35,14,765,86,77,52,35,28,7,0,289,93,83,50,25,29,6,5,289,1412,1329,775,516,644,122,41,4827,5,6,3,3,0,0,0,30,1798,1715,1004,656,794,165,62,6193,15,21,21,15,29,13,3,116,15,22,29,11,16,3,0,110,14,24,10,14,23,0,0,81,381,618,379,244,310,76,23,2033,13,14,9,3,4,0,0,40,437,698,451,290,382,98,31,2377,2229,2411,1454,945,1171,264,86,8575
UCL211002,2959,2696,1191,654,712,382,191,8782,354,242,119,77,94,26,15,928,285,307,127,73,80,24,17,921,1759,1585,824,534,606,200,86,5589,17,29,17,5,6,0,0,77,5381,4852,2278,1348,1506,624,308,16295,295,400,246,155,205,80,53,1431,113,124,66,52,64,12,5,445,58,59,36,37,47,15,12,253,700,831,486,310,349,101,42,2821,32,43,21,12,7,7,0,123,1191,1454,856,571,675,214,113,5069,6570,6307,3131,1919,2180,835,419,21364
UCL212001,180,171,89,45,44,12,9,549,80,93,50,37,39,9,3,320,73,74,36,22,25,25,8,255,907,823,456,285,329,134,44,2980,0,6,0,0,0,0,0,9,1240,1160,630,390,435,185,73,4115,17,15,8,7,3,5,0,53,22,26,34,16,20,7,9,134,16,22,12,5,9,8,4,81,132,247,190,116,132,53,31,897,8,4,0,9,0,0,0,21,195,315,244,152,176,70,35,1182,1436,1472,873,544,608,251,108,5299
UCL212002,53,55,27,9,18,0,0,165,27,29,13,3,14,4,0,92,30,28,8,3,11,4,0,87,408,403,250,175,229,61,15,1542,0,0,6,0,0,0,0,9,515,517,303,199,273,71,13,1896,0,5,13,3,7,0,0,27,7,13,7,7,3,0,0,40,8,5,5,12,9,0,0,38,115,177,118,76,104,14,9,608,4,4,3,0,0,0,0,18,142,205,141,97,120,16,9,722,657,721,447,296,389,88,26,2620
UCL212003,317,299,154,98,128,32,12,1043,90,74,41,18,18,7,0,247,74,58,28,18,20,5,0,208,1016,961,570,357,445,126,34,3504,13,4,5,6,4,0,0,32,1512,1403,791,489,621,170,51,5034,39,30,39,17,22,14,6,177,32,38,20,11,15,4,0,122,12,18,16,12,11,8,0,70,340,512,327,228,259,63,20,1752,14,15,5,12,3,0,0,51,435,620,404,279,314,87,22,2167,1951,2027,1200,771,929,259,72,7207
UCL212004,31,52,31,19,28,12,3,182,82,109,80,48,54,24,10,400,88,112,65,43,33,11,7,349,837,1044,605,374,441,162,62,3527,11,4,3,5,5,0,0,21,1039,1331,788,485,550,208,81,4482,4,3,9,7,8,0,0,26,7,20,19,13,9,7,6,84,0,10,15,8,14,0,3,53,56,146,114,90,120,43,8,571,7,4,6,5,0,0,0,17,77,184,160,117,148,51,15,753,1114,1519,948,602,698,259,97,5231
UCL212005,893,888,492,289,353,129,56,3102,95,71,38,39,37,16,5,304,119,82,38,35,34,6,7,315,1294,1230,772,527,618,176,49,4671,15,16,0,4,4,0,0,41,2415,2285,1344,896,1041,321,116,8432,54,91,50,32,56,25,15,314,44,53,32,19,23,8,4,182,22,25,12,8,14,0,0,88,419,625,404,283,299,78,23,2130,32,30,19,7,10,4,0,102,561,823,520,353,408,113,38,2817,2976,3111,1861,1252,1448,436,158,11250
UCL212006,240,268,140,84,115,63,45,944,186,190,92,69,108,52,21,712,201,167,75,60,66,35,15,617,1332,1352,766,504,616,269,161,5004,9,4,3,0,0,0,0,17,1977,1976,1077,711,908,422,236,7305,11,19,17,10,14,9,3,89,39,51,41,27,32,12,10,204,10,29,20,19,21,3,7,106,194,340,221,144,230,79,45,1256,3,5,8,3,4,0,0,28,255,451,305,193,301,110,63,1681,2230,2424,1385,908,1200,531,297,8984
UCL212007,95,100,66,32,37,19,5,358,139,148,85,43,56,22,7,495,135,175,81,41,53,20,6,499,1056,1091,618,428,467,166,71,3896,0,3,5,3,3,0,0,16,1428,1507,843,545,618,230,98,5266,0,8,7,9,11,4,0,29,16,23,23,12,16,7,4,98,5,8,7,6,13,4,4,41,57,120,109,64,103,27,16,488,0,0,0,0,0,0,0,4,73,157,149,94,133,44,15,666,1499,1661,996,641,751,272,112,5938
UCL212008,137,148,79,45,50,16,5,471,50,52,40,27,36,11,7,226,62,52,22,10,19,3,0,171,973,983,575,365,481,156,42,3577,4,4,3,6,0,0,0,10,1225,1235,720,453,575,187,57,4453,12,17,15,11,13,6,0,79,17,18,19,19,11,6,5,91,14,19,8,7,15,6,0,67,249,331,213,133,159,49,14,1151,17,16,10,0,0,0,0,44,309,401,266,167,207,59,22,1425,1532,1636,986,619,785,249,79,5880
UCL212009,104,102,57,36,51,15,3,370,71,80,47,29,31,5,0,270,71,84,43,25,37,8,3,272,1060,1058,651,498,591,153,53,4061,0,4,10,3,0,0,0,18,1306,1323,805,595,706,195,63,4981,9,25,9,6,19,6,0,74,22,42,22,9,22,3,0,124,8,14,19,13,14,0,0,72,208,340,251,163,187,49,12,1211,7,12,3,0,5,0,0,32,256,431,306,195,245,61,13,1504,1556,1749,1111,789,949,254,78,6490
