UCL_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
UCL201001,0,0,3,29,536,2447,7002,7136,1166,1339,974,1389,527,453,403,23407,0,3,12,90,246,883,3508,2118,460,499,483,448,235,55,89,9125,9,88,357,774,855,1055,1783,1382,307,299,378,410,186,74,119,8074,121,415,709,1057,11447,17060,51835,35236,9155,9920,9458,11382,3765,773,2797,165138,52,995,5461,1878,784,1857,642,179,26,18,16,28,6,3,346,12297,223,1312,2193,1025,1427,1364,2263,1640,240,271,321,218,112,44,323,12976,20,53,127,525,2591,2225,2800,1159,215,250,239,301,118,40,171,10847,2426,3987,2084,1117,1475,1338,2227,1195,253,267,280,328,150,68,480,17681,384,7724,23152,5707,1625,700,568,2072,254,212,152,161,59,18,1600,44391,45,152,453,1536,5306,5347,4147,2669,726,770,831,887,709,268,411,24262,232,180,2312,3369,6062,11833,77583,46441,13372,15385,20601,23456,7570,1663,3431,233490,45,140,201,488,1294,3799,5438,2578,768,919,962,1252,711,82,301,18974,8,16,66,230,1374,1214,4055,8735
UCL203001,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0,42,25,0,3,0,0,3,0,0,93,0,0,19,17,14,21,35,11,5,6,6,6,0,0,0,130,0,0,9,5,7,25,250,151,32,36,43,75,17,0,13,672,0,39,49,10,0,9,0,0,0,0,0,0,0,0,6,115,5,9,7,0,0,6,17,3,0,0,4,0,0,0,0,47,3,0,0,0,9,8,17,12,0,0,5,6,0,0,3,67,54,93,28,26,18,7,29,13,5,0,0,0,4,0,12,296,0,22,22,3,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,11,7,5,13,7,3,6,0,3,6,0,0,69,5,6,11,13,12,34,532,393,127,118,177,238,99,19,50,1827,0,3,0,3,8,12,22,28,3,3,0,4,3,0,0,90,0,0,0,0,7,0,23,19
UCL203002,0,0,0,0,0,0,9,43,6,11,9,0,0,0,0,86,0,0,0,0,0,3,23,24,0,6,4,0,5,0,0,64,0,4,8,11,8,4,24,14,7,0,0,3,3,4,0,96,0,0,0,0,5,20,132,84,13,14,25,28,4,3,14,341,0,3,26,9,0,4,0,0,0,0,0,0,0,0,0,41,0,0,4,0,4,5,14,21,0,0,4,9,6,0,3,80,0,0,0,5,3,11,25,4,0,0,0,0,0,0,3,47,33,55,18,18,19,8,14,4,0,3,0,0,0,0,9,185,3,13,19,9,5,0,0,3,0,0,0,0,0,0,3,55,0,4,8,3,4,4,11,8,9,3,0,3,0,0,3,53,0,0,12,16,0,25,374,283,107,77,111,115,52,12,17,1202,0,0,0,3,8,7,21,18,7,0,5,3,4,0,0,81,0,0,0,0,0,0,18,25
UCL203003,0,0,0,0,5,7,43,351,56,31,9,58,17,10,0,580,0,0,0,0,0,6,55,48,4,18,12,15,4,0,0,154,0,5,17,15,18,33,79,56,13,9,11,24,6,3,6,291,0,11,64,14,34,94,431,325,94,104,105,131,31,8,22,1467,10,170,488,154,59,148,48,12,0,0,0,3,0,0,39,1133,0,7,12,4,3,10,31,19,7,3,12,16,11,11,4,163,0,0,0,9,16,15,29,32,6,0,0,6,3,6,0,125,170,310,79,30,50,29,65,35,14,9,0,9,4,0,34,839,7,57,143,42,10,14,9,4,3,5,0,0,0,0,22,305,0,3,4,5,21,22,44,38,8,12,10,15,20,0,6,207,6,7,26,15,36,46,959,900,310,416,553,762,310,17,75,4438,0,8,0,5,13,36,63,43,3,13,17,17,15,4,3,239,0,0,0,0,28,27,57,235
UCL211001,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,23,0,0,4,3,0,6,9,4,0,0,0,0,0,0,0,32,0,0,0,0,9,7,27,18,6,4,0,4,0,0,0,77,0,20,59,5,6,9,0,0,0,0,0,0,0,0,4,106,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,14,7,3,5,0,0,0,0,0,0,0,27,47,111,37,21,10,8,19,9,0,0,0,0,0,0,3,266,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,17,0,0,8,3,10,7,160,111,17,24,22,25,11,0,7,397,0,0,0,0,4,6,8,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,6,7
UCL211002,0,0,0,0,0,0,22,41,3,5,5,3,0,0,0,86,0,0,0,0,3,32,219,132,18,25,15,12,4,0,6,462,0,0,0,0,9,7,14,8,0,6,0,0,0,0,0,49,0,0,0,3,15,24,94,61,11,8,11,12,0,0,6,257,0,14,76,30,7,42,12,4,3,0,0,0,0,0,3,183,0,17,12,20,14,15,57,39,0,7,8,0,0,0,4,190,0,0,0,0,20,54,80,70,26,13,22,15,6,3,0,317,65,57,33,12,14,18,12,6,0,0,0,0,0,0,8,230,0,15,60,21,8,4,0,4,0,0,0,0,0,0,9,122,0,0,4,6,12,7,7,6,4,0,0,0,3,0,0,42,0,0,14,23,33,102,2486,1370,371,298,348,463,135,31,60,5748,0,0,0,0,9,24,48,23,12,7,4,7,0,0,0,135,0,0,0,0,0,5,17,36
UCL212001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,25,0,0,0,3,0,3,7,9,0,0,0,3,0,0,0,22,0,0,0,0,4,0,16,13,0,0,0,0,0,0,0,42,0,5,14,0,0,0,4,3,0,0,0,0,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,8,3,0,4,0,0,0,0,0,24,30,27,10,6,3,3,8,0,0,0,0,0,0,0,4,104,0,3,13,4,0,4,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,3,3,7,8,197,161,59,42,53,82,24,4,18,665,0,0,0,0,0,5,4,6,0,4,0,0,0,0,0,15,0,0,0,0,5,0,0,4
UCL212002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,7,0,0,0,3,3,0,4,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,4,6,4,0,0,0,4,0,0,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,4,11,29,5,3,9,19,6,0,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
UCL212003,0,0,0,0,0,6,67,106,3,13,29,12,13,0,4,260,0,0,0,0,0,4,18,0,0,4,0,0,0,0,0,26,0,0,0,5,5,3,9,5,0,0,0,0,0,0,0,27,0,0,3,3,7,9,38,36,23,21,35,30,15,0,0,203,7,13,24,4,4,0,0,0,0,0,0,0,0,0,5,55,0,0,0,5,0,0,0,3,0,0,6,5,0,0,0,23,0,0,0,0,4,7,26,6,9,0,5,3,0,0,0,60,17,23,6,4,8,5,9,3,0,0,0,0,0,0,4,82,0,30,47,5,0,3,0,0,0,0,0,0,0,0,6,97,0,0,0,3,3,0,7,15,0,6,6,14,7,0,0,63,0,0,8,0,3,15,157,110,32,53,46,59,25,0,4,521,0,0,4,0,4,5,0,12,0,3,5,4,0,0,0,38,0,0,0,0,0,5,3,17
UCL212004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,7,6,7,4,0,0,4,0,0,0,0,42,0,0,0,0,0,6,20,7,0,0,0,3,0,0,0,32,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,21,32,9,10,9,5,9,3,8,0,0,0,0,0,4,100,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,3,0,4,5,0,3,7,3,0,0,0,0,0,0,7,32,0,4,0,0,0,3,0,0,0,0,0,0,9,0,5,19,0,0,0,0,0,0,0,0
