UCL_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
UCL213010,0,0,4,4,5,7,81,36,14,144,0,0,0,3,0,3,3,3,7,16,0,0,0,0,0,3,0,0,0,8,0,0,3,20,3,0,0,0,0,33,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,20,0,0,0,0,0,5,14,10,20,52,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,12,0,0,0,22,0,0,0,0,0,10,40,45,14,115,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,8,0,0,0,8,6,13,43,66,32,172,0,5,3,38,19,30,22,19,3,136,0,0,0,0,0,0,0,7,0,5
UCL213011,0,0,0,0,0,0,20,29,11,66,0,0,0,0,0,4,6,8,4,23,0,0,0,0,0,6,0,3,0,6,0,8,41,72,6,9,3,4,3,149,0,0,0,9,0,0,5,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,0,4,16,0,0,0,4,6,36,71,88,70,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,7,5,0,10,0,0,0,38,0,0,0,4,0,9,41,35,10,99,0,0,0,5,0,0,0,0,0,9,0,6,8,58,17,8,0,0,0,87,0,0,0,10,3,0,0,0,0,7,0,0,0,0,4,10,47,32,16,108,0,9,9,30,28,20,26,8,0,126,0,0,0,0,0,0,0,0,0,3
UCL213012,0,0,0,0,5,0,8,5,3,23,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,3,24,3,5,0,0,0,38,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,0,0,0,3,0,3,3,0,5,16,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,9,6,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,27,0,0,0,0,0,0,26,15,8,52,0,9,9,24,33,34,29,8,0,139,0,0,0,0,0,0,0,0,0,0
UCL213013,0,0,0,6,0,0,22,16,5,54,0,0,0,0,0,0,3,0,0,9,0,0,0,4,0,0,0,0,0,8,3,9,17,101,12,3,5,0,0,152,0,0,0,6,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,9,0,0,0,9,4,0,5,3,0,25,0,0,4,0,0,4,15,16,7,42,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,18,6,8,12,3,0,52,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,18,0,0,0,3,0,3,23,33,12,80,0,11,9,38,26,28,23,8,4,139,0,0,0,0,0,3,0,0,0,3
UCL213014,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,3,14,17,156,15,10,4,0,0,209,0,4,5,19,16,5,0,0,0,44,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,3,0,0,8,0,0,0,0,3,5,26,40,27,104,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,18,130,21,8,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,21,0,0,0,0,0,0,11,3,3,14,0,0,3,17,9,9,5,0,0,48,0,0,0,0,0,0,0,0,0,0
UCL213015,0,0,0,8,4,6,9,11,0,38,0,0,0,0,3,8,7,0,0,21,0,0,0,0,4,3,0,0,0,5,6,21,54,555,29,19,19,0,5,713,0,4,0,9,3,0,0,0,0,15,0,0,0,5,5,0,0,0,0,9,0,3,7,29,14,10,6,0,0,63,0,0,0,8,6,0,6,0,0,19,0,0,0,11,8,32,31,8,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4,6,0,0,32,0,0,0,10,3,8,5,0,0,28,0,0,0,6,0,6,25,15,0,59,0,0,9,14,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,3,0,7,10,0,15,0,31,42,84,44,32,26,0,0,261,0,0,0,13,8,12,9,4,0,39
UCL213016,0,0,0,0,0,3,28,17,3,66,0,0,0,3,0,0,6,10,0,18,0,0,0,4,0,0,7,0,0,7,8,7,17,104,6,3,0,0,0,148,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,19,0,0,0,3,5,21,64,84,38,209,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,11,25,11,10,0,0,0,56,0,0,0,0,0,0,0,0,0,6,0,0,5,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,3,12,54,0,0,0,0,0,67,0,0,0,3,4,10,31,25,8,72,0,5,8,32,28,23,22,15,0,122,0,0,0,0,0,0,0,0,0,0
UCL213017,0,0,0,14,10,4,28,28,12,90,0,0,0,0,0,3,9,3,0,19,0,0,0,11,0,0,0,0,0,12,0,13,15,118,29,6,6,5,0,194,0,0,3,23,0,0,0,0,0,28,0,3,0,4,3,0,0,0,0,9,0,5,0,3,5,0,0,0,0,13,0,0,0,7,9,4,5,5,9,35,0,0,0,6,0,10,14,18,8,65,0,4,0,5,4,0,0,0,0,14,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,3,0,0,21,0,0,0,0,0,0,0,0,0,8,0,0,4,16,3,3,7,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,4,18,54,33,19,124,0,6,17,59,45,37,35,16,0,213,0,0,0,0,0,0,0,0,0,0
UCL213018,0,0,0,0,0,0,19,15,0,39,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,22,4,5,3,0,0,37,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,11,0,0,0,0,3,3,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,15,0,0,0,0,0,4,6,7,0,16,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,16,9,0,21,0,0,6,14,7,14,12,4,4,67,0,0,0,0,0,0,0,0,0,0
UCL214001,0,0,0,0,0,3,3,9,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,7,6,82,0,3,4,0,0,105,0,4,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,8,4,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,7,10,4,19,0,6,12,26,21,15,12,0,0,88,0,0,0,0,0,0,0,0,0,0
UCL214002,0,0,0,5,0,0,8,5,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,5,4,0,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,11,0,30,0,0,3,16,27,9,3,0,0,66,0,0,0,0,0,0,0,0,0,0
UCL214003,0,0,0,9,0,10,27,11,6,68,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,11,13,70,9,4,0,0,0,104,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,4,3,12,0,29,0,0,0,5,0,0,0,3,3,20,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,0,0,0,0,0,19,0,0,0,0,0,3,17,19,0,42,0,0,0,14,10,20,11,7,0,67,0,0,0,0,0,0,0,0,0,3
UCL214004,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,3,73,3,5,3,0,0,98,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,8,9,6,5,0,0,0,27,0,0,0,0,0,0,0,0,4,5,0,0,0,0,5,16,38,41,25,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,129,11,5,0,0,0,185,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,0,3,9,12,8,17,11,5,0,71,0,0,0,0,0,0,0,0,0,0
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL214006,0,0,0,0,4,4,11,11,6,40,0,0,0,0,3,3,4,9,0,24,0,0,0,0,0,3,3,0,0,11,0,0,6,51,3,4,8,0,0,77,0,0,0,4,3,3,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,0,20,0,0,0,14,0,10,25,15,0,66,0,0,0,4,6,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,3,0,0,16,0,0,0,0,0,6,11,8,0,24,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,20,7,3,39,0,9,3,33,14,28,12,14,0,109,0,0,0,0,0,0,0,0,0,5
UCL214007,0,0,0,5,4,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,26,286,19,17,9,0,0,383,0,0,0,8,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,11,0,0,0,4,3,7,10,4,0,30,0,0,0,7,0,0,0,0,0,4,0,0,0,8,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,13,0,0,0,4,0,5,7,0,0,16,0,0,0,11,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,8,6,33,10,10,3,0,0,70,0,0,0,6,3,3,0,0,0,13
UCL214008,3,0,0,5,0,0,9,6,0,23,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,11,0,57,6,0,0,0,0,79,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,5,9,13,3,36,4,8,13,37,17,19,12,10,0,114,0,0,0,0,0,0,0,0,0,0
UCL214009,0,0,0,5,9,16,19,15,12,70,0,0,0,3,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,3,0,3,5,24,0,0,0,0,3,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,3,16,0,0,0,10,0,0,15,5,6,38,0,6,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,33,21,11,85,0,0,3,35,24,37,22,5,0,138,0,0,0,0,0,0,0,0,0,0
UCL214010,0,0,0,0,0,4,8,8,0,34,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,5,0,3,19,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,7,0,25,0,0,0,6,3,3,15,9,5,40,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,4,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,0,0,0,0,0,4,33,24,5,67,0,0,3,18,8,15,11,14,3,66,0,0,0,0,0,0,0,0,0,0
UCL214011,0,0,0,11,4,3,11,14,0,43,0,0,0,0,4,0,3,0,5,9,0,0,4,0,0,0,0,0,0,4,0,6,4,83,6,3,3,4,0,118,0,0,0,3,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,4,0,10,6,7,6,6,0,43,0,0,0,5,0,8,19,13,4,47,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,4,0,0,0,14,0,0,0,0,0,6,5,3,5,25,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,4,26,0,0,4,28,19,23,19,9,4,102,0,0,0,0,0,6,0,0,0,4
UCL214012,0,3,0,0,0,0,7,6,3,20,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,26,20,14,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,6,3,4,14,0,0,3,15,10,15,8,5,0,56,0,0,0,0,0,0,0,0,0,0
UCL214013,0,0,0,0,0,0,9,0,5,19,0,0,0,0,0,0,6,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,19,0,0,5,0,0,28,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,13,0,3,0,0,0,6,0,5,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,12,23,31,20,10,3,5,97,0,0,0,0,0,0,0,0,0,0
UCL214014,0,0,0,0,0,0,19,13,0,34,0,0,0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,5,0,3,0,24,5,0,6,0,0,40,0,0,0,4,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,0,7,0,0,14,0,0,0,0,4,6,14,17,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,4,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,14,4,48,0,0,5,16,11,14,13,5,0,66,0,0,0,0,0,0,0,0,0,0
UCL214015,0,0,0,3,0,0,4,9,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42,10,5,0,4,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,8,0,0,25,0,0,0,5,0,0,11,9,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,3,0,0,0,10,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,22,20,7,56,0,0,0,21,11,4,14,0,0,53,0,0,0,0,0,0,0,0,0,0
UCL214016,0,0,0,0,0,0,9,3,0,16,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,15,3,3,3,3,0,36,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,31,0,0,0,0,0,0,21,22,3,43,0,0,0,9,9,14,10,3,5,54,0,0,0,0,0,0,0,0,0,0
UCL214017,0,0,0,0,4,0,6,5,4,21,0,0,0,0,0,0,3,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,19,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,15,0,0,0,0,0,0,3,3,0,18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,8,0,0,7,3,0,33,0,3,0,6,0,11,24,12,0,60,0,0,0,0,0,0,0,0,0,0
UCL214018,0,0,0,3,6,3,23,17,5,51,0,0,0,5,0,15,27,43,13,108,0,0,0,0,0,4,0,0,0,4,0,0,0,11,0,0,7,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,22,0,0,0,7,0,14,55,26,9,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,6,21,41,31,11,105,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,14,0,35,0,4,6,32,19,28,36,10,0,139,0,0,0,0,0,7,8,0,0,12
UCL214019,0,0,3,0,0,4,11,5,3,23,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,15,25,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,4,9,12,16,37,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,16,0,0,0,0,0,3,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,5,11,9,3,24,0,5,3,11,8,8,8,4,4,45,0,0,0,0,0,0,0,0,0,0
