UCL_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
UCL212009,0,0,0,14,5,10,17,6,5,55,0,0,0,0,0,0,4,0,0,15,0,0,0,3,0,0,0,0,0,10,0,17,22,111,16,8,0,0,0,183,0,3,4,25,5,0,0,0,0,38,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,11,25,10,8,10,11,0,85,0,0,0,7,0,7,9,0,0,31,0,0,0,8,7,3,0,0,0,21,0,0,3,30,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,4,0,0,3,18,12,7,4,0,0,52,0,0,0,0,4,4,7,4,0,15,0,0,0,8,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,10,0,0,0,29,0,0,0,0,0,34,0,0,0,9,6,8,27,30,13,98,0,17,33,97,75,61,49,11,5,348,0,0,0,0,0,0,0,0,0,0
UCL213001,0,0,0,6,0,3,27,22,10,63,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,3,0,0,0,8,0,12,6,61,6,4,3,0,0,89,0,0,0,9,0,0,0,0,0,7,0,4,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,17,0,0,0,0,0,3,11,25,11,56,0,0,0,0,0,0,0,0,3,4,0,0,3,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,5,28,6,3,0,0,0,42,0,0,0,0,0,0,4,4,0,13,0,0,0,0,0,4,3,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,15,0,0,0,3,0,5,26,22,4,67,0,0,0,24,19,26,35,14,3,121,0,0,0,0,0,0,0,0,0,0
UCL213002,0,0,0,9,6,12,21,12,5,53,0,0,0,0,0,0,5,0,0,13,0,0,0,5,0,0,0,0,0,7,0,5,0,34,3,0,3,3,0,49,0,0,0,6,4,0,0,0,0,17,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,5,3,3,6,4,3,23,0,0,0,4,0,0,12,0,3,24,0,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,15,5,6,4,0,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,10,12,0,42,4,7,3,44,34,33,22,9,0,160,0,0,0,0,0,0,0,0,0,4
UCL213003,0,0,0,0,6,0,6,9,3,19,0,0,0,0,0,0,4,0,0,5,0,0,6,9,0,0,0,0,0,12,0,4,5,45,3,0,0,0,0,61,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,12,14,11,36,0,3,0,5,5,0,0,0,0,3,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,17,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,9,13,5,36,0,3,8,36,19,24,10,5,3,111,0,0,0,0,0,0,0,0,0,0
UCL213004,0,4,0,8,4,3,28,24,5,71,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,5,0,8,47,8,3,7,3,0,78,0,0,0,8,4,0,4,0,0,15,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,0,26,0,0,0,5,0,4,11,5,5,35,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,0,0,0,0,5,7,7,0,17,0,0,0,7,0,5,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,15,40,46,13,126,0,6,15,51,45,36,29,14,0,200,0,0,0,0,0,0,0,0,0,0
UCL213005,0,0,0,5,5,16,32,22,13,93,0,0,0,0,9,0,12,7,0,26,0,3,0,4,0,0,5,0,0,11,4,4,6,39,11,4,3,3,0,74,0,0,0,3,0,5,3,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,7,10,8,9,3,4,51,0,0,0,9,4,11,33,7,7,64,0,0,0,4,6,0,0,0,0,10,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,9,6,4,3,0,0,23,0,0,0,0,0,11,20,19,0,45,0,3,0,0,3,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,7,35,33,6,88,0,13,8,60,40,33,41,14,3,205,0,0,0,0,0,0,0,0,0,5
UCL213006,0,0,0,4,3,4,14,14,7,53,0,0,0,0,0,0,4,3,0,8,0,5,3,0,0,0,0,0,0,9,0,4,5,41,3,12,3,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,15,8,4,0,4,3,35,0,0,0,5,0,13,16,3,3,38,0,0,0,5,4,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,4,0,0,12,0,0,0,3,3,8,23,8,0,40,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,4,4,3,10,8,0,36,5,8,10,51,46,17,15,7,4,160,0,0,0,0,0,0,3,0,0,5
UCL213007,0,0,0,5,0,0,10,4,3,21,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,4,9,15,10,108,19,12,3,0,0,176,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,3,0,3,0,0,17,0,0,0,4,4,5,5,20,9,49,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,5,3,0,0,49,0,3,0,28,0,0,0,0,0,34,0,0,0,0,0,0,16,19,9,38,0,0,7,24,13,13,8,0,4,77,0,0,0,0,0,0,0,0,0,0
UCL213008,0,0,0,3,0,11,32,10,9,75,0,0,0,3,0,6,6,0,0,8,0,0,0,9,0,0,4,0,0,9,0,23,22,256,20,12,7,3,0,344,0,0,0,3,0,6,3,0,0,15,0,0,6,6,3,4,0,0,0,17,0,0,0,0,0,4,0,0,0,3,0,4,0,16,4,6,12,0,4,47,0,0,4,3,4,3,10,9,0,39,0,0,0,0,6,0,0,0,0,7,0,0,0,3,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,3,13,0,0,4,0,0,25,0,0,0,0,0,3,11,4,0,26,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,9,44,26,3,89,0,8,11,63,26,26,15,4,0,162,0,0,0,10,0,9,3,0,0,13
UCL213009,0,0,0,3,4,8,22,18,5,59,0,0,0,0,0,0,11,7,0,19,0,0,0,4,0,0,0,0,0,7,0,4,13,72,16,9,4,0,3,119,0,0,0,3,4,0,0,0,0,8,0,0,0,4,0,4,0,0,0,12,0,0,0,6,0,0,0,0,0,6,0,0,3,8,6,3,0,0,3,32,0,0,0,4,0,9,25,17,7,63,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,18,0,0,0,0,0,0,12,7,0,21,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,4,0,0,0,0,0,34,27,7,76,0,6,12,32,22,30,9,4,3,119,0,0,0,0,0,0,0,7,0,7
