UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL201001,106162,56551,34800,20122,7447,1388,345136,2351,21790,27514,25390,19426,12579,3793,629,113463,64199,242108,207811,135152,83462,52980,20950,5830,812484,26101,76581,84290,73474,54483,36450,16849,5166,373397,40394,94908,85281,84876,71953,42004,21462,6842,447726,5988,5899,5446,4881,4250,2642,904,196,30205,3522,6965,9280,11696,11271,8160,4231,1516,56638,49909,107771,100006,101454,87470,52807,26596,8562,534571,1691,4625,4905,3469,3288,3240,2172,931,24324,29764,49520,39807,31442,27382,26533,24172,16933,245542,181214,613862,570492,426932,310307,204701,101983,39436,2448922
UCL203001,1076,820,627,441,168,23,4344,36,435,601,592,527,460,127,23,2806,740,3385,3171,2225,1457,1227,510,113,12831,409,1398,1505,1496,1326,1084,480,137,7821,1567,3656,2934,2641,2336,1533,679,205,15551,244,265,183,151,115,100,29,11,1100,75,152,169,206,217,199,106,35,1159,1888,4077,3286,2997,2675,1829,810,251,17811,24,57,49,64,53,70,55,26,400,853,917,722,772,753,916,885,612,6427,4044,11351,10417,8963,7419,6018,3039,1193,52433
UCL203002,706,536,431,345,128,15,3074,57,447,576,514,428,362,88,13,2484,669,2968,2652,1871,1300,1066,419,124,11069,356,1296,1385,1374,1280,1107,520,126,7449,1399,3631,3023,2777,2515,1629,779,228,15979,228,213,200,145,159,121,22,3,1098,96,137,172,212,235,214,96,41,1207,1719,3976,3394,3135,2911,1975,896,272,18282,10,62,41,51,54,63,48,25,358,698,903,752,749,816,878,944,683,6425,3604,10469,9506,8232,7223,5789,3043,1265,49136
UCL203003,2088,1320,877,511,215,21,8530,104,972,1025,876,674,498,142,19,4316,2029,7695,5972,3814,2586,1941,684,191,24911,1019,2958,2904,2760,2250,1753,804,233,14680,2609,6027,4711,4377,4013,2545,1137,397,25820,345,318,297,222,186,142,49,9,1566,162,261,317,357,368,334,175,59,2047,3117,6608,5329,4957,4568,3019,1358,468,29427,68,116,115,93,107,110,119,41,773,1445,1759,1376,1272,1209,1363,1331,808,10566,8037,23357,18815,15094,12274,9208,4654,1781,93207
UCL211001,218,165,114,73,21,0,781,15,137,172,159,126,93,28,3,741,99,836,783,567,378,311,100,17,3097,139,535,637,584,544,409,157,24,3024,757,1675,1389,1198,1048,651,246,64,7029,91,102,83,61,43,39,6,0,433,43,68,63,100,103,92,42,8,524,890,1845,1535,1360,1200,781,297,75,7982,10,12,10,22,28,26,16,11,134,286,325,302,270,257,347,297,110,2193,1455,3879,3658,3131,2637,2039,922,241,17955
UCL211002,877,231,102,62,12,0,2174,45,253,271,136,76,73,8,0,859,360,2110,2153,834,380,280,71,11,6190,332,1691,1647,815,525,302,104,18,5444,1062,2880,2377,1778,1305,824,274,39,10534,143,198,163,124,88,42,4,6,768,87,183,207,168,141,101,32,6,932,1286,3265,2748,2069,1530,968,312,49,12232,17,71,104,36,31,33,7,7,305,779,1183,1026,702,540,464,283,97,5075,2846,9407,8829,4835,3193,2173,805,181,32277
UCL212001,188,110,76,45,11,5,625,19,96,106,79,46,62,6,0,421,123,591,545,344,188,150,74,16,2024,94,401,445,346,251,193,92,19,1843,294,963,795,629,523,345,130,29,3702,41,45,46,28,32,20,7,0,222,17,32,60,54,50,43,13,4,271,349,1045,900,712,607,410,147,34,4194,6,16,12,11,13,9,6,4,74,121,166,141,137,143,144,134,41,1030,718,2499,2343,1738,1315,1008,477,119,10216
UCL212002,61,46,24,17,0,0,232,0,38,46,47,48,28,9,0,227,68,293,246,198,157,125,44,17,1150,38,143,162,168,174,137,70,12,907,214,479,391,447,424,285,123,39,2405,19,31,17,17,17,3,5,0,115,10,20,26,28,35,30,4,3,154,244,523,436,490,475,321,138,45,2680,4,0,8,4,11,8,13,4,52,99,119,92,132,147,172,181,142,1075,463,1201,1041,1095,1032,809,460,218,6316
UCL212003,188,106,89,46,23,4,665,6,114,105,129,98,58,14,4,540,148,922,649,480,338,220,91,24,2875,135,442,452,444,426,315,118,21,2349,520,1296,908,879,736,496,202,53,5083,91,118,79,59,48,28,13,0,428,44,55,67,102,70,65,23,8,441,653,1466,1052,1038,855,585,237,58,5948,9,29,25,23,16,18,15,6,148,390,514,427,391,393,424,352,230,3120,1355,3684,2898,2613,2218,1666,844,351,15631
UCL212004,270,216,225,161,61,8,1098,0,74,175,182,175,156,34,3,804,83,568,934,786,607,537,171,40,3725,57,216,393,434,410,452,190,28,2183,165,418,603,575,497,398,139,46,2833,23,10,32,23,22,23,8,0,145,14,16,24,44,47,71,34,13,254,196,441,661,642,563,495,183,64,3241,6,9,18,12,12,14,22,7,102,145,78,143,140,188,260,179,167,1299,493,1554,2589,2404,2175,2080,845,314,12454
