OBJECTID,ufi,pfi,feature_id,parent_feature_id,feature_type,feature_subtype,feature_status,name,name_label,parent_name,child_exists,auth_org_code,auth_org_id,auth_org_verified,vmadd_pfi,vicnames_id,vicnames_status_code,theme1,theme2,state,create_date_pfi,superceded_pfi,feature_ufi,feature_create_date_ufi,create_date_ufi,ORIG_FID,activity_category,activity_weight,poi_group_id,poi_id
51289,76448893,1137798,1137798,12689.0,landmark,tourist attraction,,GREAT IRON STORE,Great Iron Store,,,358,29,,206411135,-1674398,11,,,VIC,1465463392000,,76448893,1780643521000,1780643521000,51289,tourism,1.5,12689.0,FOI_51289
51330,76448954,1332228,1332228,12951.0,community venue,community centre,,PORT MELBOURNE COMMUNITY ROOM,Port Melbourne Community Room,,,358,,1693440000000.0,219060530,-2088535,11,,,VIC,1693913635000,,76448954,1780643521000,1780643521000,51330,community,1.0,12951.0,FOI_51330
51290,76448894,1137805,1137805,13699.0,landmark,tourist attraction,,SCHEHERAZADE,Scheherazade,,,358,26,,50578364,-1674401,11,,,VIC,1465463392000,,76448894,1780643521000,1780643521000,51290,tourism,1.5,13699.0,FOI_51290
20532,74583561,985794,985794,69565.0,community venue,community centre,,BURLEY GRIFFIN COMMUNITY CENTRE,Burley Griffin Community Centre,ALLAN RESERVE,,,,,51981629,130450,10,,,VIC,1355840960000,,74583561,1760598781000,1760598781000,20532,community,1.0,69565.0,FOI_20532
10868,74583626,1335486,1335486,69569.0,community venue,hall,,CLIFF ALLISON COMMUNITY HALL,Cliff Allison Community Hall,ALLISON PARK,,,,,219044963,130440,10,,,VIC,1733753883000,,74583626,1760598781000,1760598781000,10868,community,1.0,69569.0,FOI_10868
27227,62382716,1137791,1137791,69571.0,landmark,tourist attraction,,SNAIL QUEEN,Snail Queen,ALMA PARK EAST,,358,Dpp2000.12.419,,219062651,-1674334,11,,,VIC,1465463392000,,62382716,1637047556000,1637047556000,27227,tourism,1.5,69571.0,FOI_27227
27233,62382727,1137802,1137802,69572.0,landmark,tourist attraction,,THE LISTENING PLACE,The Listening Place,ALMA PARK WEST,,358,pp2002.20.494,,219062651,-1674342,11,,,VIC,1465463392000,,62382727,1637047556000,1637047556000,27233,tourism,1.5,69572.0,FOI_27233
46660,76924392,1347638,1347638,69592.0,community venue,community centre,,ANDERSON PARK COMMUNITY HUB CML,Anderson Park Community Hub Cml,ANDERSON PARK,,307,957630,1786924800000.0,151143210,-2127320,11,,,VIC,1787743677000,,76924392,1787753574000,1787753574000,46660,community,1.0,69592.0,FOI_46660
20281,64571451,1138401,1138401,69609.0,community venue,community centre,,SOUTH MELB HELLENIC RSL HALL,South Melb Hellenic Rsl Hall,ANZAC GARDENS,,358,,1466035200000.0,53152587,-1675446,11,,,VIC,1466690130000,,51470118,1474438553000,1655947963000,20281,community,1.0,69609.0,FOI_20281
10253,53951078,999152,999152,69649.0,community venue,hall,,1ST ASHBURTON SCOUTS,1st Ashburton Scouts,ASHBURTON PARK,,,,,151024088,-1388348,11,,,VIC,1396962465000,,53951078,1518206157000,1518206157000,10253,community,1.0,69649.0,FOI_10253
20561,74583627,1335488,1335488,69675.0,community venue,community centre,,NANCYE KIRCHNER NEIGHBOURHOOD CENTRE,Nancye Kirchner Neighbourhood Centre,AVONDALE HEIGHTS RESERVE,,,,,219045816,130453,10,,,VIC,1733753883000,,74583627,1760598781000,1760598781000,20561,community,1.0,69675.0,FOI_20561
10834,73696920,1000631,1000631,69686.0,community venue,hall,,BENTLEIGH GIRL GUIDES,Bentleigh Girl Guides,BAILEY RESERVE,,,,,218973609,-1391360,11,,,VIC,1401098845000,,73696920,1756884454000,1756884454000,10834,community,1.0,69686.0,FOI_10834
