SA2_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
201011001,0,51,0,57,..,28,3,34,0,34,..,0,0,0,0,0,..,24,3,27,0,27,..,260,18,275,13,285,..,1978,195,2169,28,2200,..,37,5,42,491,530,14103,2015,196,2214,518,16835
201011002,0,12,0,18,..,10,0,15,0,15,..,8,0,8,0,8,..,38,4,37,0,37,..,97,10,112,0,110,..,849,93,940,7,952,..,34,0,39,549,580,10595,888,93,976,553,12131
201011005,0,17,0,17,..,0,4,3,0,3,..,4,0,3,0,3,..,3,0,3,0,3,..,35,8,43,0,41,..,246,11,255,5,257,..,12,0,12,287,295,6702,251,11,262,290,7261
201011006,0,7,0,7,..,7,4,9,0,9,..,0,0,0,0,0,..,6,0,6,0,6,..,132,13,152,0,152,..,733,71,804,12,817,..,36,0,38,439,477,9371,768,73,837,450,10661
201011007,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,26,8,38,0,38,..,96,12,102,0,102,..,5,0,5,80,83,4044,98,12,108,80,4230
201011008,0,9,0,9,..,22,5,19,0,19,..,6,0,6,0,6,..,30,5,33,0,33,..,107,29,139,7,148,..,682,97,779,18,796,..,46,12,60,852,913,13628,730,113,837,868,15333
201011481,0,4,0,4,..,3,0,4,0,4,..,0,0,0,0,0,..,11,0,12,0,12,..,92,11,104,4,104,..,461,48,508,11,520,..,37,4,44,503,543,8623,497,53,551,512,9691
201011482,0,20,0,20,..,17,0,17,0,17,..,4,0,4,0,4,..,4,0,5,0,5,..,97,10,106,4,113,..,638,52,688,10,700,..,37,3,37,519,561,13490,672,58,726,530,14750
201011483,0,17,0,10,..,14,3,16,0,16,..,3,0,3,0,3,..,26,0,21,0,21,..,171,14,187,3,188,..,889,109,1001,14,1007,..,31,0,36,658,691,10520,927,110,1033,665,12225
201011484,0,9,0,9,..,14,3,18,0,20,..,0,0,0,0,0,..,16,4,22,0,22,..,118,6,125,4,128,..,604,60,664,11,678,..,41,10,47,867,917,11494,646,66,716,877,13086
201021009,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,4,4,..,74,7,79,0,79,..,234,20,259,5,263,..,10,0,10,411,416,5879,245,23,266,414,6559
201021010,0,0,0,0,..,8,0,6,0,6,..,0,0,0,0,0,..,3,0,5,0,5,..,55,6,57,0,57,..,219,21,241,0,241,..,14,0,14,573,590,7256,232,25,258,573,8085
201021011,0,0,0,0,..,12,0,13,0,13,..,5,0,5,0,5,..,11,0,16,0,16,..,109,11,127,3,128,..,557,54,607,8,617,..,34,0,34,740,773,8565,590,54,638,748,9955
201021012,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,10,0,10,..,49,6,53,5,60,..,195,14,213,5,217,..,21,0,21,428,443,5711,209,14,230,434,6372
201031013,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,24,0,24,..,72,7,77,4,76,..,3,3,8,314,327,3129,76,5,82,319,3532
201031014,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,4,0,4,..,25,3,32,0,33,..,87,10,97,0,98,..,4,0,4,686,690,3853,96,10,104,692,4644
201031015,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,4,..,42,0,43,0,43,..,113,6,129,6,129,..,9,0,9,335,349,4416,127,6,135,337,4894
201031016,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,4,6,8,0,8,..,43,9,45,0,45,..,242,22,269,3,268,..,27,0,32,451,478,7411,274,24,294,458,8160
201031017,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,51,3,51,0,54,..,125,12,132,0,136,..,20,0,20,498,515,4875,145,12,151,498,5526
202011018,0,14,0,14,..,16,3,24,0,24,..,3,0,3,0,3,..,16,0,19,0,23,..,264,199,467,10,474,..,973,275,1252,25,1270,..,59,12,68,1051,1120,12543,1031,285,1317,1071,14929
202011019,0,0,0,0,..,9,9,11,0,11,..,0,0,3,0,3,..,5,5,12,0,12,..,373,208,582,12,594,..,644,255,897,16,919,..,33,6,41,696,735,11298,676,262,940,716,12949
202011020,0,18,0,18,..,9,4,11,0,11,..,3,0,3,0,3,..,22,3,29,0,24,..,174,76,249,7,248,..,950,161,1115,15,1127,..,37,0,39,669,711,12151,988,170,1151,686,13988
202011021,0,16,0,16,..,7,0,16,0,16,..,0,6,9,0,9,..,21,0,21,0,21,..,117,28,144,0,148,..,561,69,631,7,644,..,29,5,26,372,404,8400,590,70,662,377,9437
202011022,0,7,0,7,..,9,0,9,0,9,..,7,0,7,0,7,..,32,28,57,0,57,..,364,222,584,10,595,..,1209,344,1553,23,1582,..,74,16,94,1237,1330,18133,1288,363,1646,1257,21043
202011023,0,4,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,9,0,9,..,22,3,26,0,26,..,158,11,174,3,174,..,12,3,14,133,147,5198,171,14,187,130,5518
202011024,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,66,9,71,3,76,..,425,34,464,7,469,..,19,4,15,324,344,9907,441,34,480,330,10719
202011025,0,8,0,8,..,6,0,6,0,6,..,3,0,3,0,3,..,10,0,11,0,12,..,335,145,474,6,484,..,1010,212,1222,17,1239,..,30,8,43,623,669,12538,1041,222,1263,643,14446
202021026,0,0,0,0,..,4,4,9,0,9,..,0,0,0,0,0,..,0,3,6,0,6,..,36,15,53,0,55,..,155,37,192,3,192,..,12,0,15,403,413,7738,168,39,201,404,8344
202021027,0,9,0,9,..,10,0,10,0,10,..,5,0,5,0,5,..,3,0,3,0,3,..,83,15,104,0,104,..,377,39,423,8,426,..,33,0,35,1314,1347,9578,410,40,457,1317,11352
202021028,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,69,8,80,0,80,..,229,20,251,0,251,..,17,0,15,636,656,8321,243,18,266,640,9225
202021029,0,0,0,0,..,0,0,0,0,0,..,3,3,6,0,6,..,0,0,3,0,3,..,24,0,30,0,29,..,128,21,149,0,153,..,11,0,11,538,557,4354,140,21,159,547,5062
202021030,0,0,0,0,..,9,0,6,0,6,..,5,0,5,0,5,..,4,3,9,0,9,..,80,7,90,3,96,..,437,90,521,9,534,..,18,0,18,649,663,9364,453,90,541,659,10562
202021031,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,3,6,0,6,..,93,9,100,0,103,..,331,34,366,0,371,..,11,3,14,346,360,7219,347,39,385,353,7949
202031032,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,42,3,49,3,54,..,90,11,100,3,103,..,4,0,4,460,467,4363,96,11,111,465,4934
202031033,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,4,0,4,..,25,0,28,0,28,..,215,21,230,0,232,..,15,4,12,775,787,6263,224,20,248,770,7289
203011034,0,0,0,0,..,5,0,10,0,10,..,6,0,6,0,6,..,11,3,11,0,11,..,64,12,77,0,77,..,268,27,293,3,299,..,10,5,16,277,290,7162,274,32,308,280,7754
203011035,0,0,0,0,..,8,0,11,0,6,..,5,0,5,0,5,..,6,0,0,0,0,..,68,7,76,5,76,..,195,23,221,3,226,..,13,0,13,447,455,7429,209,23,231,450,8111
203011036,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,27,0,27,0,27,..,135,12,149,0,149,..,11,3,11,404,414,6049,152,17,166,405,6614
203021037,0,32,0,32,..,21,8,30,0,30,..,12,0,7,0,7,..,32,11,37,0,37,..,227,23,249,9,254,..,1501,160,1665,16,1685,..,50,7,60,573,633,12707,1555,165,1722,591,15017
203021039,8,31,0,31,..,10,3,15,0,15,..,6,0,11,0,11,..,34,4,42,3,39,..,175,23,196,7,210,..,1445,161,1602,22,1627,..,31,0,31,684,720,11158,1479,161,1633,708,13504
203021040,0,37,3,41,..,16,4,18,0,20,..,6,0,10,0,10,..,44,6,49,0,49,..,330,62,392,14,406,..,2131,284,2419,36,2454,..,46,3,52,681,731,18011,2181,292,2466,717,21200
203021042,0,42,0,42,..,34,6,38,0,38,..,21,0,24,0,24,..,60,4,61,0,61,..,344,29,374,11,390,..,2740,206,2952,30,2984,..,57,9,67,741,809,20248,2800,220,3017,765,24034
203021043,5,22,0,22,..,46,10,56,0,56,..,27,0,27,0,27,..,90,47,140,0,136,..,281,36,314,10,328,..,1969,231,2197,34,2232,..,48,4,54,1824,1882,16701,2020,231,2254,1857,20817
203021044,0,5,0,5,..,7,0,7,0,7,..,21,0,21,0,21,..,12,0,14,0,14,..,149,11,161,0,165,..,789,82,865,9,883,..,29,3,25,489,519,11871,817,83,900,497,13272
203021045,3,18,0,20,..,26,7,32,0,32,..,12,0,13,0,13,..,38,19,59,0,64,..,219,39,259,4,264,..,1076,153,1226,15,1239,..,22,3,27,1062,1082,13135,1097,156,1249,1075,15462
203021046,0,20,0,20,..,11,0,17,0,17,..,14,0,14,0,14,..,18,6,17,0,17,..,117,7,125,0,127,..,835,77,912,9,922,..,20,0,18,323,338,9180,855,73,930,332,10445
203021047,12,58,0,58,..,48,8,56,0,56,..,33,14,45,0,45,..,39,23,59,0,59,..,520,126,644,10,651,..,3423,790,4216,29,4248,..,72,19,95,702,797,10752,3496,813,4312,736,15795
203021485,0,15,0,15,..,3,0,7,0,7,..,7,0,10,0,10,..,26,11,39,0,39,..,156,33,185,5,188,..,1279,131,1405,19,1428,..,60,0,60,378,431,8437,1332,135,1466,396,10300
203021486,14,93,0,93,..,25,14,38,3,42,..,68,18,90,0,90,..,112,64,176,0,176,..,1207,653,1868,19,1880,..,3100,1000,4104,36,4143,..,96,31,123,1279,1403,12782,3200,1030,4230,1317,18325
203021487,0,58,0,58,..,30,4,31,0,35,..,6,0,4,0,4,..,66,9,74,0,74,..,313,52,365,11,374,..,2667,261,2923,36,2961,..,66,3,71,810,882,20927,2732,264,2994,845,24763
203021488,0,27,0,27,..,12,9,21,0,19,..,27,12,37,0,37,..,38,21,57,3,60,..,413,147,554,10,565,..,1485,441,1926,21,1957,..,38,7,43,938,984,6111,1524,454,1975,965,9051
