SA2_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
217011422,..,1481,1481,1627,107,1735,615,11,624,508,3,506,163,0,165,76,0,82,2991,1601,4596
217011423,..,785,785,924,49,964,279,4,275,280,0,280,160,0,160,61,0,61,1696,833,2528
217031471,..,516,516,524,33,559,150,3,158,128,0,129,68,0,68,33,0,33,906,558,1462
217031472,..,1758,1758,1569,134,1704,626,29,651,567,20,585,287,13,298,131,4,135,3169,1959,5127
217031473,..,549,549,774,34,812,256,3,262,257,0,253,172,0,174,68,0,68,1533,589,2124
217031474,..,725,725,794,58,852,229,7,234,201,0,206,131,0,131,47,0,47,1404,791,2196
217031475,..,688,688,1010,51,1059,341,9,346,294,0,293,185,0,187,102,0,102,1925,741,2666
217031476,..,564,564,629,41,671,149,3,152,154,4,153,45,0,45,18,0,18,993,604,1602
217041477,..,664,664,886,34,921,333,3,341,311,0,311,200,0,200,107,0,107,1843,701,2544
217041478,..,947,947,1440,57,1496,459,8,468,521,0,521,249,0,249,84,0,84,2749,1019,3768
217041479,..,2422,2422,2920,178,3096,1256,39,1296,1149,17,1160,535,5,542,188,0,185,6043,2673,8713
217041480,..,1826,1826,1777,137,1913,669,39,710,597,14,607,243,8,246,88,6,96,3369,2028,5396
297979799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299999499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
