SA2_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
201011001,6110,6693,12804,3103,1808,4913,954,2164,3118,202,296,498,157,167,323,4414,4430,8847,1488,2057,3539,3.5,3.7,3.6,72.2,66.2,69.1,69.7,63.7,66.6,406,405,811,153,312,462,866,1366,2233,598,680,1280,1453,905,2356,42,96,135,51,98,153,1547,1102,2644,6082,6426,12507,1711,1836,3550,3141,3282,6424,4157,4505,8662
201011002,4791,5565,10353,1979,1268,3245,716,1457,2172,154,233,386,154,120,273,2992,3080,6069,1529,2209,3741,5,3.8,4.4,62.5,55.3,58.6,59.3,53.2,56,435,517,949,200,331,526,964,1270,2232,427,598,1021,776,450,1229,41,63,98,73,85,160,890,597,1489,4385,5010,9396,988,1082,2061,2742,3192,5944,2396,2676,5070
201011005,2850,2909,5759,1271,663,1939,415,875,1291,113,153,266,75,58,128,1869,1754,3622,845,1037,1887,3.9,3.2,3.6,65.7,60.3,62.9,63.1,58.3,60.7,182,195,377,94,203,305,490,613,1098,246,345,596,655,298,958,24,38,70,34,51,83,721,387,1108,2977,3057,6031,425,434,861,2056,2117,4175,1187,1226,2418
201011006,3945,4444,8390,1893,1065,2954,562,1332,1891,134,226,354,145,109,254,2725,2730,5456,1047,1510,2553,5.3,4.1,4.7,69.2,61.5,65.1,65.5,59,62,103,133,239,43,126,168,382,638,1022,286,436,721,1241,756,1997,40,86,120,48,81,128,1329,923,2247,3797,4114,7912,987,1109,2102,2036,2173,4210,2440,2681,5120
201011007,1709,1632,3341,884,416,1301,220,560,783,61,81,147,40,39,75,1205,1099,2301,462,495,953,3.2,3.6,3.4,70.4,67.3,68.9,68.2,64.8,66.6,27,60,86,31,71,101,145,254,394,132,200,334,594,261,850,14,26,38,20,22,40,624,306,933,1966,1879,3843,131,129,263,1493,1384,2875,505,525,1036
201011008,5987,6517,12503,2323,1218,3544,726,1610,2336,220,264,481,206,154,362,3474,3248,6721,2102,2796,4896,5.9,4.9,5.4,58,49.9,53.8,54.6,47.5,50.9,113,146,259,65,164,228,456,689,1150,334,602,936,1615,1006,2619,66,108,171,82,104,188,1760,1219,2975,5966,6299,12269,918,960,1874,3850,4097,7945,2653,2777,5432
201011481,3795,4367,8161,1443,877,2322,551,1095,1645,137,177,318,136,128,255,2270,2275,4540,1302,1850,3151,5.9,5.5,5.7,59.8,52.1,55.7,56.3,49.2,52.5,147,223,375,93,177,266,471,667,1143,288,460,746,933,578,1515,49,66,111,36,60,102,1023,705,1726,3574,3990,7560,680,791,1474,2345,2538,4888,1713,1982,3690
201011482,5705,6288,11992,2693,1516,4213,814,1850,2665,172,321,495,147,116,257,3824,3802,7625,1640,2232,3873,3.8,2.9,3.4,67.1,60.4,63.6,64.5,58.7,61.4,315,413,731,190,304,497,897,1262,2157,515,686,1204,1367,695,2065,57,74,123,63,94,155,1485,860,2342,5793,6264,12062,962,980,1943,3801,4085,7882,2573,2819,5397
201011483,4810,5262,10077,1987,1215,3207,738,1465,2204,170,239,413,212,172,382,3106,3089,6195,1385,1883,3267,6.8,5.5,6.1,64.6,58.7,61.5,60.2,55.5,57.7,285,323,614,109,222,324,689,917,1603,398,580,975,1063,687,1752,53,76,133,48,79,127,1159,839,2000,4472,4859,9335,1029,1044,2068,2689,2988,5680,2497,2662,5164
201011484,5030,5895,10921,1798,1046,2844,676,1390,2064,182,231,420,203,172,376,2851,2848,5706,1799,2586,4383,7.1,6.1,6.6,56.8,48.3,52.2,52.7,45.4,48.8,105,124,230,49,140,190,386,606,989,307,541,849,1282,927,2208,71,111,181,50,87,139,1403,1127,2530,4731,5413,10145,846,943,1789,3010,3417,6424,2269,2600,4873
