SA2_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
201011001,121,17,3,0,140,3,0,3,146,7,0,153,375,65,9,0,449,0,3,3,456,9,0,468,92,6,16,0,115,0,0,0,115,5,0,117,3,0,0,3,3,0,0,0,3,0,3,4,595,92,22,9,714,4,3,7,723,18,3,744,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,15,0,3,3,16,0,0,16,14,4,0,0,19,0,3,3,22,0,0,22,602,98,22,9,732,4,4,12,746,18,3,766,150,29,9,0,187,3,0,3,189,18,0,211,0,0,0,3,4,0,0,0,4,0,0,9,756,130,32,6,926,9,5,14,940,43,3,981,228,41,6,0,273,0,5,5,277,13,0,293,419,58,7,0,496,3,4,6,497,14,0,509,34,0,3,0,42,0,0,0,42,0,0,43,4,0,0,4,9,0,0,0,9,0,0,11,686,96,15,9,811,4,3,8
201011002,46,3,0,4,54,0,0,0,52,10,0,61,144,16,0,4,164,0,0,4,167,9,0,175,49,4,0,0,56,0,0,0,56,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,241,25,3,6,274,0,0,8,282,16,0,297,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,246,25,3,6,278,0,0,8,285,16,0,299,82,16,0,0,98,0,0,0,98,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,322,41,4,10,377,0,0,8,384,18,0,399,90,12,0,0,103,6,0,6,107,13,0,117,182,27,0,4,209,0,0,0,215,3,0,217,11,4,0,0,14,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,283,40,0,4,330,5,0,3
201011005,37,7,0,0,47,0,0,0,47,4,0,50,106,14,4,0,122,0,0,3,123,0,0,123,42,5,8,0,59,0,0,0,59,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,187,21,11,0,220,0,0,3,221,10,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,21,11,0,222,0,0,3,225,10,0,233,61,4,3,3,62,0,0,0,65,9,0,74,0,0,0,0,0,0,0,0,0,0,0,0,247,24,12,3,290,3,0,4,291,15,0,300,122,10,3,0,139,0,0,0,139,3,0,142,191,16,0,0,208,0,0,0,207,0,0,212,8,0,3,0,13,0,0,0,13,0,0,13,0,0,0,3,4,0,0,0,4,0,0,4,325,31,7,3,359,0,0,0
201011006,53,9,0,0,66,0,0,0,66,0,0,69,222,27,5,0,256,3,0,3,257,3,7,262,61,8,13,3,86,0,0,0,86,4,4,94,0,0,0,0,0,0,0,0,0,0,0,0,336,41,20,4,410,3,0,3,410,10,5,426,0,0,0,0,0,0,0,0,4,0,0,4,3,3,0,0,7,8,0,8,9,0,0,9,3,4,0,0,6,6,0,6,13,0,0,15,340,52,20,4,418,7,0,7,427,13,5,441,117,22,3,4,148,0,0,0,142,14,0,160,0,0,0,0,0,0,0,0,0,0,0,5,458,73,25,8,562,10,0,10,568,27,5,601,87,7,0,0,97,5,0,5,98,6,0,107,208,28,6,3,252,4,0,3,252,8,0,258,19,4,6,0,27,0,0,0,25,0,0,26,0,0,0,0,4,0,0,0,4,0,0,4,315,40,8,3,374,7,4,14
201011007,30,0,0,0,30,0,0,0,30,3,0,32,85,7,0,0,94,0,0,0,94,0,0,94,30,0,3,0,33,0,0,0,33,0,0,33,0,0,0,0,4,0,0,0,4,0,0,4,140,11,3,6,155,0,0,0,155,3,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,11,3,6,158,0,0,0,158,3,0,159,34,0,0,3,37,0,0,0,37,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,175,14,3,6,197,0,0,0,197,3,0,200,50,0,0,0,54,0,0,0,54,0,0,54,118,9,0,0,126,0,0,0,126,0,0,126,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,172,9,0,0,193,0,0,0
201011008,64,14,3,0,77,0,0,6,80,0,0,79,202,17,3,0,222,0,0,0,224,3,0,230,51,15,8,0,70,0,0,0,70,0,0,70,7,0,0,5,5,0,0,0,5,0,0,5,316,44,15,5,380,6,0,0,381,3,0,389,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,12,0,0,12,12,0,0,0,12,3,0,3,9,0,0,9,327,44,15,5,388,6,0,7,398,3,0,402,116,40,3,0,162,10,4,14,179,35,0,208,0,0,0,0,0,0,0,0,0,0,6,6,447,76,19,6,549,18,3,20,568,41,7,617,93,22,0,0,120,5,0,3,127,0,0,124,220,20,5,0,249,0,0,0,253,9,0,264,14,0,0,0,20,0,0,0,20,0,0,19,0,0,0,0,3,0,0,0,3,0,0,4,332,54,6,0,389,7,0,3
201011481,31,3,0,0,37,0,0,3,39,6,0,42,132,6,0,0,141,0,0,0,141,4,0,148,33,0,0,0,37,0,0,0,37,0,0,38,3,0,0,0,4,0,0,0,4,0,0,7,196,16,0,4,215,5,0,6,221,11,0,233,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,3,0,0,0,3,0,0,9,0,3,0,0,4,0,0,0,4,7,0,11,199,15,0,0,227,5,0,6,225,19,0,243,71,10,3,0,86,0,0,0,87,16,0,103,0,0,0,0,0,0,0,0,0,0,0,0,271,26,6,0,310,8,0,5,319,33,0,348,60,9,0,0,68,0,0,3,70,3,0,77,136,17,0,0,153,5,0,5,158,3,0,165,6,0,0,0,11,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,202,32,0,0,235,3,0,3
201011482,80,6,0,0,85,0,3,3,91,10,0,98,295,30,4,3,334,0,0,0,339,9,0,343,118,8,3,0,133,0,0,0,133,0,0,129,6,0,0,0,9,0,0,0,9,0,0,9,493,52,7,4,552,0,8,8,562,17,0,580,0,0,0,0,0,3,0,3,4,0,0,4,3,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,9,3,0,3,12,0,0,12,495,51,7,4,564,3,8,6,574,17,0,590,125,13,0,3,139,5,0,5,141,10,0,149,0,0,0,0,0,0,0,0,0,0,0,0,624,67,10,4,704,4,8,10,715,25,0,738,150,13,4,0,171,4,0,4,173,11,0,186,377,40,12,0,428,3,0,3,429,9,0,439,28,0,4,0,32,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,559,50,21,3,630,9,0,11
201011483,54,6,0,0,61,0,0,0,61,0,0,66,154,31,0,0,186,0,0,0,186,7,0,192,55,4,0,3,60,7,0,7,68,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,267,37,3,5,312,7,0,7,318,6,0,326,0,0,0,0,6,0,0,0,6,0,0,6,5,0,0,0,8,0,0,0,8,0,0,8,8,4,0,0,8,0,0,0,7,0,0,7,270,42,3,9,324,4,0,4,330,6,0,337,82,12,0,8,101,5,3,12,112,18,0,127,0,0,0,0,0,0,0,0,0,0,0,3,353,53,3,13,422,12,3,18,439,28,0,468,88,11,0,0,103,0,0,0,103,3,0,105,212,23,3,0,243,4,0,6,242,9,0,256,12,3,0,3,19,0,0,0,19,0,0,19,9,0,0,0,6,0,0,0,6,0,0,6,319,38,3,3,367,4,0,4
201011484,39,3,3,0,51,6,0,5,54,8,0,65,126,27,6,0,153,0,0,0,156,7,0,165,27,5,10,0,43,0,0,0,44,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,195,35,17,0,252,0,3,8,263,18,0,278,3,0,0,0,3,0,0,0,3,0,0,6,5,0,0,0,4,0,0,0,4,0,0,4,8,4,0,0,11,0,0,0,11,0,0,12,201,36,17,0,259,0,3,8,267,21,0,289,87,27,12,4,128,8,0,8,133,24,6,155,0,0,0,0,0,0,0,0,0,0,3,3,288,63,22,5,387,10,3,11,396,42,10,450,42,11,4,0,56,0,0,0,62,3,0,63,128,27,5,0,159,0,0,0,160,5,0,166,7,0,3,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,177,37,7,0,228,0,0,4
