SA2_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201011001,6082,6426,12507,410,428,837,17,18,34,1168,1255,2420,27,28,51,9,9,19,9,9,19,0,9,11,5,8,12,6,3,8,0,0,0,1243,1335,2576,46,50,95,16,23,37,1711,1836,3550,263,264,535,8060,8530,16588
201011002,4385,5010,9396,177,189,364,25,14,36,690,770,1455,19,20,43,4,3,3,3,12,15,3,3,11,8,4,10,0,4,9,0,0,0,755,834,1587,41,36,71,15,20,38,988,1082,2061,296,294,587,5661,6383,12042
201011005,2977,3057,6031,79,89,168,7,10,17,303,312,616,4,3,9,0,0,0,6,8,14,0,0,9,0,0,0,0,0,0,0,0,0,326,336,664,10,8,19,8,0,8,425,434,861,161,140,302,3559,3631,7191
201011006,3797,4114,7912,148,157,303,19,15,29,755,874,1620,22,22,45,3,0,5,7,4,10,8,6,6,0,0,5,0,0,0,0,0,0,804,917,1723,16,14,30,25,23,48,987,1109,2102,240,246,487,5028,5469,10501
201011007,1966,1879,3843,7,10,17,0,0,0,117,117,233,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,120,121,240,0,4,4,0,0,0,131,129,263,52,36,94,2151,2048,4199
201011008,5966,6299,12269,195,180,373,15,25,33,645,687,1334,11,8,26,7,5,17,0,3,3,3,6,7,0,0,7,0,4,0,0,0,0,687,734,1422,13,28,42,19,19,39,918,960,1874,489,514,999,7369,7773,15143
201011481,3574,3990,7560,88,101,188,9,7,17,528,615,1148,14,14,23,5,5,12,8,13,20,3,6,10,0,4,4,0,0,0,0,0,0,566,661,1230,16,25,39,9,11,16,680,791,1474,287,279,566,4544,5060,9607
201011482,5793,6264,12062,170,176,347,7,7,12,720,738,1459,8,9,18,3,7,10,4,7,13,3,5,5,0,0,3,0,3,3,0,0,0,751,774,1522,27,21,39,13,14,26,962,980,1943,272,309,586,7029,7550,14584
201011483,4472,4859,9335,140,148,289,22,25,45,794,795,1594,13,11,21,3,9,15,0,3,5,4,8,10,3,0,3,4,5,5,0,0,0,838,861,1698,26,32,56,20,8,29,1029,1044,2068,366,335,701,5871,6239,12105
201011484,4731,5413,10145,144,174,318,9,8,22,633,704,1333,7,9,19,12,6,21,0,5,8,0,0,0,0,0,3,0,0,0,0,0,0,660,736,1401,12,17,31,29,11,40,846,943,1789,472,537,1015,6057,6895,12952
201021009,2734,2717,5448,55,66,124,3,8,10,193,210,405,9,9,23,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,212,232,444,4,5,13,4,0,8,276,314,585,240,210,449,3247,3238,6484
