SA2_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
201011001,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,8,0,11,0,0,32,48,3,0,12,3,0,66,30,0,5,10,0,0,46,77,5,5,24,0,0,109,281,6,0,50,6,0,343,721,0,0,60,5,0,791,169,0,0,15,0,0,177,9,0,0,0,0,0,12,4,0,0,3,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,7,3,0,33,1371,22,7,189,24,4,1628
201011002,0,0,0,4,0,0,5,0,0,0,0,0,0,9,4,16,27,15,0,0,64,44,9,8,25,3,0,90,60,0,9,24,3,0,100,238,0,4,36,0,0,280,461,0,0,56,3,0,517,373,0,0,33,0,0,409,102,0,0,5,0,0,113,17,0,0,8,0,0,25,7,0,0,3,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,5,23,0,5,14,6,3,59,1339,31,52,230,38,6,1701
201011005,0,0,0,5,0,0,4,0,3,0,0,0,0,3,3,6,0,10,0,0,20,14,0,0,7,0,0,18,7,3,0,11,0,0,19,27,0,0,10,0,0,39,71,0,0,18,0,0,90,87,0,0,12,0,0,99,34,0,0,5,0,0,35,7,0,0,0,0,0,9,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,11,257,10,0,91,4,0,360
201011006,0,3,0,0,0,0,3,0,3,0,5,0,0,7,13,28,3,6,0,0,50,23,19,0,7,0,0,50,6,7,3,14,0,0,31,21,29,8,21,0,0,77,131,11,6,43,0,0,181,463,0,0,31,4,0,500,37,0,0,5,0,0,41,5,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,0,3,4,0,32,702,111,20,134,10,3,991
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,0,6,0,0,0,4,0,0,6,0,0,0,0,0,0,0,5,0,0,3,0,0,10,9,0,0,4,0,0,7,7,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,29,0,0,19,7,0,56
201011008,6,22,0,4,0,0,35,3,18,0,0,0,0,21,26,145,15,13,5,3,209,148,68,7,30,5,0,263,85,63,4,34,0,3,192,291,48,7,81,3,0,429,547,11,10,75,3,0,650,251,3,0,29,9,0,291,17,0,0,11,0,0,26,0,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0,12,4,3,74,1407,404,46,292,29,13,2202
201011481,0,3,0,0,0,0,9,4,15,0,0,0,0,14,12,66,5,10,0,0,96,25,38,14,32,5,0,111,47,17,6,25,3,0,102,184,29,6,59,3,0,275,485,6,0,67,5,6,572,206,3,0,28,0,0,237,13,0,0,3,0,0,21,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,10,4,10,0,4,49,987,191,36,245,23,13,1499
201011482,0,8,0,0,0,0,16,0,8,0,0,0,0,14,9,54,4,18,3,0,82,58,14,7,32,0,0,120,65,8,0,18,0,0,97,181,11,3,36,0,0,237,423,3,0,74,3,0,507,277,0,0,31,0,0,306,57,0,0,7,0,0,64,9,0,0,5,0,0,7,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,5,14,6,0,46,1088,129,24,248,14,0,1506
201011483,0,7,0,0,0,0,8,5,4,0,3,0,0,13,7,49,3,24,0,0,83,39,30,29,20,0,0,129,41,20,5,36,0,0,103,218,20,17,56,3,4,317,555,7,0,59,0,0,624,335,0,0,26,0,0,370,41,0,0,9,0,0,51,3,0,0,0,0,0,3,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,9,4,8,4,3,39,1264,147,66,237,12,3,1738
201011484,0,17,0,5,0,0,24,0,25,0,0,0,0,30,21,187,9,17,0,0,237,90,43,21,49,3,4,212,93,13,13,49,4,0,170,502,31,12,115,6,6,678,655,0,9,103,4,0,773,179,4,0,18,0,0,200,6,0,0,3,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,6,29,28,0,17,5,10,80,1581,350,73,385,21,23,2435
201021009,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,8,0,0,29,4,0,0,7,0,0,14,4,3,0,8,0,0,9,16,0,0,11,6,0,34,38,0,0,25,3,0,68,90,0,0,18,0,0,113,10,0,0,3,0,0,5,4,0,0,0,0,0,7,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,5,11,168,26,4,90,19,4,303
201021010,0,6,0,3,0,0,5,0,4,0,9,0,0,10,4,25,4,12,9,0,61,3,16,0,22,0,0,48,11,3,0,31,6,0,55,36,0,4,29,0,0,71,67,3,0,43,0,0,113,34,0,0,7,0,0,43,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,0,24,167,54,7,176,30,0,442
201021011,0,0,0,3,0,0,4,0,0,3,4,0,0,6,0,20,12,20,0,5,58,4,3,7,26,3,0,38,7,0,0,20,3,0,34,19,0,0,30,0,0,43,78,3,0,61,0,0,139,106,0,0,49,9,0,163,44,0,0,12,0,0,55,5,0,0,0,0,0,13,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,7,0,0,13,6,3,0,21,6,4,37,280,34,22,249,14,8,611
201021012,0,0,0,3,0,0,3,0,0,0,3,0,0,3,7,0,0,9,0,0,15,3,0,0,5,5,0,13,0,0,0,9,0,0,14,12,0,0,16,0,0,30,19,0,0,14,0,0,37,20,0,0,11,0,0,31,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,70,0,0,84,12,0,168
201031013,0,0,0,6,0,0,8,0,3,0,4,0,0,6,0,4,0,16,4,0,24,9,0,0,15,3,3,30,10,0,0,18,0,0,27,20,0,0,11,7,0,28,3,0,0,6,0,0,15,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,14,48,6,4,79,18,3,159
201031014,0,0,0,9,4,0,7,0,0,0,6,0,0,4,0,3,0,17,10,0,34,10,0,0,25,4,0,38,7,0,0,16,3,0,28,16,0,0,11,3,0,30,16,0,0,14,6,0,37,6,0,0,5,0,0,11,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,8,3,5,17,66,10,0,106,30,4,210
