SA2_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
201011001,386,391,895,1008,900,499,156,13,0,4257,0,6,0,7,6,9,3,0,0,29,0,0,4,7,0,0,0,0,0,11,21,9,16,32,40,27,8,0,0,146,0,0,5,8,5,5,0,0,0,21,3,5,24,41,24,11,3,0,0,119,4,3,11,13,6,0,0,0,0,43,93,84,88,99,81,52,11,0,0,500,164,62,29,41,14,19,4,0,0,341,0,4,19,15,17,16,0,0,0,73,0,8,8,12,8,3,0,0,0,43,0,5,13,20,32,11,0,0,0,77,4,6,14,14,15,3,0,0,0,60,4,14,49,56,39,22,7,4,0,190,0,13,19,25,24,13,3,0,0,91,0,23,50,73,57,29,7,0,0,232,17,34,126,168,171,103,13,0,0,632,33,133,311,376,298,211,21,0,0,1383,11,9,20,14,11,7,0,0,0,77,8,16,28,29,30,12,5,0,0,123
201011002,178,234,533,490,625,555,188,40,6,2842,0,3,5,0,4,0,9,0,0,21,0,0,0,0,3,0,0,0,0,6,14,9,10,20,20,9,0,0,0,90,0,0,3,6,5,0,0,0,0,13,0,3,8,18,22,11,4,0,0,62,0,3,0,9,4,6,0,0,0,18,54,44,32,36,35,52,13,0,0,266,79,48,37,22,20,25,7,0,0,243,0,3,4,8,4,6,0,0,0,33,0,3,11,9,9,4,0,0,0,39,0,9,10,13,12,8,0,0,0,52,4,3,7,7,11,15,9,0,0,50,3,14,30,54,50,21,3,0,0,169,0,6,7,12,15,9,0,0,0,55,0,8,28,51,70,43,3,0,0,197,12,31,84,99,145,120,31,0,0,509,7,85,185,184,235,190,40,0,0,927,10,5,13,12,11,9,6,0,0,58,5,12,19,14,15,16,4,0,0,78
201011005,138,151,242,368,442,362,86,8,0,1801,0,3,3,4,8,4,4,0,0,24,0,0,0,0,0,0,0,0,0,6,9,0,0,6,13,4,0,0,0,43,0,0,0,0,4,0,0,0,0,10,0,5,5,8,6,5,4,0,0,36,0,0,0,5,6,5,0,0,0,14,72,29,21,12,26,28,5,0,0,198,47,28,3,10,7,12,0,0,0,113,0,0,4,3,3,3,0,0,0,21,0,0,6,3,5,0,0,0,0,26,0,0,0,7,9,8,0,0,0,27,0,0,3,7,3,0,0,0,0,16,0,3,14,23,23,21,4,0,0,94,0,4,0,6,10,5,6,0,0,29,0,9,8,34,40,20,0,0,0,111,6,16,51,98,104,66,11,0,0,361,7,20,56,97,140,103,23,0,0,447,4,4,0,6,9,7,0,0,0,38,0,4,4,12,10,12,0,0,0,52
201011006,126,301,812,512,423,314,84,13,0,2588,0,5,5,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,5,4,18,13,35,21,6,0,0,108,0,0,3,9,0,0,0,0,0,14,0,9,17,16,9,10,3,0,0,59,3,3,8,3,8,4,0,0,0,23,47,75,100,52,59,41,11,0,0,388,68,37,49,22,10,16,3,0,0,204,0,9,13,11,6,4,0,0,0,42,0,0,11,11,8,0,0,0,0,31,0,5,18,8,6,5,3,0,0,41,0,6,17,4,0,0,0,0,0,26,0,17,41,34,25,6,0,0,0,121,0,7,31,17,15,8,7,0,0,82,5,10,42,33,35,16,4,0,0,151,7,24,92,89,59,37,9,0,0,320,9,93,259,150,127,135,26,0,0,806,0,6,5,9,3,0,0,0,0,26,3,16,30,17,12,7,0,0,0,91
201011007,96,95,144,233,304,224,67,3,0,1166,3,0,3,0,3,5,3,0,0,19,0,0,0,4,0,0,0,0,0,4,4,3,5,6,24,15,0,0,0,55,0,0,0,0,0,3,0,0,0,6,0,0,8,12,9,8,0,0,0,38,5,0,4,4,4,3,0,0,0,17,28,16,19,10,26,17,0,0,0,121,42,7,4,8,5,3,0,0,0,66,0,0,6,7,9,3,0,0,0,23,4,0,4,0,3,0,0,0,0,11,0,0,4,5,7,3,0,0,0,19,0,0,0,0,0,3,0,0,0,4,0,0,8,8,16,4,0,0,0,41,0,3,0,0,8,4,0,0,0,15,0,0,6,22,19,19,0,0,0,65,3,11,19,43,37,35,5,0,0,144,3,15,44,61,101,89,12,0,0,332,4,5,0,5,4,0,0,0,0,17,6,6,7,11,18,5,0,0,0,44
201011008,185,310,866,637,602,503,148,13,3,3269,0,4,3,7,3,0,3,0,0,25,0,0,0,0,0,0,0,0,0,3,12,8,32,32,40,28,6,0,0,161,0,0,7,3,4,0,0,0,0,17,0,8,14,17,13,16,0,0,0,67,0,0,12,9,10,6,0,0,0,31,63,68,91,70,57,45,13,0,0,412,66,45,46,29,24,24,5,0,0,243,0,5,19,13,16,12,7,0,0,76,0,0,5,0,10,0,0,0,0,23,0,0,17,11,7,5,0,0,0,43,0,5,8,9,0,3,0,0,0,27,3,9,42,31,19,11,0,0,0,116,0,11,25,24,34,22,6,0,0,124,3,8,48,65,56,23,7,0,0,212,9,23,89,91,92,60,10,0,0,372,8,69,211,198,182,166,26,0,0,865,13,14,21,11,17,12,6,0,0,84,0,19,28,20,17,18,4,0,0,102
201011481,107,218,533,434,355,356,113,13,0,2135,0,3,0,0,3,8,0,0,0,17,0,0,0,3,0,0,0,0,0,0,6,4,26,11,8,17,0,0,0,79,0,0,0,0,3,0,0,0,0,13,0,4,13,18,12,6,4,0,0,52,0,0,10,0,5,3,0,0,0,19,21,41,62,34,40,38,3,0,0,235,53,45,25,29,18,18,4,0,0,192,0,3,9,4,10,3,0,0,0,33,0,3,5,4,7,3,3,0,0,26,0,0,6,9,6,4,0,0,0,31,0,3,10,7,5,8,0,0,0,29,0,12,34,22,12,19,3,0,0,103,0,5,18,8,14,9,0,0,0,63,0,9,41,58,40,21,3,0,0,165,8,19,77,69,76,62,17,0,0,315,5,50,174,118,103,135,34,0,0,615,3,5,10,10,9,3,0,0,0,34,5,13,19,7,15,7,0,0,0,77
201011482,220,295,750,785,760,670,183,21,0,3681,3,4,3,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,21,13,18,27,34,33,0,0,0,158,0,0,7,11,4,0,0,0,0,21,4,5,7,20,18,28,6,0,0,90,3,3,0,3,11,4,6,0,0,31,66,42,75,45,57,65,17,0,0,361,87,55,37,29,30,16,4,0,0,253,0,6,12,13,8,12,3,0,0,55,0,3,12,15,6,12,4,0,0,51,0,4,18,13,20,8,0,0,0,67,0,4,11,9,8,13,0,0,0,50,3,10,46,76,50,34,7,0,0,225,0,7,16,18,18,20,6,0,0,87,0,4,52,74,52,37,11,0,0,232,5,19,128,173,161,136,26,0,0,657,17,70,234,201,250,213,42,4,0,1037,11,14,18,22,18,12,0,0,0,85,4,5,29,32,27,16,7,0,0,118
201011483,157,338,753,597,540,383,113,10,0,2894,0,0,0,0,0,3,0,0,0,10,0,0,5,0,0,0,0,0,0,5,16,14,11,18,9,15,10,0,0,96,0,0,3,3,7,0,4,0,0,19,0,3,13,11,16,4,4,0,0,50,0,0,4,11,4,3,0,0,0,27,53,51,65,42,45,39,10,0,0,298,68,68,49,26,27,18,3,0,0,259,0,0,9,11,4,11,5,0,0,41,3,10,10,11,11,0,0,0,0,49,0,5,5,13,11,7,0,0,0,44,0,0,4,6,3,5,0,0,0,30,0,11,45,33,29,18,7,0,0,145,0,4,26,19,25,14,5,0,0,94,0,13,57,49,47,23,11,0,0,200,15,28,122,135,116,66,16,3,0,497,11,75,216,182,170,143,32,0,0,833,3,7,12,21,12,7,0,0,0,56,3,16,36,21,12,13,3,0,0,111
201011484,127,327,734,527,423,406,93,8,0,2653,0,6,3,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,12,23,25,16,18,0,0,0,99,0,0,0,0,0,4,0,0,0,15,0,3,15,10,13,9,0,0,0,48,8,5,9,3,11,4,0,0,0,31,30,79,83,46,56,55,4,3,0,362,69,54,53,40,31,11,0,0,0,262,0,3,14,10,11,10,5,0,0,53,0,4,14,7,11,0,0,0,0,30,0,5,9,7,10,9,0,0,0,37,0,5,6,0,7,0,0,0,0,15,0,4,39,26,17,9,5,0,0,97,6,7,35,30,19,22,0,0,0,120,0,9,28,34,36,27,8,0,0,142,12,26,86,75,55,48,11,0,0,316,12,84,220,164,143,149,21,3,0,801,3,9,3,9,4,8,0,0,0,38,3,17,37,8,19,7,4,0,0,98
