SA2_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
201011001,0,0,0,5,0,0,0,0,6,0,3,0,0,0,0,0,0,6,3,18,27,33,47,68,46,22,261,7,20,28,36,47,68,46,22,274,1135,952,1080,951,656,534,277,46,5627,34,44,35,37,27,24,12,9,210,1171,1011,1140,1026,725,625,341,73,6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18,4,0,0,38,5,0,5,9,18,4,0,0,40,1160,1032,1279,1068,807,670,331,84,6443,45,36,30,20,33,16,27,4,213,1204,1075,1320,1100,861,690,354,98,6693,0,0,0,5,0,0,0,0,7,0,3,0,0,0,0,0,0,5,7,16,30,47,60,73,46,21,303,9,27,30,46,60,73,46,21,315,2295,1981,2357,2018,1465,1202,612,134,12071,75,81,67,59,53,37,40,13,426,2380,2089,2457,2124,1583,1312,694,172,12804
201011002,0,0,0,0,0,0,0,0,3,0,5,0,3,3,0,0,0,8,0,8,16,23,40,51,57,31,229,0,8,16,28,46,51,57,31,239,710,623,564,707,688,583,318,85,4283,51,38,33,41,26,28,27,16,260,760,673,616,779,765,670,399,128,4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,10,6,5,0,31,0,0,3,11,10,6,5,0,32,753,625,693,841,847,774,489,215,5236,38,26,29,30,32,40,48,51,290,791,654,728,882,884,824,537,263,5565,0,0,0,0,0,0,0,0,3,0,5,0,3,3,0,0,0,8,0,8,19,30,44,63,57,31,257,0,13,19,35,52,63,57,31,274,1463,1251,1261,1551,1529,1364,804,299,9521,82,66,57,74,62,70,70,70,558,1551,1326,1340,1660,1650,1495,937,394,10353
201011005,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,7,14,26,22,47,14,10,137,3,7,13,30,25,47,14,10,146,458,274,386,458,449,380,157,16,2577,38,19,15,22,6,17,9,5,128,498,296,414,510,483,451,178,28,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,5,0,0,0,23,0,5,5,3,5,0,0,0,29,409,261,431,517,491,430,160,49,2758,35,7,22,10,9,16,11,6,122,452,272,457,534,509,452,174,54,2909,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,8,15,32,30,51,13,12,160,4,8,23,36,31,51,13,12,173,870,535,817,975,940,810,321,65,5330,71,27,36,32,20,38,22,8,255,946,571,870,1044,991,897,352,85,5759
201011006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,20,27,25,42,30,25,192,5,19,20,27,25,42,30,25,194,637,897,569,502,420,343,166,54,3579,36,41,26,18,19,14,12,7,175,672,959,616,546,465,393,210,86,3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,5,19,0,6,0,0,5,0,0,5,21,710,960,627,555,534,460,239,135,4215,29,51,43,20,14,18,15,11,204,738,1011,669,577,556,482,258,147,4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,20,31,32,41,34,31,207,5,20,20,31,32,41,34,31,209,1341,1855,1193,1057,956,799,407,189,7795,68,90,74,42,36,33,30,18,376,1409,1975,1287,1122,1022,876,470,232,8390
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,15,12,11,4,64,0,0,4,19,15,12,11,4,68,292,158,243,321,284,221,73,5,1598,10,10,10,4,6,12,4,0,47,308,161,257,346,305,240,85,13,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,5,0,0,0,12,245,169,257,332,316,190,60,13,1584,3,5,4,6,9,9,0,0,37,248,180,260,341,331,197,61,12,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,18,21,12,8,4,74,5,0,8,18,21,12,8,4,80,539,325,501,654,599,406,132,23,3183,13,15,6,12,17,16,4,0,86,557,340,515,685,633,433,148,27,3341
201011008,0,0,0,0,3,0,0,0,8,0,3,5,0,4,0,0,0,7,0,15,20,37,43,66,74,58,315,0,18,20,36,49,66,74,58,335,883,1038,748,761,751,618,358,104,5260,60,66,48,65,48,45,30,30,390,937,1125,820,861,849,735,464,186,5987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,18,13,0,0,47,0,3,4,6,18,13,0,0,42,850,1028,870,861,832,814,514,249,6009,62,74,53,47,37,45,66,81,461,907,1102,925,916,891,873,573,331,6517,0,0,0,0,5,0,0,0,10,0,9,5,0,4,0,0,0,10,0,18,26,42,62,80,74,58,364,0,29,23,43,70,80,74,58,380,1731,2065,1619,1620,1586,1435,869,353,11275,118,143,101,110,86,90,97,105,849,1848,2230,1748,1780,1739,1602,1041,514,12503
201011481,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,13,9,18,47,53,54,25,230,0,12,12,18,54,53,54,25,237,486,647,524,439,504,434,213,85,3340,25,37,28,24,22,26,31,14,215,519,697,568,493,577,520,301,129,3795,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,9,12,9,3,4,35,0,0,4,7,12,9,3,4,36,492,688,575,551,626,568,365,226,4093,35,37,26,33,24,19,19,33,236,524,727,614,590,657,598,389,264,4367,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,7,0,14,20,30,58,60,59,29,267,0,16,20,29,62,60,59,29,275,976,1339,1100,993,1129,1003,577,310,7436,67,78,61,55,47,45,48,46,450,1042,1426,1183,1081,1239,1114,686,390,8161
201011482,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,14,4,8,22,38,38,63,43,31,248,3,14,19,38,40,63,43,31,262,764,849,852,838,819,679,313,85,5199,30,39,43,33,42,28,17,9,242,800,901,915,907,905,776,373,125,5705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,9,6,7,3,0,42,0,7,9,9,6,7,3,0,48,741,882,969,961,975,798,436,217,5983,33,35,24,29,42,45,28,23,260,772,920,1006,994,1024,845,472,245,6288,0,3,0,5,0,0,0,0,9,0,4,0,0,0,0,0,0,16,4,11,29,46,50,70,48,35,287,4,19,33,55,50,70,48,35,312,1509,1731,1819,1796,1793,1480,750,306,11182,61,77,66,62,86,75,49,35,497,1570,1828,1916,1905,1929,1623,846,367,11992
201011483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,12,32,40,47,48,27,220,0,10,16,29,41,47,48,27,227,771,901,686,614,524,467,230,79,4267,40,78,35,30,32,27,39,33,320,815,985,734,678,601,545,313,137,4810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,3,27,0,3,0,10,0,9,0,3,26,731,885,796,721,660,658,331,148,4935,58,70,25,27,15,31,41,34,301,793,955,820,756,683,698,374,186,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,12,43,41,59,48,31,247,7,15,16,43,46,59,48,31,255,1502,1786,1486,1333,1190,1130,561,223,9200,104,143,59,61,47,59,79,65,618,1607,1947,1560,1435,1285,1242,689,320,10077
201011484,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,5,0,11,23,22,59,72,55,25,266,0,9,27,24,61,72,55,25,275,717,900,652,576,641,524,311,77,4390,80,59,41,44,44,55,26,23,364,798,969,719,646,746,644,389,127,5030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,14,13,0,0,38,0,5,3,8,14,13,0,0,41,734,980,741,700,772,788,466,198,5384,70,70,56,58,44,59,56,47,466,798,1056,804,767,839,861,522,252,5895,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,14,29,25,77,82,60,25,310,4,15,29,29,80,82,60,25,318,1450,1875,1391,1270,1414,1315,772,279,9772,143,131,98,109,87,113,81,71,833,1596,2022,1520,1415,1581,1504,914,373,10921
