SA2_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
201011001,45,0,0,0,49,8,0,58,920,139,18,0,1073,4,5,9,1084,61,0,1148,1411,228,26,3,1666,4,5,13,1681,54,0,1732,153,8,14,0,189,0,0,0,189,3,0,190,11,0,0,7,20,0,0,0,20,0,8,31,2501,375,59,16,2947,13,8,23,2969,126,8,3099,15,0,0,0,14,0,5,3,22,0,0,22,32,10,0,0,44,0,3,3,50,3,0,50,48,12,0,0,60,0,5,8,66,3,0,65,2546,382,59,16,3006,14,14,31,3033,122,8,3164,411,67,18,8,506,12,0,17,522,54,0,575,0,0,0,5,8,0,0,0,8,0,14,19,2960,455,79,29,3517,28,15,47,3558,181,18,3759
201011002,29,0,0,0,29,0,0,27,452,49,0,4,506,6,0,3,507,25,0,533,690,88,3,14,791,10,5,10,802,30,0,833,81,10,4,0,96,0,0,0,102,0,0,102,4,0,0,0,0,0,0,0,0,0,0,0,1230,147,9,15,1398,11,3,23,1416,52,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,0,0,12,16,0,0,0,16,0,0,0,16,0,0,16,1246,147,9,15,1412,11,3,23,1432,52,0,1488,223,42,4,3,272,0,0,0,272,33,0,305,0,0,0,0,0,0,0,0,0,0,0,0,1472,179,16,15,1687,11,3,23,1703,79,7,1791
201011005,12,0,0,0,12,0,0,16,424,51,8,0,486,0,0,0,486,16,0,501,581,66,16,0,667,0,3,3,669,14,0,687,64,5,12,0,85,0,0,0,85,0,0,86,4,0,0,7,8,0,0,0,8,0,0,8,1074,122,30,8,1239,0,3,3,1238,37,0,1282,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,4,0,4,9,0,0,9,9,0,0,0,11,4,0,4,12,0,0,12,1084,124,30,8,1250,3,3,4,1254,37,0,1291,184,19,5,7,212,7,0,7,223,15,0,236,0,0,0,0,0,0,0,0,0,0,0,0,1270,143,34,10,1466,10,3,9,1474,57,3,1526
201011006,26,0,0,0,26,0,0,27,324,31,6,9,368,11,0,11,383,18,0,402,654,80,22,6,755,6,0,15,771,24,7,797,98,11,14,4,136,0,0,0,138,7,5,148,8,0,0,5,15,0,0,0,15,0,0,17,1088,127,42,21,1279,19,7,23,1302,50,9,1362,3,4,0,0,12,0,0,0,10,0,0,10,16,5,0,0,18,7,0,7,31,0,0,29,18,12,0,0,31,9,0,9,42,0,0,40,1109,137,42,21,1310,33,7,38,1346,54,9,1403,248,53,6,4,317,10,0,10,327,56,0,379,0,0,0,0,0,0,0,0,0,6,0,10,1357,187,54,30,1620,45,7,46,1674,109,10,1795
201011007,19,0,0,0,19,0,0,19,263,22,0,0,289,0,0,0,289,3,0,289,399,59,0,0,459,0,0,0,459,11,0,467,43,0,3,0,48,0,0,0,48,0,0,48,0,0,0,3,9,0,0,0,9,0,0,9,702,79,7,9,799,0,0,0,799,13,0,812,4,0,0,0,4,0,0,0,0,3,0,11,14,3,0,0,11,0,0,0,11,0,0,11,13,3,0,0,15,0,0,0,14,3,0,21,718,78,7,9,817,0,0,0,815,13,0,833,127,12,0,9,142,0,5,5,145,16,0,161,0,0,0,3,3,0,0,0,3,0,3,0,845,95,7,16,962,0,5,5,968,32,5,997
201011008,27,0,0,0,27,3,0,26,363,64,8,0,433,7,3,8,443,27,0,467,742,83,24,0,847,10,0,8,850,29,0,884,81,17,8,0,108,0,0,0,108,6,0,111,3,0,0,3,11,0,0,0,11,3,0,15,1184,163,41,3,1392,12,8,19,1410,65,0,1474,6,0,0,0,3,0,0,0,14,0,0,14,20,0,0,0,20,0,0,4,21,0,0,21,30,0,0,0,29,6,0,4,30,0,0,30,1212,166,41,3,1422,13,11,27,1444,65,0,1506,310,66,11,0,392,25,4,26,413,96,0,514,0,0,0,0,0,0,0,0,0,0,10,10,1518,231,53,6,1810,41,9,52,1861,161,12,2028
201011481,9,0,0,0,9,0,0,15,232,31,7,0,267,3,0,6,270,13,0,288,401,46,0,0,451,9,0,9,458,21,0,474,46,4,4,0,61,0,0,0,61,5,0,64,10,0,0,0,10,0,0,0,10,5,0,13,687,84,11,7,784,8,0,14,798,43,0,839,4,0,0,5,12,4,0,4,11,7,0,13,8,0,0,0,9,0,0,0,12,0,0,14,16,0,0,5,22,4,0,5,24,5,0,32,700,87,11,8,805,15,6,19,821,48,0,872,168,33,8,0,212,0,0,0,214,37,0,247,0,0,0,0,0,0,0,0,0,0,6,5,871,119,16,8,1017,14,6,25,1033,87,6,1128
201011482,53,0,0,0,56,0,0,56,587,69,16,0,673,8,4,15,682,40,0,721,1186,119,18,6,1332,12,9,19,1345,23,0,1374,178,12,13,0,194,0,0,0,198,0,0,201,12,0,0,5,14,0,0,0,14,0,3,20,1960,200,42,12,2213,20,10,30,2244,65,8,2316,6,0,0,0,6,3,0,3,10,0,0,10,14,3,0,0,18,0,0,0,18,0,0,18,23,3,0,0,28,3,0,3,30,0,0,30,1983,201,42,13,2244,24,10,34,2277,65,8,2346,324,43,6,5,376,6,0,6,382,43,0,423,0,0,0,0,0,0,0,0,0,0,3,3,2313,247,53,18,2624,29,10,38,2662,109,11,2777
201011483,22,0,0,0,22,7,0,28,372,60,0,0,436,0,0,0,437,14,0,452,640,84,12,5,742,7,6,12,752,30,0,778,82,8,0,5,95,7,0,7,102,0,0,101,13,0,0,3,14,0,0,0,14,0,0,14,1104,149,17,14,1285,8,8,16,1303,45,0,1346,6,3,0,0,8,0,0,0,13,0,0,11,30,0,0,5,34,5,0,5,36,3,0,36,36,7,0,5,45,3,0,3,44,7,0,48,1141,154,17,20,1332,18,8,20,1350,47,0,1396,213,42,0,8,265,15,4,22,288,55,0,344,0,0,0,0,0,0,0,0,0,0,0,6,1362,198,19,29,1603,29,8,42,1639,106,0,1743
201011484,10,0,0,0,10,0,0,10,190,29,10,3,228,3,0,9,236,28,0,264,414,89,8,0,508,0,9,9,517,20,0,537,45,8,10,0,71,0,0,0,73,0,0,69,0,0,0,11,11,0,0,0,11,0,0,12,645,126,31,13,816,3,12,18,835,51,0,888,12,0,0,0,10,3,0,3,13,3,0,16,25,5,0,4,28,0,0,0,28,0,0,29,33,3,0,4,42,3,0,3,44,3,0,50,678,133,31,13,854,4,12,22,877,54,0,929,231,61,10,5,303,11,0,14,315,90,7,406,0,5,0,0,5,0,5,5,8,0,7,15,911,188,43,16,1164,19,17,35,1192,144,19,1358
201021009,23,0,0,0,23,0,0,25,255,48,12,3,316,8,0,8,317,17,0,344,376,31,8,4,426,0,0,3,426,15,6,445,67,10,3,3,86,0,0,0,86,0,0,90,9,0,0,12,22,0,0,0,22,0,0,21,712,94,20,20,853,10,0,11,857,40,7,905,3,0,0,0,8,0,0,0,8,0,0,8,10,0,0,0,10,5,0,5,6,0,0,6,11,0,0,0,12,5,0,5,17,0,0,17,720,93,24,20,862,13,0,10,871,40,7,915,183,13,6,9,213,3,0,3,217,22,5,235,3,0,0,0,3,0,0,0,3,0,3,6,905,108,32,35,1072,12,0,13,1094,62,11,1160
