SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
213051587,3,12,43,53,12,0,0,0,0,119,8,33,108,86,32,9,3,0,0,274,104,340,1549,1984,598,230,40,0,0,4845
213051588,0,18,68,83,43,16,3,0,0,238,16,75,165,137,64,33,0,0,0,489,242,705,2191,3074,1189,482,90,0,0,7984
213051589,0,22,31,30,8,8,5,0,0,105,14,27,84,59,32,11,3,0,0,231,163,425,1500,1281,500,268,49,3,0,4176
213051590,10,23,46,51,41,33,10,0,0,221,5,31,74,90,66,24,10,0,0,300,323,556,1398,1744,1201,717,152,6,0,6099
214011370,7,48,151,113,104,54,26,0,0,502,20,48,160,141,149,108,16,3,0,653,502,973,2993,2565,2232,1677,352,19,0,11311
214011371,20,37,133,71,65,59,11,6,0,404,11,49,131,110,92,69,28,4,4,503,529,1006,2814,2405,2192,1659,462,49,7,11123
214011372,13,35,85,72,62,45,16,0,0,330,12,37,119,105,82,74,24,11,0,462,318,697,2296,1809,1513,1220,300,29,0,8179
214011373,10,23,37,54,79,55,20,7,0,278,10,21,56,77,93,65,22,6,6,351,592,698,1284,2026,2312,1714,503,70,4,9192
214011374,23,60,122,120,94,91,21,8,0,538,19,41,97,160,112,98,21,6,0,564,825,1127,2689,2921,2883,2273,503,37,0,13254
214011375,6,32,90,81,64,42,6,3,0,320,12,24,82,99,103,70,14,3,0,413,311,579,1893,2110,1817,1227,325,32,6,8309
214011376,4,27,70,71,71,56,14,0,0,311,9,28,72,86,93,64,17,0,0,357,419,605,1174,1780,1746,1169,254,25,0,7169
214021377,9,19,39,32,58,46,20,0,0,231,12,16,39,39,60,53,24,13,3,253,336,431,915,1029,1382,1230,443,71,4,5832
214021378,0,7,5,11,12,17,13,0,0,64,8,11,13,14,25,32,23,11,0,139,119,176,275,332,609,763,415,82,7,2780
214021379,25,38,92,80,87,77,27,6,0,420,23,31,78,75,93,85,26,9,3,430,858,1132,2148,2080,2180,1859,588,78,4,10931
214021381,6,20,36,48,81,45,18,6,0,256,12,19,27,77,91,63,31,9,0,340,644,664,738,1834,2520,1778,632,117,8,8937
214021382,18,37,44,59,87,60,15,0,0,320,23,20,41,94,139,63,22,8,0,410,765,721,946,1935,2648,1763,573,75,8,9421
214021383,10,27,38,34,54,66,11,0,0,249,22,27,64,72,84,116,45,16,0,445,361,508,1163,1355,1903,1882,828,156,3,8165
214021384,17,30,74,59,83,57,28,6,0,358,33,23,65,63,87,69,35,20,0,393,515,655,1677,1698,1894,1695,611,100,6,8842
214021385,19,35,117,78,92,98,27,4,3,468,19,34,80,77,73,61,26,6,0,371,585,839,2094,1778,1968,1843,500,70,3,9684
214021591,8,37,63,48,63,45,6,8,0,275,10,21,45,47,60,45,10,7,0,258,483,556,1122,1424,1749,1075,297,42,3,6747
214021592,4,5,21,20,37,24,13,0,0,131,6,24,26,26,47,41,16,4,3,185,186,343,614,791,1008,1002,427,51,4,4425
215011386,6,0,25,22,20,26,7,0,0,114,9,12,23,9,14,26,10,0,0,106,215,308,759,556,669,644,196,22,0,3383
215011387,0,0,9,7,0,6,0,0,0,22,3,3,0,3,3,21,9,7,4,49,64,75,194,292,329,351,185,40,11,1543
215011388,22,43,89,75,62,48,20,6,0,360,13,21,70,48,35,42,15,11,0,252,493,717,1795,1510,1533,1429,415,87,10,7987
215011389,9,3,10,10,16,25,3,0,0,67,4,5,9,11,16,13,7,7,0,69,119,123,232,294,428,475,167,46,3,1885
215011390,3,5,16,17,15,16,3,3,0,75,12,8,23,15,17,21,13,8,0,121,153,210,576,472,593,717,221,65,8,3014
215011391,0,4,7,4,8,6,3,0,0,42,0,0,9,0,9,11,4,0,0,40,90,105,238,200,302,348,131,43,0,1469
215011392,9,13,14,10,14,10,17,0,0,86,5,11,27,15,18,23,0,13,5,111,193,324,766,616,750,732,274,49,5,3701
215011393,0,0,3,0,0,11,0,0,0,19,4,0,4,3,7,9,0,0,0,32,52,53,197,193,240,327,147,55,9,1270
215011394,3,9,12,10,12,26,6,0,0,77,4,9,14,8,15,27,0,9,0,81,132,161,433,410,500,703,221,59,6,2640
215021395,12,12,42,36,25,29,4,0,0,158,18,24,39,38,50,29,13,4,0,212,284,301,692,746,896,672,203,19,0,3820
215021396,9,8,28,19,18,20,6,0,0,100,3,0,19,17,27,20,5,7,3,109,138,139,404,382,477,444,133,21,4,2151
215021398,7,4,4,11,8,9,5,0,0,47,4,6,11,11,21,12,6,6,0,74,81,104,267,320,327,390,166,35,3,1701
215021399,3,19,31,26,23,27,4,0,0,132,8,21,30,22,32,26,9,0,0,141,159,234,532,542,556,528,124,9,0,2695
215021469,14,28,77,53,35,28,16,0,0,249,22,28,110,60,79,54,6,11,0,373,421,690,1793,1399,1475,1282,352,27,5,7429
215021470,5,33,77,45,29,37,16,4,0,243,15,40,72,57,68,45,11,0,0,318,420,708,1758,1487,1423,1169,315,30,0,7307
215031400,6,9,17,12,10,20,11,0,0,81,8,10,11,10,19,18,19,5,0,103,139,171,398,369,572,652,301,50,6,2656
215031401,6,7,21,22,12,19,7,0,0,100,6,16,24,16,27,40,16,10,0,153,148,189,411,480,657,683,271,64,4,2910
215031402,4,8,15,6,3,18,6,0,0,52,0,3,9,9,24,6,3,0,0,74,73,115,243,277,287,347,106,20,3,1475
215031403,5,3,3,12,6,3,0,0,0,39,6,9,49,50,25,17,9,0,0,167,56,108,411,375,241,239,88,8,0,1535
215031404,9,26,66,41,25,25,9,0,0,204,9,23,59,64,44,29,6,7,0,243,319,529,1274,1051,863,892,265,35,3,5241
215031405,9,13,27,19,14,23,4,0,0,108,7,20,35,30,27,37,14,9,0,179,176,217,565,547,601,680,234,60,7,3090
216011406,20,28,68,54,63,74,20,0,0,315,13,17,46,35,63,54,13,5,0,243,515,611,1330,1289,1537,1419,414,37,6,7163
216011407,14,31,42,40,44,49,20,0,0,244,15,16,38,45,40,47,22,13,4,238,315,404,855,912,1057,992,368,53,13,4966
216011408,6,8,15,14,17,9,5,0,0,68,5,5,7,8,21,17,8,7,0,78,126,129,285,328,451,424,155,41,6,1936
216011409,5,16,16,13,11,14,0,4,0,79,8,8,14,9,16,11,10,0,0,72,116,143,241,277,363,392,123,22,4,1678
216011410,0,4,17,5,18,12,5,0,0,61,9,10,13,18,19,16,5,6,0,93,88,108,261,243,390,435,144,43,6,1714
216021411,4,12,25,20,17,16,5,5,0,102,11,6,25,19,14,27,11,4,0,114,160,197,523,504,516,470,165,27,0,2558
216021412,3,0,4,11,3,9,0,0,0,37,3,5,13,11,19,9,9,3,0,61,74,78,198,216,300,332,107,26,5,1335
216021413,21,27,43,41,38,30,11,0,3,211,24,26,39,35,56,40,16,7,0,250,359,443,1006,950,1162,1197,401,58,11,5578
216021414,9,10,34,26,21,13,8,0,0,122,4,5,16,20,16,23,5,4,0,88,243,253,593,630,750,682,215,31,0,3395
216031415,9,19,26,28,32,22,15,0,0,155,7,13,39,37,22,29,13,0,0,151,196,328,711,596,685,575,175,23,6,3290
216031416,20,36,81,61,77,68,16,0,0,361,19,33,71,82,74,46,18,0,5,351,615,817,2055,1877,1875,1506,450,41,11,9263
216031418,9,11,18,20,18,16,0,0,0,94,11,5,10,14,29,16,11,6,0,105,132,141,277,373,487,443,174,45,10,2085
216031419,9,25,43,31,47,33,6,3,0,190,5,13,35,31,58,48,18,4,0,223,267,340,883,801,1073,961,339,54,0,4725
216031593,9,22,37,43,45,34,13,3,0,203,4,19,25,43,38,21,9,0,0,158,325,328,839,1019,991,747,193,30,0,4475
216031594,12,32,86,55,63,31,18,0,0,295,19,28,113,81,60,44,11,4,0,358,332,629,1583,1192,1095,1005,314,31,8,6181
217011420,9,15,24,19,29,21,11,0,0,122,16,18,20,31,46,30,29,18,0,203,221,230,616,654,880,963,377,112,13,4064
217011421,12,20,26,28,43,44,19,0,0,192,19,9,39,24,31,27,22,9,7,173,303,404,903,826,924,932,321,47,6,4671
217011422,13,26,39,39,35,27,17,0,0,187,11,17,26,24,39,22,22,6,3,172,344,373,784,875,1063,980,301,36,5,4769
217011423,11,0,5,8,9,15,0,0,0,50,10,10,8,14,14,29,11,5,7,112,160,177,403,500,663,699,400,76,13,3086
217031471,4,0,7,4,9,7,0,0,0,43,3,5,7,7,10,6,11,3,0,61,95,114,257,254,299,305,113,32,3,1477
217031472,9,31,56,42,37,37,15,0,0,227,21,13,39,36,50,27,20,3,3,215,445,548,1306,1124,1156,990,317,31,10,5923
217031473,6,10,18,13,19,16,5,0,0,81,10,9,31,19,28,29,16,11,0,135,204,171,465,540,615,590,279,65,8,2934
217031474,3,7,21,15,14,13,4,0,0,84,8,6,15,15,15,16,20,8,0,95,132,190,374,409,491,599,230,49,3,2481
217031475,3,18,12,9,12,16,0,3,0,84,10,21,23,31,37,35,15,11,0,172,231,284,565,578,823,746,293,80,6,3604
217031476,0,0,4,13,11,8,0,0,0,35,3,0,10,15,11,17,13,3,0,72,89,74,262,296,396,448,197,26,4,1793
217041477,14,11,23,12,26,17,5,0,0,106,14,10,21,19,20,24,14,9,0,132,234,256,625,577,729,730,307,79,21,3551
217041478,12,14,28,35,31,21,15,0,0,164,12,18,32,21,32,39,19,8,3,183,277,275,737,910,1059,1021,417,66,8,4779
217041479,35,47,113,76,79,48,17,3,0,417,16,38,79,60,70,58,14,3,0,343,873,933,2313,2149,2278,1936,466,61,0,11016
217041480,11,26,45,43,45,31,21,8,0,224,10,17,50,35,51,32,12,5,0,223,422,513,1380,1293,1301,1171,354,43,0,6484
297979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
299999499,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
