SA2_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
201011001,0,7,5,7,7,0,12,10,0,51,0,0,0,0,0,0,11,8,6,21,0,0,0,3,0,0,4,0,0,9,3,53,93,410,83,18,9,0,0,681,0,0,0,9,4,0,0,0,0,17,0,0,4,8,0,0,0,0,0,16,0,7,3,14,3,3,0,0,0,28,0,3,0,13,0,0,4,0,0,25,0,0,0,5,0,0,8,3,0,13,0,0,0,10,3,0,0,0,0,15,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,5,19,5,9,4,0,0,44,0,0,0,0,0,3,4,6,0,18,0,0,0,7,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,16,0,0,0,0,3,5,24,15,3,48,0,18,21,34,29,18,16,7,0,151,0,0,0,0,0,0,0,0,0,0
201011002,0,0,3,0,6,3,16,6,5,37,0,0,0,0,0,0,5,3,0,7,0,5,6,9,5,0,0,0,0,18,0,12,32,105,16,10,0,9,0,180,0,0,0,9,0,0,4,0,0,10,0,0,0,9,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,6,0,0,0,3,9,7,4,0,4,38,0,0,0,0,0,0,6,3,4,15,0,0,3,6,4,5,3,0,0,21,0,0,0,9,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,6,19,9,4,5,0,0,51,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,10,26,0,0,0,0,0,38,0,0,0,4,0,6,17,15,11,47,0,0,7,33,30,29,12,5,3,130,0,0,0,0,0,0,0,0,0,0
201011005,0,0,0,3,0,4,9,6,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,16,12,0,0,3,0,0,40,0,0,7,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,3,10,0,0,12,0,0,0,3,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,3,21,10,0,29,0,0,6,13,10,20,11,0,0,64,0,0,0,0,0,0,0,0,0,0
201011006,0,0,0,0,0,0,9,9,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,15,51,179,16,5,0,0,0,265,0,0,4,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,4,0,0,3,4,0,12,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,16,0,0,0,0,0,0,4,8,0,12,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,8,36,0,0,0,0,0,53,0,4,0,5,0,0,16,14,4,39,0,13,3,36,20,14,12,5,0,100,0,0,0,0,0,0,0,0,0,0
201011007,0,0,0,3,0,9,9,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,0,0,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,15,0,0,0,8,3,12,3,0,0,30,0,0,0,0,0,0,0,0,0,3
201011008,0,0,0,6,0,7,13,12,4,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,0,13,0,0,15,55,5,3,0,7,0,88,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,6,0,5,23,0,0,0,0,0,0,6,7,3,19,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,3,0,3,23,0,0,0,0,0,0,4,3,3,15,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,11,0,0,0,7,0,0,32,22,13,71,0,0,8,22,20,23,18,12,0,104,0,0,0,0,0,6,0,0,0,3
201011481,0,0,0,5,6,4,9,5,0,18,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,3,0,0,5,0,3,20,77,5,5,7,5,0,115,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,4,6,0,0,0,3,15,0,0,0,0,0,6,4,0,7,29,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,20,0,0,0,0,3,0,6,15,4,36,0,0,6,25,19,15,9,10,5,86,0,0,0,0,0,0,0,0,0,0
201011482,0,0,0,4,3,0,11,4,3,35,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,0,0,0,5,0,5,8,60,9,3,3,0,0,81,0,0,0,3,4,0,0,0,0,22,0,0,0,0,0,0,0,4,0,5,0,0,0,5,0,0,0,0,0,8,0,0,0,10,3,0,8,3,4,36,0,0,0,4,0,7,11,5,7,30,0,6,0,4,5,0,0,0,0,15,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,14,3,8,4,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,24,17,5,54,0,5,5,38,21,25,20,7,0,117,0,0,0,0,0,0,0,0,0,0
201011483,0,0,0,4,0,3,18,4,6,40,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,4,7,46,166,9,5,9,0,0,241,0,0,0,0,3,0,0,0,0,6,0,0,3,12,9,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,14,0,0,0,4,0,0,9,6,3,21,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,15,8,11,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,18,20,0,0,0,0,0,33,0,0,0,7,0,0,17,19,4,54,0,0,4,34,18,21,16,7,0,106,0,0,0,0,0,0,0,0,0,0
201011484,0,0,0,0,9,9,22,15,0,46,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,4,0,0,31,100,4,3,8,3,0,159,0,0,0,9,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,5,0,14,0,0,0,0,0,0,7,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,16,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,7,27,0,0,0,0,0,31,0,0,0,5,0,3,35,48,12,101,0,3,12,39,11,18,21,3,3,110,0,0,0,0,0,0,0,0,0,0
