SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
201011001,288,160,142,127,152,95,59,50,22,1096,4025,2380,2089,2457,2124,1583,1312,694,172,16835
201011002,112,117,91,95,135,112,99,70,50,883,1782,1551,1326,1340,1660,1650,1495,937,394,12131
201011005,95,110,38,74,72,55,58,18,6,517,1503,946,571,870,1044,991,897,352,85,7261
201011006,235,111,126,106,75,71,56,33,14,829,2276,1409,1975,1287,1122,1022,876,470,232,10661
201011007,82,36,24,18,44,32,30,7,0,283,886,557,340,515,685,633,433,148,27,4230
201011008,265,170,194,153,159,125,97,73,50,1282,2833,1848,2230,1748,1780,1739,1602,1041,514,15333
201011481,144,100,96,94,101,92,77,45,29,776,1528,1042,1426,1183,1081,1239,1114,686,390,9691
201011482,199,126,126,114,128,149,107,52,30,1018,2756,1570,1828,1916,1905,1929,1623,846,367,14750
201011483,215,148,193,89,108,97,87,81,56,1077,2147,1607,1947,1560,1435,1285,1242,689,320,12225
201011484,266,170,168,119,150,113,116,64,33,1208,2163,1596,2022,1520,1415,1581,1504,914,373,13086
201021009,119,56,61,70,83,84,82,29,15,606,1243,623,648,895,957,969,736,370,118,6559
201021010,133,71,48,78,116,112,104,61,24,750,1324,669,657,856,1125,1326,1262,633,236,8085
201021011,137,77,85,99,133,172,173,81,41,994,1278,660,762,1036,1501,1863,1819,771,256,9955
201021012,127,68,54,81,94,77,57,30,6,588,1202,689,545,803,1010,994,754,299,73,6372
201031013,75,35,22,35,51,50,85,37,8,404,508,292,260,299,513,568,685,307,101,3532
201031014,84,61,78,125,137,105,100,49,14,757,672,427,404,531,685,739,739,338,101,4644
201031015,94,64,44,40,80,57,55,23,0,448,945,511,485,573,758,692,637,259,40,4894
201031016,145,73,62,59,81,68,73,77,35,676,1208,778,809,658,946,1109,1296,958,395,8160
201031017,106,61,41,66,98,118,84,59,15,652,794,472,395,471,751,1036,994,494,118,5526
202011018,271,185,235,162,182,166,108,111,118,1536,2263,1934,2339,1657,1828,1865,1644,904,484,14929
202011019,255,128,163,120,116,119,108,56,39,1101,2469,1594,1953,1426,1437,1581,1450,746,300,12949
202011020,190,141,134,113,143,138,115,82,44,1102,2140,1703,1704,1487,1660,1787,1758,1129,619,13988
202011021,152,121,85,84,91,89,42,40,16,720,1653,1470,1253,1138,1125,1154,899,497,254,9437
202011022,365,214,266,187,186,194,179,154,136,1883,3541,2191,2946,2502,2269,2497,2477,1791,840,21043
202011023,80,38,31,51,39,38,26,8,4,308,1359,656,503,834,788,639,521,175,29,5518
202011024,176,92,45,110,93,91,58,39,9,717,2545,1256,984,1536,1479,1151,1110,532,125,10719
202011025,286,143,147,141,120,119,76,42,14,1088,3415,1669,2297,1996,1554,1540,1240,577,156,14446
202021026,134,64,53,83,82,95,71,30,3,615,1731,976,834,1062,1162,1281,910,330,59,8344
202021027,125,117,261,230,212,150,143,133,117,1497,1608,844,1057,1365,1533,1631,1779,1064,472,11352
202021028,126,83,89,103,131,143,141,68,15,903,1275,728,702,910,1323,1756,1618,731,178,9225
202021029,118,57,57,60,105,112,85,52,23,667,733,344,420,468,692,892,864,500,149,5062
202021030,156,98,93,97,138,141,118,67,31,939,1816,946,932,1293,1607,1474,1415,769,311,10562
202021031,99,63,39,65,100,72,68,48,14,563,1541,773,521,1003,1291,1089,1033,535,164,7949
202031032,99,60,56,70,88,108,63,55,11,603,877,485,440,560,687,866,659,294,76,4934
202031033,121,79,61,81,124,181,156,83,73,957,1091,607,590,656,912,1294,1232,611,297,7289
203011034,162,66,61,96,84,50,40,17,8,576,1916,886,888,1145,1071,741,660,327,127,7754
203011035,150,68,62,72,99,95,62,29,3,641,1757,862,830,1117,1183,1173,835,277,65,8111
203011036,119,60,56,87,63,67,62,26,4,543,1233,729,660,868,900,983,796,342,113,6614
203021037,193,124,145,121,114,128,69,63,49,1015,2575,1813,2618,1954,1680,1547,1410,896,526,15017
203021039,128,154,182,139,130,153,110,64,30,1089,1748,1722,2372,1646,1647,1848,1512,732,277,13504
203021040,235,182,212,189,156,132,103,62,36,1319,3827,2352,3578,3153,2635,2422,1779,973,484,21200
203021042,254,297,203,146,162,156,172,85,19,1494,4410,3756,2782,3031,3070,2772,2312,1437,467,24034
203021043,325,270,591,531,346,201,145,48,24,2483,4035,2340,3167,3096,2811,2294,1893,874,315,20817
203021044,178,82,107,86,111,86,91,75,16,818,2405,1470,1630,1630,1671,1644,1518,988,320,13272
203021045,271,179,183,168,186,142,139,101,58,1434,2188,1759,2159,1607,1875,1988,1976,1341,561,15462
203021046,145,82,69,84,87,89,68,30,23,674,2003,1291,1146,1349,1467,1351,1058,580,201,10445
203021047,192,157,154,128,147,113,96,86,35,1108,2443,1710,2290,1842,1944,1767,1907,1285,601,15795
203021485,144,105,113,92,58,36,34,35,12,627,2154,1286,2448,1569,770,682,566,475,346,10300
203021486,421,298,268,218,234,194,127,58,29,1847,3369,2842,2721,2077,2306,2276,1632,847,247,18325
203021487,262,269,232,181,186,147,137,62,62,1527,4508,3410,3873,3276,2869,2438,2254,1376,756,24763
203021488,208,143,192,145,144,115,86,52,24,1112,1428,1146,1550,1064,1105,1095,908,514,235,9051
203031048,224,126,101,127,89,110,133,107,42,1067,2927,1649,1763,1952,1956,2312,2473,1336,431,16797
203031049,78,36,51,47,80,90,116,38,20,556,775,467,538,574,745,1147,1218,570,199,6234
203031051,91,55,40,75,97,164,167,142,83,924,1004,588,627,752,1108,1762,2250,1134,314,9536
203031052,53,21,20,42,40,79,111,74,22,467,639,360,281,420,546,896,1290,776,297,5519
203031053,373,200,175,263,280,198,200,91,80,1862,5390,2426,2438,3910,3495,2771,2586,1178,421,24607
203031489,181,94,93,100,104,90,84,44,17,795,2644,1228,1671,1685,1338,1096,1101,447,124,11333
203031490,234,128,102,153,131,169,191,100,49,1253,3821,1814,1685,2567,2531,2582,2662,1215,515,19394
204011054,83,54,44,59,77,113,102,57,18,588,884,529,553,640,864,1203,1272,661,220,6828
204011055,116,70,63,71,100,135,152,70,29,810,942,546,526,646,782,1182,1322,683,296,6922
204011056,260,175,145,164,183,163,104,70,41,1306,2918,1837,1914,1821,2131,1975,1645,979,354,15563
204011057,179,131,139,149,143,180,140,69,18,1156,1768,960,995,1156,1253,1731,1659,767,239,10517
204011058,74,43,31,48,51,80,66,43,31,471,679,383,389,488,549,769,766,383,140,4537
204011059,140,80,101,88,85,99,81,33,29,730,992,788,791,666,805,949,888,474,217,6569
204011060,67,76,48,51,61,63,45,31,10,449,827,675,559,543,639,655,484,214,53,4645
204011061,14,0,8,6,9,6,6,0,0,51,50,25,19,27,45,41,17,10,0,238
204011062,92,50,36,55,86,104,93,34,8,562,562,367,288,398,566,783,715,399,104,4182
204021063,213,127,129,105,138,143,122,126,66,1168,1507,1045,1114,987,1209,1602,1673,1148,524,10822
204021064,82,30,31,50,61,64,73,30,3,422,569,312,281,369,520,766,682,242,42,3781
204021065,61,38,31,30,46,51,34,33,9,327,667,370,386,417,536,614,627,321,115,4047
204021066,328,178,188,169,190,188,169,139,87,1643,3429,2165,2282,2229,2388,2478,2399,1714,795,19882
204021067,164,95,55,101,110,127,107,66,5,828,1780,902,766,1075,1471,1653,1456,664,156,9925
