SA2_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
211011259,4178,4391,8574,228,259,482,20,24,50,1509,1586,3097,19,21,40,13,20,32,4,11,14,9,8,12,0,3,3,10,4,13,0,0,0,1581,1677,3252,323,324,645,31,18,49,2152,2272,4431,248,317,565,6587,6986,13568
211011260,5344,5812,11161,232,264,495,39,49,83,1806,1884,3691,35,38,76,11,28,35,22,25,46,7,6,19,3,3,12,3,4,5,0,0,0,1942,2029,3971,428,461,883,81,101,182,2681,2850,5533,232,283,512,8255,8949,17205
211011446,6103,6507,12608,458,498,960,58,54,116,2988,3113,6104,36,56,90,36,42,80,20,30,48,12,8,25,5,9,13,9,6,15,0,0,0,3172,3320,6491,382,481,860,82,46,124,4092,4343,8432,541,561,1102,10733,11406,22139
211011447,4252,4451,8705,185,173,355,18,25,44,1533,1668,3199,27,22,43,10,9,17,11,14,20,0,7,6,4,4,9,0,0,0,0,0,0,1605,1749,3351,163,167,330,23,35,54,1973,2124,4099,251,276,528,6477,6846,13331
211011448,4724,4895,9624,185,193,375,22,33,52,1634,1693,3324,25,24,46,12,11,19,13,14,29,13,8,21,8,6,15,0,3,3,0,0,0,1735,1788,3520,171,170,345,41,31,74,2133,2178,4314,256,231,482,7111,7302,14416
211011449,1416,1500,2919,34,33,62,4,4,11,422,417,838,4,0,6,6,3,10,3,4,8,3,5,8,0,0,3,0,0,0,0,0,0,445,439,885,20,31,50,15,14,31,519,513,1030,71,70,136,2005,2081,4085
211021261,5157,5446,10608,203,218,422,23,31,50,1578,1642,3223,22,27,53,16,11,28,12,9,19,0,6,7,4,0,4,6,7,9,0,0,0,1665,1737,3398,298,313,611,18,16,29,2181,2284,4463,254,315,572,7594,8050,15638
211021262,3474,3555,7026,126,102,232,20,15,34,943,966,1913,23,14,33,6,3,9,8,11,19,0,0,0,0,4,5,9,3,8,0,0,0,1009,1022,2026,92,91,188,6,4,17,1232,1228,2455,137,124,262,4844,4908,9748
211031263,3683,3746,7426,99,111,209,19,23,40,1254,1345,2597,16,15,25,6,0,7,11,12,24,3,0,4,3,0,3,0,4,5,0,0,0,1306,1397,2699,132,161,291,28,28,63,1573,1695,3270,201,269,475,5458,5713,11168
211031265,5841,6101,11944,267,285,551,32,38,67,1774,1834,3605,34,28,61,4,6,14,13,15,32,6,0,3,0,4,14,4,7,9,0,0,0,1861,1940,3803,185,205,391,38,32,69,2356,2454,4816,197,197,394,8390,8756,17146
