SA2_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
201011001,38,100,74,54,56,11,5,334,10,9,5,0,7,5,0,35,9,11,0,0,0,0,0,18,73,180,143,111,144,31,16,694,0,6,6,4,3,0,0,18,3,11,7,0,0,0,0,25,3,15,12,3,6,0,0,50,78,195,156,116,151,37,16,744,86,69,22,30,22,3,0,234,0,0,0,0,0,0,0,6,166,262,182,144,175,41,15,979
201011002,16,34,23,14,32,9,6,132,3,0,0,0,4,0,0,8,0,0,0,0,0,0,0,3,29,65,50,48,91,22,12,320,4,0,0,0,5,0,0,13,0,0,5,0,0,0,0,3,4,3,5,0,5,0,0,15,30,71,51,51,92,22,12,333,17,28,12,13,14,3,3,103,0,0,0,0,0,0,0,0,51,96,70,65,109,29,15,439
201011005,10,24,18,14,18,6,0,95,4,4,5,6,0,0,0,11,0,0,0,0,0,0,0,0,20,44,39,30,42,13,5,196,0,0,0,0,5,3,0,3,4,0,4,3,3,0,0,15,4,0,4,3,5,0,0,20,27,44,41,29,45,14,5,211,8,13,6,0,5,0,0,34,0,4,0,0,0,0,0,10,28,61,52,38,51,14,5,253
201011006,43,62,43,35,28,4,5,223,10,8,4,4,5,0,0,23,0,5,5,0,0,0,0,12,68,104,79,72,67,18,8,416,0,0,0,0,9,0,0,7,0,6,0,0,3,0,0,15,4,12,0,3,9,0,0,24,66,113,86,73,74,19,8,440,71,63,35,26,24,3,4,240,0,10,4,3,0,0,0,20,147,186,125,104,96,20,12,694
201011007,4,5,6,3,11,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,10,11,6,16,0,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,19,6,16,0,3,75,10,3,9,5,3,0,0,23,0,0,0,0,0,0,0,3,15,15,23,13,22,0,3,101
201011008,44,114,59,37,38,12,4,302,9,16,4,9,3,0,0,45,3,3,0,3,0,0,0,8,76,170,114,74,80,21,12,540,5,9,4,0,9,4,0,34,5,14,4,4,3,0,0,26,16,19,9,9,9,4,0,66,91,190,125,78,96,19,12,605,118,115,74,48,45,12,3,409,3,0,5,6,3,0,0,12,212,307,201,128,139,33,10,1030
201011481,25,42,34,24,26,0,0,153,0,5,0,3,6,0,6,21,0,0,0,0,0,0,0,0,44,68,53,37,52,12,7,272,4,0,6,0,0,0,0,10,0,6,5,4,6,0,0,23,8,10,9,6,6,0,0,38,47,78,60,39,56,12,7,313,41,54,33,29,23,10,0,182,0,0,0,0,0,0,0,0,94,130,96,71,74,22,7,495
201011482,15,42,29,24,28,16,10,158,14,0,5,3,0,0,0,18,0,0,0,0,0,0,0,0,36,71,61,45,60,27,14,310,3,4,0,0,0,0,0,11,0,3,3,0,4,0,0,8,4,11,3,0,0,0,0,17,39,77,64,42,59,27,14,328,35,41,33,18,20,12,4,159,0,0,0,0,0,0,0,3,75,122,92,66,77,35,23,491
201011483,28,71,38,29,39,13,3,221,4,0,3,0,4,0,0,14,0,4,0,0,0,0,0,6,43,106,78,54,87,25,10,408,3,7,9,4,9,0,0,28,6,8,6,0,0,0,0,29,9,14,15,7,8,0,0,57,58,117,96,58,102,25,11,464,60,55,38,22,33,5,5,214,0,0,0,0,0,0,0,0,117,170,133,88,132,28,16,680
201011484,50,88,48,44,41,4,0,276,17,13,3,3,3,0,0,45,0,3,0,0,0,0,0,5,81,134,81,74,75,16,5,465,4,7,0,5,3,0,0,24,3,6,4,0,0,0,0,14,6,9,4,8,5,0,0,39,88,140,86,79,84,16,5,508,131,117,74,40,38,13,0,413,0,0,0,0,0,0,0,8,223,263,162,124,118,28,6,924
