SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
208031191,677,443,234,70,4950
208031192,0,0,0,0,26
208031193,1863,1206,527,246,11685
208041194,1904,1448,898,362,12857
208041195,2013,1364,662,319,13295
209011196,639,447,298,96,4946
209011197,1716,1417,623,219,11269
209011198,1310,960,568,283,9555
209011199,1008,555,209,68,8133
209011200,1269,910,374,142,7715
209011201,985,729,326,112,4743
209011202,1396,1227,629,134,9161
209011203,1420,1053,612,227,10148
209011204,657,462,261,70,4875
209021205,752,362,195,110,5800
209021428,1165,610,195,80,11807
209021429,877,413,159,98,7085
209021523,790,396,229,95,7885
209021524,463,337,231,103,4208
209021525,696,497,271,204,6731
209021526,805,406,163,84,7676
209031209,2523,1877,717,172,13241
209031210,387,251,90,15,2005
209031211,460,281,75,11,2307
209031212,685,508,171,33,2939
209031213,875,533,220,85,4820
209031214,836,530,209,29,3933
209031215,1396,737,286,64,7656
209041216,505,249,119,62,3771
209041217,385,304,180,46,3162
209041220,1442,781,233,96,8487
209041221,909,559,172,37,5473
209041223,831,598,290,84,7858
209041224,1286,677,233,36,10257
209041225,713,554,209,96,5293
209041431,773,437,327,279,6090
209041432,454,293,131,38,3660
209041433,437,214,58,15,5466
209041435,645,267,64,12,5793
209041436,714,423,208,92,5854
209041437,570,329,81,14,11421
209041527,745,499,178,20,7503
209041528,397,247,79,11,5045
209041529,398,263,169,46,4119
209041530,492,313,138,43,5203
209041531,448,321,140,14,5427
209041532,396,193,60,5,5736
210011226,491,344,163,66,4108
210011227,3,0,0,0,9
210011228,647,516,300,104,4073
210011230,612,326,136,72,3938
210011231,883,609,255,80,5261
210011533,743,620,401,180,5785
210011534,977,650,503,113,7145
210021232,1235,800,403,147,7264
210021233,431,366,129,18,2034
210021234,468,317,137,9,2391
210021235,973,642,256,42,5432
210031236,497,243,135,103,4611
210031237,589,338,161,82,6209
210031439,190,116,83,37,1504
210031440,296,164,114,53,2814
210031535,702,365,229,148,7327
210031536,390,191,178,196,5015
210031537,470,253,120,66,4597
210031538,1035,500,258,174,9541
210041240,1137,710,259,75,6779
210041539,261,141,33,4,2695
210041540,982,723,364,139,7333
210041541,916,502,185,40,5541
210051242,550,291,158,64,5903
210051243,589,344,226,70,5445
210051245,1196,853,438,126,8040
210051246,1453,716,187,28,9977
210051247,652,302,124,19,5134
210051248,14,13,3,0,87
210051250,363,294,138,22,3063
210051441,499,211,58,13,3318
210051442,513,193,43,12,5311
210051443,939,386,89,19,9097
210051445,558,259,60,13,10883
210051542,219,101,20,3,4378
210051543,361,220,113,68,5616
210051544,579,213,67,18,3806
210051545,557,210,93,20,4986
211011251,762,549,354,191,6659
211011254,1224,825,437,105,8829
211011255,691,285,93,17,3337
211011256,1460,784,324,102,8011
211011257,686,337,181,54,3991
211011258,1037,503,242,59,5335
211011259,1071,989,419,246,7594
211011260,1694,1233,651,304,9774
211011446,1541,1263,694,266,12430
211011447,1039,764,442,127,7327
211011448,1186,801,326,109,7838
211011449,362,227,79,14,2214
211021261,1603,1102,662,270,8945
211021262,1201,773,299,86,5505
211031263,889,495,255,194,6049
211031265,1800,1029,439,134,9597
211031266,1167,897,524,288,10351
211031267,1648,1192,654,250,11585
211031268,952,617,351,100,5252
211031450,1094,874,454,168,8393
211031451,995,797,602,258,7385
211031452,341,232,118,37,2479
211041269,814,590,407,191,5859
211041270,1276,850,423,123,9556
211041271,833,584,400,267,7122
211041272,766,601,412,114,5912
211041273,1079,977,556,298,6773
211051274,957,680,195,40,5565
211051275,859,626,350,64,5918
211051276,1351,1020,538,191,7327
211051277,626,474,320,128,4853
211051278,1518,1022,569,159,9805
211051279,487,390,153,39,2962
211051280,563,421,213,128,3623
211051281,1551,1109,516,152,11427
211051282,1129,960,356,57,5760
211051283,776,519,244,31,4934
211051284,1026,680,200,44,5525
211051285,704,401,190,35,3924
211051286,1510,1143,466,108,8357
212011289,1798,1127,434,91,9677
212011546,1253,688,247,41,11972
212011547,878,521,264,69,4791
212011548,550,421,194,71,4444
212011549,680,444,258,114,7108
212011550,319,248,91,8,3518
212011551,318,245,213,68,3091
212011552,1116,714,433,190,12096
212021293,1985,1284,820,346,11850
212021295,500,369,210,76,4787
212021297,691,443,221,125,4898
212021299,782,478,196,94,4023
212021453,979,604,204,66,5764
212021454,1117,798,240,55,6501
212021455,1002,430,162,51,6311
212021456,884,457,198,59,6819
212021553,1030,522,207,36,8519
212021554,564,269,93,17,5526
212031300,1152,711,280,63,9314
212031303,824,489,196,49,8413
212031304,755,418,160,55,9640
212031306,801,358,122,53,8374
212031308,657,427,149,42,3752
212031457,940,445,167,26,5858
212031458,913,370,145,30,6920
212031555,363,204,76,10,5127
212031556,321,130,35,5,7286
212031557,736,473,291,85,10336
212031558,327,187,155,96,5772
212031559,407,172,46,12,5670
212031560,672,303,115,19,5010
212031561,788,333,124,21,5270
212031562,777,419,143,25,5468
212041309,837,646,311,159,5686
212041310,584,381,187,56,7016
212041312,1314,955,475,149,10128
212041313,839,664,345,131,5176
212041316,398,328,167,24,3253
212041317,785,546,331,170,9198
212041318,476,359,197,58,4378
212041459,648,397,193,92,6326
212041460,773,605,366,130,7840
212041563,1052,705,406,187,9899
212041564,246,226,118,42,3203
212041565,684,660,345,105,5871
212041566,744,338,96,28,7060
212051319,1338,864,434,193,11311
212051321,1854,1474,967,332,12209
212051322,1796,1086,695,343,12059
212051323,1543,897,594,241,9372
212051324,1613,1006,656,319,11066
212051325,1293,918,596,199,10247
212051326,1607,809,326,152,12787
212051327,1687,1609,1215,655,11505
212051567,277,186,125,121,6102
212051568,500,305,184,146,7692
213011328,344,253,122,27,3827
213011329,487,248,66,11,4085
213011331,485,284,98,19,3223
213011332,900,723,227,56,5824
213011333,607,504,169,35,4864
213011334,880,638,295,96,8326
213011335,741,526,402,313,7201
213011336,471,263,122,79,4709
213011337,521,326,144,63,4817
213011338,822,514,294,98,7532
213011339,792,328,146,73,5630
213011340,1675,809,287,56,7930
213011569,744,598,266,41,7479
213011570,286,115,38,8,3601
213021341,1028,699,361,137,7302
213021342,1301,827,255,76,8647
213021343,622,352,264,132,6881
213021344,1458,679,232,155,10561
213021345,352,151,47,17,2415
213021346,1894,1181,460,137,9092
213031347,802,495,173,118,9745
213031348,848,506,232,158,11071
213031349,811,464,137,34,7371
213031350,628,229,74,44,5513
213031351,646,290,127,45,6763
213031352,1110,449,152,73,8927
213041353,1531,1162,525,125,11615
213041358,924,549,195,30,8701
213041359,382,187,46,0,8277
213041360,787,369,157,47,8403
213041461,326,192,122,105,2540
213041462,251,99,22,4,2712
213041463,1108,537,190,33,9439
213041571,404,315,136,41,4058
213041572,158,61,9,0,3701
213041573,151,101,17,3,1372
213041574,294,126,32,4,4768
213041575,1005,421,118,19,7335
213041576,730,406,133,25,4895
213041577,437,440,199,34,3300
213041578,592,466,169,53,6745
213051361,1419,692,184,58,8464
213051362,1235,859,339,59,8714
213051363,484,254,57,18,6439
213051368,991,607,297,154,8285
213051464,949,456,119,20,9854
213051466,526,350,58,5,9764
213051467,1133,745,367,189,8457
213051468,1077,615,190,25,11012
213051579,240,125,24,16,5352
213051580,806,383,194,27,7044
213051581,364,190,51,14,4884
213051582,173,82,22,4,5253
213051583,853,424,136,25,13947
213051584,90,50,12,0,3883
213051585,394,216,105,22,5164
213051586,125,72,15,0,4820
213051587,253,118,25,6,5281
213051588,487,288,115,19,9112
213051589,246,127,39,5,4386
213051590,676,381,130,20,5983
214011370,1284,776,352,190,10346
214011371,1824,1352,634,263,12614
214011372,1280,883,565,201,9450
214011373,1660,1257,740,368,9878
214011374,1872,1170,488,124,12202
214011375,1202,891,479,160,8939
214011376,988,546,169,30,6274
214021377,1301,1213,727,176,7001
214021378,936,925,387,96,3736
214021379,1990,1759,928,235,12072
214021381,1911,1509,941,294,10190
214021382,1851,1571,947,311,10515
214021383,2244,2387,1200,331,11258
214021384,1861,1980,1331,652,11596
214021385,1656,1045,515,189,9231
214021591,1009,861,755,354,7378
214021592,1108,1335,854,374,6295
215011386,634,490,268,90,3595
215011387,344,291,110,18,1626
215011388,1181,893,458,189,7735
215011389,365,208,91,39,1702
215011390,583,401,212,119,3005
215011391,313,279,151,49,1559
215011392,733,693,325,134,4109
215011393,254,219,91,31,1245
215011394,607,462,247,119,2901
215021395,539,339,158,36,3433
215021396,399,228,112,30,2152
215021398,296,213,93,37,1561
215021399,482,303,123,33,2672
215021469,1203,922,438,195,8041
215021470,993,722,365,156,7123
215031400,580,427,205,108,2778
215031401,533,494,223,62,2843
215031402,319,291,133,68,1674
215031403,171,146,49,29,1291
215031404,677,493,293,131,4807
215031405,579,364,135,36,2800
216011406,1210,930,506,224,7193
216011407,837,697,339,152,4875
216011408,364,241,106,17,1806
216011409,349,226,151,79,1728
216011410,441,292,161,42,1929
216021411,379,409,238,87,2580
216021412,292,192,83,10,1351
216021413,1039,733,361,107,5641
216021414,601,722,435,150,3866
216031415,554,471,271,130,3732
216031416,1374,896,466,250,9286
216031418,368,225,68,19,1892
216031419,838,577,287,87,4739
216031593,630,426,219,87,4164
216031594,841,694,390,125,6421
217011420,908,689,266,84,4170
217011421,791,700,381,183,4833
217011422,930,785,336,116,5035
217011423,620,534,191,58,3072
217031471,255,265,151,55,1579
217031472,801,726,395,154,5386
217031473,569,448,131,24,2809
217031474,550,358,164,72,2473
217031475,579,390,176,73,3201
217031476,540,490,162,36,2342
217041477,630,391,154,33,3225
217041478,932,861,352,118,5114
217041479,1687,1178,610,191,10609
217041480,1098,921,442,239,6890
297979799,15,4,0,0,40
299999499,779,411,85,18,5907
