SA2_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
201011001,1924,188,109,25,4,3,7,2259
201011002,1051,76,16,4,0,0,4,1147
201011005,821,54,34,4,0,0,7,925
201011006,999,101,77,13,0,5,7,1201
201011007,561,40,33,15,0,0,0,645
201011008,1117,115,89,17,4,0,8,1348
201011481,697,69,31,9,0,0,5,802
201011482,1577,96,41,6,0,0,4,1734
201011483,970,109,53,14,0,0,7,1147
201011484,769,98,68,19,3,3,11,964
201021009,672,56,39,11,0,0,6,780
201021010,673,58,40,5,6,0,4,779
201021011,716,56,32,4,0,0,8,816
201021012,691,54,30,5,0,0,9,793
201031013,236,24,9,7,0,0,4,282
201031014,344,29,22,3,0,0,5,403
201031015,470,44,35,5,0,0,7,564
201031016,498,57,32,4,3,0,3,593
201031017,368,46,37,4,0,0,9,469
202011018,996,87,41,13,0,3,8,1150
202011019,975,128,80,18,3,4,13,1215
202011020,1108,110,45,18,0,0,4,1282
202011021,781,64,32,0,0,0,0,884
202011022,1608,174,100,13,3,0,15,1916
202011023,773,57,32,4,0,0,3,873
202011024,1413,111,62,3,0,0,3,1589
202011025,1474,158,93,23,4,0,14,1756
202021026,1032,63,46,12,5,0,10,1165
202021027,826,72,26,6,0,0,4,937
202021028,799,61,29,4,0,0,0,884
202021029,345,42,29,5,0,0,3,421
202021030,1060,65,45,6,0,0,3,1179
202021031,925,62,29,8,0,0,0,1023
202031032,495,49,22,0,0,0,3,571
202031033,552,44,23,6,0,0,10,628
203011034,1054,71,40,6,0,0,8,1177
203011035,1001,85,49,5,4,0,4,1153
203011036,746,74,19,4,0,0,0,848
203021037,1378,110,49,0,0,0,0,1541
203021039,1041,83,31,4,3,0,0,1169
203021040,2209,141,51,11,0,0,5,2415
203021042,2837,180,89,10,0,0,7,3124
203021043,2285,184,115,25,5,3,14,2636
203021044,1343,156,72,15,0,0,7,1592
203021045,1040,132,56,10,3,0,6,1257
203021046,1222,56,12,8,0,0,0,1300
203021047,1413,125,51,15,0,5,5,1620
203021485,1047,92,61,5,0,0,3,1215
203021486,1481,166,94,24,10,0,12,1782
203021487,2631,190,100,22,3,0,11,2956
203021488,489,52,26,8,0,0,6,581
203031048,1524,177,95,17,0,0,12,1831
203031049,500,31,3,3,0,0,0,541
203031051,595,57,17,0,0,0,7,680
203031052,426,25,10,0,0,0,0,466
203031053,3009,190,85,7,0,0,0,3284
203031489,1298,99,60,7,0,0,0,1459
203031490,2144,147,50,11,0,0,5,2363
204011054,482,51,20,4,0,0,0,557
204011055,463,54,26,9,9,0,0,549
204011056,1523,155,91,19,5,0,8,1799
204011057,789,72,27,4,3,0,7,901
204011058,347,32,14,0,0,0,4,406
204011059,448,58,22,0,0,0,6,529
204011060,465,38,23,9,5,0,4,540
204011061,16,4,4,0,0,0,0,17
204011062,287,29,15,0,0,0,4,333
204021063,675,80,48,12,0,0,7,817
204021064,326,32,13,0,0,0,8,386
204021065,361,33,22,0,0,0,6,415
204021066,1586,143,103,11,7,3,15,1871
204021067,990,78,39,7,4,0,13,1138
204031068,428,30,13,0,0,0,0,471
204031069,736,55,21,5,0,0,9,821
204031070,306,38,19,0,0,0,0,360
204031071,389,37,19,0,0,0,4,447
204031072,492,37,17,4,0,0,3,563
204031073,1333,152,93,19,0,3,10,1613
204031075,574,40,28,5,0,0,4,647
204031491,1470,128,90,16,0,0,11,1718
204031492,1060,129,79,18,0,0,9,1296
205011076,1846,200,132,20,9,4,14,2221
205011077,623,56,25,3,3,0,4,728
205011078,745,72,57,11,0,0,4,893
205011079,2203,222,132,24,4,0,13,2589
205021080,0,0,0,0,0,0,0,0
205021081,1215,132,66,4,0,4,17,1439
205021082,729,59,40,14,0,0,12,865
205021083,0,0,0,0,0,0,0,0
205021084,714,76,41,9,0,0,7,847
205021085,420,35,29,7,0,0,6,499
205021086,396,56,17,7,0,0,0,476
205031087,691,52,28,7,0,0,8,783
205031088,10,0,0,0,0,0,0,9
205031089,929,89,56,10,3,0,7,1088
205031090,1011,104,50,6,0,0,7,1185
205031091,1009,79,40,4,0,0,10,1148
205031092,0,0,0,0,0,0,0,0
205031093,2052,202,107,12,6,0,18,2385
205041094,1069,116,65,6,0,0,16,1275
205041095,1179,164,113,12,0,0,17,1482
