SA2_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
201011001,0,6,0,3,25,31,5,19,0,91,6,3,3,0,3,13,7,27,0,64,15,19,25,11,113,125,55,84,0,449,0,0,0,0,20,30,7,14,0,81,10,18,21,29,127,237,74,152,3,687,0,0,6,0,33,33,13,26,0,121,22,99,60,24,75,67,18,44,0,404,26,131,39,16,38,27,8,12,0,297,10,24,20,6,39,47,25,47,0,216,0,0,5,3,15,18,10,0,0,63,3,3,3,3,35,32,14,19,0,121,6,5,0,0,16,7,4,15,0,56,0,13,10,10,48,77,24,48,3,228,6,11,11,4,15,21,3,4,0,74,16,6,0,6,90,110,17,39,0,295,6,23,12,14,72,50,24,42,0,251,17,42,53,53,104,104,18,35,3,434,4,13,0,6,8,11,3,12,0,55,9,13,11,7,29,37,11,31,0,142,6,15,6,3,24,34,5,24,13,132
201011002,4,4,10,3,10,5,0,15,3,56,3,0,0,0,4,4,5,17,0,28,10,9,5,13,45,68,15,58,0,226,0,0,0,0,7,18,10,5,0,44,9,13,19,10,63,122,30,81,0,352,0,4,3,4,13,21,13,10,0,71,10,53,30,17,22,23,11,30,3,200,22,89,25,14,27,23,14,16,4,227,4,14,12,7,25,26,3,15,3,112,0,10,3,3,11,16,6,9,0,64,6,6,0,0,6,21,4,24,0,70,0,0,3,0,7,7,4,18,0,52,0,19,21,9,40,80,15,48,0,248,0,4,5,5,10,8,0,12,0,52,12,9,4,3,59,48,15,25,0,180,9,44,11,18,55,45,21,39,0,243,5,30,40,28,67,113,34,64,4,385,7,15,0,0,15,4,3,4,0,59,0,6,6,6,20,22,4,13,0,79,6,13,9,7,23,21,6,9,23,110
201011005,0,5,3,3,0,9,0,12,0,36,0,3,0,0,0,4,0,16,0,32,3,9,4,4,41,54,16,42,0,171,0,0,0,0,9,11,3,13,0,34,7,7,13,11,53,111,28,59,5,293,3,0,0,3,4,14,5,0,0,32,10,37,20,10,20,21,11,24,0,147,3,69,13,5,4,6,0,7,0,113,3,4,3,0,17,12,4,16,0,58,3,0,4,0,10,6,3,0,0,25,0,0,0,0,4,5,0,10,0,21,0,0,3,0,6,8,4,7,0,26,8,17,13,9,13,60,9,32,0,156,6,7,0,4,7,3,0,4,0,33,11,6,4,4,42,43,15,18,0,144,8,15,7,9,46,50,15,37,0,184,9,10,18,22,29,29,6,20,0,145,7,8,8,0,5,7,0,4,0,31,4,3,5,3,12,15,6,15,0,67,7,10,5,0,10,12,3,4,12,55
201011006,0,5,3,4,8,10,5,7,0,49,4,0,0,0,4,13,8,18,0,39,6,16,10,8,101,106,35,42,0,330,0,0,0,0,6,7,3,13,0,32,8,18,22,12,94,198,52,97,6,493,0,6,3,6,15,21,8,10,0,74,5,39,30,21,81,39,17,21,0,257,13,49,29,13,20,14,4,10,5,146,7,15,14,11,25,46,9,50,0,169,5,0,0,0,6,10,3,0,0,37,0,0,0,3,6,12,0,3,0,35,0,0,0,0,9,11,3,4,0,26,0,3,7,7,28,40,15,11,0,109,3,11,6,5,12,11,3,3,0,54,5,9,4,4,52,61,3,11,0,150,4,17,9,7,37,22,7,17,0,118,10,19,22,18,56,42,7,18,4,190,0,4,5,0,8,4,0,0,0,22,10,7,11,4,31,31,13,21,0,129,3,10,11,10,12,24,10,12,24,111
201011007,4,0,4,4,6,8,4,8,0,38,0,0,0,0,0,0,4,12,0,17,0,3,8,3,41,50,15,28,0,153,0,0,0,0,7,5,0,3,0,20,5,6,9,18,64,103,18,60,8,294,0,0,0,0,10,11,3,5,0,33,3,16,9,4,17,13,0,0,0,66,5,27,3,3,8,7,0,0,0,55,0,13,8,0,12,17,3,19,0,72,0,0,0,0,5,3,3,0,0,13,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,7,3,0,0,10,0,9,0,3,6,18,7,9,0,54,0,4,9,5,3,8,0,0,0,22,4,0,0,0,17,23,0,10,0,65,3,4,0,0,9,18,7,6,0,52,3,6,12,8,6,12,0,6,0,59,4,5,0,0,0,3,3,0,0,21,3,5,5,0,8,14,6,10,6,54,3,3,0,3,14,18,4,11,7,58
201011008,0,6,3,4,14,19,13,25,0,87,0,0,0,0,0,4,0,18,0,31,16,30,22,18,126,149,57,49,6,465,0,0,0,0,9,14,3,10,0,48,18,32,25,22,122,219,45,111,3,592,3,4,8,3,41,39,7,10,0,115,7,54,38,21,77,49,14,10,9,277,18,38,36,10,21,16,4,4,0,158,19,11,16,5,36,51,23,58,4,224,3,0,5,0,14,10,6,6,0,42,0,0,0,0,10,12,7,6,0,33,0,0,0,0,11,11,0,8,0,25,4,9,5,3,28,31,3,17,0,96,11,30,15,9,17,19,3,6,0,111,14,8,7,9,66,50,10,17,0,193,6,23,13,9,32,31,12,27,0,156,10,24,26,31,32,32,14,23,4,192,4,9,9,8,15,13,3,25,4,84,6,13,6,4,31,33,12,18,0,127,19,15,3,4,46,49,18,23,29,206
201011481,0,6,3,5,6,15,7,7,0,43,0,3,0,0,0,0,5,8,0,21,4,8,10,14,52,78,19,28,0,223,0,0,0,3,9,10,0,9,0,30,18,19,21,18,69,139,40,74,3,398,0,4,0,0,13,13,0,13,0,47,12,42,28,18,40,20,9,15,0,183,10,49,23,5,23,9,0,11,0,133,6,9,12,13,20,32,6,15,0,110,3,4,0,4,12,4,3,6,0,34,0,0,3,0,7,13,4,3,0,36,0,0,0,0,6,7,9,6,0,26,5,7,10,7,36,45,8,23,0,138,10,11,9,8,10,9,3,6,0,69,7,3,5,5,42,44,4,14,0,129,6,18,12,9,23,37,10,19,0,134,0,27,12,17,58,34,9,15,0,174,9,10,9,0,10,8,0,4,0,46,0,6,8,7,14,23,3,11,0,78,4,6,3,5,12,15,11,10,18,83
201011482,7,10,10,4,9,14,6,20,0,77,0,8,0,0,3,9,5,17,0,43,12,15,17,17,66,108,54,56,0,339,0,0,3,0,16,15,5,14,0,54,9,27,24,20,101,244,75,147,6,659,8,6,6,0,23,24,16,20,0,97,14,63,34,21,48,52,27,40,0,290,20,76,28,17,17,14,8,14,0,190,7,7,11,14,23,41,14,28,3,149,5,0,4,4,29,17,10,6,0,65,0,3,5,0,13,35,14,10,0,79,0,5,0,0,5,22,8,8,0,56,3,21,21,13,47,73,15,52,0,250,9,13,9,7,22,17,6,17,0,101,18,9,9,6,81,85,27,38,0,277,6,30,17,25,67,74,26,56,4,306,13,33,38,31,71,68,23,42,0,319,9,18,7,3,13,22,3,4,0,80,3,8,11,5,18,33,12,27,0,121,3,13,3,12,17,25,8,21,11,115
201011483,0,0,0,0,9,3,12,14,0,35,7,0,0,0,5,4,4,20,0,39,6,18,21,13,76,82,36,29,5,288,0,4,5,0,6,14,5,7,0,41,12,21,19,13,89,131,32,70,11,390,3,3,4,0,17,27,9,12,0,76,13,58,39,13,60,52,14,18,3,271,21,92,46,23,23,20,6,21,5,263,7,19,9,4,23,24,10,30,0,134,7,7,3,0,16,14,6,10,0,60,0,0,4,0,14,26,6,4,0,53,0,0,0,0,4,10,3,6,0,29,3,4,7,16,39,90,17,27,5,206,4,13,13,3,26,12,5,0,0,77,12,11,12,12,66,65,13,17,0,209,6,21,5,17,58,47,16,27,0,200,13,19,32,34,64,59,14,23,0,260,5,13,9,3,12,16,0,4,0,64,3,15,8,7,21,18,4,13,0,85,0,7,10,3,20,26,3,14,24,108
201011484,5,5,7,0,12,20,0,11,0,61,0,3,0,0,9,3,0,21,0,45,16,12,12,13,92,99,20,41,0,307,0,7,0,0,7,0,6,4,0,29,11,27,27,17,97,197,51,74,8,512,0,4,6,4,38,22,10,11,0,90,14,38,25,25,64,51,8,8,3,235,23,53,23,12,22,15,0,7,6,168,6,17,9,15,28,37,8,32,3,164,0,0,0,0,9,11,4,0,0,24,0,0,0,0,4,8,5,8,0,29,0,0,0,0,6,11,5,4,0,30,6,12,4,0,29,44,3,18,0,123,10,26,16,15,22,11,6,9,0,108,6,10,6,8,39,38,8,7,4,130,7,11,7,11,29,12,10,13,0,100,10,18,27,30,44,46,6,7,4,188,5,15,3,5,0,5,0,5,0,40,4,13,7,9,47,29,4,8,0,127,7,10,8,8,40,25,8,13,28,150
